Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Cellular_Component_2023,Large Ribosomal Subunit (GO:0015934),7/52,2.4455080923908865e-13,8.19245210950947e-12,0,0,172.23456790123456,5001.580467556339,RPL41;RPL21;RPL18A;RPLP1;RPL37;RPL6;RPL19
GO_Cellular_Component_2023,Cytosolic Large Ribosomal Subunit (GO:0022625),7/52,2.4455080923908865e-13,8.19245210950947e-12,0,0,172.23456790123456,5001.580467556339,RPL41;RPL21;RPL18A;RPLP1;RPL37;RPL6;RPL19
GO_Cellular_Component_2023,Polysomal Ribosome (GO:0042788),6/28,7.375456961169702e-13,1.6471853879945668e-11,0,0,286.4066985645933,8000.899534209287,RPL41;RPL18A;RPS21;RPL6;RPS23;RPL19
GO_Cellular_Component_2023,Ribosome (GO:0005840),6/61,1.0582800026285213e-10,1.7726190044027732e-09,0,0,114.3732057416268,2627.061721129462,RPL41;RPL18A;RPS21;RPL6;RPS23;RPL19
GO_Cellular_Component_2023,Focal Adhesion (GO:0005925),6/387,6.549027288675456e-06,8.220574711314677e-05,0,0,16.2403646912557,193.8481439898152,RPLP1;RPS2;ATP6V0C;PPIA;RPL6;RPL19
GO_Cellular_Component_2023,Cell-Substrate Junction (GO:0030055),6/395,7.361708696699711e-06,8.220574711314677e-05,0,0,15.89987823028007,187.92413480449727,RPLP1;RPS2;ATP6V0C;PPIA;RPL6;RPL19
GO_Cellular_Component_2023,Cytosolic Small Ribosomal Subunit (GO:0022627),3/41,1.782245108429782e-05,0.00015028750559104189,0,0,71.54425837320574,782.3401568918739,RPS2;RPS21;RPS23
GO_Cellular_Component_2023,Small Ribosomal Subunit (GO:0015935),3/42,1.917759558408032e-05,0.00015028750559104189,0,0,69.7062937062937,757.1335804059302,RPS2;RPS21;RPS23
GO_Cellular_Component_2023,"Proton-Transporting V-type ATPase, V0 Domain (GO:0033179)",2/6,2.2430970983737597e-05,0.00015028750559104189,0,0,434.1521739130435,4647.628509727224,RNASEK;ATP6V0C
GO_Cellular_Component_2023,"Vacuolar Proton-Transporting V-type ATPase, V0 Domain (GO:0000220)",2/6,2.2430970983737597e-05,0.00015028750559104189,0,0,434.1521739130435,4647.628509727224,RNASEK;ATP6V0C
