names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_Vascular (for_DEGs),mean_expr_Rest (for_DEGs)
Ccdc86,-2.4170551,-1.4169792,0.015646643704120604,0.04978982903004745,0.01757469244288225,0.07743016352842627,0.01359118,0.03588797
A230001M10Rik,-2.418822,-2.6592546,0.01557085609223835,0.04956503682682338,0.012302284710017574,0.0714571876024329,0.012231053,0.0748651
Gnpda1,-2.4207249,-0.3666377,0.015489591498042727,0.04932495226732706,0.03866432337434095,0.09946461740175547,0.03754593,0.048151784
Pwp2,-2.4210887,-0.47483316,0.015474096550620958,0.04928745546647524,0.029876977152899824,0.09014094766361948,0.02992085,0.041344486
Dpp7,-2.4210913,-0.9911589,0.015473985125620095,0.04928745546647524,0.028119507908611598,0.08831991841788979,0.021468451,0.042231523
Fam222a,-2.4215574,-2.0331223,0.015454162721269447,0.049235635798021114,0.015817223198594025,0.07513566667880686,0.011281531,0.045389693
Noa1,-2.4246147,-0.7685792,0.015324645692866793,0.04885196699102275,0.0351493848857645,0.09549477364606476,0.029257964,0.049342357
Akt1s1,-2.4292738,-0.26670963,0.015129102923035457,0.04826296990881666,0.0421792618629174,0.10405361110099429,0.046485938,0.055667087
Mthfd2,-2.4300094,-0.9989517,0.015098435195551037,0.04817657685600955,0.026362038664323375,0.08660815092690388,0.022903785,0.045262568
Gm5148,-2.4307737,-1.8034848,0.015066624972862395,0.04808078539439579,0.012302284710017574,0.07211275813089559,0.009503604,0.032788232
Cfap299,-2.4313965,-1.3194814,0.015040741142200234,0.04800958832156335,0.022847100175746926,0.08252904541646938,0.018771142,0.04620666
Zfp873,-2.4336398,-0.4238086,0.014947861760683589,0.047735802889180896,0.033391915641476276,0.09451141785337072,0.033998404,0.045347895
Sord,-2.435048,-0.7835775,0.014889813256764296,0.04756738582918281,0.028119507908611598,0.08857486251229195,0.025618209,0.043699846
Zfp94,-2.4356134,-0.7056091,0.01486656347526819,0.04749875868970943,0.01757469244288225,0.07764868703791383,0.022468941,0.03638768
4930590L20Rik,-2.4377832,-1.2672716,0.01477762838670036,0.04723707765294297,0.01757469244288225,0.07753942528317005,0.015024321,0.035789315
Zfp82,-2.43821,-0.86440825,0.014760197016028273,0.04719073016319591,0.0210896309314587,0.0812907455293732,0.020772377,0.03750148
Nif3l1,-2.4396627,-0.26853132,0.014700980623416057,0.04700884795325353,0.03866432337434095,0.10070291728885165,0.041727472,0.050053764
Acsf3,-2.4398642,-1.9385906,0.014692781578991215,0.0469882219742316,0.0210896309314587,0.08078085734056889,0.009785492,0.037001833
Spring1,-2.4400291,-1.4328867,0.014686076268184012,0.04697236868540702,0.015817223198594025,0.07586407837709874,0.01333768,0.035609577
