names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,mean_expr_Emx1_Control (for_DEGs),mean_expr_Emx1_Mutant (for_DEGs)
Pcdh9,9.74696,1.226758,1.900761924427138e-22,7.846345224035226e-20,0.776332899869961,1.7639147,2.5109339
Ptprd,7.6392126,1.0007055,2.18554506199318e-14,3.75913750662827e-12,0.7074122236671001,1.738443,2.340031
Dpp10,7.177099,1.1442648,7.120596799986292e-13,9.185569871982317e-11,0.5149544863459038,0.9794865,1.5424392
Naaladl2,7.1380005,2.1601954,9.469826104717137e-13,1.1497482988315394e-10,0.28998699609882966,0.22778533,0.7624085
Syt1,6.9129047,0.68721586,4.7482867457294065e-12,4.900231921592747e-10,0.7984395318595578,2.178507,2.6110036
Tenm2,6.5153503,0.8935925,7.252030301801358e-11,6.507908931703479e-09,0.6033810143042913,1.3515183,1.8436246
Csmd1,6.4439216,0.99660444,1.1642522714887713e-10,9.612066753411295e-09,0.5604681404421327,1.182514,1.7073802
App,5.6085515,0.6343315,2.0402678404741592e-08,1.2760947947692922e-06,0.694408322496749,1.7781405,2.1558366
Mef2c,5.576929,0.887531,2.448015051886184e-08,1.4860891373803186e-06,0.47464239271781533,0.945509,1.3640836
Tcf4,5.2313547,0.6630052,1.6827232997351788e-07,8.145788336518209e-06,0.5981794538361509,1.3727522,1.7342978
Meg3,5.229789,0.84539795,1.6970392367746268e-07,8.145788336518209e-06,0.5279583875162549,1.1471947,1.5814208
Nlgn1,5.1393666,0.72856265,2.7566633518130023e-07,1.2931257177595538e-05,0.6059817945383615,1.3980987,1.8000033
Lrrc4c,5.0713224,0.85087025,3.9506070048372664e-07,1.7349048634008763e-05,0.4577373211963589,0.9004731,1.2905052
Nrxn1,5.0428824,0.51839423,4.585710846508894e-07,1.8929814374388713e-05,0.7451235370611183,2.0366228,2.3557692
Lsamp,4.981658,0.59508485,6.304178693779364e-07,2.4614795528450076e-05,0.7334200260078023,2.0215752,2.3882594
Kcnip4,4.9761014,0.68694586,6.487770183224096e-07,2.4797699366989878e-05,0.647594278283485,1.6822067,2.0853076
Fgf14,4.879163,0.83060443,1.0653719206594503e-06,3.791254559036388e-05,0.48634590377113135,1.0336914,1.4401884
Atp2a2,4.6115837,0.69527787,3.9961290620223705e-06,0.000119536382377017,0.48634590377113135,1.0213746,1.3551459
Cadm2,4.5807695,0.5759476,4.632686293092859e-06,0.00013467414801329101,0.6488946684005201,1.6756874,2.0113149
Opcml,4.57299,0.6983713,4.808131641066657e-06,0.00013783310704391084,0.52925877763329,1.1677346,1.524693
Snhg11,4.544297,0.7949176,5.511880941908878e-06,0.00015584277074109486,0.4226267880364109,0.8457901,1.1961032
Fut9,4.5069666,1.2990028,6.576098109144138e-06,0.00017970128795990117,0.2535760728218466,0.3186419,0.6540721
Nrg3,4.476455,0.66048235,7.58925085421684e-06,0.00020082325337312254,0.58777633289987,1.4498619,1.8175553
Slc8a1,4.435639,0.7812786,9.17995204122382e-06,0.00023984077231754386,0.4096228868660598,0.7944448,1.1265806
mt-Co3,4.371232,0.5115167,1.2354729432589731e-05,0.0003000019005748848,0.635890767230169,1.7255154,2.025447
Scn2a,4.3222327,0.68182755,1.544583013551769e-05,0.00036643900459435076,0.43953185955786733,0.8959452,1.2016157
mt-Nd2,4.316726,0.66389203,1.583602930323155e-05,0.00037142686911215817,0.47464239271781533,1.0612282,1.3848662
Nkain2,4.278537,0.71159,1.8812585727227346e-05,0.0004266942520988708,0.5188556566970091,1.2231463,1.5946816
Lars2,4.260705,0.57252884,2.037830921102552e-05,0.0004571829370821377,0.5461638491547465,1.2580332,1.5571591
Grm5,4.250299,0.52261454,2.1348549183923875e-05,0.0004738000593077299,0.6046814044213265,1.5044427,1.7967987
Adgrb3,4.237266,0.6703311,2.2625810968738416e-05,0.0004838277059076439,0.5201560468140443,1.1941872,1.5393795
Nrg1,4.2361546,0.9064535,2.2738026876473576e-05,0.0004838277059076439,0.34460338101430427,0.6328285,0.97644085
Mir99ahg,3.9868116,1.2778076,6.696717955014808e-05,0.0012680757668945472,0.23016905071521457,0.30855116,0.62936115
Grin2b,3.9127562,0.47246608,9.124863160892466e-05,0.0016097194499215429,0.6085825747724317,1.4929489,1.7556276
Pcdh7,3.727517,0.8769593,0.0001933755343161463,0.0031676754192740157,0.305591677503251,0.5153456,0.80567175
Arpp21,3.6692224,0.77896863,0.000243289327499813,0.003862685938150877,0.33159947984395316,0.6014796,0.8818257
Dlgap1,3.6240618,0.5048791,0.0002900122127103318,0.0044009344687341275,0.5591677503250976,1.346508,1.6165354
Gpm6a,3.6029465,0.39263228,0.0003146303206579029,0.004705775230709504,0.6488946684005201,1.7315899,1.9606552
Cadps,3.5824878,0.7763347,0.0003403374783328584,0.005053644282582877,0.3159947984395319,0.57535523,0.84678215
Erbb4,3.5772848,0.87577224,0.00034718188928412004,0.005079610540426917,0.2951885565669701,0.5469507,0.848367
Il1rapl1,3.5755672,0.5681851,0.0003494693298161929,0.005079610540426917,0.46423927178153446,1.0621976,1.336646
Dcc,3.5722837,0.8292487,0.00035388166399671916,0.005107774506917681,0.30039011703511054,0.5353568,0.8145009
Grm7,3.5288408,0.6473562,0.0004173843263280779,0.005860416663545257,0.3953185955786736,0.8396223,1.118562
Ctnnd2,3.5103521,0.6805774,0.000447513657071916,0.006157787921309564,0.35240572171651496,0.70059526,0.96574587
Sv2b,3.504745,0.7757245,0.0004570449437289052,0.006247289826863975,0.3081924577373212,0.5574489,0.82310116
mt-Co1,3.438772,0.47922498,0.0005843590143845503,0.007445166701788345,0.5500650195058517,1.3858451,1.6447035
Frmd4a,3.396895,0.9792872,0.000681551220228269,0.008379528457852083,0.23667100130039012,0.37586844,0.64159274
Kif1b,3.396693,0.5581899,0.0006820546419181929,0.008379528457852083,0.4616384915474642,1.0024948,1.2641352
Tenm3,3.3850238,1.0571722,0.0007117205930068338,0.008641125317447677,0.2223667100130039,0.32467672,0.5867743
Sv2a,3.3752239,0.70346636,0.000737556468710808,0.008902435973211158,0.3250975292587776,0.5945635,0.8427138
Grip1,3.313545,1.125332,0.0009212132246119605,0.010504884506072301,0.20026007802340703,0.27078456,0.5178622
Dmd,3.2328215,0.6730697,0.0012257409148667864,0.013675293233973226,0.3328998699609883,0.65772533,0.9096616
Hs6st3,3.2184753,0.90591985,0.0012887408724096647,0.014148729577944405,0.25097529258777634,0.43776453,0.70760864
Magi2,3.2139795,0.6224042,0.0013090906123989787,0.014296100656039642,0.3693107932379714,0.8099183,1.0718555
Cntn5,3.1898837,0.8635844,0.0014233008077244962,0.015300483683038334,0.25097529258777634,0.42974678,0.6815097
Sgcd,3.160989,1.3343526,0.0015723445907562677,0.016308136860909227,0.16644993498049415,0.19491181,0.43350998
Lrfn5,3.1368427,0.617619,0.0017077772998794762,0.017278687975251172,0.3433029908972692,0.6885425,0.9243552
Slc4a10,3.1322963,0.6938396,0.0017344472457311122,0.017459061355394306,0.29128738621586475,0.53270745,0.7598855
Macrod2,3.1309323,0.6628994,0.0017425225965170673,0.017459061355394306,0.3211963589076723,0.6343478,0.8764854
Anks1b,3.1249716,0.51868117,0.0017782221706008855,0.0177063098706692,0.4408322496749025,0.97576904,1.2144549
Bpnt2,3.122547,1.2204928,0.0017929354471753211,0.0177063098706692,0.18205461638491546,0.21708603,0.4478695
Snhg14,3.1195664,0.7002139,0.0018111737928517384,0.017801250992599944,0.30299089726918077,0.5683876,0.80808586
Etl4,3.1159294,0.94377786,0.0018336617030247227,0.017907377190105624,0.2223667100130039,0.35162464,0.59362465
Atp8a1,3.0935512,0.8384997,0.001977764507517053,0.01898653927216371,0.24187256176853056,0.3850102,0.6096494
Kcnq5,3.0905201,0.7683699,0.001998061819738268,0.01901754141862395,0.270481144343303,0.49716341,0.7405271
Celf2,3.0837512,0.3751268,0.0020440845593452384,0.019264796942870192,0.6853055916775033,1.8783629,2.1027582
Sgcz,3.0709202,0.8534064,0.0021340007166189712,0.019930214837563607,0.24577373211963588,0.43523908,0.6857627
Syt11,3.0476832,0.40265244,0.002306127905179473,0.021061274319869167,0.5422626788036411,1.3305811,1.5431408
Cntn1,2.9856002,0.48059842,0.0028302243051987488,0.02466839270330609,0.41612483745123535,0.9047017,1.116056
Tmeff2,2.9774673,0.65460855,0.0029064072457553286,0.024995102313495825,0.31859557867360205,0.64374655,0.8847738
Gria3,2.9569075,0.51159304,0.0031074129334868676,0.026393828373320553,0.3836150845253576,0.8118018,1.0241854
Tmem178b,2.9519064,0.9127873,0.0031581852113194693,0.026515288602863115,0.21846553966189858,0.32133335,0.53852063
