names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,mean_expr_Nestin_Control (for_DEGs),mean_expr_Nestin_Mutant (for_DEGs)
Mbp,-2.3136287,-0.4436734,0.02068810002478577,0.049154247669267966,0.7103139013452915,2.6336968,2.3516953
Srgap1,-2.3157132,-0.2528703,0.020573932011851565,0.04890524822489306,0.5596412556053811,1.1913496,1.072645
Sugp1,-2.3157794,-0.41134334,0.020570316645738336,0.04890524822489306,0.09506726457399103,0.18361673,0.14111233
Mat2b,-2.3185918,-0.6566167,0.02041717481905421,0.048599020773124925,0.07085201793721974,0.16002963,0.10444218
Phtf2,-2.3215036,-0.37998626,0.020259676632846002,0.0482681478883871,0.1273542600896861,0.24057221,0.18979286
Ago2,-2.3217683,-0.266894,0.020245411317497693,0.048256185880062995,0.15874439461883408,0.27568185,0.23413669
Avl9,-2.3231912,-0.38422555,0.02016888529959325,0.048117724526451904,0.13632286995515694,0.25108838,0.19777559
Zbtb37,-2.3234558,-0.31643808,0.02015467578323387,0.0481058105114224,0.13811659192825113,0.25451538,0.20924999
Nt5dc3,-2.3239522,-0.4700445,0.020128056484557368,0.048064251989656664,0.08609865470852018,0.17655313,0.13050663
Psma2,-2.3244486,-0.60386294,0.020101467871734658,0.0480227287370503,0.07713004484304933,0.15790738,0.10665851
Sgip1,-2.327294,-0.2776854,0.019949617363227194,0.0476817777637573,0.5721973094170404,1.190284,1.0603613
Dnajc24,-2.3274264,-0.32673973,0.019942578984437673,0.0476817777637573,0.16860986547085202,0.31084117,0.2551746
Arl2bp,-2.3277905,-0.29625893,0.019923234618747173,0.047662366961439155,0.14439461883408072,0.25962707,0.21625145
Zfp101,-2.3288825,-0.41879782,0.0198652997715337,0.047545559288127426,0.10852017937219731,0.20377216,0.15621096
Acat1,-2.3289154,-0.2969921,0.01986354646855233,0.047545559288127426,0.13632286995515694,0.25516838,0.21236359
Zfp277,-2.3290477,-0.2615039,0.019856534607579884,0.047545559288127426,0.17757847533632287,0.3198661,0.27342054
Ctbp1,-2.329544,-0.42225298,0.0198302593719494,0.047527067916242366,0.09506726457399103,0.18559447,0.14166218
2810403D21Rik,-2.3314962,-0.6593022,0.01972720441985605,0.04730179470447799,0.07623318385650224,0.17273273,0.11278026
Zbtb44,-2.3315957,-0.32323056,0.019721976855405134,0.04730179470447799,0.13004484304932734,0.24408565,0.19964021
Sanbr,-2.3327868,-0.2527973,0.019659340377516172,0.04722584296853862,0.19551569506726457,0.34609053,0.29792657
Pik3c3,-2.3338788,-0.3199586,0.01960207630313253,0.047131662046223766,0.13991031390134528,0.25638613,0.2103587
Vps53,-2.333978,-0.38730115,0.019596877709787866,0.047131662046223766,0.10762331838565023,0.20503454,0.1604071
Hnrnpf,-2.3346398,-0.50914425,0.019562251185850598,0.04707927671283547,0.08609865470852018,0.17445445,0.12568116
Tmem62,-2.3353014,-0.5362426,0.019527678117967493,0.047046869488913366,0.08340807174887892,0.17144397,0.12129748
