names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_Immature GC (for_DEGs),mean_expr_Rest (for_DEGs)
Rfx3,31.48979,2.5932558,1.1985168278427615e-217,3.2204147164135e-213,1.0,0.7903208225847473,3.093431,1.5015576
Glis3,30.385088,3.3778517,8.646496742948143e-203,1.1616568374150831e-198,0.974155069582505,0.32245758093231114,1.9398682,0.453068
Ppfia2,29.862906,1.8049709,5.968967049914762e-196,5.346204821040321e-192,1.0,0.8422047015223632,3.186079,2.0330875
Dgkh,29.639694,2.3765569,4.604887024886085e-193,3.0933328589672275e-189,0.9860834990059643,0.6665334447552955,2.278539,0.9885623
Sema5a,29.497099,2.960139,3.13640068069043e-191,1.685501725803037e-187,0.9821073558648111,0.42484467536242415,1.9803096,0.58916855
Ahcyl2,29.33001,2.2591848,4.2985493739808776e-189,1.9250336946477697e-185,0.9960238568588469,0.7412346037859245,2.4865086,1.194469
Trpm3,28.816711,2.914653,1.3245880905308096e-182,5.08452599893755e-179,1.0,0.6801947462122588,3.1562183,1.3816462
Stxbp6,28.704422,2.8093083,3.359929871474865e-181,1.1285164455816203e-177,0.9721669980119284,0.45489227191803216,1.9602531,0.6261585
Ccdc85a,28.190092,2.0877185,7.734722945597955e-175,2.309244506091301e-171,0.9920477137176938,0.6867347309522944,2.2306032,1.0831199
Slc4a4,27.646313,2.714301,3.090688977665027e-168,8.10994967223029e-165,0.9801192842942346,0.4980561712022672,2.1099727,0.7440396
Prox1,27.643726,2.8374789,3.3200389428557196e-168,8.10994967223029e-165,0.9224652087475149,0.29691530719761655,1.3525475,0.33729017
Zbtb20,27.490894,2.2171204,2.255894278770787e-166,5.0513232725475875e-163,1.0,0.8651309813610435,3.736305,2.2829478
Il1rap,27.381872,2.1662462,4.509113715872664e-165,9.319991195807575e-162,0.9801192842942346,0.6331068560840025,2.0140076,0.89471245
Maml2,27.185568,2.5935075,9.621297585646405e-163,1.8466019009022779e-159,0.9900596421471173,0.5326454238273444,2.1367712,0.8055731
Synpr,27.032969,2.5499961,6.057500752300578e-161,1.085100301428777e-157,0.9920477137176938,0.5371144133997021,2.1851368,0.85338676
Btbd9,27.024769,1.775348,7.562768068242515e-161,1.2700723624604775e-157,0.9920477137176938,0.7533335755549904,2.196679,1.2046369
Jph1,26.882605,2.117372,3.508472592151764e-159,5.545450503006936e-156,0.9662027833001988,0.5663990117356393,1.5877545,0.6403522
Adarb2,26.85033,2.7856004,8.360200084322325e-159,1.247992090365227e-155,0.9980119284294234,0.5738836609381245,2.639095,1.0596744
Zfpm2,26.710999,2.3413968,3.507400124859274e-157,4.9602021765772995e-154,0.9960238568588469,0.6667877774951858,2.597125,1.2388651
Dock10,26.514784,2.5500748,6.5461467326073605e-155,8.794748135257988e-152,0.9940357852882704,0.5839843040366239,2.4277048,1.0167851
Plxna4,26.266262,1.8069334,4.6606645622356755e-152,5.96343127558441e-149,0.9980119284294234,0.7404352723176979,2.4070454,1.3576072
Trpc6,26.164244,2.7972863,6.786110365488073e-151,8.28830843275748e-148,0.8846918489065606,0.3157722631980525,1.3813577,0.35679218
Prkd1,25.744207,2.2723439,3.7427154722633097e-146,4.372468032161527e-143,0.9463220675944334,0.4978018384623769,1.6039009,0.60007674
