names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_CA1 (for_DEGs),mean_expr_Rest (for_DEGs)
Cacnb2,65.28662,2.438309,0.0,0.0,0.9965601965601966,0.7635335308375977,3.1267452,1.6138339
Pex5l,62.6,2.6387136,0.0,0.0,0.9965601965601966,0.7619560617136701,3.2111099,1.5733263
Gm2164,60.496193,3.5589323,0.0,0.0,0.9297297297297298,0.2580508637605325,1.5606278,0.27701986
Gm10754,60.33105,3.472549,0.0,0.0,0.9248157248157248,0.2725943595860105,1.4101902,0.24605773
Galntl6,60.134537,3.1620655,0.0,0.0,0.9975429975429976,0.7981993767073218,3.8665588,1.8287152
Hs6st3,60.029724,2.7346058,0.0,0.0,0.9936117936117936,0.7777692278096264,3.605167,1.8526791
Ryr3,59.133125,2.3170118,0.0,0.0,1.0,0.6963179562156131,2.713015,1.3414311
Cntnap2,57.913692,2.2081602,0.0,0.0,0.9995085995085995,0.9074294948251318,4.1514583,2.6763067
Grin2a,57.900463,2.0257778,0.0,0.0,1.0,0.8214381901427417,3.4515123,2.1402678
Iqgap2,57.51672,2.618607,0.0,0.0,0.9837837837837838,0.5165249509445577,1.9538298,0.686129
Arl15,57.45028,1.9990127,0.0,0.0,0.9970515970515971,0.742333884806279,2.422003,1.2722462
Cadps2,57.001648,2.6385574,0.0,0.0,0.9886977886977887,0.514177984687007,1.9913582,0.7010167
Trpc4,56.27909,2.4125886,0.0,0.0,0.9832923832923833,0.5066753876341811,1.7194711,0.620849
Dmd,56.13928,1.643639,0.0,0.0,1.0,0.8641068062021469,3.2642763,2.203073
Cttnbp2,55.941624,1.7116343,0.0,0.0,1.0,0.8001615943980609,2.7668214,1.7140847
Atp2b1,55.900906,1.6458021,0.0,0.0,1.0,0.8901927590319726,2.9809928,1.9427993
Ctxnd1,55.65543,3.536004,0.0,0.0,0.8476658476658476,0.2038782655534608,1.1197089,0.16376226
St6galnac5,55.60909,2.0411468,0.0,0.0,0.9965601965601966,0.6977800007694971,2.4330277,1.2599565
Epha6,55.272053,2.1557765,0.0,0.0,0.9995085995085995,0.8764187603401178,3.8778133,2.452627
Grin2b,55.130707,1.3809432,0.0,0.0,1.0,0.8759570620599438,3.313203,2.4127536
Cpne8,54.970024,2.612324,0.0,0.0,0.9341523341523341,0.3927513370012697,1.4056873,0.40774053
Gria1,54.944542,1.8813573,0.0,0.0,0.999017199017199,0.8370205070986111,3.383361,2.1664746
Runx2,54.618336,2.3299975,0.0,0.0,0.9562653562653562,0.48012773652418145,1.4388081,0.4944184
Cnksr2,54.21847,1.6697257,0.0,0.0,0.9995085995085995,0.8494478858066253,3.2116053,2.1384802
Entrep2,54.200226,1.971825,0.0,0.0,0.9980343980343981,0.6598053172251933,2.110915,1.047221
Ppm1e,54.18409,1.7001455,0.0,0.0,0.9985257985257985,0.7942749413258435,2.621351,1.5943637
Hcn1,53.44413,2.0808141,0.0,0.0,0.999017199017199,0.7282520872609749,2.6998327,1.4540249
Slc8a1,53.314335,1.6398379,0.0,0.0,1.0,0.8661074987495672,3.2333202,2.1768093
Msra,53.28998,1.8267877,0.0,0.0,0.9985257985257985,0.7198260936478011,2.3415034,1.2944218
Sema3e,51.582012,2.4830158,0.0,0.0,0.9272727272727272,0.3992151129237044,1.4373033,0.4536549
Ndst3,51.251987,2.4477053,0.0,0.0,0.9366093366093367,0.4387287907352545,1.5393027,0.51350063
Kcnn2,51.235245,2.0318131,0.0,0.0,0.9872235872235873,0.6152514331884114,1.8569102,0.84222144
Sh3rf1,50.91486,2.0625534,0.0,0.0,0.9552825552825552,0.5236427994305721,1.4321452,0.5670755
Kcnd2,50.842873,1.5850261,0.0,0.0,1.0,0.9054672771343927,3.84183,2.7851894
Man1a,50.39252,2.397309,0.0,0.0,0.9597051597051597,0.5253356931245431,1.9064521,0.73596865
Mical2,49.82204,1.6977527,0.0,0.0,0.9896805896805897,0.6663075680043092,1.8191351,0.9526857
Prkcb,49.697468,1.6467379,0.0,0.0,0.999017199017199,0.7811550151975684,2.3977509,1.4334382
Ralyl,49.54027,1.5893663,0.0,0.0,1.0,0.8435612327344081,3.19829,2.1754785
Adgrb3,49.41546,1.1935089,0.0,0.0,1.0,0.9307067831172329,3.9675677,3.1643434
