names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_PV (for_DEGs),mean_expr_Rest (for_DEGs)
Erbb4,36.496216,5.3743296,1.2734039276230837e-291,3.421636353523226e-287,1.0,0.7144672354329279,4.989922,1.5080712
Kcnc2,36.225506,4.6952796,2.415704609018365e-287,3.2454991422161734e-283,0.997920997920998,0.5957161009257579,3.809863,0.99470687
Nxph1,34.68178,5.167314,1.4829539391575129e-263,1.3282324115054125e-259,0.9958419958419958,0.41201669994554363,3.5872135,0.68193
Grip1,34.573883,3.2031684,6.239239776796608e-262,4.191209320063122e-258,1.0,0.775785078961699,3.6309848,1.607499
Kcnmb2,34.386284,4.6682305,4.0428104978868045e-259,2.1726063615643687e-255,0.9833679833679834,0.24447268106734435,2.278486,0.29609865
Rbms3,33.883743,3.8161657,1.1563372417918075e-251,5.178463614490978e-248,0.9937629937629938,0.5022690143401707,2.6039028,0.63582873
Cntnap4,33.279724,4.1846447,7.587408053450262e-243,2.9124807770886932e-239,0.9708939708939709,0.34020693410782354,2.3182173,0.40785566
Elavl2,32.663174,3.1289494,5.209664334357931e-234,1.74979600830247e-230,0.9875259875259875,0.5338536939553458,2.258329,0.6827542
Fgf12,32.526188,2.238598,4.547171508429903e-232,1.3575833159056832e-228,1.0,0.8517698311853331,3.6064663,2.150979
Abtb3,31.886072,4.8107214,4.165020628345682e-223,1.1191410428364846e-219,0.8981288981288982,0.14369214013432566,1.5108601,0.118493944
Alk,31.705055,4.087753,1.3234279017810917e-220,3.232773429168903e-217,0.9376299376299376,0.2281357778181158,1.7267417,0.2404693
Gabrg3,31.213224,3.0710094,7.048822286743606e-214,1.578348790373339e-210,0.9792099792099792,0.64694136866945,2.9663796,1.1606772
Gm13629,31.106861,4.4066815,1.945262464508711e-212,4.0207078785653126e-209,0.8794178794178794,0.16409511708113994,1.2529918,0.11145741
Gria4,31.088419,2.5813305,3.453770654839572e-212,6.628772678252808e-209,0.997920997920998,0.7875113450717008,3.2801604,1.6627958
Galntl6,30.774834,3.2728343,5.691417923661777e-208,1.019522664058613e-204,1.0,0.8094027954256671,4.070768,1.9401226
Snhg11,30.272686,1.9481632,2.6240321752886324e-201,4.406734034375347e-198,1.0,0.8243964421855147,3.4354856,2.1732059
Meg3,30.2583,2.0228126,4.057473151474204e-201,6.413194328241874e-198,1.0,0.9117081139952804,4.595223,3.2235818
Xkr4,29.8609,1.7004796,6.337881136372067e-196,9.461048118573192e-193,0.997920997920998,0.8581593755672536,3.337181,2.2354224
Osbpl3,29.769154,3.132437,9.800425246555074e-195,1.3859864546049202e-191,0.9106029106029107,0.3413323652205482,1.34284,0.27968377
Klf12,29.680803,2.3732786,1.3586287519080444e-193,1.8253177281884576e-190,0.9896049896049897,0.7106189871119986,2.3735998,1.0574778
Spock3,29.550682,2.7775455,6.435828614104989e-192,8.234795945761956e-189,0.9833679833679834,0.5638409874750409,2.2603095,0.8119043
Cntnap3,29.444918,3.815228,1.4624227681062437e-190,1.7861499899552168e-187,0.8835758835758836,0.19771283354510802,1.3221912,0.17854372
Dlx6os1,29.331844,3.6903887,4.073192840648191e-189,4.7585518099224735e-186,0.9397089397089398,0.26665456525685244,1.9310489,0.37621927
Ptprm,29.252745,3.5120409,4.143554643630393e-188,4.639054719764528e-185,0.9397089397089398,0.3703757487747323,2.141144,0.50573766
Esrrg,28.915121,2.7788537,7.707658350974451e-184,8.284191195627339e-181,0.9355509355509356,0.5182065710655291,1.8198756,0.5615942
Cit,28.772997,2.8369353,4.671018680200688e-182,4.8273181514227874e-179,0.9230769230769231,0.4254129606099111,1.5642126,0.42454007
Cntnap2,28.673645,2.3627279,8.133190508316495e-181,8.094030702165341e-178,1.0,0.9126157197313487,4.341401,2.7562144
Cacna2d2,28.570768,4.2075586,1.551020321865251e-179,1.4884255731614032e-176,0.8191268191268192,0.13686694499909238,1.016599,0.091178775
Scn1a,28.031437,1.9451376,6.72668631668104e-173,6.232622804455845e-170,0.975051975051975,0.6776547467779996,1.9512991,0.94311154
Hcn1,27.890022,2.153274,3.5255759823447175e-171,3.1577408881867523e-168,0.9958419958419958,0.7435832274459975,2.8292212,1.5220507
Sox6,27.780409,3.4566545,7.48182569092429e-170,6.4850534295205065e-167,0.9251559251559252,0.2981666364131421,1.9698935,0.44595477
Slc6a1,27.746216,2.9452558,1.9356554970418285e-169,1.6253457251723105e-166,0.9085239085239085,0.30245053548738426,1.2895299,0.29386687
Gad1,27.553646,3.14364,4.001855305307458e-167,3.2584803652609518e-164,0.8711018711018711,0.25460156108186605,1.1953193,0.2317277
Gm56750,27.234339,3.6533546,2.5475877623015557e-163,2.013343622736553e-160,0.8212058212058212,0.16630967507714647,1.0819681,0.14411278
Frmd5,26.815037,2.08759,2.1580084171484396e-158,1.6567338905365306e-155,0.9937629937629938,0.7343256489381013,2.5687792,1.3441756
Snhg14,26.527803,1.5125899,4.632584438287274e-155,3.3642579420751095e-152,0.9958419958419958,0.8124886549282991,2.9332683,1.9788895
Dlgap1,26.417654,1.4044088,8.590394911349877e-154,6.041314353499253e-151,0.997920997920998,0.9170811399528045,3.8580058,2.9187293
5330434G04Rik,26.416878,1.9695112,8.76856195707e-154,6.041314353499253e-151,0.972972972972973,0.6388455255037212,1.8150312,0.838446
Kazn,26.395353,2.2851543,1.5492893839859725e-153,1.040735143692577e-150,0.9542619542619543,0.5667090216010165,1.7236856,0.66516274
Kcnc1,26.376888,2.8144102,2.5235986164571265e-153,1.6538803615659267e-150,0.8523908523908524,0.38896351424941006,1.2440591,0.3009107
Unc5d,26.278875,2.6378067,3.344396184668094e-152,2.139617273381707e-149,0.9875259875259875,0.6315120711562897,2.6984453,1.1713612
Dlgap2,26.249407,1.6449542,7.260125902670153e-152,4.536734488482489e-149,1.0,0.8086767108368125,3.1614504,2.107553
Gpr176,26.224401,3.2006733,1.4004521790321316e-151,8.552306829680313e-149,0.814968814968815,0.30183336358685786,1.1265674,0.20439857
Nrxn3,26.015276,1.8427877,3.3266090504382504e-149,1.986355226339462e-146,1.0,0.9277545834089671,4.325583,3.0818956
Grik1,25.988518,3.2108057,6.677452695465409e-149,3.9005033462425114e-146,0.9230769230769231,0.4918497004901071,2.3924387,0.72928923
Tmem44,25.973505,3.0275521,9.868758041369487e-149,5.64198996960847e-146,0.8232848232848233,0.27598475222363406,1.0742687,0.21222208
Peg3,25.837759,1.9090774,3.3400768602271466e-147,1.8697471923813214e-144,0.9417879417879418,0.6294790343074969,1.6064482,0.72322863
Kctd8,25.7775,3.2230153,1.5854228975209586e-146,8.693941480895542e-144,0.8357588357588358,0.2603376293338174,1.3933808,0.2809118
Thrb,25.60346,2.0474308,1.3960032919717874e-144,7.355021265741555e-142,0.9708939708939709,0.6872390633508804,2.2236323,1.0964699
Ptchd4,25.566437,2.4820113,3.6050174131054343e-144,1.862823420964289e-141,0.9334719334719335,0.4603739335632601,1.6734655,0.5738881
Astn2,25.563654,2.3804529,3.8712370180771024e-144,1.9626441259572026e-141,0.9625779625779626,0.6281720820475586,2.3259528,1.0202341
Rian,25.558302,1.6462568,4.4397105108063696e-144,2.209167063432725e-141,0.9916839916839917,0.7565438373570521,2.5411165,1.5551531
Rnf144b,25.324507,3.4423187,1.716128897678103e-141,8.384069723747386e-139,0.7692307692307693,0.18438918133962606,0.874515,0.12096124
Vwc2,25.30016,3.7813187,3.181411615342288e-141,1.5265094661472727e-138,0.760914760914761,0.150372118351788,1.0676132,0.12997389
Nhs,25.276323,2.909668,5.818456276122438e-141,2.7428407042001735e-138,0.8316008316008316,0.2598656743510619,1.126526,0.24486965
Kcnip1,25.201265,3.115359,3.8798247083208325e-140,1.7974291364238062e-137,0.814968814968815,0.22120166999455437,1.1359353,0.21829407
Maf,24.978,2.8592253,1.0602679264813892e-137,4.828711726195751e-135,0.8336798336798337,0.21771646396805228,1.1062694,0.24592388
Lrrc4c,24.915787,1.71571,5.01804553327012e-137,2.2104079258847234e-134,0.9958419958419958,0.9130876747141042,3.7382274,2.6019235
Enox1,24.864937,1.6307111,1.7827556241807275e-136,7.726232842215509e-134,0.9916839916839917,0.7815574514430931,2.544086,1.5662059
Limch1,24.769705,1.76306,1.9018575792658205e-135,8.111573516646444e-133,0.9771309771309772,0.7259030677073879,2.0171244,1.0715705
Cemip,24.59543,2.9804063,1.4137023454254606e-133,5.935340940872208e-131,0.8024948024948025,0.3377019422762752,1.2769973,0.28341192
Zfp536,24.475899,2.3707335,2.6678955914582854e-132,1.1028669929612943e-129,0.9542619542619543,0.46799782174623344,1.7777435,0.668133
Ank1,24.26206,2.9025002,4.932776370676129e-130,2.008237895152539e-127,0.7754677754677755,0.2727899800326738,0.9037435,0.1793511
Myo16,24.181988,2.2565408,3.442222199380978e-129,1.3804852313039832e-126,0.8814968814968815,0.477473225630786,1.4216107,0.5055573
Rcan2,24.039047,2.3277078,1.086752460991646e-127,4.2942703863008133e-125,0.8586278586278586,0.35792339807587586,1.0730681,0.32449326
