names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Control (for_DEGs),mean_expr_Mutant (for_DEGs)
Tenm2,8.2330065,0.6906246,1.825720743552271e-16,6.138073139822735e-13,1.0,1.0,3.2795062,3.7437863
Frmpd4,7.663939,0.6965913,1.803157655804993e-14,4.5466620291122895e-11,1.0,0.9943502824858758,2.3989387,2.8463788
Grik4,7.578948,0.8174597,3.48367522530479e-14,6.312351643395665e-11,0.9328859060402684,0.8785310734463276,1.0177618,1.4143898
Dab1,7.379069,0.29315272,1.5940017359595243e-13,2.00963768861097e-10,1.0,1.0,3.5031579,3.7008057
Shisa9,6.7985797,0.5622618,1.0565564632318085e-11,8.19725268319694e-09,1.0,0.9858757062146892,2.023471,2.3695962
Nlgn1,6.727362,0.29394233,1.7276640576837735e-11,1.24465854898561e-08,1.0,1.0,3.5234268,3.7217197
Tenm4,6.6887302,1.0918318,2.251156060727333e-11,1.5136773352330586e-08,0.8456375838926175,0.748587570621469,0.7633781,1.2359353
Naaladl2,6.409907,0.70468235,1.4560847331123549e-10,7.729510851669059e-08,0.9932885906040269,0.9576271186440678,1.5681914,1.9726733
Dcc,6.189536,0.5532302,6.034158655927747e-10,2.646109747986403e-07,0.9932885906040269,0.9971751412429378,2.379499,2.7330327
Rbfox1,5.914408,0.2684403,3.330710421318192e-09,1.2646807775640939e-06,1.0,1.0,3.574806,3.756104
Kctd16,5.8626747,0.42913467,4.554699571220518e-09,1.3511382316273572e-06,1.0,0.9971751412429378,2.5830336,2.8608577
Grik2,5.7575283,0.24662817,8.535452106438973e-09,2.2654886827774598e-06,1.0,1.0,3.175564,3.3399277
Xkr4,5.673881,0.30208388,1.3959790449867639e-08,3.434108450667439e-06,0.9798657718120806,0.9943502824858758,2.3453224,2.5364425
Dpp10,5.668506,0.6573973,1.4404771965108591e-08,3.459203096192506e-06,0.9463087248322147,0.9152542372881356,1.3233902,1.676549
Ptprd,5.5764613,0.2832086,2.4546068201752566e-08,5.626628270065372e-06,1.0,1.0,3.719786,3.9117613
Schip1,5.5049076,0.42780468,3.693615731871151e-08,7.450761654330486e-06,0.9932885906040269,0.9915254237288136,2.0943656,2.3587856
Fgf12,5.309396,0.43191713,1.0998930197135347e-07,2.0543557401538354e-05,0.9932885906040269,0.9689265536723164,1.8357486,2.0929914
Ncam2,5.14143,0.35115308,2.7265522755748194e-07,4.36508035737264e-05,1.0,0.9971751412429378,2.7315884,2.9608212
Slit2,5.047369,0.9868123,4.479351955445921e-07,6.743096092929486e-05,0.738255033557047,0.6101694915254238,0.55284923,0.9013645
St6galnac3,5.0208306,0.509659,5.144850871886706e-07,7.186046183960235e-05,0.9798657718120806,0.943502824858757,1.7362411,2.0356517
A230006K03Rik,5.0161276,1.013627,5.272332119899439e-07,7.186046183960235e-05,0.6912751677852349,0.536723163841808,0.48274606,0.8121801
Car10,4.9375196,0.7993522,7.912243659335906e-07,0.00010101631588362272,0.8523489932885906,0.7796610169491526,1.0339522,1.424008
Slit3,4.839092,0.29361778,1.3043382542926694e-06,0.00014949495037268028,0.9932885906040269,0.9943502824858758,2.567231,2.7565172
Pcsk5,4.7557807,0.68519783,1.9768090938398744e-06,0.00020691911840930795,0.8456375838926175,0.7937853107344632,0.87435967,1.1776738
Itga8,4.754437,0.5166361,1.9900014362188053e-06,0.00020691911840930795,0.9865771812080537,0.9293785310734464,1.4479977,1.7327285
Trpm3,4.717149,0.36082935,2.3917293985030537e-06,0.0002461528848296102,1.0,1.0,3.0851438,3.3250818
Arpp21,4.6681027,0.36383674,3.0399398770541483e-06,0.00029767799611619554,1.0,0.980225988700565,1.9021331,2.1204898
Pde1a,4.6644073,0.66335446,3.095076264773784e-06,0.0003001628769856576,0.8456375838926175,0.788135593220339,0.8591629,1.1492383
Mir99ahg,4.637869,0.37349477,3.520200378908526e-06,0.00033814039068258466,1.0,0.9943502824858758,2.2561758,2.4908788
Msra,4.633166,0.4304691,3.6011588775964477e-06,0.0003426536645229979,0.9932885906040269,0.963276836158192,1.5189726,1.7592123
Col25a1,4.500137,0.6347167,6.790968928885151e-06,0.0006008220404976809,0.8590604026845637,0.7853107344632768,0.8412141,1.1145518
Gm26871,4.446724,0.28901935,8.718979221501713e-06,0.0007267737556038535,1.0,0.9943502824858758,2.1544185,2.3334732
Sgcz,4.4346304,0.6652638,9.223040211547657e-06,0.0007501901901102393,0.8926174496644296,0.7768361581920904,1.0499007,1.3725803
Adarb2,4.4027166,0.3108451,1.0690364042741931e-05,0.0008423672791804306,1.0,0.9971751412429378,2.5796561,2.7803152
Prickle2,4.377522,0.4178951,1.2003624069301209e-05,0.0009312965566382461,0.9865771812080537,0.9689265536723164,1.7559122,2.0011587
Prr16,4.369124,0.77732426,1.2474607781131033e-05,0.0009531734400036938,0.7785234899328859,0.672316384180791,0.7643112,1.0874778
Zfpm2,4.340234,0.27951786,1.4233130866880933e-05,0.0010202671835844769,1.0,0.9943502824858758,2.5438604,2.7236743
Cntnap5a,4.284805,0.3494049,1.8289958001139664e-05,0.001246435921618207,1.0,0.9971751412429378,2.3296733,2.5507064
Nbea,4.191752,0.1736554,2.7680855074545254e-05,0.0017023725870845329,1.0,1.0,2.9895775,3.1042244
Slc44a1,4.139683,0.42158562,3.477867001600231e-05,0.002027616565210401,0.959731543624161,0.923728813559322,1.2102038,1.4238719
Rapgef4,4.1292686,0.41887087,3.63918882509111e-05,0.002091605464587228,0.959731543624161,0.9322033898305084,1.226682,1.440249
Fgf14,4.1259093,0.17481811,3.692726345370786e-05,0.0020924066246859408,1.0,1.0,3.545046,3.662921
Cadm1,4.089293,0.2544854,4.326902411264284e-05,0.0023462977268823427,0.9932885906040269,0.9915254237288136,2.21618,2.374787
Meg3,4.08291,0.30771413,4.44752162226995e-05,0.0023746257145766028,1.0,1.0,2.5158672,2.7135174
Thsd7a,3.995232,0.34165445,6.463090813884778e-05,0.0031954281347471507,0.9932885906040269,0.9745762711864406,1.8389477,2.041666
Cdh10,3.980451,0.49402776,6.878461272348924e-05,0.003319433511622548,0.87248322147651,0.8728813559322034,1.2308339,1.484783
Anks1b,3.9532406,0.19391459,7.709982116968828e-05,0.003600133316284611,1.0,1.0,2.8864233,3.0137951
Marchf1,3.9236786,0.33400646,8.720702501630573e-05,0.004016301617874245,0.9932885906040269,0.9858757062146892,2.1358607,2.3426566
Eml6,3.8900855,0.35214263,0.00010020888434217703,0.004532317522310303,0.9865771812080537,0.9661016949152542,1.6334009,1.8342775
Gfra1,3.8682501,0.5779417,0.00010961923831228102,0.004870571090826724,0.7248322147651006,0.6807909604519774,0.5787586,0.77473927
