names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Control (for_DEGs),mean_expr_Mutant (for_DEGs)
Naaladl2,16.211634,1.521427,4.173205290402091e-59,1.5787235613591111e-55,0.8918918918918919,0.7542213883677298,1.7297357,2.661508
Tenm2,12.243683,1.0399181,1.8160167630426128e-34,2.2899971381967346e-31,0.930298719772404,0.8405253283302064,2.18942,2.8509943
Dpp10,11.195882,0.9414365,4.2713267805063074e-29,4.039607302663841e-26,0.8733997155049786,0.8123827392120075,1.9605119,2.5432048
Ptprd,11.155575,0.7919458,6.725639814372098e-29,5.088619083553929e-26,0.9644381223328592,0.9212007504690432,2.6989346,3.2190368
Dlg2,9.059812,0.6465513,1.3067567512227903e-19,7.062086842679737e-17,0.9317211948790897,0.8930581613508443,2.5133638,2.9318275
Nrxn1,8.669059,0.6063471,4.357074550841258e-18,2.06035162822906e-15,0.918918918918919,0.8949343339587242,2.4237182,2.8131342
Pcdh9,8.559725,0.5953563,1.13137079642884e-17,4.755528580989225e-15,0.9487908961593172,0.9193245778611632,2.676307,3.0654318
Celf2,8.393914,0.44259968,4.702189454242659e-17,1.7788382705399977e-14,0.9715504978662873,0.9624765478424016,3.0121841,3.3058922
Nlgn1,8.256342,0.6082791,1.502046857060655e-16,4.7352027168837144e-14,0.9061166429587483,0.8799249530956847,2.3192556,2.7064645
Nrxn3,7.938156,0.54093325,2.0520886168583812e-15,5.54503659826804e-13,0.871977240398293,0.851782363977486,2.1365077,2.4738395
Lsamp,7.59857,0.51694375,2.9942064132484876e-14,7.079426788324393e-12,0.9544807965860598,0.924953095684803,2.8853807,3.2267427
Nrg3,7.4961553,0.56867206,6.571694471594473e-14,1.462395305061288e-11,0.9359886201991465,0.9080675422138836,2.5707743,2.9397187
Adgrb3,7.4808693,0.5842724,7.383248995400923e-14,1.5517128305334273e-11,0.8435277382645804,0.8180112570356473,2.0216382,2.3815193
Cntnap2,7.155684,0.56235003,8.325659496651845e-13,1.5747984937916963e-10,0.8549075391180654,0.8217636022514071,2.0579948,2.4056864
Grm7,7.14418,0.64782405,9.053493206520365e-13,1.6309221333460255e-10,0.7610241820768137,0.7166979362101313,1.5950549,1.9678599
Csmd1,7.1120796,0.52536225,1.1430740166395103e-12,1.8801082630205509e-10,0.9046941678520626,0.8761726078799249,2.3836496,2.7192533
Kcnip4,7.028088,0.48242,2.0938277661405536e-12,3.1103886080961397e-10,0.957325746799431,0.9287054409005628,2.927227,3.246278
Fgf14,7.025192,0.5499831,2.1377241292756973e-12,3.1103886080961397e-10,0.8264580369843528,0.8105065666041276,1.9527255,2.2879272
