names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Control (for_DEGs),mean_expr_Mutant (for_DEGs)
Tcf4,3.7890582,0.4018335,0.0001512194128008407,0.2337096024836993,0.9894736842105263,1.0,3.0738926,3.3411171
Zfpm2,3.5817363,1.0294248,0.00034131833339457916,0.35167165617421475,0.8421052631578947,0.7037037037037037,1.1482794,1.6853317
C130071C03Rik,3.2598934,1.345971,0.0011145412485589797,0.3854563020934191,0.6526315789473685,0.3888888888888889,0.5604351,1.0682064
Marcks,3.2065818,1.0263399,0.0013432205165845462,0.4296640522634929,0.8105263157894737,0.6851851851851852,1.1064677,1.6335232
Kif13a,2.884739,1.1643388,0.003917382412617262,0.5702963835284172,0.5894736842105263,0.46296296296296297,0.5203017,0.92812794
Naaladl2,2.88079,0.6644221,0.0039667978796056194,0.5702963835284172,0.9473684210526315,0.8703703703703703,1.8765941,2.2789702
Galnt13,2.8116827,1.379462,0.004928309733751843,0.6347252244594561,0.5789473684210527,0.37037037037037035,0.52637,1.0304779
Camk1d,2.7840397,0.6010521,0.0053686458325087226,0.6539631267331044,0.8947368421052632,0.9259259259259259,1.9938239,2.362932
2610035D17Rik,2.6201565,0.81171465,0.008788941361281227,0.7546282707700075,0.8210526315789474,0.6851851851851852,1.2095658,1.634815
Asrgl1,2.574743,0.86371005,0.01003145578945341,0.7849931606379872,0.6842105263157895,0.5370370370370371,0.7102634,1.0586723
Gm28307,2.5431511,1.6398424,0.01098576848820841,0.7893458431150546,0.4105263157894737,0.2222222222222222,0.24891335,0.6316799
Gm16168,2.5392022,0.740837,0.011110559257174083,0.7893458431150546,0.8210526315789474,0.7777777777777778,1.5009913,1.9207149
Bcas1,2.5194573,0.33514047,0.011753591981395417,0.7897902785759399,1.0,0.9814814814814815,3.3488526,3.5738473
Ddx17,2.4799674,0.7298179,0.013139443147298107,0.8306644046225808,0.7473684210526316,0.6481481481481481,0.9586947,1.2994379
Ppp2r2b,2.4523244,0.5686291,0.014193665566107414,0.8306644046225808,0.7894736842105263,0.7592592592592593,1.305943,1.6076975
Adgrl3,2.3693955,0.29705337,0.017817188759578686,0.8306644046225808,0.9894736842105263,1.0,2.9017885,3.0974166
Zeb2,2.3654466,0.41141787,0.018008344076552617,0.8306644046225808,1.0,0.9814814814814815,3.2433875,3.5188296
Tnr,2.3535995,0.20484795,0.018592629117814157,0.8306644046225808,1.0,1.0,4.4619613,4.6024218
Dscaml1,2.3457015,0.325752,0.018991307285760307,0.8306644046225808,0.9473684210526315,0.9629629629629629,2.4239383,2.6316679
Meis2,2.3101606,1.4515296,0.020879263166351605,0.8436314045384681,0.47368421052631576,0.35185185185185186,0.4411555,0.9228899
Gpcpd1,2.2686963,0.5174484,0.02328680674427316,0.8795731007085162,0.8105263157894737,0.7407407407407407,1.1746081,1.4355391
Ldlrad4,2.2667217,0.72330123,0.02340723160031846,0.8795731007085162,0.7473684210526316,0.6111111111111112,1.0197037,1.3676488
Wdr33,2.2667217,0.58039486,0.02340723160031846,0.8795731007085162,0.7263157894736842,0.6851851851851852,0.9223726,1.1834717
Tmem132d,2.2647471,0.69520634,0.023528196641645526,0.8795731007085162,0.8842105263157894,0.7592592592592593,1.5697249,1.9686863
Lrrc8b,2.2351298,0.88079375,0.02540883076297954,0.8795731007085162,0.5473684210526316,0.48148148148148145,0.57695603,0.8909345
Cadm2,2.2311807,0.37554404,0.025669157045402242,0.8795731007085162,1.0,1.0,4.1536236,4.410324
Etl4,2.2252574,0.8087544,0.026063971255238655,0.8795731007085162,0.6947368421052632,0.6851851851851852,1.0554329,1.4542601
D430041D05Rik,2.2114358,1.0237617,0.027005672327180895,0.8833283932626047,0.6105263157894737,0.5185185185185185,0.8167072,1.2720114
Zbtb20,2.1719458,0.2579971,0.02985974490712794,0.914115936718515,0.9368421052631579,1.0,2.827971,2.9970706
Elf1,2.1699715,0.6978525,0.030009013472394094,0.914115936718515,0.6526315789473685,0.5740740740740741,0.78655523,1.078316
Sntg1,2.1561499,0.5884655,0.03107196095531061,0.9234945318544722,0.8315789473684211,0.8703703703703703,1.5679694,1.9034784
Afap1l2,2.132456,0.66773653,0.032969381244220046,0.9479847202407828,0.6842105263157895,0.5740740740740741,0.8615144,1.1541029
Mir99ahg,2.120609,0.577762,0.033954721603965454,0.9492211861638901,0.8315789473684211,0.8333333333333334,1.6642289,2.0001853
Tnik,2.104813,0.2712379,0.035307588036188824,0.9492211861638901,0.9473684210526315,0.9629629629629629,2.0413594,2.2068603
Sh3bp4,2.085068,0.57246095,0.03706312395967145,0.9492211861638901,0.7684210526315789,0.7037037037037037,1.1063185,1.3884486
Exoc4,2.057425,0.47154695,0.039645352599870294,0.9492211861638901,0.9157894736842105,0.8703703703703703,1.5938956,1.8624449
Cnot1,2.053476,0.7809483,0.040026424439581876,0.9492211861638901,0.5684210526315789,0.48148148148148145,0.56558144,0.8358123
Erc1,2.0436037,0.7796907,0.04099272055977459,0.9492211861638901,0.5894736842105263,0.5370370370370371,0.64453894,0.93760455
Hunk,2.041629,2.0691915,0.04118833330412264,0.9492211861638901,0.29473684210526313,0.1111111111111111,0.12482235,0.44334814
Nxph1,2.0337312,0.74966425,0.04197870996033942,0.9492211861638901,0.8210526315789474,0.7592592592592593,1.6977041,2.14023
Ttc28,2.013986,0.7164556,0.044010984012951365,0.9546522918177731,0.5789473684210527,0.46296296296296297,0.5960872,0.84979385
Luc7l,1.9981902,1.4825151,0.04569604204979485,0.9642642807449595,0.3894736842105263,0.2777777777777778,0.26552966,0.61509013
Ifnar2,1.9883177,1.0383375,0.046776560787981904,0.9642642807449595,0.4842105263157895,0.3888888888888889,0.46724758,0.7989795
Ttyh2,1.9350064,1.1402109,0.05298951841951387,0.9642642807449595,0.42105263157894735,0.2962962962962963,0.3413889,0.6402011
Rab10,1.9310573,0.5137042,0.05347596162285757,0.9642642807449595,0.6736842105263158,0.6666666666666666,0.92089665,1.149953
Gmds,1.9172359,0.40177035,0.05520797327060078,0.9642642807449595,0.7368421052631579,0.7592592592592593,1.1552805,1.354117
