names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Control (for_DEGs),mean_expr_Mutant (for_DEGs)
Tbc1d32,-2.8041544,-0.6857071,0.005044874687016277,0.04992902620968862,0.15419501133786848,0.2986111111111111,0.3457941,0.22859429
Ndufa3,-2.8043342,-1.5198172,0.005042060685828692,0.04992902620968862,0.061224489795918366,0.1875,0.23055762,0.086568825
Csde1,-2.804874,-0.5531669,0.005033627194664694,0.04992902620968862,0.2789115646258503,0.4548611111111111,0.57674164,0.42640647
Cct6a,-2.8057733,-1.0337166,0.005019599713262863,0.04992902620968862,0.08163265306122448,0.2152777777777778,0.22363006,0.11547785
Ttc14,-2.8059533,-0.50135964,0.005016798461949595,0.04992902620968862,0.46485260770975056,0.6736111111111112,0.9430065,0.7454924
Slitrk2,-2.8070323,-0.65085346,0.005000020616515987,0.04992852128176896,0.16326530612244897,0.3125,0.3721091,0.25239977
A330076H08Rik,-2.8095508,-0.53140527,0.00496106945112056,0.04962850804603907,0.31519274376417233,0.4965277777777778,0.6565561,0.49601382
Pex3,-2.8117094,-0.8581597,0.004927901377851141,0.04938537136220604,0.10657596371882086,0.2465277777777778,0.276873,0.16209975
Mpdz,-2.8118892,-0.5299896,0.0049251464456017205,0.04938537136220604,0.31065759637188206,0.4930555555555556,0.6412904,0.48400658
Ufl1,-2.8127887,-0.59747964,0.004911392668581721,0.04938537136220604,0.17006802721088435,0.3229166666666667,0.36765274,0.25748146
Rps9,-2.8131483,-0.8366636,0.004905900892268073,0.04938537136220604,0.11337868480725624,0.2534722222222222,0.29631618,0.17657147
Gabra3,-2.818005,-0.54495376,0.004832303628612436,0.04886678007010616,0.272108843537415,0.4375,0.565159,0.4191886
Cap2,-2.819804,-0.59225595,0.004805299897996379,0.04868205642115605,0.1746031746031746,0.3263888888888889,0.37153822,0.26118106
Ncdn,-2.8205235,-0.8136938,0.004794536694231404,0.04866149082014096,0.1292517006802721,0.2673611111111111,0.3201054,0.19444719
Gpr158,-2.8230417,-0.5034261,0.004757037067528722,0.04836899733625919,0.562358276643991,0.7638888888888888,1.3104206,1.0681922
C1ql1,-2.8237612,-0.5504607,0.004746371753871845,0.048348781375820694,0.31519274376417233,0.4930555555555556,0.6758693,0.506462
Rps24,-2.82556,-0.70472944,0.004719803092684878,0.04816619566380978,0.15419501133786848,0.2986111111111111,0.36009595,0.23582825
Casd1,-2.8295174,-0.66069114,0.004661825326321227,0.04766181783167316,0.16099773242630386,0.3090277777777778,0.37285936,0.2514185
Cpeb1,-2.8338346,-0.58539456,0.004599312917682208,0.04719589609083843,0.15873015873015872,0.3090277777777778,0.34962368,0.2460307
