names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,mean_expr_Emx1_Control (for_DEGs),mean_expr_Nestin_Control (for_DEGs)
Park7,-2.595247,-1.8534042,0.009452294331088046,0.049510437207437474,0.08836206896551724,0.36770314,0.11599144
Syngr1,-2.598221,-1.6959898,0.00937081330804196,0.04916998434105395,0.1206896551724138,0.3897764,0.1372499
Dctn3,-2.608495,-2.0589852,0.009094133286386568,0.04792897454645076,0.08189655172413793,0.35287178,0.09671758
Atp6v1g1,-2.6257985,-2.066259,0.008644598061103749,0.0462959353972576,0.08189655172413793,0.35875982,0.098074816
Sec61g,-2.6385057,-2.1644268,0.008327230086731844,0.04504102873748157,0.07112068965517242,0.33252558,0.08433948
Atp6v1e1,-2.646887,-1.0499476,0.008123647985261571,0.044382494395668985,0.2629310344827586,0.62411535,0.34963685
Rpl36al,-2.6647313,-1.9435176,0.00770498734709566,0.04268148051325228,0.09267241379310345,0.40822342,0.12316237
Rpl18,-2.665272,-1.4061633,0.007692608152605347,0.04265250951528206,0.16379310344827586,0.49121642,0.2145719
Morf4l1,-2.6695979,-0.8108959,0.00759421455542024,0.042219343010799104,0.3900862068965517,0.7828361,0.5170087
Sumo2,-2.6885235,-1.1222003,0.0071768787657780515,0.04043178349068163,0.21767241379310345,0.52169937,0.27355734
Lrp1,-2.6952827,-0.55433804,0.007032894591834683,0.03984639044148692,0.5344827586206896,0.9839304,0.7610811
Cox17,-2.7436783,-1.9430048,0.006075505779948869,0.03529354185314017,0.09051724137931035,0.34733513,0.10256242
Hmgcs1,-2.7490857,-1.1406837,0.005976178503589144,0.03488638057966031,0.22844827586206898,0.58183116,0.3060043
Eif4a2,-2.7509782,-0.85351497,0.005941761170854075,0.034753477593446484,0.34698275862068967,0.7226745,0.46159652
Nme1,-2.7777443,-1.9505442,0.005473765876606691,0.032397308749836824,0.10991379310344827,0.4131832,0.12430931
Rpl12,-2.7866664,-1.4982661,0.005325325542446143,0.03170747723177015,0.15948275862068967,0.48443052,0.19935666
Atp5g3,-2.7896404,-1.6046736,0.005276659353304768,0.031512061763579825,0.1400862068965517,0.45216796,0.17225935
Aqp4,-2.8115401,-0.52119625,0.004930492998707429,0.029832982992179027,0.6314655172413793,1.3304018,1.0780268
Arl6ip1,-2.8142438,-0.835481,0.004889212378483379,0.029613239644702374,0.39655172413793105,0.822959,0.53985256
Pebp1,-2.8182993,-1.3180052,0.004827877491844536,0.029390935833004596,0.21982758620689655,0.59123117,0.28017578
Tril,-2.81884,-0.7344674,0.004819752324264091,0.02937144266247147,0.4202586206896552,0.8361069,0.5798549
Serinc1,-2.8255992,-0.46372294,0.004719226577454744,0.028936182693828368,0.6012931034482759,1.1030145,0.9000895
Grina,-2.8502026,-0.6883777,0.004369139010803196,0.027180691698072853,0.4331896551724138,0.8098381,0.5733301
