names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,mean_expr_Emx1_Control (for_DEGs),mean_expr_Nestin_Control (for_DEGs)
Kcnip4,11.256767,4.913546,2.144837766842003e-29,9.971350778048472e-26,0.9958592132505176,0.5642922,3.1718376
Nrg3,10.280078,4.0726542,8.665780655318727e-25,2.0143607133288378e-21,0.9668737060041408,0.63655055,2.7710042
Lsamp,10.162875,3.9186382,2.9038531683452737e-24,3.7967159699621534e-21,0.9813664596273292,0.87238646,3.0937653
Pcdh9,10.141653,3.6459947,3.609395920044084e-24,3.7967159699621534e-21,0.9710144927536232,0.8430661,2.8660831
Dlg2,10.129595,4.0582023,4.08336843403114e-24,3.7967159699621534e-21,0.9544513457556936,0.6110799,2.7102876
Ptprd,9.862392,3.7371643,6.05883870327968e-23,4.6945901885912056e-20,0.9772256728778468,0.8235087,2.8930771
Lrrtm4,9.81416,4.3259635,9.784893523666605e-23,6.498567141646578e-20,0.927536231884058,0.4308814,2.4683065
Cadm2,9.675736,4.088461,3.823307150109203e-22,2.22181936760721e-19,0.9399585921325052,0.54889005,2.5983279
Nkain2,9.641009,5.041728,5.365780131236366e-22,2.771723536679763e-19,0.8881987577639752,0.24233142,2.3058233
Csmd1,9.513678,4.2651396,1.8403813407780627e-21,8.555932853277213e-19,0.9440993788819876,0.49105912,2.5795698
Rbfox1,9.40371,3.319858,5.2672379568895615e-21,2.2261262965072337e-18,0.9585921325051759,0.8549916,2.673745
Nlgn1,9.317375,3.7768233,1.1925368144161307e-20,4.342920566674128e-18,0.9420289855072463,0.5954232,2.497707
Cntnap2,9.240687,4.122653,2.449191734613597e-20,8.133065981584723e-18,0.8861283643892339,0.38989335,2.230676
Dpp10,8.839883,4.171123,9.581905618824124e-19,2.9697519481275565e-16,0.8799171842650103,0.34400964,2.127851
Tenm2,8.809014,3.5341094,1.2625074439728847e-18,3.6683731918937127e-16,0.8964803312629399,0.6001522,2.3539402
Naaladl2,8.733291,4.66023,2.4736752128234195e-18,6.764774155538869e-16,0.8219461697722568,0.20026965,1.8880657
Adgrb3,8.697118,3.6863475,3.404213461950589e-18,8.792326880337938e-16,0.8778467908902692,0.47659042,2.1815803
Epha6,8.512873,4.3533325,1.696762645941554e-17,4.151710284727518e-15,0.8322981366459627,0.2561045,1.9410731
Nrxn1,8.414963,3.0847769,3.93020137432656e-17,9.135753094622088e-15,0.9461697722567288,0.89245254,2.5822344
Opcml,8.345027,3.464388,7.1197699845298e-17,1.5761814599085258e-14,0.865424430641822,0.51829493,2.1396532
Lrp1b,8.230718,3.0571992,1.860945481565544e-16,3.9325161562719155e-14,0.9026915113871635,0.7443457,2.322197
Nalf1,8.035863,3.7753642,9.292292306910481e-16,1.7999944556177845e-13,0.8240165631469979,0.36411256,1.9479728
Kcnd2,8.007888,3.3792992,1.1669494967160358e-15,2.17005928409314e-13,0.8467908902691511,0.47193104,1.9845158
Nrg1,7.939882,4.319415,2.0237426887757142e-15,3.618607600045498e-13,0.7681159420289855,0.20136029,1.696266
Nrxn3,7.8361835,2.9560833,4.644460282401608e-15,7.997072538105584e-13,0.9026915113871635,0.7562303,2.2793932
Grik2,7.8053155,3.9010808,5.935284958050411e-15,9.810423415235375e-13,0.7784679089026915,0.27470443,1.7445045
Lingo2,7.801457,3.3985054,6.119644634154138e-15,9.810423415235375e-13,0.8509316770186336,0.46974716,1.9909863
Fgf14,7.679431,3.1102936,1.5979657433376557e-14,2.476314246925587e-12,0.8633540372670807,0.6004691,2.0927105
Il1rapl1,7.639881,3.113707,2.1742216478292163e-14,3.260631109921944e-12,0.8426501035196687,0.55747783,2.009512
Celf2,7.4922924,1.9341152,6.768080654025995e-14,9.254354988402016e-12,0.9855072463768116,1.9030195,3.127004
Phactr1,7.4720354,4.8204565,7.896376881876352e-14,1.0488644606812332e-11,0.6894409937888198,0.10998682,1.4551371
Grm7,7.3244467,3.6443267,2.3988626413980127e-13,3.014138491853882e-11,0.7763975155279503,0.3148411,1.7275823
Galntl6,7.15853,3.9806654,8.154665404087162e-13,9.720779349641337e-11,0.7101449275362319,0.20449811,1.5221827
Lrfn5,7.1527424,5.1713996,8.506116343641902e-13,9.8862337203978e-11,0.650103519668737,0.07633079,1.3502591
Mdga2,7.0861826,3.2413332,1.3786169403137234e-12,1.563217111102073e-10,0.7556935817805382,0.37892464,1.6783688
Magi2,7.068337,3.0560277,1.5680126297162494e-12,1.735640646559725e-10,0.8219461697722568,0.5038735,1.8638473
Dlgap1,6.890845,2.8405979,5.546197600165663e-12,5.996342475155853e-10,0.8074534161490683,0.5618631,1.8563892
Kcnma1,6.7895584,3.3193874,1.1247712776545064e-11,1.162013704403511e-09,0.7329192546583851,0.33878326,1.614485
Grm5,6.781359,2.7326567,1.1905042993884728e-11,1.2031857582297849e-09,0.8219461697722568,0.61843383,1.9005796
Lrrc4c,6.6979184,2.9941597,2.1140892791522325e-11,2.047583553912235e-09,0.7701863354037267,0.4531461,1.7169474
Dab1,6.590362,3.5443776,4.387548195414948e-11,4.079542312096819e-09,0.6894409937888198,0.26090133,1.4991689
Meg3,6.585539,2.654334,4.532379223989697e-11,4.131574708299628e-09,0.8260869565217391,0.6811306,1.9664351
Ralyl,6.5392365,3.7600884,6.183357774173484e-11,5.528159671563947e-09,0.6438923395445134,0.17690909,1.2870233
Auts2,6.519944,3.6933818,7.033359010710646e-11,6.169450196376187e-09,0.6583850931677019,0.22386475,1.4459311
Ccser1,6.486182,3.9830277,8.803880022670436e-11,7.579488560258307e-09,0.6314699792960663,0.1518879,1.2792046
Frmpd4,6.415764,4.2062926,1.401184422798356e-10,1.1632332824267067e-08,0.6190476190476191,0.12981313,1.2694167
Adgrl3,6.345346,3.9021034,2.219263562448076e-10,1.8012848092645686e-08,0.6273291925465838,0.16205701,1.2892786
Dcc,6.3434167,3.8446946,2.2472471270670032e-10,1.8012848092645686e-08,0.6376811594202898,0.18250252,1.3549423
Lrrc7,6.337629,3.4682484,2.333281834780618e-10,1.838546991507643e-08,0.6625258799171843,0.24795769,1.4145019
Erbb4,6.3299117,3.9014535,2.453015076881996e-10,1.8695191954794098e-08,0.629399585921325,0.16797289,1.3172785
Syt1,6.2411656,2.2002242,4.343220641780122e-10,3.2567149618767396e-08,0.9089026915113871,1.0864948,2.3050792
Ppfia2,6.234413,3.7700844,4.5347467676427153e-10,3.324650931826911e-08,0.6252587991718427,0.16576917,1.2412208
Macrod2,6.2329664,3.315744,4.5768479164749904e-10,3.324650931826911e-08,0.6583850931677019,0.27405444,1.4205458
Xkr4,6.1856995,4.0686603,6.1827760772106e-10,4.422111689684935e-08,0.6004140786749482,0.13003322,1.2030195
Dmd,6.167854,3.4121633,6.922317514642508e-10,4.8760385038747e-08,0.639751552795031,0.23427843,1.3377224
Tafa1,6.0443807,3.4017053,1.4998488939012354e-09,1.0254113981980652e-07,0.639751552795031,0.2234583,1.2937117
Ctnna2,5.9484,3.1262338,2.7077628144304303e-09,1.8244042498966767e-07,0.650103519668737,0.29025313,1.3713028
Egfem1,5.940201,4.695631,2.8467351279958663e-09,1.8906388014361117e-07,0.546583850931677,0.07114452,1.0684168
Sntg1,5.9324837,30.64519,2.983862910925177e-09,1.9537998130832603e-07,0.5093167701863354,0.0,0.9855452
Dlgap2,5.910297,4.265927,3.414913988571532e-09,2.2049909906762572e-07,0.556935817805383,0.10242697,1.1233048
Hs6st3,5.7646375,3.105829,8.183345331206387e-09,5.141131411456554e-07,0.6335403726708074,0.25148198,1.2417134
Erc2,5.7202644,3.2805824,1.0635827169653077e-08,6.42155331321002e-07,0.6004140786749482,0.23176923,1.2625995
Kirrel3,5.565441,5.5022793,2.6148983441908202e-08,1.5388180255877372e-06,0.4968944099378882,0.036172464,0.98192155
Negr1,5.437145,2.3272104,5.414098899973093e-08,3.069529973899379e-06,0.7101449275362319,0.5617864,1.5650346
Tmeff2,5.3228364,3.4054754,1.0216158453728357e-07,5.587637723692133e-06,0.5486542443064182,0.16352846,1.058661
Dpp6,5.30692,3.877661,1.1149305513580232e-07,6.0271071317016855e-06,0.5134575569358178,0.10865013,0.9884461
Gm26871,5.2611,3.8473446,1.4319608676910316e-07,7.4553130538686935e-06,0.5134575569358178,0.11322143,1.002648
Ank2,5.259653,1.9093226,1.4432741984258603e-07,7.4553130538686935e-06,0.8633540372670807,1.0684593,2.101439
Rims1,5.1887527,2.7630358,2.1170734115381912e-07,1.0470504564086225e-05,0.598343685300207,0.2892374,1.186877
B3galt1,5.165119,4.9900765,2.402857247904558e-07,1.1758824574219251e-05,0.46790890269151136,0.04236192,0.86508703
Sgcz,5.1303926,3.0485423,2.8913867345717943e-07,1.4002142634400282e-05,0.5590062111801242,0.21818168,1.1043453
Frmd4a,5.123158,1.3079041,3.0046077477168765e-07,1.4400434452717277e-05,0.9089026915113871,1.6567417,2.4426005
Nr3c2,5.1149583,2.9934695,3.1381014356330424e-07,1.4886768953324505e-05,0.5590062111801242,0.21653351,1.0734253
Ncam2,5.103865,2.463642,3.327855096869099e-07,1.5627473076105495e-05,0.6273291925465838,0.38665095,1.2819953
Cntn5,5.096148,2.9706194,3.4663405291925887e-07,1.6115017120216344e-05,0.556935817805383,0.23496565,1.1236976
Camk1d,5.0604568,1.2111045,4.182534363001727e-07,1.9063335542740223e-05,0.9503105590062112,2.070025,2.8351216
Robo2,5.0252476,3.6746116,5.02783291884177e-07,2.2693587611354747e-05,0.4968944099378882,0.1145151,0.93581796
Kctd16,5.0170484,3.4237292,5.247138406561889e-07,2.3455717742409826e-05,0.5093167701863354,0.15487686,1.0287672
