names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,mean_expr_Emx1_Mutant (for_DEGs),mean_expr_Nestin_Mutant (for_DEGs)
Ldha,-2.2822542,-1.2654856,0.02247433801085643,0.04974512646086066,0.08422939068100359,0.34437424,0.1578612
Baiap2,-2.2878628,-0.8531733,0.02214550955072708,0.0491224786243238,0.12903225806451613,0.4333076,0.2625387
Pfdn1,-2.2891467,-1.1820331,0.02207082685344495,0.048991864046193837,0.07706093189964158,0.3080092,0.14753792
Tomm70a,-2.2904308,-0.96012783,0.021996363330969288,0.04886154920439525,0.10752688172043011,0.36897668,0.2065097
Capza2,-2.2933364,-0.75340897,0.02182864719811608,0.04852375266047166,0.17204301075268819,0.5115548,0.33374578
Slc12a5,-2.2934039,-0.71758336,0.021824760099758176,0.04852375266047166,0.14695340501792115,0.47824278,0.31693906
Oip5os1,-2.2990127,-0.813646,0.021504223561085556,0.04787121124402463,0.17025089605734767,0.5407458,0.3422376
Pfdn2,-2.3259747,-1.3623947,0.02001989785780227,0.04475969953644184,0.05734767025089606,0.29178345,0.12378866
Dnajb6,-2.3296237,-0.7514555,0.019826045254061543,0.04445449481767523,0.1935483870967742,0.5863713,0.38777003
6330403K07Rik,-2.3315835,-1.6469024,0.019722617195980258,0.04428662992377609,0.05913978494623656,0.3021231,0.106730916
Arpp19,-2.3354352,-1.2196949,0.019520700036274773,0.043928533287416985,0.0985663082437276,0.36620426,0.17386115
Sdf4,-2.3359756,-1.1309865,0.01949250579037128,0.043897066416805616,0.08602150537634409,0.32583454,0.16201459
Mpc1,-2.3388815,-0.94960064,0.019341570416346626,0.043652263363239366,0.13620071684587814,0.42985138,0.24534388
Ywhaq,-2.355437,-0.65336764,0.018500926955768233,0.04206112499254933,0.22939068100358423,0.6705313,0.47459254
Timm13,-2.3608432,-1.2949212,0.018233443938809244,0.0415138837402698,0.06093189964157706,0.31625715,0.14115644
Npy,-2.3617892,-1.2968582,0.018186984162565475,0.041438528940569826,0.06989247311827956,0.37912616,0.1719643
Gabarapl1,-2.364357,-0.8531049,0.01806140119757384,0.04120519408230787,0.14336917562724014,0.4968322,0.30471635
Fbxl16,-2.3655057,-1.346795,0.018005465667191484,0.04113058260671182,0.08243727598566308,0.3386394,0.14709155
Dctn3,-2.3663843,-1.123899,0.017962793876988792,0.041078631130193395,0.07347670250896057,0.34388885,0.17254299
Rab6b,-2.3695602,-0.56317705,0.017809257163051616,0.04078767094728439,0.2903225806451613,0.81275755,0.6145357
Plp1,-2.3846292,-0.4870921,0.01709634198766699,0.03941691933364709,0.525089605734767,1.8326424,1.5572901
Stk25,-2.4011173,-1.5569401,0.0163450933100013,0.03785372244534282,0.06272401433691756,0.29307395,0.10951819
Selenot,-2.4018607,-1.5966763,0.016311919626192037,0.03780512911870068,0.05734767025089606,0.27930567,0.10123378
Tubb4a,-2.4101722,-0.7298218,0.015944987559748193,0.037051480635427035,0.18458781362007168,0.6092012,0.4093746
Ncald,-2.413078,-0.519738,0.015818433429540986,0.0368265480968518,0.3118279569892473,0.8688999,0.67576617
Cplx2,-2.4132807,-0.54819316,0.015809637129055348,0.0368265480968518,0.27956989247311825,0.8609196,0.6594455
Nme2,-2.4384859,-1.4405314,0.014748932182553283,0.034648817195528585,0.06451612903225806,0.33267996,0.13577157
Cox7a2l,-2.4388914,-1.0915033,0.014732395277195023,0.034636207547067296,0.0913978494623656,0.37819022,0.19531722
Cltb,-2.441324,-1.4275905,0.014633516603953439,0.03450839162650921,0.07168458781362007,0.31437147,0.1286784
Gtf2h5,-2.444027,-1.5247312,0.014524337977051058,0.03427699548465398,0.06451612903225806,0.3104391,0.11912832
Rnf187,-2.447541,-1.1963798,0.014383479884354547,0.03397042735825091,0.08602150537634409,0.3645326,0.1755762
Klf9,-2.448149,-0.9216001,0.014359223292782854,0.03396487523334831,0.13082437275985664,0.4580807,0.26753753
Clu,-2.449568,-0.80190825,0.014302764845800803,0.033857155562464346,0.14336917562724014,0.52226025,0.33173773
Ube3a,-2.4531496,-0.6955932,0.01416114437082546,0.03357947949723565,0.24193548387096775,0.68851554,0.47731993
Zfp706,-2.4549065,-1.2088683,0.014092123656313241,0.033511527669167374,0.09498207885304659,0.39624238,0.19090688
