names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,mean_expr_Emx1_Mutant (for_DEGs),mean_expr_Nestin_Mutant (for_DEGs)
Naaladl2,23.707561,3.830451,3.0130087268420225e-124,9.343340061937112e-121,0.9157706093189965,0.78994566,2.896891
Dlg2,20.930597,2.8138309,2.8194474885616114e-97,2.9143688873431855e-94,0.982078853046595,1.924207,3.7408106
Pcdh9,20.452847,2.1248343,5.666995853682591e-93,4.393338535567429e-90,0.9838709677419355,2.5894892,4.00272
Lsamp,20.287357,2.2791097,1.662980145831762e-91,1.0313802864448587e-88,0.9910394265232975,2.5209403,4.034745
Ptprd,20.254381,2.3437645,3.250105844799153e-91,1.6797630374536958e-88,0.9946236559139785,2.4022253,3.9513378
Celf2,20.220053,2.3031454,6.521298989605674e-91,2.8889354523953137e-88,0.9874551971326165,2.2215514,3.7275329
Kcnip4,19.797983,2.5957165,3.0984778861367563e-87,1.2010474906137603e-84,0.992831541218638,2.2015767,3.9039192
Nrg3,19.454775,2.5991013,2.655200070099861e-84,9.148639352644077e-82,0.985663082437276,1.9169163,3.5874684
Tenm2,19.347399,2.4810815,2.1439346823485094e-83,6.648341449962728e-81,0.9802867383512545,1.9901615,3.5909119
Rbfox1,18.68463,2.6097248,6.603515917762907e-78,1.8615911691802522e-75,0.9623655913978495,1.7406656,3.3909845
Csmd1,18.550158,2.5075989,8.131398177717202e-77,2.101288812425087e-74,0.9731182795698925,1.8474345,3.4463959
Nlgn1,18.49745,2.2695472,2.1648011942419692e-76,5.163883464111036e-74,0.967741935483871,1.9348567,3.3863974
Opcml,18.279049,2.3628662,1.215264967355934e-74,2.691811902693394e-72,0.9301075268817204,1.6259928,3.091271
Lrrtm4,17.89401,2.5603533,1.3130796175019987e-71,2.7145732625824653e-69,0.9372759856630825,1.5549117,3.1367536
Lrp1b,17.642904,2.4337914,1.1537493053510217e-69,2.236110372433449e-67,0.9086021505376344,1.5791187,3.0821698
Dpp10,16.977974,2.353137,1.1954280336925873e-64,2.1806013720474784e-62,0.9444444444444444,1.6488746,3.1119566
Nkain2,16.693283,2.3387344,1.4667816589322487e-62,2.526938846860502e-60,0.9157706093189965,1.7474151,3.2179308
Cadm2,16.651049,1.9645557,2.9734327671238456e-62,4.852955268868971e-60,0.9551971326164874,2.1361876,3.4059694
Adgrb3,16.59584,2.290824,7.469029223374499e-62,1.1580729810842162e-59,0.9408602150537635,1.7044829,3.1360593
Cntnap2,16.452381,2.3675263,8.063535131664906e-61,1.1907153544425177e-58,0.9175627240143369,1.5843965,3.0447168
Nalf1,16.135323,2.4075904,1.4405395436048277e-58,1.9422230977037263e-56,0.8691756272401434,1.2576815,2.6641848
Nrxn1,15.922531,1.6432076,4.421262946981467e-57,5.71264016607897e-55,0.967741935483871,2.435365,3.5129704
Dab1,15.883608,2.5598395,8.230491914253329e-57,1.020910217043983e-54,0.7956989247311828,0.88890445,2.2456346
Fgf14,15.684129,2.2821841,1.9420996150748042e-55,2.316327271671911e-53,0.921146953405018,1.6227746,3.0341384
Lingo2,15.641354,2.3512113,3.805491583792739e-55,4.2145819290504595e-53,0.8745519713261649,1.3278886,2.7179768
Xkr4,15.526546,2.5865502,2.2941012575206172e-54,2.4531062067487704e-52,0.7419354838709677,0.75380385,2.0487032
Magi2,14.741467,2.294249,3.491166594170091e-49,3.3704794696035813e-47,0.8189964157706093,1.2360792,2.563289
Erbb4,14.739643,2.546784,3.58677273450236e-49,3.3704794696035813e-47,0.7580645161290323,0.8916725,2.2417436
Auts2,14.467656,2.3584929,1.9396993054738162e-47,1.6256777152092712e-45,0.7706093189964157,0.97123575,2.2424817
Dcc,14.301829,2.2779725,2.1313389710013084e-46,1.7392847760723836e-44,0.7724014336917563,0.9574154,2.1729293
Galntl6,14.240945,2.3555732,5.103267706891353e-46,4.057752092069252e-44,0.7634408602150538,0.90091014,2.1379075
Grm7,14.217023,2.185096,7.18447037791988e-46,5.569760660482387e-44,0.8405017921146953,1.2986444,2.5738485
Ctnna2,14.051601,2.4241822,7.53117009469027e-45,5.560513919912983e-43,0.7455197132616488,0.84795606,2.0998056
Nrg1,13.790967,2.2365556,2.888608815663523e-43,2.0831571947378102e-41,0.8064516129032258,1.1156459,2.3672786
Nav3,13.770627,2.0704372,3.8287383393950314e-43,2.6983903614690894e-41,0.7956989247311828,1.175725,2.3428042
Csmd3,13.636695,2.1319504,2.422946901232344e-42,1.6696796312714442e-40,0.7634408602150538,1.0995829,2.2802339
Mdga2,13.626288,2.1884303,2.7943380726001286e-42,1.8837483398115217e-40,0.8028673835125448,1.1451588,2.3765535
Grik2,13.611219,2.0162082,3.4346397654028934e-42,2.2661314707477388e-40,0.8243727598566308,1.3138165,2.4852679
Nrxn3,13.585271,1.9998611,4.8971560106631485e-42,3.1637668310555048e-40,0.931899641577061,1.8458139,3.1059747
Lrrc4c,13.46357,1.9246511,2.5623171734497227e-41,1.589149110973518e-39,0.8369175627240143,1.3746463,2.5025415
Tafa1,13.309568,2.3197904,2.0365601067128165e-40,1.214494786714701e-38,0.6845878136200717,0.724755,1.8426511
Kctd16,13.271659,2.3429532,3.380147366938263e-40,1.9777050914859534e-38,0.6577060931899642,0.6407729,1.7148153
Il1rapl1,13.225303,1.9333147,6.2684280349735295e-40,3.599702840083873e-38,0.8333333333333334,1.4675552,2.6211274
Kcnh7,13.208138,2.2237115,7.874737764376802e-40,4.4399203286059025e-38,0.6899641577060932,0.7415093,1.8138194
Epha6,13.088127,1.9667369,3.849844924214232e-39,2.0944507210505845e-37,0.8297491039426523,1.3236809,2.4661932
Hs6st3,13.064206,2.2202306,5.273215602050993e-39,2.8193519968896774e-37,0.7150537634408602,0.8041932,1.9101654
Kcnd2,13.007781,1.9146094,1.1050427114832349e-38,5.711229080515853e-37,0.8225806451612904,1.4491974,2.5869684
Macrod2,12.822966,2.0573268,1.219457242256507e-37,6.199240833176112e-36,0.7670250896057348,1.0522091,2.1699815
Frmpd4,12.785732,2.160798,1.9699914640467334e-37,9.853134725820839e-36,0.7007168458781362,0.8432584,1.934431
Kcnq5,12.7064,2.1598642,5.4485669421266906e-37,2.6400009511773234e-35,0.7043010752688172,0.8204766,1.8994704
Mir99ahg,12.495297,2.1976783,7.91992529291585e-36,3.778413589743392e-34,0.6451612903225806,0.70328844,1.7371141
Ccser1,12.434684,2.0698345,1.6941031249524712e-35,7.95971786436002e-34,0.7060931899641577,0.8669986,1.9158568
Ntm,12.432521,2.0310137,1.7405677360675633e-35,8.055970969470916e-34,0.6971326164874552,0.8712599,1.8991925
Anks1b,12.426439,1.7739,1.8781489738398135e-35,8.564911717466561e-34,0.8082437275985663,1.3749379,2.407382
Negr1,12.31832,1.8915241,7.218178318281905e-35,3.1976529949988844e-33,0.7759856630824373,1.1905977,2.2505524
Phactr1,12.31332,1.8659074,7.679762937021372e-35,3.354217587000461e-33,0.7849462365591398,1.1835138,2.2255838
Ralyl,12.186889,1.9361383,3.650961094763494e-34,1.5509082677892595e-32,0.7401433691756273,1.0587949,2.1048007
Marchf1,12.179726,2.1230772,3.986199266339247e-34,1.6704329628267574e-32,0.6720430107526881,0.76076955,1.7860348
Frmd4a,12.173103,2.1165981,4.323263724900497e-34,1.7875254414555255e-32,0.6594982078853047,0.7737616,1.8025107
Zbtb20,12.139384,1.996664,6.531596927775698e-34,2.665063430662163e-32,0.7329749103942652,1.0321947,2.1056192
Dmd,11.846179,1.8946651,2.252281995958718e-32,8.62262527094813e-31,0.7275985663082437,0.99134994,1.9881668
Egfem1,11.772658,2.206765,5.399582225416677e-32,1.9933457715496564e-30,0.589605734767025,0.5613349,1.4987731
Ncam2,11.640213,1.9120718,2.5737324365471574e-31,9.280400332247366e-30,0.7078853046594982,0.9741981,1.9749365
Pcdh15,11.425056,2.159022,3.1345328416597972e-30,1.0681523452733e-28,0.589605734767025,0.5895593,1.5232617
Fgf12,11.252606,1.8441399,2.2484769665148232e-29,7.497340938884373e-28,0.7007168458781362,0.95343417,1.9058704
Asic2,11.097997,2.0525417,1.2828743618297242e-28,4.1875719958252366e-27,0.6093189964157706,0.67263323,1.6054097
Lrrc7,11.056303,1.800356,2.043474276618612e-28,6.600847637285745e-27,0.7311827956989247,1.0642661,2.0299003
Sgcz,11.038328,1.9659222,2.496340215403536e-28,7.98056804944986e-27,0.6577060931899642,0.8118003,1.7734143
Mgat4c,11.00819,2.007163,3.4894251801755298e-28,1.1041538248698283e-26,0.6111111111111112,0.6828307,1.5968382
Adgrl3,10.977376,1.8186408,4.909763718002261e-28,1.5378966959116173e-26,0.7383512544802867,1.0538474,2.0270557
Gm26871,10.736812,1.9419919,6.836454332145379e-27,2.098994542968596e-25,0.600358422939068,0.68200177,1.5596561
Unc5c,10.734852,2.071964,6.983060182391215e-27,2.122987218195604e-25,0.5555555555555556,0.54905844,1.4051569
Ctnnd2,10.661061,1.6278024,1.5482086633224736e-26,4.661160257245622e-25,0.7025089605734767,1.0817727,1.9496204
Lrfn5,10.583959,1.6866003,3.5369094023202373e-26,1.0347128355278355e-24,0.7078853046594982,1.0488117,1.9414427
Rims1,10.42989,1.7564081,1.810988909998306e-25,5.1998857499118025e-24,0.6541218637992832,0.85805035,1.7209731
Prkg1,10.415428,1.8591164,2.1084584285654077e-25,5.943935988164845e-24,0.6111111111111112,0.71595013,1.5676163
Grid2,10.374816,1.9717169,3.228323717802117e-25,9.018947611625554e-24,0.5716845878136201,0.64896315,1.5224153
Gm28307,10.358261,4.0158,3.8387890197710378e-25,1.0628647098491062e-23,0.36200716845878134,0.07995521,0.8529173
Dlgap2,10.353463,1.8233999,4.0361734548098853e-25,1.1076260073774737e-23,0.6075268817204301,0.7674334,1.626292
Slc8a1,10.339881,1.5492581,4.651172486768441e-25,1.2541987723016466e-23,0.7132616487455197,1.185973,2.0353415
Grin2a,10.329204,1.6227801,5.199035622871056e-25,1.389845643665788e-23,0.6720430107526881,0.9807109,1.813493
Kalrn,10.063434,1.6311867,8.015268810866092e-24,2.1063854730928602e-22,0.6684587813620072,0.9429262,1.7673904
Pex5l,10.047081,1.8763266,9.462885573984914e-24,2.4659166525148925e-22,0.5591397849462365,0.60540587,1.3998474
