names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,mean_expr_Nestin_Control (for_DEGs),mean_expr_Nestin_Mutant (for_DEGs)
Naaladl2,9.159327,0.8492771,5.222222543065513e-20,5.903200362681255e-16,1.0,1.5356406,2.0236073
Mir99ahg,6.7103624,0.52032894,1.9414157468342874e-11,5.486440900553696e-08,0.995575221238938,2.2775857,2.6067116
Tenm4,6.4814353,0.55109787,9.085423317731999e-11,2.0540325036728504e-07,0.995575221238938,1.9709141,2.3076613
A830082K12Rik,5.6399875,0.9256986,1.7006239887208653e-08,2.1669910895792885e-05,0.915929203539823,0.6060028,0.9487738
Gm28307,5.5746593,1.2169076,2.4801438147920486e-08,2.54868597112812e-05,0.6858407079646017,0.18482491,0.3865455
Tenm2,5.50654,0.4786687,3.659553997752019e-08,3.447299865882402e-05,1.0,3.9231157,4.249303
Phactr3,5.1754327,0.5801785,2.2738344790575554e-07,0.00015119661736039182,0.9557522123893806,0.74231946,0.9729502
C130071C03Rik,5.102846,0.36143118,3.345833788109351e-07,0.00019905950074099,0.995575221238938,1.6815876,1.8900017
Gm4258,4.885644,0.4960551,1.0309124519138934e-06,0.0004569237946921225,1.0,1.3403194,1.6049411
Hecw2,4.8672185,0.40361163,1.131799916080983e-06,0.0004569237946921225,0.9867256637168141,1.4525431,1.673512
Gm11867,4.525502,0.888135,6.0252201778925815e-06,0.0017463868946384037,0.7035398230088495,0.24086113,0.40816146
Bach2,4.3808875,0.46500707,1.1819698772091917e-05,0.0025469108346525752,0.9734513274336283,1.0032455,1.2190537
Pde4d,4.3267264,0.45050746,1.513417117577449e-05,0.0030013451047535937,1.0,2.3402133,2.6263103
Dlgap4,4.2429724,0.5164541,2.205784119794148e-05,0.0038455875424789347,0.8805309734513275,0.6201577,0.8015804
Tmem178b,4.144143,0.2671209,3.410869190907652e-05,0.005073219122897382,1.0,1.9386632,2.0991948
Ank2,4.017954,0.14904362,5.870571506450931e-05,0.007456285427968688,1.0,2.8897843,2.9876232
Phactr1,4.00232,0.3754322,6.272446622221732e-05,0.007791619408526863,0.9911504424778761,2.4946713,2.735812
Hivep2,3.977752,0.30345562,6.956991080719123e-05,0.008548024693092281,1.0,2.089639,2.2762287
Clstn3,3.9665847,0.5829294,7.290987462760919e-05,0.008839473713655822,0.8672566371681416,0.4691668,0.6401304
Kcnma1,3.9587677,0.15539488,7.533747891501068e-05,0.008870988142242507,0.995575221238938,2.6545417,2.7550461
Afap1,3.9403417,0.6973503,8.136559258432105e-05,0.009482027407970774,0.7566371681415929,0.38205412,0.5621731
Cmip,3.9029317,0.3127292,9.503451490355443e-05,0.010636338182869102,0.9734513274336283,0.9909532,1.132625
Npas2,3.8990233,0.611803,9.658151548004994e-05,0.010703504421436123,0.8185840707964602,0.4933492,0.6803931
Pde4b,3.890648,0.7246644,9.997694788610365e-05,0.010866725181774188,0.9734513274336283,1.4795141,1.8875804
Meg3,3.873897,0.15946846,0.00010710867637141639,0.011315481100023278,1.0,4.3287106,4.4378653
Pdzrn3,3.8448625,1.0094724,0.00012062012314248809,0.012283692540564734,0.7345132743362832,0.45993453,0.7773204
Ext1,3.8292284,0.39828122,0.00012854571659618746,0.012859121950471708,0.9778761061946902,1.5419775,1.7650505
Pak5,3.8113608,0.38199106,0.00013820387389522636,0.01358483991749251,0.9867256637168141,1.3468142,1.5491855
Nrg1,3.8091273,0.6174088,0.00013945811232310534,0.013589952600865369,0.9911504424778761,2.0954936,2.4796786
Satb2,3.8041022,0.8594334,0.0001423194585644354,0.01363372169163032,0.7035398230088495,0.37588963,0.60314167
