names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,mean_expr_Nestin_Control (for_DEGs),mean_expr_Nestin_Mutant (for_DEGs)
Mir99ahg,5.483453,0.67304736,4.1710404262940657e-08,0.00018194078339494715,0.9884393063583815,2.2765498,2.7040539
Naaladl2,5.097413,0.7434915,3.4432650070964274e-07,0.001001301464063641,0.9884393063583815,1.6426904,2.0769298
A830082K12Rik,4.005043,1.0989134,6.200616001301726e-05,0.05335800399939283,0.7456647398843931,0.6897151,1.1401558
C130071C03Rik,3.9655938,0.6034438,7.321343597132021e-05,0.05335800399939283,0.9710982658959537,1.5226145,1.8633989
Frmd4a,3.8998451,0.27881482,9.625428043080583e-05,0.05598148949855668,0.9942196531791907,2.6708815,2.8519087
Lrch1,3.7448657,0.6286879,0.00018049034647170877,0.08287356750627302,0.8208092485549133,0.73893976,0.98993355
Kcnip4,3.6988413,0.67689466,0.00021658583710126636,0.09447474214357239,1.0,2.3286328,2.7606516
Gm26871,3.6753597,0.5882862,0.00023751451531806692,0.09659885587062345,0.9595375722543352,1.6060787,1.9442856
Cadm1,3.5372872,0.4535414,0.0004042598438158177,0.12685475123564624,0.9942196531791907,2.5000572,2.7920384
Adcy8,3.2479923,0.84495544,0.001162224096576977,0.21942345762844653,0.7283236994219653,0.54869264,0.8385493
Robo1,3.2479923,0.45953414,0.001162224096576977,0.21942345762844653,0.9884393063583815,2.501826,2.7977474
Foxj3,3.2348425,0.6639004,0.0012170982769369753,0.21942345762844653,0.7109826589595376,0.5080378,0.7172974
Sec61a1,3.1850612,1.2827969,0.001447233536481483,0.22955755222299015,0.49710982658959535,0.18944272,0.41044366
Zeb2,3.1690936,0.32169557,0.0015291508047182323,0.2382198503636046,0.976878612716763,2.2750487,2.4772716
Hivep3,3.1559439,0.50273037,0.0015997959995745737,0.24296639175646678,0.9479768786127167,1.4221786,1.6970358
Fat3,3.104284,0.7647227,0.001907400458884585,0.2586026298944001,0.7976878612716763,0.7751368,1.0950698
Kirrel3,3.103345,0.95378846,0.0019134651197858135,0.2586026298944001,0.9421965317919075,1.9070495,2.493612
Erbb4,3.0629563,0.80315137,0.0021916205082407004,0.26638604590333337,0.9942196531791907,2.4982274,3.0191932
Pcdh7,2.9305193,0.7287313,0.003383958830107842,0.3107542824616928,0.9190751445086706,1.7740177,2.2094884
