names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,mean_expr_Nestin_Control (for_DEGs),mean_expr_Nestin_Mutant (for_DEGs)
Naaladl2,17.149818,0.9564501,6.304964852937878e-66,5.857312348379288e-62,0.9833119383825417,1.3538599,1.8831013
Mir99ahg,14.299379,0.5508355,2.2077016808613647e-46,1.0254774307601039e-42,0.9987163029525032,2.5079792,2.863604
Dpp10,10.8005705,0.68948066,3.420731322951875e-27,6.3557187980445844e-24,0.9781771501925546,1.4809868,1.8685371
Hivep2,10.564554,0.34155366,4.350320785302301e-26,5.773497156494054e-23,1.0,2.5858393,2.806579
ENSMUSG00000121513,10.352625,0.5267858,4.0716756806648447e-25,4.2028741192640455e-22,0.9987163029525032,2.4107742,2.748078
Slit3,9.791434,0.28943256,1.2254449314218818e-22,1.0349439466281165e-19,1.0,2.732513,2.9212332
Gm26871,9.462216,0.44756645,3.014836481115838e-21,2.333985909130511e-18,0.9974326059050064,2.293642,2.5765915
Phactr1,8.87676,0.2756834,6.883623177805067e-19,3.5527144067671707e-16,1.0,3.1012816,3.2845154
Schip1,8.84018,0.3945861,9.556451927962458e-19,4.672602021619539e-16,0.9987163029525032,2.465808,2.7187786
A830082K12Rik,8.564528,1.0423883,1.0851924439062589e-17,4.5824717290405205e-15,0.7021822849807445,0.40691492,0.7101517
Rims2,8.415962,0.4288047,3.8968334519917205e-17,1.3407993618149291e-14,0.9910141206675225,1.7237192,1.9739887
Gabrb1,8.303077,0.35121244,1.0144909749565847e-16,2.945194111670835e-14,1.0,2.415022,2.6389666
Arhgap15,8.146512,1.2203163,3.7457219016852706e-16,1.0234634254898872e-13,0.6495507060333762,0.37037867,0.71514773
Fgf14,7.6586614,0.29162216,1.8788129626465425e-14,3.794385309344865e-12,1.0,3.1271465,3.3212273
Foxp1,7.594579,0.29464576,3.0879438243172846e-14,6.1036166229590585e-12,0.9974326059050064,2.1275532,2.3095348
Auts2,7.471448,0.2773054,7.931705578090438e-14,1.4448146043227485e-11,1.0,2.9565847,3.139662
Zbtb20,7.442598,0.36411119,9.872440739681143e-14,1.7316493531569e-11,0.9961489088575096,3.0267386,3.2682536
Prkg1,7.401524,0.25458136,1.346302988151248e-13,2.3161397703564993e-11,0.9961489088575096,2.472628,2.6353507
Grip1,7.094595,0.45211726,1.2973065570443403e-12,1.7466634659336118e-10,0.9730423620025674,1.6211275,1.8798648
Grik2,7.0537014,0.2965774,1.7422015915675105e-12,2.2795848993890385e-10,0.9987163029525032,2.5962992,2.7879238
Grid1,6.988271,0.2676413,2.7829428713169806e-12,3.447138569937967e-10,0.9961489088575096,1.8926259,2.0522974
Tenm1,6.9675097,0.5618734,3.2260051403108485e-12,3.892154253699712e-10,0.9460847240051348,1.4732177,1.7858737
Gm11867,6.7341,1.006666,1.6494788865545654e-11,1.7217594220327992e-09,0.5802310654685494,0.25234544,0.45535904
5730522E02Rik,6.689341,0.2530091,2.241774114427263e-11,2.2393636046268032e-09,0.9987163029525032,2.4831595,2.6450126
Gm28307,6.6642656,1.3332299,2.659919370640615e-11,2.609091211563502e-09,0.4852374839537869,0.16197084,0.36673954
Pcdh7,6.470851,0.654016,9.745245850717461e-11,8.571418212231356e-09,0.9165596919127086,1.2884865,1.635916
Hcn1,6.44973,0.25770095,1.1204956370828973e-10,9.572591569004827e-09,1.0,2.6125205,2.7790728
Ntng1,6.355,0.8715033,2.084265914597487e-10,1.6376264292732656e-08,0.7535301668806161,0.79666436,1.172065
Mctp1,6.348619,0.7952561,2.1725666177566932e-10,1.6819286565799733e-08,0.766367137355584,0.7899023,1.1275175
Sv2b,6.219556,0.35352233,4.98564073061665e-10,3.482451307325465e-08,0.975609756097561,1.4892199,1.6840029
C130071C03Rik,6.205535,0.2888261,5.451109944776214e-10,3.7449305707065995e-08,0.975609756097561,1.5019227,1.6608763
Runx1t1,6.075034,0.27393222,1.2396131809173633e-09,7.887675651179662e-08,0.982028241335045,1.6963552,1.8540088
Dcc,5.9522624,0.33315697,2.6446052900430448e-09,1.5748963554166594e-07,0.993581514762516,2.6365304,2.8525796
Vrk2,5.6585455,1.150845,1.5266110522658495e-08,7.272931628487048e-07,0.5250320924261874,0.25813434,0.5031649
Unc5d,5.642188,0.88955075,1.679025141615617e-08,7.838263098296022e-07,0.631578947368421,0.39949062,0.64697057
5031425E22Rik,5.6307735,0.380091,1.7940292712743286e-08,8.333265965069256e-07,0.8189987163029525,0.70528233,0.8472417
Oxr1,5.627718,0.28964546,1.8260934846177466e-08,8.44000421497456e-07,0.9974326059050064,2.269483,2.451268
Zmynd8,5.6012044,0.3217918,2.1286762245646117e-08,9.789803032774872e-07,0.9306803594351734,1.10456,1.2590675
Mtus2,5.593475,0.2742349,2.2256935760998604e-08,1.0135633981356717e-06,0.9281129653401797,1.1126176,1.2441182
Mgat4c,5.591408,0.5174429,2.2523591132505684e-08,1.0176669201881282e-06,0.9435173299101413,1.4921546,1.7806342
Gpc5,5.5902395,0.50568306,2.267567841538671e-08,1.0176669201881282e-06,0.9589216944801027,1.9519747,2.259598
