names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,mean_expr_Nestin_Control (for_DEGs),mean_expr_Nestin_Mutant (for_DEGs)
Emid1,-2.4080544,-0.55959046,0.016037797198761868,0.04999478073586924,0.12346477052359406,0.05178372,0.035425622
Gpr135,-2.4095685,-0.53375316,0.01597139844029174,0.04980077771812479,0.09437621202327084,0.035540182,0.024683872
Pfdn6,-2.4148238,-0.62033147,0.015742827036573752,0.04916498451380228,0.08855850032320621,0.037810583,0.024758492
5930430L01Rik,-2.4158332,-0.43158078,0.015699251611765146,0.049041706053680155,0.15319974143503556,0.05505297,0.04110689
Cd9,-2.423226,-0.4751944,0.015383346964793968,0.048256574765216755,0.11312217194570136,0.0519253,0.037623584
Pigc,-2.4236715,-0.36374956,0.01536449651992744,0.04821008905413077,0.13122171945701358,0.043709125,0.0341323
Dnah7b,-2.4242654,-0.35862654,0.015339394224458845,0.04814395699109681,0.18681318681318682,0.07449207,0.058566492
Sugct,-2.4328458,-0.44637182,0.014980675376512138,0.047117021607662325,0.2501616031027796,0.10906144,0.08118019
2310011J03Rik,-2.4328756,-0.571521,0.014979447074557003,0.047117021607662325,0.08985132514544279,0.034991246,0.023680065
Gm47469,-2.4332616,-0.60961896,0.014963487220841848,0.04711252769532038,0.10471881060116355,0.039059855,0.025770247
Zfp110,-2.43436,-0.34244326,0.014918144985630676,0.046982137934730474,0.21913380736910149,0.07626923,0.060631488
Mrps30,-2.436765,-0.30437472,0.014819304610367453,0.04675705660442586,0.14350355526826114,0.044646535,0.036306556
Sned1,-2.440239,-0.46254858,0.014677554046029257,0.04635874043381348,0.0989010989010989,0.04461958,0.032577384
Mpdu1,-2.4427032,-0.36363092,0.014577721933100253,0.046079936261171774,0.19909502262443438,0.0669194,0.052393075
Zfp442,-2.4446628,-0.41052088,0.014498765144304326,0.04587886573050837,0.1583710407239819,0.05462071,0.04136938
Rnf181,-2.4453158,-0.4253383,0.014472530142001972,0.045838965059523756,0.13445378151260504,0.04473288,0.033499807
Gm1673,-2.4461176,-0.3840821,0.014440389859634296,0.04579108510779817,0.1389786683904331,0.050410915,0.038853716
Fundc1,-2.4468598,-0.3176017,0.014410686480809167,0.045709015633293375,0.2585649644473174,0.08756377,0.07085856
Topors,-2.4469192,-0.29801866,0.014408312540012388,0.045709015633293375,0.2727860374919198,0.09221586,0.07563855
Mterf1a,-2.4527683,-0.57844573,0.014176162928785839,0.04508472242085666,0.10471881060116355,0.039545476,0.026655186
Uckl1,-2.4529166,-0.32068184,0.014170314002302432,0.0450781098269573,0.20426632191338073,0.0693019,0.05586736
4930558N01Rik,-2.4532433,-0.55827904,0.014157453858811557,0.045061174672256746,0.09243697478991597,0.034248326,0.023385715
A930024E05Rik,-2.4543715,-0.42360663,0.014113107113231384,0.0449559229781622,0.14156431803490627,0.04995417,0.037478507
Ppp4c,-2.4560342,-0.2948995,0.014047977455798054,0.04476038220528461,0.2062055591467356,0.07035334,0.057714455
Zfp772,-2.458053,-0.37795296,0.013969248183586802,0.044557020479949576,0.1195862960568843,0.039927457,0.030865673
Gins2,-2.4581718,-0.4965387,0.013964629203004527,0.04455417182751551,0.1182934712346477,0.045172688,0.032227907
Ndufa11,-2.4625661,-0.41769692,0.013794671981748803,0.04409427627846891,0.14738202973497092,0.05705427,0.043015286
Gm43920,-2.4640803,-0.32161635,0.013736530247319651,0.043955426464396145,0.15449256625727215,0.047730114,0.03837278
Ncbp2as2,-2.4661884,-0.25124186,0.013655948239234262,0.04370926901626426,0.1997414350355527,0.065180585,0.05504401
Sec14l5,-2.4666932,-0.43823606,0.013636716024727987,0.04367109004383965,0.18293471234647704,0.08711387,0.06501657
S100a16,-2.4685934,-0.67286104,0.013564526812261527,0.043486491051212696,0.07821590174531351,0.03381827,0.021346206
Arhgap24,-2.4688902,-0.2550023,0.013553277798610415,0.04347373817483459,0.30122818358112474,0.16799648,0.14262286
Arhgef40,-2.4702263,-0.44919232,0.013502759169164213,0.04333494206786519,0.10148674854557208,0.038588583,0.028409345
Etv4,-2.4722452,-0.5902718,0.01342673557533916,0.04311409882113471,0.12217194570135746,0.05265427,0.03528128
Prkd3,-2.4726017,-0.3563306,0.013413358984331835,0.04309428982660937,0.20103425985778928,0.079779714,0.06285572
Smim36,-2.474086,-0.41359442,0.013357749877686906,0.0429733583635674,0.1583710407239819,0.053458646,0.040399097
Rnf208,-2.4747689,-0.25018188,0.013332238185821316,0.0429143752963799,0.23529411764705882,0.07844041,0.06635645
Gm42869,-2.4782724,-0.25285715,0.013202028234376401,0.042563993967827715,0.19133807369101485,0.05982578,0.050445978
Hhip,-2.480054,-0.43060654,0.013136252002844365,0.04238621194010062,0.1396250808015514,0.06356804,0.047547147
Ccdc107,-2.486675,-0.31435737,0.012894316737913612,0.04169557586586559,0.17647058823529413,0.058519177,0.047328062
Gm16794,-2.4882486,-0.31425548,0.012837399517015416,0.04154522961420036,0.1577246283128636,0.05416875,0.043794516
Psmb4,-2.4902377,-0.44075176,0.012765765780917314,0.04134697378337195,0.15319974143503556,0.058196384,0.043201637
Cnpy2,-2.492702,-0.41229168,0.012677516188472687,0.04110567748963026,0.1396250808015514,0.047767095,0.036104947
Sart1,-2.4931474,-0.28108832,0.01266162520847942,0.041076428172272625,0.18616677440206852,0.061178718,0.0506173
Ndufv1,-2.4967697,-0.30918205,0.012533032113155783,0.04070342151252494,0.2062055591467356,0.06961516,0.056558244
Gm26724,-2.4976604,-0.7991597,0.012501588546849672,0.04064886236492764,0.08468002585649645,0.035119336,0.020332977
Llph,-2.5004513,-0.5202096,0.012403517251677888,0.04038150266691102,0.12087912087912088,0.04262647,0.029912885
Furin,-2.5058846,-0.27560332,0.012214543915513415,0.039842202984645234,0.23206205559146736,0.07774213,0.06464996
Anp32b,-2.5060627,-0.29475138,0.012208391495214447,0.03983300013636408,0.32449903038138334,0.11557796,0.09520255
Fam32a,-2.5076067,-0.33894017,0.012155185438651905,0.039691891719115094,0.167420814479638,0.0578389,0.046002477
Tor1a,-2.5128918,-0.33241832,0.011974609300925204,0.039198570495610076,0.178409825468649,0.058792766,0.046972677
Gm16091,-2.514881,-0.29130945,0.011907258172976732,0.03902082576937675,0.18422753716871365,0.060699284,0.049872726
Mgat2,-2.5149403,-0.51141876,0.011905252864757772,0.03902082576937675,0.0989010989010989,0.035429023,0.024985384
Gm41505,-2.518414,-0.28989926,0.011788462235924639,0.03870577468895849,0.24628312863606983,0.08662441,0.0714037
Gid8,-2.5188,-0.33630523,0.01177554843159326,0.03867399289892672,0.16095669036845509,0.054235253,0.04319762
Pbx3,-2.5211456,-0.25605863,0.011697341696629032,0.03850173740938342,0.6470588235294118,0.4850456,0.4205047
Rbm48,-2.5225708,-0.30318412,0.011650049025364524,0.03836719533057256,0.19263089851325146,0.06212987,0.05064655
Abtb2,-2.5263119,-0.2753246,0.011526711905367642,0.038023840266037584,0.24175824175824176,0.13835268,0.115648806
Kank3,-2.5304685,-0.2503332,0.011391030944284732,0.03768020692441406,0.22559793148028442,0.07774471,0.0657578
Mtrf1,-2.5331407,-0.33325332,0.011304557927159477,0.03741486401687601,0.14414996767937943,0.049008854,0.03909522
Stk32a,-2.5356643,-0.6540298,0.011223424664078427,0.037208126457734914,0.13510019392372333,0.07470961,0.04812013
Fundc2,-2.540296,-0.44292593,0.011075865761930422,0.03683125772557397,0.11764705882352941,0.041431088,0.030644247
Adhfe1,-2.5426118,-0.7299781,0.011002734630907243,0.036618619737375124,0.0989010989010989,0.042090327,0.02558825
Tor2a,-2.5436215,-0.4616992,0.010970991451902631,0.03654348629020938,0.11312217194570136,0.040529393,0.02959197
Paqr8,-2.5437105,-0.26924634,0.010968194493957308,0.03654348629020938,0.5391079508726567,0.2543753,0.21538742
Slc26a10,-2.545284,-0.437236,0.01091888593975064,0.03640034515403907,0.13574660633484162,0.050121106,0.037257466
Gm12279,-2.5464718,-0.40533513,0.010881802482979309,0.03629695790556948,0.1279896574014221,0.044384222,0.033693574
Diaph3,-2.5474515,-0.35161936,0.01085129294378532,0.036225505589554674,0.28118939883645766,0.12376372,0.09826201
Ddah1,-2.5493221,-0.291895,0.01079325852107186,0.03610231759300064,0.2792501616031028,0.11629681,0.09598164
Aarsd1,-2.555379,-0.2975859,0.010607226214571445,0.03555963304565331,0.3148028442146089,0.11018065,0.09054375
Ccnd3,-2.5577245,-0.34953737,0.010535953808175609,0.03536035241037438,0.19263089851325146,0.0732061,0.057901002
