names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,mean_expr_Nestin_Control (for_DEGs),mean_expr_Nestin_Mutant (for_DEGs)
Arl6ip1,-3.2887366,-0.70706534,0.0010063820642383914,0.049461490670220765,0.5132743362831859,0.36803928,0.2410065
Kif26b,-3.2909698,-0.5332951,0.0009984259494905672,0.049284746432495065,0.7345132743362832,0.7509301,0.57277465
Zfp934,-3.3166544,-0.6888339,0.000911022227963444,0.045953020049605435,0.4247787610619469,0.28614736,0.18690822
Ndufa4,-3.3177712,-0.9965386,0.0009073879563257119,0.045953020049605435,0.28761061946902655,0.21239531,0.11208019
Rnf112,-3.3194463,-0.6256175,0.0009019617349686095,0.04592691645083406,0.5353982300884956,0.39364058,0.27204257
Pcsk1n,-3.3233547,-0.6566517,0.0008894172978927836,0.04549309111031686,0.5309734513274337,0.37857348,0.25613514
Vamp2,-3.3350804,-0.63504857,0.0008527477397472179,0.044217708486708945,0.42920353982300885,0.29934168,0.2027031
Tmem186,-3.3384304,-1.1224244,0.0008425312058032708,0.043889275347466235,0.2079646017699115,0.1508435,0.072119944
Mdh2,-3.340664,-0.89784217,0.0008357833809688271,0.043827367521713075,0.29646017699115046,0.19812834,0.11118233
Tm9sf3,-3.3412223,-0.51835066,0.0008341042754466186,0.043827367521713075,0.7256637168141593,0.55303335,0.4158188
Eif5b,-3.3473642,-0.5256516,0.0008158395052101218,0.043827367521713075,0.6194690265486725,0.46177143,0.3419395
Sec62,-3.3473642,-0.45175028,0.0008158395052101218,0.043827367521713075,0.7743362831858407,0.60459906,0.474517
Dnajc15,-3.3490393,-0.71623343,0.0008109230026152645,0.043827367521713075,0.4469026548672566,0.32460105,0.2097887
Stxbp6,-3.3490393,-0.4948738,0.0008109230026152645,0.043827367521713075,0.8584070796460177,1.2095721,0.9817306
Fam163b,-3.350156,-1.0394164,0.0008076606228162782,0.043827367521713075,0.21238938053097345,0.15915328,0.08059705
Psap,-3.3523893,-0.6433112,0.0008011723688211394,0.043827367521713075,0.7035398230088495,0.5216072,0.36352783
9930021J03Rik,-3.3618815,-0.34283087,0.0007741332695395555,0.04310740137376914,0.9336283185840708,1.0423862,0.8951298
Calm3,-3.3646734,-0.70287424,0.0007663433146272377,0.04288487538884305,0.4424778761061947,0.287129,0.18592295
Capza2,-3.3657901,-0.53269804,0.0007632477605682183,0.04288487538884305,0.7079646017699115,0.50055707,0.37092227
Pnn,-3.3791907,-0.6340027,0.0007269956651690024,0.04192836224015512,0.5752212389380531,0.3857993,0.26495332
Rpl14,-3.3791907,-1.2612424,0.0007269956651690024,0.04192836224015512,0.16371681415929204,0.1364427,0.059200443
Akap9,-3.3803074,-0.33720505,0.0007240480179050391,0.04192836224015512,0.8849557522123894,0.8951338,0.7635742
Wapl,-3.3948247,-0.4255756,0.0006867254581414604,0.04085655041490036,0.8628318584070797,0.7946285,0.64374137
Dgki,-3.39985,-0.25397244,0.000674228359815782,0.0403252771394582,0.9823008849557522,2.0851643,1.9327651
Smad3,-3.39985,-0.77544314,0.000674228359815782,0.0403252771394582,0.5,0.38589746,0.24304332
Purb,-3.39985,-0.48738608,0.000674228359815782,0.0403252771394582,0.7168141592920354,0.5797029,0.44488806
Aff3,-3.4182758,-0.3403087,0.0006301920618791763,0.03850643820260653,0.9646017699115044,1.5382898,1.3579627
Kmt2c,-3.4227426,-0.25748673,0.0006199272679088874,0.03808509693718513,0.9734513274336283,1.335412,1.2070574
Ncdn,-3.4316764,-0.62033623,0.0005998627480845801,0.03705381696365079,0.48672566371681414,0.35419795,0.24411792
Prox1,-3.4383767,-0.9468638,0.0005852128363393127,0.03675136612210884,0.42035398230088494,0.4697634,0.270833
Gapdh,-3.4484272,-1.3212695,0.0005638613756895755,0.035608318384329395,0.19469026548672566,0.16279262,0.068358734
Rps23,-3.4640613,-0.9370147,0.0005320852533551516,0.033790402831048505,0.2743362831858407,0.18839398,0.10280939
Uvrag,-3.4802537,-0.4253688,0.0005009391513050409,0.031992181730803294,0.8362831858407079,0.8400571,0.68326306
Mphosph8,-3.4852788,-0.65913445,0.0004916242352773459,0.03157568383849499,0.5929203539823009,0.43351164,0.29538772
Rnpc3,-3.4875124,-0.59213465,0.00048753633823686707,0.03149206152816883,0.5663716814159292,0.3969304,0.28007132
Tanc1,-3.488629,-0.6046916,0.00048550429794058983,0.03149206152816883,0.7522123893805309,0.82764846,0.6135408
Plp1,-3.50873,-0.51254386,0.00045025166729107893,0.02976400495355764,0.8672566371681416,1.248341,1.0085555
Cst3,-3.5115218,-0.7791071,0.00044554885402393505,0.029626377916979776,0.4646017699115044,0.3837011,0.24101913
Map7d2,-3.513197,-0.38544375,0.000442749214179891,0.0296144208111804,0.8805309734513275,0.81820154,0.6777796
Rpl37a,-3.516547,-0.73177904,0.00043719912732990155,0.029417255567483376,0.38495575221238937,0.25881714,0.16371329
Son,-3.5193388,-0.32680914,0.00043262373889041357,0.02928370505639063,0.9513274336283186,1.0962453,0.9512492
Zranb2,-3.5254807,-0.37785092,0.0004227147827452119,0.028785348820192017,0.9203539823008849,1.0152096,0.85629517
Shisa4,-3.5265975,-1.0099623,0.0004209360823416943,0.028785348820192017,0.25663716814159293,0.20227528,0.1055495
Lnpk,-3.54279,-0.5119321,0.00039591790122406334,0.027456785002679826,0.7566371681415929,0.6983132,0.5356431
Tial1,-3.544465,-0.41592416,0.00039341067493941037,0.027451322651327745,0.8141592920353983,0.6997307,0.56499594
Pdzd2,-3.547257,-0.6526826,0.0003892649065733796,0.027330748471462628,0.7212389380530974,0.7792024,0.55985796
Neurod2,-3.5489318,-0.79673517,0.0003867970791853378,0.027327213644444116,0.3893805309734513,0.26142448,0.15870503
4930453N24Rik,-3.5500486,-0.8403685,0.00038515999201013847,0.027327213644444116,0.29646017699115046,0.1979425,0.115336955
mt-Cytb,-3.555074,-0.9791344,0.0003778729153746829,0.027034654654401365,0.29646017699115046,0.21754682,0.11625477
Grin1,-3.558424,-0.3621159,0.0003730866771819473,0.026862240757100208,0.9601769911504425,1.3724202,1.1912485
Prpf39,-3.5701497,-0.48575866,0.0003567774558797452,0.026130581768299087,0.7787610619469026,0.636774,0.49215293
Srek1,-3.588017,-0.30193618,0.00033320248347168467,0.02477974258660476,0.9513274336283186,1.2306396,1.087143
Nap1l5,-3.592484,-0.71067667,0.0003275408443326352,0.024520011286994096,0.5575221238938053,0.41633672,0.27424374
Bex2,-3.600301,-1.2605649,0.0003178490485869293,0.02395310430151099,0.2168141592920354,0.18066363,0.07940843
Actb,-3.6014178,-0.6092068,0.0003164866249422777,0.02395310430151099,0.7079646017699115,0.601709,0.4324243
Ncl,-3.6070013,-0.67514455,0.00030975612774014556,0.023658670729558146,0.5132743362831859,0.3489088,0.23228568
Cacna1e,-3.6092348,-0.31623462,0.0003071016432673892,0.023615489629214746,0.9646017699115044,2.0394125,1.8516039
Prdm5,-3.615935,-0.76660043,0.00029926542927273645,0.023170523373280908,0.42920353982300885,0.34477326,0.21670681
Tpr,-3.6243105,-0.46808907,0.00028973344734611975,0.02258721992276233,0.7964601769911505,0.68263394,0.5352063
Mier1,-3.6416194,-0.5135465,0.0002709282455480443,0.021267867275521476,0.7566371681415929,0.6179069,0.46935022
Actg1,-3.6444113,-0.8215408,0.00026800447976079415,0.021185473001510607,0.3407079646017699,0.238851,0.1420696
