names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,mean_expr_Nestin_Control (for_DEGs),mean_expr_Nestin_Mutant (for_DEGs)
4930444P10Rik,-2.275667,-0.58789396,0.02286595379861556,0.04996189905039931,0.07962962962962963,0.09299499,0.062823564
E4f1,-2.2766275,-0.4466752,0.022808480748022743,0.04984940136188593,0.09444444444444444,0.1061199,0.078945294
Eef1b2,-2.277245,-0.46123096,0.022771600098212295,0.049794935403837656,0.1037037037037037,0.11635011,0.08583422
Trf,-2.2773821,-0.41834447,0.022763411438429144,0.04979010429414223,0.1,0.112127975,0.08506539
Patl1,-2.2776566,-0.35621312,0.022747041794211803,0.04976737178675819,0.14074074074074075,0.14052388,0.11142213
Insyn1,-2.2776566,-0.48604026,0.022747041794211803,0.04976737178675819,0.07407407407407407,0.08666242,0.06263268
Trim26,-2.2821164,-0.5879151,0.022482465130803472,0.049331090156574574,0.09074074074074075,0.108487494,0.07347146
Rhbdl1,-2.2823908,-0.6526198,0.02246627122325313,0.04930855046811514,0.07407407407407407,0.091198474,0.058967922
Cfap97,-2.2834888,-0.30712053,0.022401596948794098,0.04921849545979115,0.16666666666666666,0.1660328,0.1362603
Jtb,-2.2842433,-0.532865,0.022357227332934434,0.04913397519169834,0.06851851851851852,0.08160588,0.057107657
Cdan1,-2.284655,-0.84339714,0.02233305794427371,0.049093815602420064,0.06296296296296296,0.08368338,0.04750009
Atf4,-2.284655,-0.5466075,0.02233305794427371,0.049093815602420064,0.07962962962962963,0.092240654,0.06405847
Sav1,-2.2861645,-0.7593698,0.02224463111573288,0.0489640611421379,0.05555555555555555,0.07637528,0.045820724
Cpne3,-2.2871938,-0.38862538,0.022184514804604014,0.04884464695344728,0.1425925925925926,0.14037605,0.108960405
Tmpo,-2.2879486,-0.6019223,0.022140519357059987,0.04876067301937014,0.09074074074074075,0.10463444,0.07015742
Ttyh3,-2.290693,-0.34212446,0.021981174992607256,0.048499534754488774,0.13518518518518519,0.13481823,0.10782957
Kctd20,-2.2914476,-0.38841534,0.02193753057864848,0.04842890167773221,0.12777777777777777,0.13142174,0.101923086
Phax,-2.2937806,-0.38196868,0.021803105995780885,0.048196034942093825,0.11481481481481481,0.1175191,0.09138968
Mfsd13a,-2.2939863,-0.44132465,0.021791279490311722,0.048196034942093825,0.0962962962962963,0.10496438,0.07835321
Phb2,-2.294947,-0.7811431,0.021736162916773945,0.04812470848390764,0.06481481481481481,0.08565537,0.0507314
Bhlhe41,-2.2984462,-0.3659688,0.02153640587077706,0.047784079852374255,0.10925925925925926,0.1140805,0.089627996
Cdk13,-2.2998185,-0.25366077,0.021458507149875267,0.04766204028727963,0.7425925925925926,0.9982924,0.89090925
