names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_14 (for_DEGs),mean_expr_Rest (for_DEGs)
Adarb2,39.46554,6.30207,0.0,0.0,1.0,0.5731804949053857,4.9350696,1.0115832
Dlx6os1,38.3841,5.8094068,0.0,0.0,0.9981684981684982,0.263901018922853,3.1906273,0.3475152
Nrxn3,37.53154,2.8631365,2.8187495688240344e-308,2.5246600304767267e-304,1.0,0.9275836972343523,5.008904,3.0653782
Grip1,37.21258,3.6881413,4.271718270900719e-303,2.8695267484775583e-299,1.0,0.775254730713246,3.9459832,1.5964551
Npas3,36.22786,4.3675127,2.2180881412447956e-287,1.192000567104953e-283,0.9945054945054945,0.5756186317321689,3.5698218,0.9827694
Erbb4,35.304676,4.5206265,4.978070187177978e-273,2.2293457654912047e-269,0.9963369963369964,0.7138646288209607,4.4078817,1.5113991
Cnr1,32.636013,3.788867,1.2656086663396032e-233,4.858129266363591e-230,0.9175824175824175,0.4310043668122271,2.0266593,0.3898029
Rbms3,31.21729,3.1857407,6.207841430982187e-214,2.085058740631142e-210,0.9505494505494505,0.5019650655021834,2.2125635,0.6389488
Sox2ot,29.859932,3.273948,6.524003339453017e-196,1.7529996973110256e-192,0.9816849816849816,0.4556404657933042,2.4969661,0.7665114
Nhs,29.447077,3.3677938,1.372305396167103e-190,3.352167817728187e-187,0.8644688644688645,0.25786026200873363,1.3306332,0.2387289
Abtb3,29.349308,3.8737578,2.438599242911213e-189,5.460430138085357e-186,0.8186813186813187,0.14348617176128092,1.075912,0.12384249
Kcnip1,28.849957,3.8305054,5.073349040472812e-183,1.0486222209038803e-179,0.8241758241758241,0.21961426491994177,1.4627727,0.20962952
Fstl5,28.431955,2.8596206,8.146256863663934e-178,1.5634994423332135e-174,0.891941391941392,0.4619723435225619,1.8642638,0.5602055
Gad2,28.41862,3.409597,1.1906796126873944e-177,2.132904079527353e-174,0.8351648351648352,0.21146288209606987,1.2628613,0.21398436
Meg3,27.874704,1.8206038,5.406872630450898e-171,9.080166723763476e-168,1.0,0.9114992721979621,4.456086,3.2231007
Sorcs3,27.55347,2.5568223,4.021260653019474e-167,6.355957279213722e-164,0.924908424908425,0.5766011644832606,2.2407985,0.8869536
Snhg11,27.461985,1.7457821,4.997277510048236e-166,7.459824816388672e-163,1.0,0.823981077147016,3.2997324,2.1729164
Synpr,27.316778,2.7825463,2.6808550149270417e-164,3.7912933816362955e-161,0.9102564102564102,0.5380276564774381,2.3218842,0.8485865
5330434G04Rik,27.287262,1.9016482,6.0079414823514275e-164,8.071669381539142e-161,0.9597069597069597,0.6383187772925765,1.7736275,0.83695906
Galntl6,27.150421,2.747603,2.5032490929415703e-162,3.202966815587619e-159,0.9835164835164835,0.8092794759825328,3.7164483,1.9421217
Zfp536,27.139568,2.6490097,3.3621104161446004e-162,4.1063594037184277e-159,0.9322344322344323,0.46728529839883554,1.9305621,0.66247165
A230057D06Rik,26.838177,1.6253814,1.159022274972812e-158,1.3540403708051938e-155,0.9945054945054945,0.7831877729257642,2.518535,1.5472169
Igf1,26.342617,4.8540635,6.236135721114328e-153,6.702598673053679e-150,0.6978021978021978,0.07470887918486172,0.9608832,0.054305058
Kcnmb2,26.298733,3.46176,1.982764253567963e-152,2.0491105958988906e-149,0.8040293040293041,0.2462882096069869,1.5951406,0.30498704
Nrxn1,26.268114,1.1586481,4.439090350835833e-152,4.417716952850327e-149,1.0,0.9660480349344979,4.393759,3.6057506
Slc35f1,26.08783,2.0729694,5.01097410704744e-150,4.8087455091558817e-147,0.9597069597069597,0.6478529839883551,2.1354625,1.020019
Usp29,25.903698,2.1363363,6.0505055426580374e-148,5.606106342455912e-145,0.9065934065934066,0.5514556040756914,1.554247,0.6145155
Grik1,25.790634,2.9504719,1.1294482040173542e-146,1.011609108064877e-143,0.9047619047619048,0.49119359534206697,2.2287302,0.7286077
Tcf4,25.678638,1.068336,2.02518602595872e-145,1.7553789844358327e-142,1.0,0.9316593886462882,3.471876,2.7648642
Slc2a13,25.568539,2.0265617,3.416134915642767e-144,2.868485786978786e-141,0.9505494505494505,0.6558951965065503,1.9816968,0.930288
Sntg1,25.50234,1.5951948,1.8568499219676153e-143,1.5119259819172673e-140,0.9926739926739927,0.8100072780203784,2.8870637,1.888117
Slc44a5,25.381287,2.2618709,4.058672219393822e-142,3.2075447804444706e-139,0.8864468864468864,0.60254730713246,1.9141687,0.7909144
Ubash3b,25.03917,2.4867163,2.2908431996223234e-138,1.709859910384773e-135,0.847985347985348,0.43231441048034935,1.4539149,0.46068668
Vstm2a,24.9428,2.3290584,2.5561885875130773e-137,1.8563456039588213e-134,0.8351648351648352,0.44894468704512375,1.2567892,0.40569583
C130073E24Rik,24.879568,3.5426023,1.2381954325735926e-136,8.755345071908535e-134,0.782051282051282,0.3343522561863173,1.849818,0.3783409
Pde4d,24.864227,1.7001001,1.814581056403048e-136,1.250199820142305e-133,0.9945054945054945,0.8207423580786026,2.9279623,1.8631803
Gad1,24.847898,2.7438025,2.7246744337110305e-136,1.830300050845385e-133,0.7838827838827839,0.25487627365356624,1.0144595,0.23304196
Sdk1,24.674442,2.550617,2.0120903318520877e-134,1.3186552979723318e-131,0.8681318681318682,0.45524017467248906,1.6934823,0.56392175
A330076H08Rik,24.53533,1.7055055,6.2031151138294206e-133,3.96851674068087e-130,0.9340659340659341,0.6506914119359534,1.6317794,0.8158471
Apba1,24.462025,1.683171,3.748340050595915e-132,2.3422766781281916e-129,0.924908424908425,0.7236171761280932,1.8914652,1.0126487
Dlx1as,23.952139,3.9155824,8.777980692937868e-127,5.360553209528194e-124,0.6684981684981685,0.1217976710334789,0.84041226,0.083692074
Rian,23.781448,1.5104303,5.196770151757709e-125,3.103049199505103e-122,0.989010989010989,0.7560407569141193,2.4540172,1.5545499
Kcnc2,23.715075,2.4471734,2.5205824325867357e-124,1.4723489122522954e-121,0.9267399267399268,0.59617903930131,2.362904,1.0167985
Grid2,23.101248,1.7165765,4.498171394772954e-118,2.5180388620322763e-115,0.9853479853479854,0.8080786026200873,2.8147142,1.7532853
Cntnap5c,22.857128,2.2492306,1.2413397313444662e-115,6.807101751270573e-113,0.891941391941392,0.4995269286754003,1.8166668,0.73405516
Thrb,22.636261,1.7391661,1.9053986728483248e-113,1.0038835752830292e-110,0.9652014652014652,0.6866812227074236,2.0367775,1.0975162
Cit,22.350664,2.0070093,1.1895903064500134e-110,5.919313247094788e-108,0.8406593406593407,0.42587336244541485,1.1505395,0.4300633
Cntnap2,22.251078,1.7667974,1.1011379701790537e-109,5.3795595015838493e-107,0.9981684981684982,0.9124454148471616,3.9394066,2.7604523
Vwc2,22.109528,3.4364297,2.559324265428668e-108,1.2280186252155054e-105,0.6538461538461539,0.1510553129548763,0.92078596,0.13067335
Robo1,22.0179,1.6665012,1.9404763612247072e-107,8.989758590708254e-105,0.9688644688644689,0.7884643377001456,2.7691836,1.7418894
