names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_4 (for_DEGs),mean_expr_Rest (for_DEGs)
Fam89b,-2.2874062,-0.66909134,0.022172124045000813,0.04997189843056298,0.01256281407035176,0.04713626390254975,0.016048772,0.025399242
Cebpb,-2.288706,-2.7399013,0.0220964394063606,0.04980549675773084,0.00314070351758794,0.03730044639479458,0.0037002198,0.024462506
Gm14327,-2.2895386,-0.77723646,0.022048082235542284,0.049700668596394396,0.008165829145728644,0.042596655822047365,0.011050282,0.018864445
Tmem41a,-2.291264,-1.3841212,0.021948140733442728,0.049479531966407087,0.006909547738693468,0.04127260346523417,0.0088787,0.023010965
Amigo2,-2.291733,-3.086319,0.02192105291566486,0.04942261217015563,0.0018844221105527637,0.036089884239993944,0.0022072562,0.01859359
Gm17178,-2.292843,-0.45243782,0.021857042562660096,0.049290703622213744,0.01193467336683417,0.04660664295982447,0.015818583,0.021582875
Gm48956,-2.293891,-2.6622245,0.02179676828710156,0.049158902457144445,0.0018844221105527637,0.036127714307331464,0.0024262182,0.015259787
Tmem30c,-2.2943614,-1.6138691,0.021769751584357306,0.049102092258178534,0.005025125628140704,0.03938110009835818,0.0055615655,0.016925748
Harbi1,-2.2944045,-0.56940055,0.02176728032552736,0.04910063988808933,0.01256281407035176,0.04724975410456231,0.015571719,0.023020811
Rfc5,-2.2952225,-1.9247679,0.02172037277325506,0.04899894353264742,0.0037688442211055275,0.0380948778088825,0.0046170745,0.017417869
Gm15631,-2.295535,-1.9658827,0.021702474221227907,0.04896267693739663,0.00314070351758794,0.03745176666414466,0.004239232,0.01645958
Scml2,-2.2955384,-1.2074486,0.021702291649126654,0.04896267693739663,0.00628140703517588,0.04070515245517137,0.008960644,0.020572621
Islr,-2.2969196,-2.5682154,0.021623363429166754,0.04879238959873284,0.00314070351758794,0.03745176666414466,0.0033393323,0.019643668
Prmt6,-2.2971778,-0.296162,0.021608626341954238,0.04876323085649705,0.013819095477386936,0.04864946659605054,0.018848838,0.02309474
Tmed3,-2.2982593,-0.2500614,0.021547043731388257,0.04862834411745359,0.02512562814070352,0.060490277672694256,0.03253744,0.038578022
Rprm,-2.299712,-0.77373147,0.02146453838839981,0.04845028112368136,0.013190954773869347,0.04793069531663766,0.018965522,0.032210156
Chn1os3,-2.299878,-3.7068398,0.021455137073226264,0.04843312888831301,0.000628140703517588,0.03491715215253083,0.0010837837,0.014060193
Nol3,-2.3018427,-1.4288205,0.021344040167111746,0.04819448397397417,0.006909547738693468,0.04142392373458425,0.008292609,0.022171138
Frem2,-2.3072238,-2.8359587,0.021042347204176907,0.04753323828299567,0.0037688442211055275,0.03820836801089506,0.0046597957,0.032805342
1700001L05Rik,-2.3079605,-1.9177487,0.021001327141222707,0.04744855463589121,0.00314070351758794,0.03764091700083226,0.0042485255,0.015958464
C030037D09Rik,-2.309042,-1.534444,0.020941255033480925,0.04732079074507043,0.007537688442211055,0.042142695013997124,0.010365887,0.029737176
Pcdhb7,-2.3096623,-0.6329885,0.020906856532171104,0.04725498275735511,0.01256281407035176,0.04747673450858743,0.016238844,0.025071416
Gpr149,-2.3098042,-3.118027,0.020898993363754167,0.04724515831096033,0.0018844221105527637,0.036354694711356585,0.002610176,0.022437535
