names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Control (for_DEGs),mean_expr_Mutant (for_DEGs)
Naaladl2,16.256498,1.524074,2.008955024225897e-59,7.680235057615605e-56,0.8918918918918919,0.7551401869158878,1.7282267,2.661508
Tenm2,12.115267,1.0298498,8.767822167524546e-34,1.1173128048815445e-30,0.930298719772404,0.8411214953271028,2.1956196,2.8509943
Dpp10,11.122906,0.9336544,9.705874547739952e-29,9.27638959900246e-26,0.8733997155049786,0.8130841121495327,1.9651486,2.5432048
Ptprd,11.064093,0.78553766,1.8735003428982778e-28,1.4324783621800233e-25,0.9644381223328592,0.9214953271028037,2.703078,3.2190368
Dlg2,8.924192,0.63561594,4.489623926564736e-19,2.451976038750998e-16,0.9317211948790897,0.8934579439252337,2.5203319,2.9318275
Nrxn1,8.541386,0.5972718,1.3262191805738584e-17,6.337669909167327e-15,0.918918918918919,0.8953271028037383,2.4294531,2.8131342
Pcdh9,8.436998,0.5868781,3.255913878932015e-17,1.383039862128566e-14,0.9487908961593172,0.9196261682242991,2.6817803,3.0654318
Celf2,8.262645,0.4348234,1.4247956933973472e-16,4.951812668961871e-14,0.9715504978662873,0.9626168224299065,3.01731,3.3058922
Nlgn1,8.143575,0.5997516,3.837765034338399e-16,1.2226479771896416e-13,0.9061166429587483,0.8803738317757009,2.3245866,2.7064645
Nrxn3,7.804737,0.52787775,5.962581482141012e-15,1.6282106433017923e-12,0.871977240398293,0.8523364485981308,2.1444929,2.4738395
Lsamp,7.467183,0.5065603,8.192971176979831e-14,1.9576080505996185e-11,0.9544807965860598,0.9252336448598131,2.8921773,3.2267427
Adgrb3,7.370338,0.57473284,1.701959435994691e-13,3.6541441676703685e-11,0.8435277382645804,0.8186915887850468,2.0273774,2.3815193
Nrg3,7.3688936,0.5588729,1.7204968615764225e-13,3.6541441676703685e-11,0.9359886201991465,0.908411214953271,2.5770488,2.9397187
Cntnap2,7.0866227,0.5553839,1.3742430414610912e-12,2.3880596125026144e-10,0.8549075391180654,0.822429906542056,2.062208,2.4056864
Grm7,7.040487,0.6354108,1.9156915138133725e-12,3.184212459699358e-10,0.7610241820768137,0.7177570093457943,1.6019192,1.9678599
Csmd1,6.982476,0.51479447,2.9002217763849844e-12,4.5401057366085404e-10,0.9046941678520626,0.8766355140186916,2.3903015,2.7192533
Fgf14,6.913473,0.54021853,4.729296391195316e-12,6.953884655207576e-10,0.8264580369843528,0.811214953271028,1.9585363,2.2879272
Kcnip4,6.9014378,0.4735717,5.147888604755338e-12,7.289028939251725e-10,0.957325746799431,0.9289719626168225,2.933033,3.246278
Lingo2,6.173214,0.46174797,6.691565589997165e-10,6.914014932583557e-08,0.7980085348506402,0.7925233644859813,1.8515947,2.1277063
Rbfox1,6.0685053,0.3668944,1.2910601934191462e-09,1.233930779860349e-07,0.9089615931721194,0.9065420560747663,2.5097795,2.7456722
Marchf1,6.022129,0.53578496,1.7213767272692878e-09,1.566862673416783e-07,0.716927453769559,0.6934579439252336,1.5227574,1.824076
Galntl6,5.677675,0.5470386,1.365379106843033e-08,1.1106051756299819e-06,0.6870554765291608,0.6542056074766355,1.4062606,1.7049501
Dcc,5.671497,0.629445,1.415553368784887e-08,1.1274292768467965e-06,0.647226173541963,0.5869158878504673,1.2510972,1.580711
Lrrc4c,5.464166,0.4564332,4.650873351626922e-08,3.4192863121672546e-06,0.7211948790896159,0.719626168224299,1.6023448,1.862542
Gm28307,5.4095254,1.4734445,6.319196850531238e-08,4.392416283560168e-06,0.32574679943101,0.18504672897196262,0.31203756,0.7015595
Frmpd4,5.3916326,0.59826416,6.98203385065248e-08,4.682862352814812e-06,0.6102418207681366,0.5682242990654206,1.169102,1.4723535
Cadm2,5.3847322,0.41268614,7.255248014896025e-08,4.782209165680604e-06,0.9075391180654339,0.8766355140186916,2.4128785,2.6763976
Opcml,5.2957506,0.39993718,1.1852857969908097e-07,7.303989926520308e-06,0.8150782361308677,0.8093457943925234,1.9944564,2.2381685
Lrrtm4,5.292942,0.41450036,1.2036394595102783e-07,7.303989926520308e-06,0.8790896159317212,0.8616822429906542,2.2804213,2.5418675
Maml3,5.228593,0.35072863,1.708050974484985e-07,9.746087873815071e-06,0.8392603129445235,0.8448598130841122,2.2541318,2.4743252
Ralyl,5.1561394,0.5305354,2.520931220528169e-07,1.4172823611881164e-05,0.6017069701280228,0.594392523364486,1.1890833,1.4584422
Kctd16,4.990211,0.69312775,6.03133714484144e-07,2.9573566287476282e-05,0.5419630156472262,0.47102803738317756,0.9522868,1.2734962
Lrfn5,4.9429517,0.5101715,7.694848187890279e-07,3.631778348432659e-05,0.631578947368421,0.594392523364486,1.2354866,1.4985443
Kcnq5,4.8477917,0.59285516,1.2484336405597808e-06,5.4235929634773206e-05,0.5448079658605974,0.5214953271028038,1.0064927,1.2859951
Syt1,4.6822643,0.2738278,2.837231602852207e-06,0.00011182202492478336,0.8520625889046942,0.8672897196261682,2.1960561,2.3664417
Kcnh7,4.5206685,0.5869282,6.1644599619179905e-06,0.00021854155873805595,0.5263157894736842,0.4897196261682243,0.9543047,1.2233524
Tafa1,4.390606,0.4534054,1.1303530364184387e-05,0.0003571355089444373,0.5945945945945946,0.5906542056074766,1.1992278,1.4287202
Nrg1,4.342785,0.33711302,1.4068779417354176e-05,0.00042926538689668647,0.6813655761024182,0.7065420560747664,1.5596459,1.7485238
Asic2,4.2624683,0.7063454,2.0218095127743697e-05,0.0005481828203784692,0.4523470839260313,0.3925233644859813,0.74492747,1.0314367
Grm5,4.2298126,0.28465328,2.3388625195553e-05,0.0006209355147402717,0.7411095305832148,0.7738317757009345,1.7859032,1.9527314
Fgf12,4.1829543,0.5185592,2.8774503062181548e-05,0.0007385487956036197,0.5490753911806543,0.5196261682242991,1.0508795,1.2987546
Nav2,4.0926886,0.28202188,4.2639993196720596e-05,0.0009879557211579565,0.89900426742532,0.8934579439252337,2.7358384,2.9197416
Ccser1,4.073432,0.40479207,4.6325372909920934e-05,0.0010417758860860455,0.5761024182076814,0.5813084112149532,1.1794791,1.3818643
Kcnd2,4.060193,0.19822514,4.903215459247042e-05,0.001096198403549792,0.7368421052631579,0.7906542056074767,1.8488233,1.9658073
Snhg11,3.957571,0.44733298,7.57158007199486e-05,0.0015515651138007674,0.5590327169274538,0.5476635514018692,1.1029578,1.3203819
Grik2,3.924273,0.2788707,8.699206963090695e-05,0.0017321389697862357,0.6927453769559033,0.719626168224299,1.6111437,1.7687191
Xkr4,3.880785,0.4151241,0.00010411989901098147,0.001990251869594911,0.5590327169274538,0.5514018691588785,1.1084113,1.3100122
Dab1,3.8552697,0.34707215,0.00011560207484138623,0.002104508248183903,0.6486486486486487,0.6373831775700934,1.3894172,1.5752285
Unc5c,3.7321875,0.6134452,0.00018982416951182293,0.0031145828328055752,0.44096728307254623,0.40373831775700936,0.7447681,0.9902872
Nalf1,3.7073944,0.26394042,0.00020940265550308562,0.003335609799951235,0.7596017069701281,0.7644859813084112,1.805688,1.9607731
Cntn5,3.691668,0.4278785,0.00022278803574788316,0.0035194985977857743,0.5362731152204836,0.5177570093457944,1.0421019,1.2437992
Nkain2,3.689903,0.2876731,0.00022433962341996276,0.0035282876493836755,0.8278805120910384,0.8168224299065421,2.1169956,2.2943916
Sgcz,3.68894,0.4474583,0.0002251902135625469,0.0035282876493836755,0.5291607396870555,0.5177570093457944,1.0244614,1.2339876
Mdga2,3.6866934,0.2838825,0.00022718671098137565,0.0035450399840073438,0.6998577524893315,0.7046728971962617,1.5623199,1.7209256
Macrod2,3.6631844,0.36614576,0.00024909918827900363,0.0037988071478430073,0.6244665718349929,0.611214953271028,1.3179094,1.5098224
Pcdh7,3.649223,0.5804741,0.0002630345057628409,0.003944686328500244,0.4438122332859175,0.3981308411214953,0.7466914,0.9782656
Hs6st3,3.6452115,0.32423523,0.0002671721139768348,0.003974315142931671,0.5633001422475107,0.5869158878504673,1.1569489,1.3163099
Pcdh15,3.6343794,0.55490434,0.0002786504662581502,0.004128995087228327,0.46088193456614507,0.4280373831775701,0.81636834,1.0488482
Il1rapl1,3.4577796,0.1977536,0.0005446467880684761,0.0068268349861829,0.7667140825035562,0.7906542056074767,1.8768008,1.994071
Gm11867,3.3728898,0.92913353,0.0007438375148667907,0.0085396120700773,0.30014224751066854,0.23551401869158878,0.3924617,0.64980465
Lrp1b,3.306053,0.16060215,0.0009462022021187071,0.010104276588546976,0.8250355618776671,0.8523364485981308,2.179586,2.2789226
Hivep3,3.3032446,0.23124006,0.000955729709783087,0.010121204101110087,0.6842105263157895,0.7102803738317757,1.5669974,1.6958901
Gnaq,3.2922523,0.20767024,0.0009938841365888275,0.010397582870835713,0.6984352773826458,0.7214953271028037,1.5994965,1.7159879
Dmd,3.2678604,0.28044987,0.0010836377500220867,0.011196613833336318,0.5761024182076814,0.5925233644859813,1.2391878,1.3810601
Unc5d,3.2638485,0.7267677,0.001099098585197212,0.011295306159163822,0.34992887624466573,0.30467289719626167,0.5240964,0.7608677
Anks1b,3.175669,0.2336952,0.0014949138611734297,0.013939160222600052,0.6600284495021337,0.6822429906542056,1.4906565,1.61838
Grik1,3.0385454,0.7025887,0.0023772330371716758,0.01922085899288893,0.3385490753911807,0.2897196261682243,0.50471306,0.7267848
Tenm3,2.9873548,0.55742645,0.0028140305275307143,0.021480167856355075,0.3755334281650071,0.34766355140186916,0.63335663,0.8332654
Lrrc7,2.9433851,0.26084033,0.00324644176278676,0.023155124737189895,0.6002844950213371,0.6130841121495327,1.311217,1.4464202
Elmo1,2.9299858,0.2506312,0.003389775189589383,0.02357418986406324,0.9530583214793741,0.9345794392523364,3.0872037,3.2536254
Adgrl3,2.926696,0.2730123,0.0034258346320920523,0.023616405393120637,0.561877667140825,0.577570093457944,1.189179,1.3244945
Negr1,2.8929968,0.18368432,0.003815850840595446,0.02549152131891055,0.6486486486486487,0.6710280373831776,1.4759384,1.575553
Erbb4,2.8681238,0.27198768,0.004129141147604844,0.026892174799477548,0.5633001422475107,0.5794392523364486,1.2094841,1.345387
Gm26871,2.8480647,0.36288673,0.0043985994503740146,0.027933298502956574,0.47652916073968704,0.47289719626168225,0.9248925,1.0840968
Epha6,2.8130815,0.16154371,0.004906919507781944,0.03006274563822175,0.7268847795163584,0.7663551401869159,1.7901853,1.8843176
Khdrbs2,2.8123596,0.7421281,0.004917950511904205,0.03008211969121564,0.30867709815078237,0.2542056074766355,0.44984332,0.66791755
Adarb2,2.7983181,0.5444785,0.0051369486108497646,0.030975638074572,0.3655761024182077,0.32710280373831774,0.61165786,0.80209947
Grid2,2.7957506,0.46834832,0.005177934208402545,0.031122051680588084,0.4238975817923186,0.4130841121495327,0.7647821,0.95127743
Rims2,2.777216,0.53629655,0.005482672546753623,0.03180615651933096,0.3655761024182077,0.33457943925233646,0.6159855,0.80417645
Gria4,2.7397456,0.43513313,0.006148673480224049,0.03467017509571761,0.41536273115220484,0.4,0.76150674,0.93348235
Foxn3,2.7050836,0.17103748,0.006828718646792261,0.036943148309781536,0.8321479374110953,0.8448598130841122,2.1682785,2.2739642
Mertk,2.7036395,0.20702042,0.0068584668938446395,0.03697558093782534,0.8477951635846372,0.8485981308411215,2.348944,2.4795969
Prkg1,2.7033184,0.33848286,0.006865093407120235,0.03697558093782534,0.5448079658605974,0.5289719626168224,1.1204706,1.2844496
Csf1r,2.702837,0.19846123,0.0068750439629387495,0.03697558093782534,0.7496443812233285,0.7644859813084112,1.8209665,1.9375056
Mgat4c,2.5973265,0.36405775,0.009395258764881594,0.04533853716362404,0.4566145092460882,0.4523364485981308,0.8757759,1.0306205
Frmd4a,2.5779896,0.056027874,0.009937701413203322,0.046558618263083704,0.8463726884779517,0.8897196261682243,2.3708513,2.4061232
Phactr1,2.5473392,0.17736997,0.010854784151593591,0.04946107248098009,0.5960170697012802,0.6317757009345795,1.3348823,1.4269054
Csmd3,2.5138006,0.1321799,0.011943796242623896,0.05212458109081182,0.9288762446657184,0.9439252336448598,3.335772,3.4242713
Hcn1,2.4849958,0.39823937,0.01295529843490424,0.054849501590815364,0.41251778093883357,0.4093457943925234,0.77424484,0.9323851
Sec61a1,2.479941,0.7121397,0.013140417530830699,0.05508313182057649,0.2844950213371266,0.2467289719626168,0.41741827,0.6144643
Meg3,2.385262,0.123045824,0.017066955640218075,0.06472913830610486,0.7539118065433855,0.7794392523364486,1.8539273,1.9263288
Schip1,2.3598273,0.2588013,0.018283446903060788,0.06746874277065772,0.4694167852062589,0.5158878504672897,0.9719619,1.0872045
Kcnb2,2.3394473,0.42461494,0.019312298479606676,0.06976914854464362,0.3783783783783784,0.3644859813084112,0.6750607,0.83034015
Chsy3,2.3377624,0.54961324,0.01939958276300188,0.06976914854464362,0.32432432432432434,0.30280373831775703,0.5306257,0.7053617
Il1rapl2,2.3025386,0.65007895,0.021304817549732433,0.0737088846087123,0.2844950213371266,0.2523364485981308,0.4287235,0.60977477
Robo1,2.234017,0.30296525,0.02548196317142093,0.08255724169859509,0.4466571834992888,0.4542056074766355,0.8799896,1.0081639
Ldlrad4,2.2212594,0.15694466,0.026333403085554277,0.08424485355320001,0.8862019914651493,0.8859813084112149,2.5537317,2.654466
Rims1,2.1633286,0.2053169,0.030515902175204796,0.0926626640316187,0.5149359886201992,0.5570093457943925,1.1082822,1.2058167
ENSMUSG00000095041,2.14672,0.29345006,0.03181558997875004,0.09450738188714948,0.4523470839260313,0.4672897196261682,0.88479024,1.0091767
Gabrb1,2.1232107,0.23844968,0.03373620318508536,0.09794927841696384,0.4665718349928876,0.49906542056074765,0.94849265,1.0529536
Cnksr2,2.1208036,0.15296945,0.03393833594672304,0.09836714050365594,0.5860597439544808,0.616822429906542,1.300627,1.3788753
Magi2,2.1119776,0.006336864,0.03468837156939958,0.09955979317553648,0.6955903271692745,0.7682242990654206,1.7426156,1.7462405
Srgap2,2.1089287,0.13161482,0.03495074398845558,0.1000124957094803,0.9231863442389758,0.9233644859813084,2.9639664,3.050681
Oxr1,2.0619102,0.10240164,0.03921628697953325,0.10770392609393363,0.6756756756756757,0.7233644859813084,1.6377605,1.6953299
Ctnna2,2.0263655,0.12991054,0.04272733849142546,0.1136938260597797,0.5675675675675675,0.6037383177570094,1.2752265,1.340922
Ext1,2.013929,0.20118243,0.04401699490863517,0.11494328656810947,0.5334281650071123,0.5532710280373832,1.1819273,1.2806392
Zfp710,2.0062263,0.1279217,0.04483211326085825,0.11626530793287695,0.6486486486486487,0.6915887850467289,1.5410037,1.6113331
Tmcc3,1.9943513,0.1776229,0.04611367650056457,0.11839663214349118,0.8492176386913229,0.8429906542056075,2.3162313,2.4278593
Agbl4,1.9868894,0.3713261,0.04693466190517769,0.1196208083089962,0.3627311522048364,0.37009345794392523,0.67579675,0.81050444
ENSMUSG00000121513,1.9856858,0.38149303,0.04706822377687692,0.11988129213790838,0.3627311522048364,0.34953271028037386,0.6487676,0.78371483
Etl4,1.9365813,0.29377657,0.052796554436852,0.12872527271178905,0.4011379800853485,0.411214953271028,0.76906663,0.88344663
Ncam2,1.8752005,0.12359128,0.060765141899120245,0.1414165089546583,0.5320056899004267,0.5887850467289719,1.2006239,1.261267
Camk1d,1.8630046,0.008310401,0.06246161605258362,0.14350406139965577,0.89900426742532,0.9364485981308411,2.7607737,2.766171
Plxdc2,1.7870209,0.2240706,0.07393410615955777,0.15917774038366692,0.9473684210526315,0.9271028037383178,3.4898708,3.6407855
Prkcb,1.7825277,0.076416746,0.07466321822330796,0.15944390150117616,0.6116642958748222,0.6672897196261682,1.4270282,1.4675355
Dlgap2,1.7408851,0.1644992,0.08170372000142691,0.16793369370431988,0.48364153627311524,0.5121495327102804,1.0358118,1.1108336
E230029C05Rik,1.7205051,0.12431886,0.08534066604735276,0.17289738542608882,0.6130867709815079,0.6542056074766355,1.4752761,1.5423834
Epha5,1.7084696,0.13343771,0.08754922843820459,0.17625102702435816,0.492176386913229,0.5439252336448598,1.0738157,1.1356544
Dlgap1,1.6958725,0.0063601187,0.08991001151932762,0.17939768999915945,0.6884779516358464,0.7588785046728972,1.7410989,1.7447355
Ctnnd2,1.6870466,0.12827314,0.09159439048548368,0.18124279525958256,0.5945945945945946,0.6261682242990654,1.3604496,1.427294
Mir99ahg,1.6689935,0.11612554,0.09511867610311511,0.1852773786456367,0.9260312944523471,0.9196261682242991,2.8051355,2.8809366
Mlip,1.6654631,1.1375924,0.09582040637919803,0.18576136591667042,0.1507823613086771,0.10841121495327102,0.15499379,0.31397414
A230006K03Rik,1.6223762,0.55934787,0.10472281775891465,0.1964452072091907,0.2532005689900427,0.2336448598130841,0.39505574,0.5387785
C1qa,1.6125875,0.18435326,0.10683417736768579,0.1988447225300208,0.5433854907539118,0.5906542056074766,1.3059138,1.4006587
Tmeff2,1.5928493,0.14433725,0.11119400385405333,0.20420917905010816,0.4523470839260313,0.5065420560747663,0.97891605,1.0425376
Ank2,1.5925283,0.0012042574,0.11126603863831594,0.20421030519168595,0.7724039829302988,0.8261682242990654,2.0084505,2.0091739
Numb,1.586992,-0.0061736153,0.11251444524098957,0.2057447165007194,0.7837837837837838,0.8392523364485981,2.1983123,2.1945095
Gpc6,1.5723088,0.60739815,0.11587894787043383,0.20955960739319363,0.23470839260312945,0.21121495327102804,0.3458847,0.48831892
Inpp4b,1.5699819,0.016926272,0.11641930529624558,0.2101373957259428,0.7809388335704125,0.8392523364485981,2.0984294,2.1087308
Fchsd2,1.5508056,0.058530472,0.12094829787766483,0.21496560401871753,0.7908961593172119,0.8280373831775701,2.118487,2.1542668
Thrb,1.5297034,0.57071567,0.1260901631685353,0.21994464400751593,0.23186344238975817,0.20934579439252338,0.35897326,0.49556327
Plcb1,1.5034661,0.097004324,0.13271887890802947,0.22725630253307605,0.5135135135135135,0.5682242990654206,1.146863,1.1932304
Lrrtm3,1.4681622,0.59343594,0.14206016415302708,0.23704266667454885,0.2233285917496444,0.20373831775700935,0.3358971,0.47145244
Lims1,1.4662366,0.05401393,0.14258385450654726,0.2373086964643144,0.5334281650071123,0.6093457943925233,1.2470078,1.2738308
Prr16,1.454522,0.86964744,0.14580162121388293,0.24056952865803816,0.1678520625889047,0.13644859813084112,0.21296103,0.36023405
Gm2629,1.4526767,0.07521209,0.14631355865568524,0.2409981623182614,0.635846372688478,0.6785046728971963,1.5209657,1.5619367
Macf1,1.4394376,-0.007349872,0.15002656217489907,0.24468922661887332,0.8634423897581792,0.902803738317757,2.4195845,2.4149458
Kcnj3,1.4253963,0.23035175,0.15404267193952684,0.24848317925097516,0.3712660028449502,0.38878504672897196,0.7274722,0.8131737
Slc8a1,1.4181751,0.09762437,0.15613966182590006,0.25038671441292615,0.9530583214793741,0.9439252336448598,3.157535,3.2224143
Kcnc2,1.4165703,0.3825626,0.1566085870370493,0.2506130716796314,0.30440967283072545,0.29345794392523367,0.5461486,0.66640496
Tshz2,1.401165,0.63540655,0.16116474348162813,0.2549163485023849,0.19203413940256045,0.16261682242990655,0.28135288,0.4086098
Ifitm10,1.3887284,0.2054136,0.16491536442162735,0.25853413455418445,0.42532005689900426,0.45794392523364486,0.86912686,0.9542527
Zfhx3,1.3882469,0.101647966,0.165061859828722,0.2586194631660673,0.8819345661450925,0.8859813084112149,2.565237,2.6304467
Cntn3,1.3769337,0.49166378,0.1685327638882974,0.2612736238219631,0.2503556187766714,0.24485981308411214,0.4100377,0.5380707
Fat3,1.3681077,0.13334472,0.17127837883150865,0.2645645423324677,0.5206258890469416,0.5682242990654206,1.2170575,1.2829953
Pde1a,1.346845,0.16349462,0.17803013721469352,0.27115904963018855,0.42816500711237554,0.4691588785046729,0.8848338,0.95292616
Mapk10,1.3318409,0.24376985,0.1829124769809396,0.27660264320443084,0.34708392603129445,0.3663551401869159,0.65465003,0.7393854
Cntnap5a,1.3242987,0.24562167,0.18540386556013233,0.2782877809330137,0.3741109530583215,0.3925233644859813,0.7282026,0.81986886
Slc24a3,1.3173984,0.08063359,0.18770512524299088,0.28050107329139007,0.5746799431009957,0.6224299065420561,1.3387502,1.3802863
Anxa3,1.2800885,0.30313975,0.20051399986049778,0.29273497316986863,0.33001422475106684,0.34953271028037386,0.6210363,0.72374713
Car10,1.2430195,0.39365536,0.2138606823749728,0.30546736619290826,0.267425320056899,0.26542056074766357,0.46363446,0.5737359
Fbxl17,1.2369214,-0.019779965,0.21611624433882604,0.30817321973417827,0.6614509246088194,0.7327102803738318,1.6130655,1.6021028
Whrn,1.2172636,0.3859729,0.2235039457061535,0.31588006818285574,0.2773826458036984,0.2822429906542056,0.4824022,0.593398
Cmip,1.2151774,0.20425256,0.22429842271565115,0.31646119654549903,0.3741109530583215,0.411214953271028,0.74679995,0.8237767
Parp8,1.2001733,0.11192162,0.23007205472536707,0.3221851520934353,0.465149359886202,0.525233644859813,1.0280352,1.0785488
Ppm1h,1.1895019,-0.026162397,0.23424224252137482,0.3261267008261171,0.5718349928876245,0.6635514018691588,1.3721222,1.358617
