names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Control (for_DEGs),mean_expr_Mutant (for_DEGs)
Naaladl2,8.951027,0.73493385,3.521908879049428e-19,1.593663767769866e-15,0.9156769596199525,0.8463414634146341,1.2829409,1.6750877
C130071C03Rik,6.390521,0.37127942,1.653213621567834e-10,1.6623981416876552e-07,0.9726840855106889,0.9463414634146341,1.7284383,1.9446651
Mir99ahg,4.7300982,0.28935447,2.2441121136396984e-06,0.00032756797787805275,0.9857482185273159,0.9829268292682927,2.2380881,2.4190793
A830082K12Rik,4.2647333,0.6087235,2.0014097821389046e-05,0.0018867456800371965,0.6330166270783848,0.6,0.6011019,0.81391263
Hexb,3.9474392,0.4149898,7.899153982195298e-05,0.004830225914788342,0.7125890736342043,0.6853658536585366,0.6489852,0.79664665
Ksr2,3.836428,0.2968264,0.00012483678786564043,0.006840545714586745,0.8230403800475059,0.8073170731707318,0.9148149,1.0431453
Sox2ot,3.6018302,0.33407414,0.0003159847947246705,0.013052715830441807,0.9073634204275535,0.9073170731707317,1.9241418,2.1250598
Dpp10,3.4774108,0.277709,0.0005062813547743136,0.017355478260255824,0.9833729216152018,0.9682926829268292,2.6727467,2.853074
Sptbn4,3.4376867,0.30879682,0.0005867062452274429,0.01909960978168474,0.8111638954869359,0.7609756097560976,0.80156666,0.92519766
Lmtk2,3.3088536,0.31706548,0.0009367882750126812,0.024957358818916937,0.6603325415676959,0.6682926829268293,0.521853,0.6171043
Gm28307,3.1561193,1.0984311,0.0015988345840031821,0.035080323001207926,0.3087885985748218,0.23902439024390243,0.13824238,0.27569327
Ep300,3.1519554,0.27805936,0.0016218108690001759,0.03532425484553573,0.7161520190023754,0.7268292682926829,0.6514504,0.7483561
Ide,3.0808349,0.35747582,0.0020642114775897623,0.040525875734621485,0.5961995249406176,0.6146341463414634,0.45575634,0.553719
Armc8,3.0715075,0.2985139,0.0021298080774387923,0.04141988052558012,0.668646080760095,0.7048780487804878,0.5584542,0.6522779
