names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Control (for_DEGs),mean_expr_Mutant (for_DEGs)
H3f3a,-2.5415623,-0.79446584,0.01103582857730449,0.04986994403195634,0.09388335704125178,0.18691588785046728,0.31854635,0.19579887
Lpp,-2.5417228,-0.4588284,0.011030763560490927,0.04986994403195634,0.2844950213371266,0.4130841121495327,0.77459496,0.6157563
Map1a,-2.5422845,-0.86869687,0.011013052262623774,0.04986994403195634,0.07396870554765292,0.16635514018691588,0.265761,0.1541919
Vps41,-2.5447717,-0.46875584,0.010934919871415313,0.04958979675969245,0.20483641536273114,0.3233644859813084,0.5575069,0.43131283
Pik3ap1,-2.5458148,-0.4197425,0.010902301544125881,0.04950059240284233,0.36415362731152207,0.508411214953271,0.9676652,0.79744405
Ifnar2,-2.545895,-0.48758933,0.010899796027422004,0.04950059240284233,0.18634423897581792,0.2953271028037383,0.5114422,0.38947836
Reep3,-2.5466974,-0.5143946,0.010874768992439611,0.049493145069162664,0.1507823613086771,0.25981308411214954,0.42644417,0.3164932
Riok3,-2.5511906,-0.5527837,0.010735559193663353,0.04897618472240453,0.1465149359886202,0.2542056074766355,0.4124166,0.29861075
Rps4x,-2.5556839,-0.95117307,0.01059793605402501,0.048406104581287475,0.08108108108108109,0.17196261682242991,0.29820833,0.16526133
Lnpk,-2.5558443,-0.60339135,0.010593050094169283,0.048406104581287475,0.11095305832147938,0.21121495327102804,0.33624825,0.2335497
Gpcpd1,-2.5558443,-0.48693848,0.010593050094169283,0.048406104581287475,0.22048364153627312,0.3364485981308411,0.5982493,0.46016693
Mpeg1,-2.556085,-0.5604591,0.010585724910785249,0.048406104581287475,0.17923186344238975,0.2841121495327103,0.505624,0.3689355
Zfp445,-2.5564861,-0.54049164,0.010573526283079511,0.048406104581287475,0.155049786628734,0.26542056074766357,0.4347169,0.31800383
A630001G21Rik,-2.5568874,-0.4774797,0.010561340160041621,0.048406104581287475,0.20056899004267426,0.32897196261682243,0.55935067,0.4307041
Sos1,-2.5584922,-0.5521867,0.010512720497493433,0.04836357456307749,0.1422475106685633,0.2485981308411215,0.40857443,0.29578313
Sall1,-2.5602572,-0.44606453,0.010459468926392183,0.04817656591035821,0.3186344238975818,0.4485981308411215,0.8449477,0.6804179
Zfp91,-2.5619423,-0.53546846,0.01040886189032319,0.04800130157624313,0.14082503556187767,0.2485981308411215,0.4148425,0.3035931
Erp29,-2.5623434,-0.46679994,0.010396844755641592,0.04800130157624313,0.2147937411095306,0.3383177570093458,0.59334016,0.46128267
Acbd3,-2.5636272,-0.6629394,0.010358472842369584,0.04788445184568189,0.11522048364153627,0.21495327102803738,0.34882924,0.23398878
Clcn4,-2.5636272,-0.95325845,0.010358472842369584,0.04788445184568189,0.07254623044096728,0.16448598130841122,0.26687315,0.14667147
Cd47,-2.565232,-0.4550348,0.01031068520876669,0.04777909036741219,0.21052631578947367,0.33271028037383177,0.5743447,0.448564
Cnbp,-2.566596,-0.8267729,0.01027022009817415,0.04764933426616477,0.08677098150782361,0.18130841121495328,0.29687622,0.1780399
Rbms1,-2.5682006,-0.8139031,0.010222795105310361,0.04748693279173938,0.09388335704125178,0.18691588785046728,0.31666073,0.19220108
