names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,mean_expr_Emx1_Mutant (for_DEGs),mean_expr_Nestin_Mutant (for_DEGs)
Kcnip4,12.775283,2.7971604,2.2532750140142997e-37,1.1426357596066512e-33,0.9875259875259875,1.2151505,2.8609867
Naaladl2,11.047325,2.1044648,2.2584291820582064e-28,3.817498127405722e-25,0.9563409563409564,1.3089448,2.5353448
Cntnap2,10.578625,2.7391856,3.7441344822940517e-26,4.7466264899282835e-23,0.9043659043659044,0.7379976,2.1149883
Ptprd,9.743814,1.3700868,1.960542748305278e-22,1.988382455331213e-19,0.9958419958419958,2.2481592,3.1308973
Rbfox1,9.640888,1.757521,5.372132817075913e-22,4.54034758589866e-19,0.9833679833679834,1.8697964,2.9730968
Tenm2,9.136984,1.8256416,6.421820793971987e-20,4.6521504637474215e-17,0.9646569646569647,1.5326072,2.6295762
Epha6,9.009583,2.3792322,2.0684088165869874e-19,1.3111126386140766e-16,0.7941787941787942,0.572373,1.6131991
Galntl6,8.901628,2.5508554,5.503349766453082e-19,3.1008318517426196e-16,0.7713097713097713,0.47417676,1.5162468
Celf2,8.64515,1.2449899,5.3734673186682866e-18,2.47716843390608e-15,0.9896049896049897,2.1947293,2.991131
Lingo2,8.319272,2.365109,8.850512433985356e-17,3.2057820394814103e-14,0.8128898128898129,0.6540748,1.7504318
Dpp10,8.125154,1.2581222,4.467963939721192e-16,1.510469675888411e-13,0.9708939708939709,2.0191357,2.8107922
Dab1,7.737587,1.7809321,1.0132141361527256e-14,3.0223581673120422e-12,0.8482328482328483,0.9670331,1.8873595
Camk1d,7.5146356,1.2926974,5.706970413230352e-14,1.4470023482745557e-11,0.9085239085239085,1.6161666,2.387122
Syt1,7.3969574,1.4417098,1.393402106078927e-13,3.211791854511926e-11,0.8898128898128899,1.2040886,1.9932545
Frmpd4,7.3399625,2.1532521,2.1365399445333148e-13,4.7106061124906257e-11,0.6964656964656964,0.48499942,1.3288012
Kctd16,6.8343825,2.2301688,8.235911682739454e-12,1.4401485566610956e-09,0.6548856548856549,0.4004662,1.1972054
Cntn5,6.7498956,2.267141,1.4795171343369026e-11,2.4202036736201394e-09,0.6153846153846154,0.33378443,1.0672535
Dlg2,6.5789104,0.7666358,4.739089221949239e-11,7.068212189560174e-09,0.9937629937629938,2.8754542,3.383325
Hs6st3,6.515545,1.91411,7.242618249604703e-11,1.020203253992929e-08,0.7047817047817048,0.56043416,1.3433894
Nrg3,6.39552,1.1034471,1.6000180673901302e-10,2.0284229049338377e-08,0.9958419958419958,2.5039396,3.2240973
Gm28307,6.3261204,6.3011374,2.5140204844692504e-10,3.035380446843707e-08,0.4158004158004158,0.012085446,0.6723242
