names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,mean_expr_Emx1_Mutant (for_DEGs),mean_expr_Nestin_Mutant (for_DEGs)
Usp16,-2.6071045,-0.5174794,0.009131149416021177,0.04944365318606062,0.34968017057569295,0.35365885,0.2595841
Fabp3,-2.6093864,-1.3177747,0.009070472158987868,0.04914598594319527,0.06823027718550106,0.11872768,0.04933351
St8sia3,-2.610385,-0.53732413,0.009044039247000275,0.04903360485393793,0.32196162046908317,0.34188408,0.24752706
Zfp91,-2.6136653,-0.39339545,0.008957671838313676,0.048616222096642285,0.40298507462686567,0.41398332,0.32961825
Tmem106b,-2.613808,-0.4719757,0.008953933498860634,0.048616222096642285,0.35394456289978676,0.35713384,0.269617
Sptbn2,-2.6168032,-0.47512338,0.008875749564973133,0.048262799375140004,0.34328358208955223,0.34526077,0.25978613
Abcg4,-2.6188,-0.8991968,0.00882396630404609,0.048082523535330206,0.14285714285714285,0.17108372,0.095352754
Zfp932,-2.619228,-0.7131569,0.008812905069901168,0.048052643783037065,0.21748400852878466,0.24271485,0.1549209
Hif1a,-2.6216526,-0.531679,0.008750458422584486,0.04777262313724039,0.3304904051172708,0.35344583,0.2571802
Kpna1,-2.6230788,-0.28819245,0.008713910078072843,0.04760325638718932,0.5948827292110874,0.6423573,0.5526307
Gm49980,-2.626074,-1.5652367,0.008637602280740031,0.04729614418574498,0.06823027718550106,0.12995912,0.045831002
Hs3st1,-2.6273577,-0.53315717,0.008605082189375696,0.0471582589449565,0.2835820895522388,0.33012116,0.23924638
Chst1,-2.6284988,-0.75430745,0.008576267371552053,0.04703026314826285,0.19189765458422176,0.23141406,0.14354767
Cdk12,-2.628784,-0.26025042,0.008569077158802932,0.04702076415483265,0.767590618336887,0.98467773,0.8755344
Got2,-2.636058,-0.49562111,0.008387538292194375,0.04614217266108208,0.3411513859275053,0.34322476,0.25497568
Eif4a1,-2.6366286,-0.7129836,0.008373446497078964,0.04609408407177973,0.18763326226012794,0.22646937,0.14414766
2700062C07Rik,-2.637627,-0.9372304,0.008348836806967398,0.04598799814068039,0.12153518123667377,0.15331219,0.0829877
Trmt13,-2.6401942,-0.5242086,0.008285851588830245,0.04571873271632669,0.2921108742004264,0.30222458,0.21942566
Psenen,-2.6430469,-1.808089,0.008216366928698194,0.04537435967354804,0.057569296375266525,0.11761987,0.035023168
Borcs7,-2.6474683,-1.0950396,0.008109695905551035,0.04490040502977003,0.11087420042643924,0.15025765,0.07315615
Lrrtm2,-2.647611,-0.79851127,0.008106275639850745,0.04490040502977003,0.232409381663113,0.2750071,0.16720136
Psmc5,-2.6481814,-1.1142898,0.008092607486192952,0.04486345784655874,0.11727078891257996,0.17061605,0.08243965
Celsr3,-2.64918,-0.74493665,0.008068737853167312,0.04475993342243168,0.19616204690831557,0.2163368,0.13463041
Dctn1,-2.6507487,-0.42825344,0.008031355762134922,0.04458126925953115,0.43923240938166314,0.452972,0.35474473
Stub1,-2.6511767,-0.8027256,0.008021187595062155,0.04455353393388811,0.16631130063965885,0.20640603,0.12347555
Psd,-2.653316,-0.7723146,0.00797051945888126,0.04430066137952391,0.17484008528784648,0.20394145,0.12438378
Ints2,-2.653744,-0.5930195,0.00796042029311128,0.04427309285032516,0.27505330490405117,0.30882624,0.21500959
Ssr3,-2.6550276,-0.9824529,0.007930191517591917,0.04416199090113404,0.1279317697228145,0.163954,0.08633378
Synj1,-2.6555982,-0.27901316,0.007916789537241807,0.04411587442648006,0.7569296375266524,0.95664257,0.8420294
Srpr,-2.6563113,-0.71049315,0.007900065590627309,0.044079705351848616,0.2046908315565032,0.23381239,0.14925696
Tob1,-2.6570244,-0.96624064,0.007883373294649021,0.04401507513506242,0.1279317697228145,0.17052585,0.09090521
Map3k2,-2.6574523,-0.30175447,0.007873373087971171,0.0439877491263759,0.6588486140724946,0.7421914,0.63807034
Ap2m1,-2.6578803,-0.8211231,0.007863384245910585,0.04396045118657994,0.15565031982942432,0.18776888,0.11056607
Pex13,-2.6580229,-0.51054317,0.007860057155444126,0.04396045118657994,0.3347547974413646,0.35690492,0.2631869
Furin,-2.6588786,-1.0841868,0.007840121081231792,0.0438873574495204,0.08955223880597014,0.14232324,0.069656424
Cep126,-2.6623018,-0.49848896,0.007760829008198672,0.04352834759481221,0.3390191897654584,0.38408765,0.2862813
Wac,-2.6640131,-0.2669498,0.0077214530709939794,0.04333571218671865,0.744136460554371,0.942756,0.8339234
Rac1,-2.6645837,-0.7059994,0.007708367599567913,0.04329047383981589,0.21321961620469082,0.22576158,0.1443282
Crls1,-2.6670084,-0.98807037,0.007652975787319908,0.043063609671953634,0.1300639658848614,0.17251067,0.09068487
Nudt3,-2.6670084,-0.45297325,0.007652975787319908,0.043063609671953634,0.3582089552238806,0.37273827,0.28516874
Setdb1,-2.6670084,-0.3821987,0.007652975787319908,0.043063609671953634,0.4904051172707889,0.51820356,0.41935575
Iws1,-2.6674364,-0.46932948,0.0076432378815076895,0.043063609671953634,0.35607675906183367,0.3712547,0.2811949
Ccnh,-2.6681495,-0.37844917,0.007627032717733599,0.043030050336132906,0.5031982942430704,0.5483355,0.44586965
Rell2,-2.6690052,-0.97453433,0.007607627179862819,0.04297685780624143,0.11727078891257996,0.15398355,0.081320174
Zdhhc17,-2.6691477,-0.27992937,0.007604397230193072,0.04297685780624143,0.6823027718550106,0.7593729,0.66083926
Mpv17,-2.6691477,-1.1845134,0.007604397230193072,0.04297685780624143,0.10660980810234541,0.14551759,0.06664553
B4galt6,-2.6692905,-0.43203026,0.007601168509919106,0.04297685780624143,0.4690831556503198,0.48993844,0.38431618
Nckap1,-2.6695757,-0.2628055,0.007594714755949511,0.04297685780624143,0.814498933901919,1.1299055,1.0102967
Ano8,-2.6695757,-1.2221323,0.007594714755949511,0.04297685780624143,0.10021321961620469,0.14397736,0.06426941
Vstm5,-2.6695757,-0.61790144,0.007594714755949511,0.04297685780624143,0.2345415778251599,0.25493258,0.17329212
Nek9,-2.6715724,-0.44394773,0.007549675855416876,0.04284615118209248,0.4115138592750533,0.40580487,0.31330234
Zcchc12,-2.6724284,-1.581805,0.007530446887904604,0.042765194422741036,0.06609808102345416,0.124184616,0.043223787
Rnf11,-2.6741397,-0.43722868,0.0074921206448811855,0.04257560643512626,0.39872068230277186,0.40757063,0.31598604
Caml,-2.6747103,-0.5824755,0.007479384156666623,0.042531283504741224,0.27505330490405117,0.30198535,0.21142171
Akr1a1,-2.677848,-0.71944714,0.0074096799309436145,0.04216274280388325,0.208955223880597,0.24079534,0.15302326
Actr10,-2.6788466,-0.43634382,0.00738762382705228,0.04206502265040013,0.3006396588486141,0.30484802,0.23380294
Pcf11,-2.6794171,-0.4392777,0.007375046797866267,0.04202118264789543,0.39019189765458423,0.40848994,0.31634483
Rplp0,-2.6795597,-1.2667773,0.007371905543293098,0.04202118264789543,0.0767590618336887,0.12775071,0.05508642
Dgkh,-2.6818419,-0.28597206,0.007321808442624955,0.04177309916106887,0.6780383795309168,0.89301723,0.78075147
Hnrnph2,-2.6824124,-0.68414253,0.007309331990240979,0.04172955274746589,0.24733475479744135,0.2859607,0.187335
Guk1,-2.6854074,-1.3044649,0.00724414304278051,0.0414122709446278,0.08102345415778252,0.13576709,0.057206444
