names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,mean_expr_Nestin_Control (for_DEGs),mean_expr_Nestin_Mutant (for_DEGs)
Naaladl2,6.3489575,0.98882324,2.1677910004853516e-10,7.849571212757457e-07,0.9782608695652174,1.7985054,2.3982067
Ralyl,5.439009,1.0116153,5.3577726089553826e-08,9.517927607924008e-05,0.9130434782608695,1.7473445,2.3566282
Tenm2,5.015056,1.0377374,5.301804994014974e-07,0.0004266185751850716,0.9891304347826086,2.936852,3.628579
Lrrc4c,4.939024,0.9942274,7.85145008296598e-07,0.0005686020150083963,0.9782608695652174,2.2242546,2.85804
Apba1,4.687815,1.0817235,2.7613728313225922e-06,0.0013331908029625475,0.7608695652173914,0.8888376,1.3941518
Ptprd,4.664093,0.66222036,3.0998084469690064e-06,0.0014030507983093464,1.0,3.1096196,3.5520756
Gm26871,4.5497413,1.0009245,5.3711875337664444e-06,0.002161007784418699,0.8913043478260869,1.6986235,2.296423
Lsamp,4.3879457,0.6436019,1.1442627307194315e-05,0.0038411186052185295,1.0,3.6950758,4.1322036
Pex5l,4.232841,0.9771695,2.307576581977745e-05,0.0064274883102626275,0.75,0.9768252,1.4492743
Grid1,4.131263,0.8874198,3.607762476064545e-05,0.00967682068579979,0.7717391304347826,1.1748462,1.6369247
Xkr4,4.0065703,0.5632508,6.160676082631732e-05,0.015384695238075516,0.9239130434782609,2.0677433,2.4164214
Unc5c,3.8490326,0.92882866,0.0001185852304915065,0.027703039974822263,0.7391304347826086,1.0130335,1.467651
Mir99ahg,3.799764,1.1751443,0.00014483394798403892,0.03277773285313781,0.9239130434782609,2.107757,2.8522031
Cadm1,3.7511036,0.7050925,0.000176057883972189,0.03750032928607626,0.8478260869565217,1.5562506,1.9599228
Lrfn5,3.7316396,0.59414315,0.0001902375914283787,0.03936287534640911,0.9021739130434783,1.8157141,2.171048
A230006K03Rik,3.6908865,1.0852956,0.00022347384556159356,0.04374047539343407,0.6304347826086957,0.6848813,1.1271595
Tnr,3.6811545,0.82786816,0.00023218031615950338,0.04424868025334535,0.7608695652173914,1.2678367,1.7105507
