names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_CTX-CGE GABA (for_DEGs),mean_expr_Rest (for_DEGs)
Dlx6os1,43.793037,5.6123233,0.0,0.0,0.9254947613504074,0.25776763363274924,2.9735162,0.32165888
Adarb2,43.7746,5.492899,0.0,0.0,0.9359720605355064,0.5703504638492122,4.3385806,0.9853485
Grip1,40.427326,3.1130502,0.0,0.0,0.9371362048894063,0.7747018112207333,3.5395164,1.5823047
Erbb4,39.430103,4.1342096,0.0,0.0,0.9417927823050058,0.7123766750110441,4.1133738,1.4874021
Gad2,36.33486,3.7670703,4.557234842992774e-289,2.4490580046243165e-285,0.8358556461001164,0.20427772051244295,1.3821701,0.19814919
Cnr1,36.134975,3.437723,6.405965120574039e-286,2.8688047131637406e-282,0.8672875436554133,0.4269989692239729,1.7889856,0.3783698
Rbms3,33.96299,2.8474827,7.84454558099621e-253,3.0111848537338306e-249,0.8812572759022119,0.4990428508319835,1.986505,0.62803644
Nrxn3,33.81562,2.08737,1.162535138394546e-250,3.904664896082682e-247,0.9790454016298021,0.9274775438079812,4.4705725,3.0602133
Sox2ot,33.378452,3.0627255,2.816979448073596e-244,8.410248641081947e-241,0.9091967403958091,0.4519216610219408,2.3382232,0.7516771
Kcnip1,31.954582,3.4888043,4.666184475931093e-224,1.1398216078933498e-220,0.7590221187427241,0.21473273450154617,1.2555487,0.2017661
Grik1,31.664589,3.045089,4.776052465120065e-220,1.0694377478148012e-216,0.8731082654249127,0.4874466205271683,2.2557,0.710444
Gad1,31.533533,3.0219574,3.015819727655912e-218,6.233467390931873e-215,0.7811408614668219,0.2488955971138271,1.1025231,0.22127882
Igf1,31.315624,4.849557,2.859633217950232e-215,5.488453183308766e-212,0.6658905704307334,0.0685466058017965,0.86778814,0.046808824
Zfp536,31.243639,2.5811498,2.723951773622112e-214,4.879505610481743e-211,0.8731082654249127,0.4638492121926079,1.8683497,0.64990073
Abtb3,30.744108,3.4383595,1.4658989316925179e-207,2.4617940184111223e-204,0.7136204889406287,0.13904432336916508,0.8656131,0.119536
Npas3,30.59042,3.1060464,1.6413416984868487e-205,2.5942853787259777e-202,0.8451688009313155,0.5755411574142247,2.7292116,0.97954273
Kcnmb2,30.463064,3.2433574,8.043453052361204e-204,1.2007087973163642e-200,0.7660069848661234,0.2410911500515388,1.4463564,0.29485962
Dlx1as,29.310556,3.9761317,7.60877103497927e-189,1.0760404089994366e-185,0.6554132712456344,0.11592548961861288,0.8077734,0.07601404
Galntl6,28.916477,2.3242002,7.410806647660399e-184,9.956418731131745e-181,0.940628637951106,0.8086437932557797,3.4187644,1.9310937
Nhs,28.318975,2.7828968,2.0182621099215656e-176,2.5824144235044033e-173,0.7322467986030268,0.2550802532763952,1.0390795,0.23539342
5330434G04Rik,28.195744,1.622227,6.594117106625895e-175,8.053814847956264e-172,0.8777648428405123,0.6372772787512885,1.607851,0.8315006
Slc2a13,28.078709,1.8450098,1.7828887588986377e-173,2.082879171808974e-170,0.8847497089639115,0.6546532174937417,1.8626226,0.92204165
Snhg11,27.903505,1.4113436,2.419137236539566e-171,2.708425731075756e-168,0.9487776484284052,0.8236268590781918,3.0714045,2.167261
Sntg1,27.724295,1.3244337,3.558174669555307e-169,3.824326134838044e-166,0.9359720605355064,0.8097850095714917,2.7047362,1.8825794
Sorcs3,27.551067,2.0750334,4.2970580214563224e-167,4.440844193712745e-164,0.8649592549476135,0.5745471948166692,1.9394369,0.8809808
Apba1,27.156708,1.5300397,2.1098654386091736e-162,2.0247172976938746e-159,0.869615832363213,0.72312619643646,1.7930145,1.0057468
Slc6a1,27.057621,2.3247125,3.106991908516697e-161,2.8787887097187463e-158,0.7578579743888242,0.2988146075688411,0.9868653,0.2896153
Meg3,26.780241,1.3571138,5.490122847208886e-158,4.9173200301500926e-155,0.9557625145518044,0.9119422765424827,4.1352973,3.2192883
Ubash3b,26.753286,2.158526,1.1307002338602116e-157,9.800617833491577e-155,0.7916181606519208,0.42935502871447506,1.2732432,0.45500618
Dner,26.451437,1.96356,3.5124055112947764e-154,2.9493230027653326e-151,0.8242142025611175,0.5348991312030629,1.4363393,0.5998339
Cntnap2,26.429924,1.6206604,6.208635341395157e-154,5.055334291614784e-151,0.9743888242142026,0.9122735974083346,3.8298223,2.7505326
A230057D06Rik,26.38958,1.2534993,1.804680252489422e-153,1.4262281877761992e-150,0.9185098952270081,0.7832425268738036,2.2802062,1.5437325
Fstl5,26.185413,2.2385294,3.895991196751805e-151,2.9910080987634574e-148,0.779976717112922,0.46060963039316744,1.5071738,0.55653334
