names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_LSX GABA (for_DEGs),mean_expr_Rest (for_DEGs)
Mef2c,-3.223004,-1.1576583,0.0012685375135830562,0.04954302760171035,0.5348837209302325,0.7801286633309507,0.9487183,1.5107741
Srgap2,-3.2250886,-0.89087474,0.0012593364301988388,0.04925526911127045,0.4186046511627907,0.7209077912794853,0.6829234,1.0355264
Ina,-3.2255793,-3.1131208,0.0012571804431649666,0.04924262173154906,0.023255813953488372,0.3131165117941387,0.027336342,0.2149429
Etv5,-3.2256734,-1.6608769,0.001256766221180739,0.04924262173154906,0.06976744186046512,0.3674052894924946,0.105117805,0.3004679
Tef,-3.22756,-1.2087824,0.001248508198772608,0.04904592880266079,0.18604651162790697,0.4933881343817012,0.19306365,0.40027776
Frs2,-3.2278714,-1.3170991,0.0012471504505585588,0.04904592880266079,0.20930232558139536,0.5228020014295925,0.19694044,0.43331367
Snta1,-3.2321632,-1.4340711,0.0012285684547198976,0.0484041559799467,0.06976744186046512,0.3717655468191565,0.10626554,0.26463124
Rbm28,-3.2347383,-1.4776955,0.001217542338178357,0.04804018006879948,0.20930232558139536,0.4971408148677627,0.16197956,0.39858195
Fgf13,-3.2354836,-0.83749807,0.001214368724414201,0.047985422977955265,0.2558139534883721,0.6384560400285918,0.57446724,0.8700391
Khdrbs2,-3.237219,-1.1963317,0.0012070066172744217,0.04776475376460046,0.4186046511627907,0.712794853466762,0.75615406,1.2780473
Thoc2l,-3.2416716,-1.1245754,0.0011883093342978624,0.04709420621325009,0.32558139534883723,0.6147248034310222,0.333231,0.6217974
Pals2,-3.2436616,-1.1512624,0.001180037876631947,0.046835476728361025,0.3023255813953488,0.590421729807005,0.33491966,0.6331891
Adcy1,-3.2444541,-1.1048763,0.001176759804396508,0.04677446145581978,0.3023255813953488,0.6089349535382416,0.40548724,0.73019123
Xpo4,-3.2448597,-1.4626905,0.0011750850017266108,0.04677446145581978,0.18604651162790697,0.5005718370264475,0.16581489,0.40352774
Kctd1,-3.2449918,-1.396553,0.0011745401926161237,0.04677446145581978,0.20930232558139536,0.5092208720514654,0.20834193,0.47612783
Dpy19l1,-3.246633,-1.6624653,0.0011677884432416948,0.046624777815608226,0.13953488372093023,0.42451751250893494,0.14130402,0.3923486
Sdc2,-3.2503307,-3.422492,0.0011527088195101725,0.04609119937535467,0.023255813953488372,0.31397426733380984,0.023663176,0.2285211
Kndc1,-3.2511797,-2.4005804,0.0011492721605507027,0.0460222696780885,0.06976744186046512,0.3644746247319514,0.061173107,0.28749794
Crebbp,-3.2517078,-0.967928,0.001147138577097678,0.04600539338300688,0.4418604651162791,0.7686204431736955,0.6817496,1.0687366
Tnrc18,-3.2522361,-1.4343723,0.0011450086552684743,0.04598861370263663,0.23255813953488372,0.5259828448892065,0.19239794,0.45322257
Bin1,-3.2525475,-1.1597692,0.0011437552350964239,0.04598861370263663,0.3488372093023256,0.6228377412437456,0.34951565,0.65998113
Dennd2b,-3.252755,-3.709512,0.0011429203263797923,0.04598861370263663,0.046511627906976744,0.32655468191565407,0.019721491,0.2315541
Fbxw11,-3.253981,-0.9354955,0.0011379982638470279,0.04591293295731177,0.2558139534883721,0.5682273052180129,0.3047079,0.51957124
Rad23b,-3.254415,-1.1767071,0.001136261309549309,0.04591179156028562,0.20930232558139536,0.5087205146533238,0.20203324,0.40953866
Tmem108,-3.2578769,-1.164299,0.0011224909595407072,0.04542369289587169,0.3488372093023256,0.6352751965689778,0.5516433,0.9744777
Usp15,-3.2608104,-1.0347757,0.001110942752702449,0.0450241806411988,0.37209302325581395,0.6975696926375983,0.48702466,0.82660824
Pam,-3.261018,-1.0680603,0.0011101300126135447,0.0450241806411988,0.4186046511627907,0.7295925661186562,0.7601656,1.2200259
Lmo3,-3.261235,-1.5065761,0.0011092809176602887,0.0450241806411988,0.20930232558139536,0.5009292351679772,0.22477114,0.5400674
Camta2,-3.2616029,-1.5556698,0.001107842520279233,0.0450241806411988,0.06976744186046512,0.3678699070764832,0.09538455,0.25790116
Jmjd1c,-3.26165,-1.0128517,0.001107658235140649,0.0450241806411988,0.4883720930232558,0.7971765546819156,0.8023771,1.2480924
Kdm3a,-3.2625084,-2.03131,0.001104309194389816,0.0450241806411988,0.11627906976744186,0.40900643316654756,0.08429816,0.30714107
Plppr2,-3.2653005,-1.8169217,0.0010934802668753885,0.044721179255619005,0.16279069767441862,0.4502144388849178,0.10908701,0.34081393
Nek7,-3.2655456,-28.177397,0.0010925337845166152,0.044721179255619005,0.0,0.2877412437455325,0.0,0.26509762
Homer1,-3.2671776,-1.1815493,0.0010862553043924233,0.04456134355576247,0.3953488372093023,0.6875982844889207,0.5442067,0.9709518
Akap10,-3.2691772,-1.167006,0.0010786069505372784,0.044315242753725795,0.23255813953488372,0.5470693352394568,0.24276072,0.4805521
Paxbp1,-3.269328,-1.1612936,0.0010780317425956717,0.044315242753725795,0.18604651162790697,0.4769835596854896,0.17842723,0.36247703
Ecpas,-3.270083,-1.0463486,0.0010751599565796525,0.04430912275045285,0.4418604651162791,0.7528591851322373,0.66530854,1.0824473
Zup1,-3.271394,-1.6980034,0.0010701870517393869,0.044171929462730145,0.13953488372093023,0.4453538241601144,0.11567349,0.3349518
Kcnb1,-3.2726862,-0.83000684,0.001065306527233662,0.04403813290272076,0.2558139534883721,0.5598284488920657,0.32524693,0.5207567
Thsd7a,-3.2759595,-1.2753812,0.0010530368806790096,0.04359799843427579,0.27906976744186046,0.578770550393138,0.44133803,0.8514032
Mtmr3,-3.2764122,-1.0011073,0.0010513499701870197,0.043595329782292004,0.3953488372093023,0.6830950679056469,0.45828435,0.77177656
Cabin1,-3.2769027,-1.4766876,0.0010495253055922058,0.04358693193394524,0.16279069767441862,0.4768763402430307,0.14643164,0.36386657
Snca,-3.278148,-0.8155437,0.0010449066160073011,0.04346229221689811,0.4186046511627907,0.6835596854896354,0.6297505,0.9336367
Vwc2l,-3.2822604,-4.5892296,0.0010297842648580567,0.04289969487866044,0.023255813953488372,0.3107576840600429,0.017842663,0.360012
Nin,-3.2842035,-1.121264,0.0010227099846077687,0.04267114485467507,0.32558139534883723,0.6107934238741959,0.38230434,0.6996165
Esyt2,-3.284213,-0.9235649,0.0010226757534107162,0.04267114485467507,0.4418604651162791,0.7141887062187277,0.6253509,0.9738577
