names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_OB-CR Glut (for_DEGs),mean_expr_Rest (for_DEGs)
Ifngr2,-2.6763532,-1.5593456,0.007442818474927399,0.04996744661549234,0.044444444444444446,0.21401210038305946,0.04876967,0.13740855
Slc35b1,-2.676451,-1.5569053,0.007440644806084502,0.04996744661549234,0.03333333333333333,0.20212651702287618,0.042697553,0.12075301
Zfp668,-2.6765814,-0.78955156,0.0074377474666414084,0.049963068607163666,0.03333333333333333,0.20198331722335588,0.061401144,0.103873745
Emc8,-2.676738,-1.2301016,0.007434271995027592,0.049952210179142635,0.03333333333333333,0.20223391687251638,0.050900023,0.11555321
Zfp251,-2.6770709,-0.41540346,0.007426891453728973,0.04992758903219853,0.1111111111111111,0.2981419826012244,0.13864893,0.18094118
Zfp710,-2.6782389,-0.65993947,0.007401039185256389,0.049766246973933725,0.1111111111111111,0.2952779866108187,0.15893306,0.24072592
Fam162a,-2.678637,-1.20983,0.007392247652941734,0.049719573074979824,0.05555555555555555,0.2276518812873662,0.062455695,0.13895592
Lmf1,-2.6787283,-0.41561374,0.007390231246404963,0.04971845608184811,0.044444444444444446,0.21651809687466436,0.09328398,0.12258641
Cfap20dc,-2.6793678,-2.3271995,0.0073761302099677375,0.04963601771646209,0.022222222222222223,0.1881645365696488,0.020762552,0.10010054
Tipin,-2.6795638,-2.1972613,0.007371818393969913,0.049619428919331555,0.022222222222222223,0.18884473561737014,0.024521094,0.10781873
Marchf2,-2.6796224,-0.5360847,0.007370525290159336,0.049619428919331555,0.14444444444444443,0.34185372140479003,0.16104366,0.22583814
Jazf1,-2.6796746,-0.58697134,0.0073693760353771,0.049619428919331555,0.4111111111111111,0.674972255038843,0.6879744,0.910914
Narf,-2.6812603,-0.49569649,0.007334543933720951,0.049442848845730546,0.1111111111111111,0.2966741846561415,0.13322324,0.18309833
Scamp1,-2.6814952,-0.3224551,0.007329396203872632,0.04943211363055565,0.28888888888888886,0.5547560233415674,0.41347423,0.4948857
Lyzl4,-2.6818216,-2.3027787,0.007322251956540238,0.04939716547131213,0.011111111111111112,0.17645795295886585,0.019964188,0.09485055
Ing3,-2.6821218,-1.7717986,0.0073156847678580205,0.04936525608044827,0.022222222222222223,0.1894891347152114,0.03275186,0.10768128
Usp15,-2.685737,-0.49587312,0.007237007034476123,0.048858889200093826,0.3888888888888889,0.6980632227114882,0.6479987,0.8266611
Phf3,-2.6860826,-0.33800343,0.007229520046409262,0.04882060910957951,0.3333333333333333,0.6320481151326388,0.5340249,0.63769424
Irf2bp2,-2.6862001,-2.972183,0.0072269788775094455,0.048815717053463756,0.011111111111111112,0.17642215300898578,0.014312711,0.107169405
Rsph10b,-2.6863241,-1.3869904,0.007224297402259777,0.04880987457850646,0.03333333333333333,0.20302151576987792,0.04257547,0.10773558
Acss1,-2.6863306,-1.5236547,0.007224156296721283,0.04880987457850646,0.05555555555555555,0.22625568324204345,0.06807253,0.18443327
Htr7,-2.6863632,-2.7638757,0.007223450806130857,0.04880987457850646,0.011111111111111112,0.17667275265814628,0.017939752,0.11595877
Ftx,-2.686944,-0.58459395,0.007210903415196301,0.04875615872328249,0.4111111111111111,0.6925858303798375,0.69268733,0.9155875
Kdelr1,-2.687799,-1.2786492,0.007192470368918198,0.048656011785707956,0.044444444444444446,0.2158736977768231,0.060321968,0.14050256
Gga3,-2.6884384,-0.5546769,0.00717870842756228,0.04857514365363849,0.08888888888888889,0.2720796190885333,0.11239444,0.16103366
Nkiras1,-2.6885166,-0.3094487,0.007177024917165398,0.04857514365363849,0.07777777777777778,0.25736583968782445,0.13252448,0.161786
Dctn5,-2.6887972,-1.061037,0.007170995247957993,0.04854740295102829,0.03333333333333333,0.20334371531879855,0.057054456,0.11555971
Inpp1,-2.6888885,-0.7527332,0.007169033081300667,0.04854635052786011,0.07777777777777778,0.2581176386353059,0.0912593,0.14928627
Emc10,-2.6912248,-0.3075483,0.007119021127193772,0.04823199639124978,0.13333333333333333,0.3276411413024022,0.20724975,0.2507645
Rexo1,-2.6919622,-0.95857567,0.007103300393498747,0.04814976830810074,0.044444444444444446,0.2170908960727455,0.065611586,0.123796016
Golga3,-2.6923864,-0.3036319,0.007094271620795664,0.04810070109784999,0.08888888888888889,0.27233021873769375,0.13184592,0.16037062
Mycbp2,-2.6924582,-0.69460136,0.007092744694445788,0.04810070109784999,0.7,0.8798553682024846,1.5127233,1.9062498
Kmt5a,-2.6934304,-0.34716442,0.007072090831338955,0.047986636524767104,0.07777777777777778,0.25972863637990906,0.123974696,0.15520354
Tsg101,-2.6934435,-0.59069985,0.007071813965954594,0.047986636524767104,0.1111111111111111,0.3008627787921097,0.13265312,0.19361487
Nabp1,-2.6939328,-26.371565,0.007061438536937371,0.04793856833944092,0.0,0.16421437009988185,0.0,0.083258346
Bmpr2,-2.6951401,-0.49722877,0.0070359042284026466,0.047777292549198665,0.3888888888888889,0.7113092041671142,0.67605853,0.8602129
Polr2a,-2.6954663,-0.3635294,0.007029017311706476,0.04775466375867333,0.12222222222222222,0.31736655568682204,0.16865222,0.2121666
Prr7,-2.696295,-1.1682293,0.0070115517509613205,0.04764805147909223,0.03333333333333333,0.202556116421437,0.055651,0.12098971
Insr,-2.6966605,-0.36251876,0.007003862790494942,0.047607840420085784,0.32222222222222224,0.609207747109154,0.48554954,0.5898035
Sypl,-2.6970716,-0.29301578,0.0069952217620749295,0.04756113581653678,0.14444444444444443,0.3446461174954355,0.19612281,0.23544446
Pou3f3,-2.6972477,-1.0299984,0.006991521396069544,0.04754800807704092,0.05555555555555555,0.22926287903196935,0.08071059,0.15841019
Atad3a,-2.6973848,-0.8067729,0.00698864454912891,0.04754047570508704,0.05555555555555555,0.23012207782909103,0.07491195,0.1275805
Trub1,-2.6984746,-0.45018825,0.006965804584363108,0.04739710538917111,0.06666666666666667,0.2445494576307593,0.10008842,0.13437353
Fbxw5,-2.6986704,-3.4195306,0.0069617087077185795,0.04738123428986784,0.011111111111111112,0.17706655210682706,0.009345541,0.09573321
Mrps6,-2.699049,-2.0251143,0.006953796146188737,0.047339372294930675,0.03333333333333333,0.20223391687251638,0.029021846,0.113200895
Smndc1,-2.6991336,-2.7859364,0.0069520237495911096,0.047339300089080875,0.011111111111111112,0.17735295170586762,0.015029828,0.099339604
Sh3bgrl,-2.69961,-0.3293232,0.006942078595724031,0.047283561943499294,0.13333333333333333,0.33100633659112877,0.1985814,0.2437305
Arfgef1,-2.7004583,-0.56019986,0.006924399685811831,0.0471870706461486,0.4222222222222222,0.7077292091791072,0.6621137,0.8689339
Psmb3,-2.702155,-26.8966,0.0068891631461273336,0.04698269384173641,0.0,0.16471556939820284,0.0,0.1177252
Vps41,-2.702612,-0.4332705,0.006879703949980391,0.04693009523634758,0.34444444444444444,0.6480506927290302,0.5481155,0.6859713
Fam98a,-2.7026315,-0.45863253,0.006879298816744776,0.04693009523634758,0.1111111111111111,0.3033329753338345,0.1367988,0.1835372
Laptm4b,-2.7034276,-1.841564,0.006862841547179254,0.04685075009469171,0.03333333333333333,0.2023055167722765,0.03737453,0.12793946
Pex1,-2.7037015,-0.29230887,0.006857184120097968,0.04682402472859781,0.15555555555555556,0.35728349980310026,0.193453,0.232198
Arf5,-2.7039757,-0.31607276,0.006851530883668985,0.046797314398623696,0.12222222222222222,0.3142519600472559,0.19676684,0.23958734
Letm2,-2.7043216,-0.28356147,0.00684440301424784,0.046760515889356584,0.13333333333333333,0.33390613253141443,0.18014435,0.21532327
Smc2,-2.7044258,-2.1836994,0.006842252514321693,0.04675771237533669,0.022222222222222223,0.19041993341209323,0.024916744,0.10851616
Tubgcp6,-2.704478,-1.8179989,0.006841177492045284,0.04675771237533669,0.03333333333333333,0.20298571581999786,0.031223025,0.10600438
Adra1a,-2.7050393,-2.4746773,0.006829630583778315,0.04670709437162721,0.03333333333333333,0.20012171982959223,0.03149444,0.1636871
Trappc13,-2.7051568,-0.41055146,0.006827216006468378,0.046702467946488115,0.08888888888888889,0.27272401818637454,0.124862075,0.16277559
Ano10,-2.705196,-0.7721911,0.006826411317842363,0.046702467946488115,0.06666666666666667,0.24497905702932016,0.08919302,0.14784169
Vps29,-2.7054112,-0.5076907,0.006821987053598952,0.04669047176011306,0.1111111111111111,0.2992875809973866,0.1460223,0.20174354
Helq,-2.7056136,-0.6736631,0.0068178332738657406,0.046673931227712726,0.1,0.28518240074463896,0.104280815,0.16154265
Gm2762,-2.7056787,-26.433994,0.006816493829810862,0.046673931227712726,0.0,0.16493036909748326,0.0,0.08678491
Arhgef1,-2.706031,-0.5377774,0.006809264917221012,0.04663903857398129,0.1111111111111111,0.30003937994486807,0.1366632,0.19276264
N4bp2l2,-2.7060573,-0.44182637,0.006808729716364721,0.04663903857398129,0.36666666666666664,0.6862492392510651,0.6241614,0.7780539
Mtmr4,-2.70716,-1.1193522,0.006786151989206524,0.04651630202805594,0.03333333333333333,0.20463251351448108,0.05322223,0.112218246
Knop1,-2.7073233,-0.6755319,0.0067828178075328704,0.04651630202805594,0.05555555555555555,0.2308738767765725,0.09137686,0.14221284
Mpp3,-2.707421,-1.5804272,0.00678081800525671,0.04651630202805594,0.022222222222222223,0.19034833351233307,0.03616255,0.1044739
Nfxl1,-2.7074406,-0.7141673,0.006780418108393091,0.04651630202805594,0.07777777777777778,0.25972863637990906,0.0982559,0.15647168
Igf2r,-2.7086413,-1.0692518,0.006755931578791238,0.04640385519481609,0.06666666666666667,0.24272366018687574,0.06804689,0.1378088
Hagh,-2.7090068,-1.3124844,0.006748494948202045,0.046364627782712595,0.05555555555555555,0.2296924784305302,0.05934193,0.14136739
B4galnt4,-2.7092547,-1.688324,0.006743452854182771,0.04634183585470359,0.044444444444444446,0.2154082984283822,0.037911262,0.11736232
Slco4c1,-2.711552,-26.373684,0.0066969078464439065,0.04605731093779057,0.0,0.16528836859628396,0.0,0.083375655
Rbm45,-2.711741,-1.9703082,0.0066930860793253215,0.04604281181553287,0.011111111111111112,0.17835535030250957,0.023671327,0.08971534
Plekhg1,-2.7121456,-1.0408778,0.006684921980595646,0.04599842602269014,0.1,0.27705581212186303,0.16316223,0.3108923
1110019D14Rik,-2.7124197,-1.2311175,0.006679396549593187,0.045972178608496145,0.05555555555555555,0.23012207782909103,0.06815527,0.15321176
