names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_OEC (for_DEGs),mean_expr_Rest (for_DEGs)
Sntb1,10.644834,8.362381,1.8431280567266212e-26,4.14221379795645e-22,0.975,0.09087660365221742,3.3302562,0.07869699
Gm29683,10.577893,7.295189,3.773488828280296e-26,4.14221379795645e-22,0.975,0.07944108923274845,2.371245,0.05999137
Bnc2,10.558813,8.397676,4.6247269794824524e-26,4.14221379795645e-22,0.975,0.019440374513097238,2.423016,0.03002595
Sash1,10.416452,5.4478927,2.0858943351446687e-25,1.4011995196334313e-21,0.975,0.42965371832898547,3.1586332,0.4163055
Ncam1,10.317747,3.2037532,5.858143954899996e-25,3.0184974579998474e-21,0.975,0.8543758710645749,3.7956707,1.7443566
Rora,10.300604,3.5739968,7.002040080402461e-25,3.0184974579998474e-21,0.975,0.8005574813279491,3.9139657,1.6336707
Ptn,10.289435,4.947798,7.863595908447687e-25,3.0184974579998474e-21,0.975,0.6000071471965122,3.6287467,0.7829953
Slc4a4,10.263001,4.783746,1.0344059061037983e-24,3.474310837126132e-21,0.975,0.5060929850266233,3.485386,0.76475364
Plce1,10.249946,6.5897756,1.1840992450503886e-24,3.535194079389327e-21,0.95,0.15412929278490511,2.5557873,0.11631758
Col11a1,10.182819,5.972594,2.366058050230388e-24,6.357597980969052e-21,0.95,0.19879927098595576,2.4777892,0.1602597
Slc35f1,10.167954,3.8082128,2.756372042904497e-24,6.733065162985803e-21,0.975,0.6535039130900904,3.2796738,1.0385592
Zfhx3,10.093327,5.5645056,5.913104343160303e-24,1.3240426141726444e-20,0.975,0.2556194832576922,2.891699,0.30728593
Tmtc2,9.942829,4.1497226,2.710186169867451e-23,5.6017463372568e-20,0.975,0.5173140835507273,2.7853267,0.61876845
Mir100hg,9.9249325,3.4029849,3.2432191056213815e-23,6.224664097717608e-20,0.975,0.7284422685201729,3.3051555,1.2475622
Gpc6,9.646401,3.84295,5.091095228226465e-22,9.11984858549634e-19,1.0,0.5505842833148697,3.1470065,0.93675524
Sox5,9.5229645,3.150402,1.6830848265451618e-21,2.826530580579281e-18,0.975,0.6185898581281493,2.865907,1.0527866
Sgcd,9.510026,3.5688593,1.9061527863436144e-21,3.012842668767819e-18,0.975,0.7041418003788014,3.5972455,1.3841261
Atp1a2,9.435447,4.992299,3.893305810273698e-21,5.811840395669682e-18,0.95,0.3141550226923489,2.8598964,0.41681373
Edil3,9.253332,2.7893882,2.1760041339082424e-20,3.077327951479709e-17,1.0,0.7572454704642104,3.1672847,1.456218
Sdk1,9.228355,4.147141,2.748186622608878e-20,3.6921887274750275e-17,0.925,0.46267376621520206,2.7094266,0.58295524
Gm10863,9.207114,5.666509,3.350098528101392e-20,4.2865308309564e-17,0.875,0.09770217632133796,1.8262289,0.09765734
Ptprz1,9.199565,3.882347,3.594033794047575e-20,4.389622183911743e-17,0.975,0.5659507558160312,3.001801,0.83145523
Syne2,9.191222,5.4414315,3.8840156594398095e-20,4.537543511702073e-17,0.875,0.17042490083264838,1.8339033,0.114226945
Efna5,9.161952,4.135311,5.0966723446723177e-20,5.706149412556049e-17,0.925,0.41228603080441695,2.5602984,0.5184502
Brinp3,9.10616,3.758705,8.534932646093931e-20,9.173345608021757e-17,0.95,0.629632276739449,3.3236878,1.0909708
