names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,mean_expr_Emx1_Control (for_DEGs),mean_expr_Nestin_Control (for_DEGs)
Cmss1,13.454216,1.5366904,2.908056489130879e-41,1.55624643015839e-37,0.9724770642201835,0.88331026,1.6324927
Naaladl2,11.746667,1.2637578,7.345951441259055e-32,8.73596869731063e-29,0.9798165137614679,1.0466473,1.6933445
Lars2,11.663381,1.3552736,1.9609809394374737e-31,2.0988378994799283e-28,0.9376146788990826,0.7128585,1.2975502
Hexb,11.1958685,1.5978646,4.271956216273821e-29,3.5171344140599e-26,0.8642201834862385,0.3736664,0.86346644
Camk1d,10.6533985,0.8199635,1.6811318702340844e-26,8.56816876529305e-24,0.9944954128440368,1.8373657,2.3341875
Erbb4,10.585289,1.916379,3.487029305463934e-26,1.6964397571082037e-23,0.8844036697247707,0.7044237,1.5811124
Dscaml1,10.117592,1.1126468,4.616355071607799e-24,1.8299573456080843e-21,0.908256880733945,0.9352288,1.4694837
Hivep3,9.862551,0.8593344,6.04925735630069e-23,2.232593154637458e-20,0.9394495412844037,1.1703178,1.6160164
Gm11867,9.436867,3.0573719,3.840932121770243e-21,1.111067472954241e-18,0.5229357798165137,0.03960278,0.2898974
Prkce,8.815368,0.51995873,1.1929305658038115e-18,2.50351683250945e-16,0.963302752293578,1.927294,2.242659
Rbfox3,8.709872,0.68390536,3.042184977703541e-18,6.029723299326111e-16,0.9302752293577982,1.2060434,1.5601543
Tenm4,8.690253,0.8833282,3.6163207310351514e-18,6.790435225310391e-16,0.9339449541284404,1.2710403,1.7458287
Rbfox1,8.589014,0.63891935,8.771843147005982e-18,1.564750620040084e-15,0.9926605504587156,3.615986,4.049182
Frmd4a,8.496474,0.66543657,1.9543592608743243e-17,3.373791478893209e-15,0.9614678899082569,2.0886233,2.5030236
Adarb2,8.485555,1.6634418,2.1469206952590028e-17,3.647379714501128e-15,0.7541284403669725,0.48181763,1.0854803
Dgki,8.483334,0.57096577,2.188317890949046e-17,3.659619747941819e-15,0.9394495412844037,1.5928044,1.9197917
Cacna1c,8.429476,0.69297945,3.472181546957462e-17,5.717347553397802e-15,0.9486238532110092,1.482853,1.8726305
Rora,8.2294035,0.76181465,1.8814753862656423e-16,2.7968654248890515e-14,0.9394495412844037,1.4958823,1.9275144
Dab1,8.219039,0.6586865,2.0513981044107893e-16,3.0076868371929696e-14,0.981651376146789,2.5216298,2.9483094
Tafa1,8.191833,1.2889392,2.572784794370747e-16,3.671535420553347e-14,0.8587155963302753,0.8126074,1.4020652
Plp1,8.174065,1.2812909,2.9816947547782934e-16,4.199089336893694e-14,0.9155963302752294,0.7879184,1.3645082
Nebl,8.165551,1.2606617,3.1997094636981607e-16,4.447596154540443e-14,0.8311926605504587,0.7032546,1.2368478
Kalrn,8.161664,0.46807602,3.3043908625403756e-16,4.534217359201236e-14,0.9761467889908257,2.5725095,2.8755767
Hs6st3,8.150744,1.3957514,3.6168988775004646e-16,4.9002112260617054e-14,0.9211009174311927,1.027578,1.744185
Gria1,8.090963,0.85991776,5.919442811873619e-16,7.54235671612897e-14,0.9651376146788991,1.8647226,2.3886626
Meg3,7.932905,0.41549388,2.1407751731147066e-15,2.6336455951547935e-13,0.9871559633027523,3.7075748,3.9894133
