names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,mean_expr_Emx1_Mutant (for_DEGs),mean_expr_Nestin_Mutant (for_DEGs)
Kcnip4,17.678022,2.5861082,6.193050543681538e-70,1.4200664896661765e-66,0.9809853068280034,1.3556317,2.9063
Naaladl2,16.852488,2.404659,1.0059237879660499e-63,1.5377221638707682e-60,0.9671564390665515,1.3597918,2.7930872
Tenm2,16.054268,2.4122105,5.336499215312217e-58,6.118296350355456e-55,0.9654278305963699,1.289451,2.7082787
Cntnap2,15.619603,2.7208912,5.353766564030722e-55,4.9104746925289786e-52,0.8971477960242005,0.7635319,2.146435
Rbfox1,15.198141,2.3662066,3.637998153046208e-52,2.7806432549783182e-49,0.9662921348314607,1.2939317,2.6843035
Celf2,14.387902,1.6967096,6.163712723868438e-47,4.038112364522951e-44,0.9766637856525497,1.8259528,2.8839402
Dlg2,13.362426,1.3342628,1.0024335577682e-40,5.107955884361073e-38,0.9956784788245462,2.5366142,3.4125261
Epha6,13.339755,2.4629676,1.359059532969703e-40,6.232647018199058e-38,0.8003457216940363,0.5943985,1.70049
Lingo2,12.621111,2.2492414,1.6152676277619517e-36,6.173014450763592e-34,0.8617113223854796,0.8997542,2.0714793
Dpp10,12.337769,1.8145218,5.670574981127031e-35,1.7336837908965707e-32,0.9403630077787382,1.4407746,2.5128505
Nrg3,12.300985,1.9240675,8.94762407330172e-35,2.564612750010106e-32,0.9766637856525497,1.7276009,2.920985
Galntl6,12.241622,2.3586717,1.8627342978918603e-34,5.024999700077689e-32,0.7614520311149524,0.5348289,1.5319074
Dab1,11.811146,1.9324232,3.418720556587485e-32,8.25171182763695e-30,0.8184961106309421,0.8337668,1.7866759
Pcdh9,10.787034,1.2856485,3.9637408430599166e-27,6.732487224545473e-25,1.0,4.3443213,5.2277794
Hs6st3,10.422659,2.2978761,1.954115604709601e-25,3.0901979873097345e-23,0.6404494382022472,0.39623377,1.2210926
Cntn5,10.398258,2.5175226,2.5250608296082163e-25,3.8599763215277595e-23,0.581676750216076,0.28611252,1.0635678
Grm7,10.1363125,1.5807611,3.81219206918259e-24,5.297791766445866e-22,0.8928262748487468,1.395517,2.3110178
Frmpd4,10.036888,2.0374634,1.049326827690384e-23,1.4153567152317944e-21,0.662057044079516,0.49183038,1.2831758
Syt1,9.994733,1.4960759,1.6072066512527792e-23,2.047402695179235e-21,0.878133102852204,1.1977019,2.017959
Nrg1,9.974975,1.8205558,1.9615089809401097e-23,2.3672316280503533e-21,0.8254105445116681,0.9370325,1.8692346
Kctd16,9.430415,2.0487163,4.0846849233886125e-21,3.9025760538875365e-19,0.6205704407951599,0.42882383,1.1679405
Nrxn3,9.305406,1.6527152,1.334813595286301e-20,1.2002853231339169e-18,0.9420916162489196,1.6316328,2.6340322
Tafa1,9.219821,1.7356063,2.975975741199618e-20,2.6245816825272014e-18,0.7147796024200519,0.69769794,1.4726034
Tmem178b,9.02607,1.3373375,1.7794784412532918e-19,1.43169967220835e-17,0.8470181503889369,1.2506874,1.9877069
Ptprd,8.993566,1.2740599,2.393367345715949e-19,1.892410801285059e-17,0.996542783059637,3.0071175,3.8608036
Phactr1,8.915719,1.239454,4.846592248421126e-19,3.643683942829391e-17,0.8668971477960242,1.3066455,1.9960878
Kcnh7,8.777053,1.7984651,1.6781404194381511e-18,1.2024924943036501e-16,0.6378565254969749,0.53523487,1.241919
Gm28307,8.668706,3.8828363,4.37060833020979e-18,3.036910576112439e-16,0.3993085566119274,0.06281628,0.6711001
Negr1,8.6569605,1.2480725,4.845115189898648e-18,3.3163728747574923e-16,0.8807260155574762,1.402734,2.1142282
Adgrb3,8.614714,1.3255715,7.01164847361198e-18,4.728738220585962e-16,0.9377700950734659,1.806549,2.621449
Prickle2,8.498263,1.3824476,1.9244847241926665e-17,1.2608124207353669e-15,0.8150388936905791,1.3437691,2.126699
Ctnna2,8.487884,1.2197611,2.1043412987040918e-17,1.3592266473037979e-15,0.9429559204840103,2.0105126,2.7764876
Meg3,8.474226,1.2741786,2.3664683040452763e-17,1.5073088392155053e-15,0.8409680207433017,1.156039,1.8351544
Slc8a1,8.443816,1.3253444,3.071418272770305e-17,1.929523862866386e-15,0.8712186689714779,1.3520863,2.1017768
Erc2,8.41286,1.6072807,4.001329286813478e-17,2.479742717476569e-15,0.6707000864304236,0.64336663,1.3219838
Nalf1,8.363148,1.5588331,6.106678701364914e-17,3.68489849006046e-15,0.8738115816767502,1.3247741,2.2121499
Grin2a,8.306698,1.8001772,9.840231671043887e-17,5.712316764988261e-15,0.5713050993949871,0.4094038,1.0159302
Mgat4c,8.16621,1.8504226,3.182288403426184e-16,1.696973792803777e-14,0.5626620570440796,0.406982,1.0336264
Magi2,8.16093,1.2128468,3.324567238674409e-16,1.7524672823633148e-14,0.9904926534140017,2.902423,3.7113974
Lrrtm4,8.128061,1.5476071,4.3621213787707497e-16,2.273260073073029e-14,0.9343128781331028,1.7352525,2.6846423
Fgf14,8.087727,1.5107721,6.078871787744307e-16,3.132326518943303e-14,0.9222126188418324,1.6222299,2.5322614
Schip1,8.086087,1.2541845,6.161186567212129e-16,3.139466844137203e-14,0.7865168539325843,1.0373373,1.6762229
Auts2,7.969819,0.96654147,1.5890694422271795e-15,7.835991894681553e-14,0.9481417458945549,2.109892,2.7188196
Macrod2,7.935858,1.1839654,2.0904509773921762e-15,1.00913770340216e-13,0.8738115816767502,1.5366387,2.2289805
Dlgap2,7.9280276,1.9161043,2.2265340889981726e-15,1.0526685909428475e-13,0.5289541918755402,0.35031214,0.9490454
Oxr1,7.9068136,1.2746903,2.6406057410533314e-15,1.2321888071443891e-13,0.7588591184096802,0.996574,1.6360482
Ralyl,7.8915176,1.2214098,2.9853400129636724e-15,1.3690769299451402e-13,0.8547968885047537,1.3737235,2.0641656
Lrfn5,7.8876934,1.4155676,3.0782275280591075e-15,1.3976981627405018e-13,0.7303370786516854,0.83395,1.4983565
Chsy3,7.850728,1.6844598,4.1362963369614526e-15,1.8597112746377667e-13,0.5704407951598963,0.47793955,1.0883917
Unc5d,7.755218,2.9303343,8.819168780284725e-15,3.7798792548024065e-13,0.40017286084701814,0.118296534,0.6715476
Pde4b,7.745931,1.2285618,9.488380194170009e-15,4.029047367635524e-13,0.9766637856525497,3.0145977,3.83764
Unc5c,7.73628,1.0786783,1.0236773182283454e-14,4.306957964582745e-13,0.9308556611927399,1.8514488,2.5128412
Grip1,7.679921,1.8247079,1.5918634163926596e-14,6.576833898717781e-13,0.5315471045808124,0.38413617,0.9779665
Erbb4,7.6427736,0.9867752,2.1259159044384264e-14,8.489785577143844e-13,0.9939498703543648,2.9491804,3.6068668
Robo2,7.6425915,2.0513391,2.1289257334747974e-14,8.489785577143844e-13,0.47191011235955055,0.2644531,0.8130346
Xkr4,7.633851,1.1641563,2.2784342839360643e-14,8.930683441137428e-13,0.874675885911841,1.4302646,2.09507
Egfem1,7.5089326,1.5526326,5.961137554847746e-14,2.259320398886923e-12,0.6041486603284356,0.5699197,1.1796731
Asic2,7.4914513,1.5503144,6.811610834092583e-14,2.5604956791105397e-12,0.6214347450302506,0.62802625,1.2696234
Kcnq5,7.485169,1.382623,7.145509131252855e-14,2.664171128124032e-12,0.6862575626620571,0.7737905,1.3975759
Hdac9,7.4727864,1.3460829,7.851417830915308e-14,2.9037582397240002e-12,0.6715643906655142,0.73093426,1.3185538
Gm26871,7.460768,1.5819854,8.601951199291137e-14,3.1308371587261234e-12,0.5782195332757131,0.49137065,1.0646212
