names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,mean_expr_Emx1_Mutant (for_DEGs),mean_expr_Nestin_Mutant (for_DEGs)
Lrrtm1,-2.592982,-1.1496747,0.009514773703799991,0.04996068035254705,0.14538310412573674,0.18240277,0.08635139
Nrn1,-2.593984,-1.4410456,0.009487094936131667,0.04987208049853725,0.10216110019646366,0.13537578,0.052014824
Gpcpd1,-2.5944848,-0.27841595,0.009473282499487133,0.04985625470511159,0.6463654223968566,0.6680033,0.57860637
Got1,-2.5958622,-0.523233,0.009435390733467192,0.04968516363983779,0.3889980353634578,0.36640713,0.2684426
Rnps1,-2.596238,-0.6644729,0.009425080105274318,0.0496591977464539,0.3045186640471513,0.29285702,0.19447315
Clptm1l,-2.5966134,-1.3014408,0.009414779528362215,0.04963325518350178,0.11787819253438114,0.136409,0.057604853
Filip1l,-2.6017475,-0.6783653,0.009275007979457347,0.04898031959861028,0.19842829076620824,0.20982665,0.1361776
Anapc11,-2.601998,-1.1220901,0.009268237467208514,0.04897258160263411,0.11591355599214145,0.14139977,0.06745322
Usp33,-2.6023738,-0.28435788,0.009258089967976214,0.04894698081007356,0.6660117878192534,0.71821195,0.6220751
Zc3h7a,-2.6023738,-0.3293145,0.009258089967976214,0.04894698081007356,0.5618860510805501,0.54857874,0.45846716
Ap3s1,-2.603626,-0.33236203,0.00922433653697916,0.04882445560370105,0.5717092337917485,0.5442037,0.45388645
Rbm12b2,-2.6093862,-0.97944534,0.009070481145410076,0.048037642830338734,0.11787819253438114,0.12841642,0.0671878
Psma4,-2.6102626,-0.99845433,0.0090472703114894,0.04794222287334021,0.14145383104125736,0.16314678,0.08498409
Slc39a3,-2.6105132,-1.4899219,0.009040648392458927,0.04793464980516275,0.07072691552062868,0.10564416,0.038904615
Lysmd4,-2.6105132,-0.836417,0.009040648392458927,0.04793464980516275,0.1807465618860511,0.17816797,0.10365793
Ddx24,-2.6118906,-0.37784123,0.00900430513482407,0.04779686066679757,0.5677799607072691,0.5953496,0.48623803
Kdm1a,-2.6147707,-0.42675877,0.008928735975544756,0.047422992974829485,0.4793713163064833,0.44829553,0.3512189
Abcg4,-2.6156473,-0.78306484,0.008905849368860703,0.0473559306013555,0.17681728880157171,0.16369046,0.09835459
Nelfb,-2.6172752,-0.8624763,0.008863484649233014,0.04718502122091693,0.18271119842829076,0.19071637,0.10936147
Tcea1,-2.6174004,-0.3956762,0.008860233293461596,0.04718502122091693,0.4774066797642436,0.42023554,0.3343506
Dnajc13,-2.6196544,-0.26782104,0.008801890798154988,0.04691123207723366,0.6777996070726916,0.7164555,0.62580305
Rxylt1,-2.6217833,-0.6909815,0.008747104969214452,0.04664617329336719,0.2907662082514735,0.27557406,0.17943205
Blcap,-2.6241624,-0.88360083,0.008686234519812128,0.04634834153317095,0.1944990176817289,0.200206,0.11345322
Cdk5r1,-2.6291714,-0.77576005,0.008559322152177539,0.04569757246197274,0.2907662082514735,0.28557625,0.17651759
Gm14326,-2.6296723,-0.67259216,0.008546722544888636,0.04565671053927488,0.17485265225933203,0.15785305,0.10190477
Atp6v1c1,-2.6310496,-0.52387214,0.008512159084975476,0.04549840215020766,0.4106090373280943,0.3716091,0.27233133
