names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,mean_expr_Emx1_Mutant (for_DEGs),mean_expr_Nestin_Mutant (for_DEGs)
Ncl,-2.6873806,-0.9857737,0.00720148341715207,0.043859233666745545,0.16681071737251513,0.45529625,0.2555545
Ctsb,-2.6892016,-0.82954586,0.007162314756280523,0.04367869078763627,0.2048401037165082,0.51385796,0.32062286
Hmgb1,-2.693572,-1.116718,0.0070690890940766716,0.043225123447247486,0.15903197925669835,0.46694386,0.24249966
Sbf1,-2.7156055,-0.66715145,0.0066154673549929785,0.040832480874828804,0.31028522039757994,0.75149757,0.533816
Syp,-2.7158787,-1.2493684,0.006610012080523713,0.040832480874828804,0.12618841832324978,0.40139624,0.18876252
Ppib,-2.729536,-1.2173856,0.0063423525311408725,0.03946543922362557,0.12878133102852204,0.39492264,0.1891858
Zwint,-2.7537549,-1.0757965,0.005891588405713577,0.03701208825835954,0.1547104580812446,0.44770432,0.23736691
Npm1,-2.7586715,-1.1850376,0.00580368542732776,0.03655058341763572,0.11581676750216076,0.3572285,0.17297736
Cers2,-2.7682314,-1.4827412,0.005636140418706302,0.03560239663937617,0.0898876404494382,0.3416936,0.13605574
Nsg2,-2.7702346,-0.8845208,0.005601593575367239,0.03543297674018504,0.18755401901469318,0.47875148,0.28714338
Atp5pb,-2.799188,-1.3136812,0.005123131303596135,0.03267688478204711,0.14174589455488332,0.44239753,0.20200136
Tmem59,-2.8290517,-1.12254,0.0046686149434764955,0.030070601307279787,0.16853932584269662,0.49598724,0.2584451
Cspg5,-2.8350608,-0.7813309,0.004581694594973696,0.029552252338325417,0.28262748487467587,0.7950083,0.5345084
Flywch1,-2.840979,-1.1974066,0.004497526391711566,0.029132282531623224,0.13742437337942956,0.41467747,0.20219173
Clu,-2.848172,-1.5979669,0.004397116900715394,0.028603089513022404,0.08210890233362143,0.34080574,0.12587939
Rab14,-2.8504481,-0.7409232,0.004365767596333048,0.028439503120430903,0.28262748487467587,0.6765127,0.4565475
Dnm1,-2.8676562,-0.9405598,0.004135246047790762,0.02718522401685559,0.21521175453759722,0.5603333,0.33033013
Akr1a1,-2.886048,-1.490494,0.0039011270097533855,0.025816116113606097,0.0881590319792567,0.32764602,0.12925294
Atp1a3,-2.9323006,-1.1270257,0.0033646103413537934,0.02252569784737007,0.18063958513396716,0.5318537,0.27873385
Ccdc88a,-2.9482338,-0.3561937,0.00319595122072011,0.021585614577647162,0.6983578219533275,1.5649028,1.3749179
Tecr,-2.9629838,-1.0456954,0.003046726543637837,0.02066906498390994,0.19533275713050993,0.54576147,0.30132225
Hmgcs1,-2.971087,-1.2875673,0.002967476606788248,0.02016125587960134,0.15384615384615385,0.5120005,0.24208044
Emc7,-2.9829233,-1.5238327,0.0028550951622910653,0.01945537357246185,0.10025929127052723,0.37048313,0.1449207
Ypel3,-2.9836516,-1.4299425,0.002848307965958512,0.019438006446258534,0.09334485738980121,0.3396644,0.13986596
Son,-2.9947596,-0.45655325,0.0027466122628537273,0.018856233289591608,0.5834053586862575,1.261152,1.0449656
Sem1,-2.999403,-1.3281295,0.002705091941026956,0.01868305970112895,0.11754537597234227,0.37538856,0.16673495
Atp6ap2,-3.0340924,-1.1297288,0.0024126048854906977,0.016763948492212636,0.15730337078651685,0.44976223,0.2307538
Srsf1,-3.0360956,-1.0183389,0.002396634365479799,0.016678247648088555,0.1581676750216076,0.42481375,0.23215075
Ube3a,-3.0474765,-0.5859124,0.0023077153882218784,0.016108345160404162,0.41745894554883317,0.92477506,0.69989127
Ttyh1,-3.0510275,-1.2031308,0.0022805974455214844,0.01594332299567306,0.1365600691443388,0.4165091,0.20245165
Zmat2,-3.0604055,-1.4765744,0.0022103758021149436,0.015547213847391305,0.10025929127052723,0.37371734,0.15085402
Gpi1,-3.1052012,-1.2273028,0.0019014966942271952,0.013582965482439124,0.1313742437337943,0.4098038,0.19584909
Selenof,-3.106749,-1.7627968,0.0018915695572593962,0.013533132589066446,0.09334485738980121,0.38408345,0.12926137
Ywhab,-3.1228645,-1.0401733,0.0017910017879837787,0.012873878055946097,0.18928262748487468,0.51917434,0.28591105
Eef1g,-3.1382515,-1.5729909,0.001699588852849383,0.012313293016062038,0.09248055315471046,0.36151537,0.1366068
Hnrnpa3,-3.1461728,-0.91322327,0.0016542220425741247,0.012003579568425531,0.222990492653414,0.5571734,0.33359757
Ndufb5,-3.1544583,-1.802579,0.0016079638125100898,0.011723564458141926,0.07951598962834917,0.35866705,0.11660155
Atp2a2,-3.1845953,-0.65836644,0.001449566074951238,0.010619345079435107,0.42178046672428693,0.9718172,0.71335864
Omg,-3.2132754,-1.7536849,0.0013123037543545924,0.009706814544306712,0.08556611927398444,0.36881372,0.124218926
Nap1l5,-3.2158248,-1.417125,0.0013007021980687287,0.009652136375959854,0.10112359550561797,0.36090627,0.15078805
Ywhaz,-3.2543383,-0.80304885,0.0011365688224601175,0.008586992783858481,0.30423509075194466,0.72326833,0.47510877
Sub1,-3.2882993,-1.4585154,0.0010079465545934,0.007729837624356744,0.11408815903197926,0.41421333,0.17120114
Rpl18,-3.2966757,-1.764393,0.0009783641709192974,0.007515541185654771,0.09334485738980121,0.40564522,0.13737193
Tomm20,-3.3111522,-1.5613172,0.0009291261848687345,0.007175292221636729,0.11668107173725151,0.42539647,0.16522016
Vamp2,-3.3164332,-1.4310153,0.0009117440677027268,0.007074887131107793,0.11754537597234227,0.4114855,0.17293942
Srsf2,-3.3523061,-0.8697729,0.0008014134640395481,0.00635861962990548,0.24546240276577355,0.6084697,0.37732038
Pfn2,-3.3533077,-1.5809375,0.0007985188926312238,0.006346633694292535,0.09593777009507347,0.36087784,0.1356382
Arl8a,-3.3593168,-1.7379756,0.0007813542328375605,0.006231809585727048,0.0898876404494382,0.3882661,0.13297987
Tmbim6,-3.3919122,-1.2316735,0.0006940669399289793,0.005594008763645517,0.17718236819360414,0.54966795,0.27154598
Brk1,-3.4090292,-1.7618194,0.0006519449916740102,0.005319383568813673,0.08902333621434745,0.38596138,0.13005835
Sirt2,-3.4144921,-0.82994413,0.0006390104572077885,0.005223711152860817,0.33362143474503025,0.872897,0.5789165
Atp6v1e1,-3.4288778,-1.4489069,0.0006060825037841462,0.004963382789918026,0.14347450302506481,0.49625668,0.21137002
Cryab,-3.4298792,-1.8042365,0.0006038498839527134,0.004953945559583441,0.11063094209161625,0.50451565,0.17217578
Gria2,-3.4399855,-0.4006118,0.0005817450980193766,0.004806996431561912,0.773552290406223,2.0228975,1.7866787
Dbndd2,-3.4625657,-1.1205068,0.0005350514891320611,0.004437153940614163,0.1797752808988764,0.5276324,0.27733898
Gatm,-3.5113676,-0.6743807,0.0004458077048110317,0.0037376126768983386,0.4710458081244598,1.1362703,0.84386736
Naca,-3.5177407,-2.0434933,0.00043523720124227615,0.0036623812933891347,0.07865168539325842,0.40587845,0.11461202
Aplp2,-3.5191977,-0.69979674,0.0004328541652433667,0.003649024268025882,0.452895419187554,1.0546209,0.7663179
Ppp3r1,-3.5212007,-1.3068593,0.00042959737612301716,0.003628238613075795,0.17026793431287812,0.5309358,0.24931891
Prnp,-3.5380447,-0.93433785,0.00040310196080009134,0.003436107048753195,0.25324114088159033,0.65591604,0.39543796
Ncdn,-3.5494256,-1.5349435,0.00038607249309940386,0.0033032247264064667,0.11840968020743302,0.43941012,0.17430556
Pkm,-3.557438,-1.183974,0.00037448961827219466,0.0032101110082173546,0.1961970613656007,0.57961106,0.29688406
Rabac1,-3.5626276,-1.9059763,0.0003671612992120453,0.0031531867381768535,0.08038029386343994,0.39240968,0.120646745
Rsrp1,-3.5776505,-0.85739684,0.00034669647153189444,0.0029886278542204285,0.3025064822817632,0.75802183,0.48608404
Shisa4,-3.5828404,-1.3189747,0.00033987834915309587,0.002935371203796794,0.1694036300777874,0.54080904,0.2527383
Dad1,-3.606695,-1.9288766,0.0003101218290790379,0.002706684208722811,0.07605877268798616,0.38201818,0.11527974
Cnp,-3.6412933,-1.2724413,0.0002712718368896587,0.002383242612980795,0.2636127917026793,0.90764517,0.477494
Gpr17,-3.6497607,-1.4375701,0.00026248459594234804,0.002314912224983862,0.1529818496110631,0.5884374,0.25911546
Stmn2,-3.6666048,-1.6512033,0.00024579225559395555,0.002176068116127182,0.1097666378565255,0.4468231,0.16496542
Tle5,-3.6741617,-1.5267277,0.00023863152458008195,0.0021167585526581352,0.1132238547968885,0.42914927,0.1705938
Snap25,-3.7134035,-0.7101625,0.00020449040823411967,0.0018496903592932403,0.46153846153846156,1.1014423,0.80096966
H3f3b,-3.7152245,-1.5093802,0.00020302333702099676,0.0018400494537120378,0.1097666378565255,0.42406383,0.1701835
Ptprs,-3.7398076,-0.7740083,0.00018416119028931375,0.0017027484247314373,0.3621434745030251,0.8777022,0.59984976
Rbm26,-3.7509155,-0.6942109,0.00017619010995242046,0.0016323390792763641,0.4243733794295592,0.9736078,0.70221585
Sparcl1,-3.8571687,-1.1048298,0.00011470796093989146,0.001089131902423069,0.2515125324114088,0.7330205,0.4073202
Cplx2,-3.891403,-1.6953293,9.966626396382923e-05,0.0009683675562248324,0.10717372515125324,0.4410869,0.15801914
Olig1,-3.8963196,-1.4486871,9.766551999819798e-05,0.0009509428337828789,0.15730337078651685,0.5566659,0.24128006
Maged1,-3.900781,-1.5756621,9.588290104720145e-05,0.0009355723068137572,0.12186689714779603,0.4774044,0.18671256
Pgrmc1,-3.9224503,-1.9104315,8.765294720393704e-05,0.0008607632031632875,0.08729472774416594,0.41400138,0.1278893
Sec62,-3.9242713,-0.9814897,8.699263833306377e-05,0.0008561121017069323,0.30423509075194466,0.8105073,0.49016723
Fkbp1a,-3.9393854,-1.18527,8.169062451363978e-05,0.000807399146593862,0.25324114088159033,0.74497294,0.39644063
Rpl3,-4.0002966,-2.1675866,6.326312852543909e-05,0.0006362383934597887,0.07692307692307693,0.42413595,0.11116888
Atp5a1,-4.015866,-1.3631364,5.922792657235568e-05,0.000600927591285007,0.17113223854796888,0.5656108,0.25900695
BC031181,-4.0730443,-2.0686014,4.6402610350237115e-05,0.0004831115133338928,0.08038029386343994,0.41261795,0.114900805
Rtn1,-4.0775056,-0.71211356,4.552143716765726e-05,0.0004760970764291934,0.5859982713915298,1.460554,1.1050903
Atp6v1d,-4.1021795,-1.7931796,4.0927626930664924e-05,0.0004314806829977686,0.10458081244598098,0.46018076,0.15581384
Srsf5,-4.1150174,-1.0997336,3.871500928691046e-05,0.0004109885013652115,0.22558340535868626,0.6255471,0.3404663
Set,-4.1187506,-1.8459028,3.809324052375337e-05,0.0004053262205149256,0.09593777009507347,0.44995558,0.14675865
Hsp90aa1,-4.125397,-0.7141769,3.700958349366315e-05,0.0003965559577148112,0.5453759723422644,1.3177844,0.98103267
Arglu1,-4.1508904,-0.8980036,3.311842139850886e-05,0.0003607626615999088,0.31287813310285223,0.8000502,0.50544363
Tspan3,-4.1907697,-1.1587054,2.7800982472649302e-05,0.00030647910004704255,0.23163353500432152,0.67980355,0.36188927
Atp5l,-4.1998744,-1.6591666,2.6706302090683816e-05,0.0002958335782315845,0.12705272255834055,0.51594836,0.19374897
Cldn11,-4.20816,-1.1010635,2.5745872382485805e-05,0.0002865790552089318,0.4044943820224719,1.2330781,0.7578237
Ywhah,-4.228828,-1.4841187,2.349120541313154e-05,0.000264045754962307,0.17199654278305965,0.58331853,0.24928279
Rpsa,-4.244215,-1.4573978,2.193600003126736e-05,0.0002471707521950666,0.1616248919619706,0.5853891,0.25444826
Ly6h,-4.247766,-1.6263659,2.159128880300036e-05,0.00024388583854817648,0.12964563526361278,0.50927705,0.19482638
Rps9,-4.282,-1.8848768,1.852209900938301e-05,0.00021235586514257624,0.12013828867761452,0.5330993,0.17452087
Atp5b,-4.3533816,-1.653968,1.3405336729376717e-05,0.00015642970544763773,0.13050993949870354,0.51820755,0.1953754
Hsp90ab1,-4.3714094,-0.79151946,1.234470801309905e-05,0.0001444204871124292,0.5522904062229905,1.3784059,0.9988098
Cfl1,-4.385795,-1.8840972,1.155629128111367e-05,0.00013765493977970725,0.1063094209161625,0.5124112,0.16663688
Hnrnpk,-4.4109244,-1.3603988,1.0293028341033599e-05,0.0001242205999262634,0.17545375972342264,0.5825992,0.26846293
Aplp1,-4.4289517,-1.0614856,9.469213956827265e-06,0.00011518783874273167,0.4226447709593777,1.1879513,0.7384098
Rps5,-4.4467063,-2.131094,8.719692296714605e-06,0.0001066360236606218,0.08902333621434745,0.4844866,0.13304316
Bsg,-4.451805,-1.8253157,8.51514733804556e-06,0.00010441300987239822,0.13050993949870354,0.54978627,0.18797581
Basp1,-4.516085,-1.0404056,6.2993362249405734e-06,7.828931145684951e-05,0.324114088159032,0.89410514,0.5321667
Atxn7l3b,-4.552778,-1.5837332,5.294224873060445e-06,6.651867196672658e-05,0.15643906655142611,0.5859391,0.23569293
Rpl15,-4.559697,-2.1299186,5.1227431017481805e-06,6.471873240941365e-05,0.0881590319792567,0.49862713,0.13775735
Cpe,-4.5602436,-0.8769306,5.109433993657523e-06,6.471873240941365e-05,0.46845289541918755,1.1987051,0.8158167
Rpl5,-4.5830054,-2.3203259,4.583398466453689e-06,5.8550042805450184e-05,0.07433016421780467,0.44810095,0.10723244
Camk2n1,-4.596663,-1.7083206,4.2931155467772805e-06,5.5459796894424254e-05,0.14433880726015558,0.581653,0.21627565
Hint1,-4.610138,-2.136342,4.024018728627697e-06,5.2278045012709966e-05,0.09420916162489196,0.49968648,0.13753152
Uchl1,-4.623613,-1.9028001,3.7711299193179795e-06,4.9271800028467956e-05,0.10803802938634399,0.5009461,0.16033228
Atp5k,-4.6527486,-2.2155182,3.275395930010894e-06,4.2917044957228454e-05,0.08556611927398444,0.5028617,0.13163595
Cox6a1,-4.725132,-2.067296,2.2996603589210757e-06,3.083696609945045e-05,0.10285220397579949,0.526067,0.15287425
Plp1,-4.727226,-0.7770829,2.276078728686051e-06,3.069268554568866e-05,0.7934312878133103,3.2126367,2.702325
Ddx5,-4.763463,-0.73292285,1.9029830440380461e-06,2.6050985790920834e-05,0.5306828003457217,1.2736515,0.93556786
Cd9,-4.801066,-1.5878301,1.5782311257423455e-06,2.1866368406810867e-05,0.18755401901469318,0.706186,0.29371658
Eif4a2,-4.8882904,-1.3409089,1.0171541427619234e-06,1.444169937679932e-05,0.219533275713051,0.6995011,0.33633265
Olfm1,-4.8926606,-1.3983632,9.948181957492659e-07,1.4212573974162411e-05,0.23768366464995677,0.7737062,0.36673135
H2aj,-4.989081,-1.8684355,6.066726017505319e-07,8.974840489122386e-06,0.12791702679343128,0.5921947,0.19989453
Arl6ip1,-5.0417976,-1.5378073,4.611785083297128e-07,6.866768309091114e-06,0.17718236819360414,0.6621109,0.28017288
Pcp4,-5.072117,-2.0437388,3.9341468218110683e-07,5.896077557132535e-06,0.1097666378565255,0.5483687,0.16309957
Rpl6,-5.078399,-1.5473007,3.806283224856821e-07,5.741978575392559e-06,0.17286084701815038,0.63862497,0.26684567
Rps2,-5.109993,-2.573268,3.2217086917232833e-07,4.941389986703337e-06,0.07865168539325842,0.5399304,0.1135837
Serinc1,-5.1474137,-1.1359625,2.641023467923242e-07,4.091801899964861e-06,0.35868625756266204,1.0146458,0.587854
Rpl31,-5.162437,-2.607263,2.4375577410993813e-07,3.789369423959919e-06,0.07433016421780467,0.5192451,0.10590781
Ubc,-5.1735444,-2.1571722,2.296942385632686e-07,3.582917612418877e-06,0.09593777009507347,0.5178007,0.14156803
