names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,mean_expr_Emx1_Control (for_DEGs),mean_expr_Emx1_Mutant (for_DEGs)
Atp5md,-3.4626625,-0.93194544,0.0005348587224673422,0.04429682403122972,0.42035398230088494,1.2373071,0.825158
Car2,-3.496387,-1.1824088,0.0004716042885578889,0.040382116369397536,0.30973451327433627,1.0444219,0.5941583
Cst3,-3.5397468,-0.8355901,0.000400510979915243,0.03603180028968591,0.584070796460177,1.6789083,1.2363359
Scd2,-3.5979981,-0.7440986,0.0003206759747081965,0.03306234743317977,0.7300884955752213,2.066826,1.6330392
Ndufb1,-3.6071956,-1.4427371,0.0003095242704100049,0.032577429460653014,0.18584070796460178,0.6948148,0.31415108
Rpl37,-3.6334743,-0.9085502,0.0002796302094603629,0.03005727272752667,0.5,1.4065579,0.97145283
Cfl1,-3.6636949,-1.1922461,0.0002486028405239641,0.02753756388132836,0.2831858407079646,0.92799467,0.5124112
Calm2,-3.7368374,-0.7059773,0.00018634930170815375,0.021893876098362623,0.7522123893805309,2.0299652,1.6202692
H3f3a,-3.8025343,-1.2105023,0.00014322342034975044,0.01855294152838306,0.22566371681415928,0.8022841,0.42642894
Kcna1,-4.0723295,-1.6994729,4.654528511615459e-05,0.007758437055051039,0.168141592920354,0.71356195,0.2780855
Calm1,-4.336431,-0.79924417,1.4481498501287822e-05,0.00399892121767387,0.7654867256637168,2.1629019,1.6905944
Tubb4a,-4.7411237,-1.2610219,2.125363521043707e-06,0.001073733650831281,0.4247787610619469,1.431816,0.84564304
Malat1,-5.1466923,-0.6775755,2.6511996150321984e-07,0.0002232310075857111,0.9778761061946902,5.5112524,5.0440116
Ubb,-5.2202725,-1.1262431,1.7865997931417417e-07,0.0002221230967747524,0.6327433628318584,1.8772154,1.2629266
Nrgn,-5.359112,-1.2349819,8.363202499291574e-08,0.00014083633008807008,0.5707964601769911,1.7683882,1.1201638
Fth1,-5.647302,-1.2539684,1.6298521293863528e-08,6.54073617112769e-05,0.6504424778761062,2.0656924,1.3582163
