names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,mean_expr_Nestin_Control (for_DEGs),mean_expr_Nestin_Mutant (for_DEGs)
Ap3m1,-3.2593536,-0.90498435,0.001116663665582476,0.04855231059090675,0.26578073089701,0.33573905,0.1931522
Ppia,-3.2611973,-1.1409823,0.0011094277270947957,0.04848255483532536,0.24916943521594684,0.39449528,0.19828077
Pebp1,-3.261935,-1.4759709,0.0011065455106446709,0.04848255483532536,0.16943521594684385,0.3311975,0.13203546
Rpl27a,-3.2726285,-1.1812958,0.0010655240211393873,0.04704151947686659,0.1760797342192691,0.29803932,0.14245932
C1ql3,-3.2726285,-1.396559,0.0010655240211393873,0.04704151947686659,0.15946843853820597,0.28275204,0.11700111
Rps23,-3.2741036,-1.2320296,0.0010599776067232154,0.04704151947686659,0.15282392026578073,0.28999403,0.13384876
Npm1,-3.279266,-1.2360178,0.00104077481503036,0.046666824909356086,0.1893687707641196,0.27933085,0.12822318
Thy1,-3.2895908,-0.8472677,0.0010033313604995181,0.04570200890232991,0.3023255813953488,0.41863543,0.25384474
Atrx,-3.301391,-0.35033742,0.0009620677022182204,0.044291127531532935,0.8504983388704319,1.3657506,1.190706
Kcna1,-3.3028657,-1.1082053,0.0009570217385169514,0.044291127531532935,0.2159468438538206,0.3115668,0.1566395
Rps7,-3.3076596,-2.2483718,0.00094079115514354,0.04377984353854452,0.09302325581395349,0.22506662,0.05175887
Csde1,-3.3095033,-0.6581347,0.0009346168087392748,0.04372889188280661,0.5249169435215947,0.6511773,0.45844054
Slc17a7,-3.3139281,-0.98677266,0.0009199512275493545,0.04351571493391425,0.3289036544850498,0.48231232,0.27213347
Apoe,-3.3154032,-1.5952448,0.0009151102823655941,0.04351571493391425,0.1362126245847176,0.32068348,0.11789692
Maged1,-3.3294156,-0.9182685,0.0008702844182745241,0.04209145256699651,0.3089700996677741,0.39939135,0.23092578
Tubb2a,-3.3360531,-1.3218737,0.0008497695391118698,0.04133144611420388,0.21262458471760798,0.34380287,0.15197097
Kcna2,-3.339003,-0.89297056,0.0008407965604246368,0.04133144611420388,0.29900332225913623,0.39642757,0.23268576
Rassf8,-3.341953,-1.4553025,0.000831911531431764,0.041160496402850896,0.12956810631229235,0.22154862,0.0865842
