names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,mean_expr_Nestin_Control (for_DEGs),mean_expr_Nestin_Mutant (for_DEGs)
Tenm2,33.268246,0.92947435,1.1120027105645502e-242,5.569465575862549e-239,0.998211091234347,3.5724728,4.2033024
Celf2,32.19821,0.61831576,1.8696385849709294e-227,6.242723235217933e-224,0.9988819320214669,3.9784045,4.400448
Meg3,31.654995,0.92164373,6.4730978584808845e-220,1.6210255312100754e-216,0.9868067978533095,3.4921746,4.1165442
A830082K12Rik,30.392336,1.2820913,6.935497090632528e-203,1.3894574871373206e-199,0.776386404293381,0.40689027,0.79802835
Mir99ahg,29.534863,1.1252856,1.0275933386189502e-191,1.4704860675637178e-188,0.9675760286225402,1.7470516,2.427886
Hecw2,29.005392,1.0819741,5.625950145744558e-185,6.261682512213693e-182,0.9194991055456172,1.1118414,1.6711793
Dlg2,28.709906,0.5350372,2.8700464968404307e-181,2.874925575885059e-178,0.9977638640429338,3.877755,4.2421827
Mtus2,28.551018,1.027612,2.7284276039006175e-179,2.484605391661135e-176,0.8770125223613596,0.70610595,1.128762
Mlip,27.175964,1.0817716,1.249548110488926e-162,9.628248786744286e-160,0.8698568872987478,0.775215,1.2466584
Phactr1,26.841976,0.7978388,1.046489049452713e-158,7.487629148834162e-156,0.9805456171735242,2.5949097,3.115703
Tenm4,26.732864,0.98606586,1.953756193343847e-157,1.3047183859150211e-154,0.9557245080500895,1.8272921,2.42779
Ext1,26.411793,1.0489919,1.0031083919203688e-153,6.280085476166458e-151,0.9478980322003577,1.4851108,2.0877671
Anks1b,25.454166,0.7194036,6.34831495697105e-143,3.5328372735543893e-140,0.9818872987477638,2.8290272,3.30421
Rasgef1b,25.3358,1.0548337,1.2885884969212284e-141,6.793574196663128e-139,0.8546511627906976,0.8137109,1.2836703
5031425E22Rik,25.30756,0.8915933,2.6372282227231555e-141,1.3208557553508924e-138,0.8132826475849732,0.5362846,0.84007543
A230006K03Rik,24.925972,0.9971222,3.8916648591517967e-137,1.771945767914707e-134,0.9322450805008945,1.25732,1.7954112
C130071C03Rik,24.915552,0.88311166,5.0474272740406465e-137,2.198264304524572e-134,0.9309033989266547,1.1895742,1.6516515
Grm7,24.591951,0.7277829,1.5401986732236905e-133,6.428404212367377e-131,0.9870304114490162,2.8800735,3.362047
Asic2,24.173983,0.9854831,4.178653225409133e-129,1.6099065138047417e-126,0.9523703041144902,1.9084982,2.5153477
Runx1t1,24.158047,0.96133906,6.145612397781381e-129,2.2800221995768923e-126,0.8904293381037567,0.9768313,1.4408959
Fgf12,24.047085,0.83707935,8.954941123621121e-128,3.203630186975456e-125,0.971824686940966,2.205919,2.7364364
