names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,mean_expr_Nestin_Control (for_DEGs),mean_expr_Nestin_Mutant (for_DEGs)
Nmd3,-2.2654233,-0.44170392,0.02348671836055599,0.049915131800974205,0.08297320656871218,0.15989842,0.12014661
Chd6,-2.2663317,-0.27306175,0.023431086733858988,0.049816771794892536,0.5306828003457217,1.0533214,0.9342042
Cops5,-2.2669804,-0.40920055,0.023391419914574302,0.049752289542855044,0.111495246326707,0.20548706,0.15852909
Fig4,-2.2680836,-0.29530048,0.023324120088957522,0.049628958400146035,0.11668107173725151,0.20384935,0.16911855
Prxl2a,-2.2690568,-0.3715765,0.02326487754521588,0.04952267980859377,0.09853068280034573,0.18621367,0.14687105
Vps53,-2.2692838,-0.32650027,0.023251073097513536,0.04951307652420149,0.1063094209161625,0.19521567,0.15863727
Tnrc6a,-2.2701273,-0.27459762,0.023199861677994316,0.04942377569786234,0.5151253241140882,1.0298878,0.9117396
Stt3a,-2.2713602,-0.34354445,0.023125190399871817,0.04928440578020681,0.1063094209161625,0.19400692,0.15592329
Mfsd14a,-2.2729821,-0.29880378,0.02302725674853996,0.049151340189867776,0.1529818496110631,0.274475,0.22853248
U2af1,-2.2731118,-0.26942018,0.023019437640405267,0.049151340189867776,0.13223854796888504,0.23445015,0.1981995
Plekhg1,-2.2753503,-0.25494638,0.022884920549648257,0.04894855748234681,0.5687121866897148,1.3722255,1.2433542
Dapk1,-2.2754152,-0.42357242,0.02288103170841379,0.04894855748234681,0.11495246326707001,0.21983013,0.16831659
Zfp945,-2.2754476,-0.48857486,0.02287908750308449,0.04894855748234681,0.0898876404494382,0.17475508,0.12760025
Txndc12,-2.27548,-0.38847613,0.02287714344126919,0.04894855748234681,0.10890233362143474,0.19796762,0.1546447
Socs7,-2.277232,-0.3715339,0.022772376984599413,0.04878617795494398,0.11754537597234227,0.21479982,0.16992152
Rgs20,-2.2779782,-0.3896558,0.022727880978356273,0.048710438396091,0.14520311149524634,0.29495835,0.2325945
Sugp1,-2.2826498,-0.36297002,0.022451010766601606,0.048214020703125096,0.09334485738980121,0.17486387,0.13852617
Dnajb4,-2.2840123,-0.33202854,0.02237081126698134,0.04806116227035346,0.09853068280034573,0.1826543,0.14773099
Rab31,-2.2845962,-0.25321853,0.02233651637454954,0.04802621438401935,0.4909248055315471,0.9980507,0.8908642
Rnf24,-2.2866075,-0.3949308,0.022218739184416886,0.04781156800265475,0.09420916162489196,0.1806984,0.14030536
Psat1,-2.2925768,-0.54496664,0.021872381030416582,0.0471424134830338,0.08729472774416594,0.18018411,0.12691922
Ccpg1,-2.2970214,-0.25057656,0.02161755512195406,0.04663090432784261,0.13396715643906656,0.23232552,0.1987132
Strada,-2.2985137,-0.26421592,0.02153257463430105,0.04648523405654619,0.13915298184961106,0.25114104,0.21326676
Glmn,-2.298611,-0.27249783,0.0215270425450391,0.04648523405654619,0.12273120138288678,0.21325019,0.17963761
Rab27b,-2.3003304,-0.4577115,0.021429512804701494,0.04633784262315323,0.09507346585998272,0.20422961,0.15270552
Mzt1,-2.301693,-0.5898055,0.021352498570647967,0.046190057809343224,0.07346585998271392,0.14866768,0.10120199
Aimp1,-2.303315,-0.64430094,0.02126112933294722,0.04601108736228383,0.07605877268798616,0.16575924,0.109167635
