names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_ADP-MPO Trp73 Glut (for_DEGs),mean_expr_Rest (for_DEGs)
Tubb3,3.3165367,4.563428,0.0009114061883165638,0.9996294439512452,1.0,0.352884305510796,2.0778575,0.25890985
Cmip,3.2414365,2.6755233,0.001189289673622262,0.9996294439512452,1.0,0.6947398574855874,2.235373,0.83594364
Gbf1,3.1012204,2.7673442,0.0019272487856628758,0.9996294439512452,1.0,0.652343610126401,2.050736,0.6905797
Chgb,2.9047563,3.0799272,0.0036753901980545386,0.9996294439512452,1.0,0.5424499588212125,2.050736,0.58838004
Msi2,2.8231444,2.7885127,0.004755512775786974,0.9996294439512452,1.0,0.653095570594765,2.274183,0.8162885
Ubr3,2.7532225,1.7334543,0.005901177388604594,0.9996294439512452,1.0,0.7928169871450568,2.1884756,1.2185465
Tnrc6c,2.619797,1.6300355,0.008798211994187547,0.9996294439512452,1.0,0.7832563469044294,2.235373,1.30771
Atox1,2.386248,4.626418,0.017021262123647803,0.9996294439512452,0.75,0.12840620188348192,1.2394109,0.094706796
Spacdr,2.381442,4.8417883,0.017245007889005824,0.9996294439512452,0.75,0.1693701435886418,1.5857637,0.12699237
Syne1,2.3792405,1.4808462,0.017348356529486776,0.9996294439512452,1.0,0.8185268736348337,2.4798813,1.5932103
Cdh8,2.3449152,1.9224986,0.019031414262423944,0.9996294439512452,1.0,0.6905861710889104,2.3389192,1.2446737
Aldoc,2.3370702,4.0915565,0.01943553641352064,0.9996294439512452,0.75,0.11995559852472518,1.0970027,0.11067396
Filip1l,2.2627761,3.8791792,0.023649497112004564,0.9996294439512452,0.75,0.220861531850897,1.2347424,0.15327969
Pdlim7,2.2475514,3.552372,0.02460481229683855,0.9996294439512452,0.75,0.2752175314212053,1.0970027,0.15705775
Kif21a,2.2407918,1.7697908,0.025039570154596815,0.9996294439512452,1.0,0.7481290507394278,1.9929612,1.0502652
Cebpz,2.2279546,3.4148002,0.02588354367647933,0.9996294439512452,0.75,0.30690729401654315,1.2052071,0.19817159
Cyb5a,2.2117066,4.016477,0.026986942289399164,0.9996294439512452,0.75,0.28484978694453394,1.4775593,0.18978466
Selenoi,2.2092261,3.2429705,0.02715892369425062,0.9996294439512452,0.75,0.3421778207469474,1.2052071,0.22065632
Wwp2,2.196544,3.2287717,0.02805303411025573,0.9996294439512452,0.75,0.33351237154008667,1.2052071,0.22261204
Phka1,2.1866214,3.346485,0.028770165153135806,0.9996294439512452,0.75,0.25226483331542954,1.2052071,0.2068517
Nxph1,2.1700945,2.2448213,0.029999688269639137,0.9996294439512452,1.0,0.42220789916568197,1.8094864,0.7311836
E2f3,2.1534123,3.4308517,0.031286279512172416,0.9996294439512452,0.75,0.41962974898843414,1.614486,0.31718653
Gprasp2,2.1326685,3.118407,0.032951939646364024,0.9996294439512452,0.75,0.31120421097862283,1.0970027,0.20680796
Plp1,2.1246684,2.7394798,0.033614289455571614,0.9996294439512452,1.0,0.7187309771905325,2.8168244,1.210282
Por,2.1154282,3.0800414,0.034393470111500846,0.9996294439512452,0.75,0.3117771332402335,1.0970027,0.21182972
Naa20,2.1130717,3.2437184,0.03459463949434267,0.9996294439512452,0.75,0.34894546496222295,1.2347424,0.22898886
Ppil4,2.0926995,3.240993,0.03637597497496334,0.9996294439512452,0.75,0.35073584702975613,1.2394109,0.23072729
Rtn4,2.0586843,1.5670761,0.03952448533243486,0.9996294439512452,1.0,0.8082142729258424,2.0554304,1.1934308
Cadm3,2.0543122,2.6092641,0.03994547537874687,0.9996294439512452,0.75,0.43388119024599847,1.2052071,0.32430434
Tsn,2.0518007,3.4295568,0.040189036747687625,0.9996294439512452,0.75,0.37737673219465034,1.4775593,0.27300757
Tafa1,2.0429015,2.177071,0.04106218808865415,0.9996294439512452,1.0,0.7913846814910301,3.3247287,1.935023
Myh10,2.0237079,2.606681,0.04300022112232119,0.9996294439512452,0.75,0.5531922512264117,1.6184001,0.50928235
Dbn1,2.0223746,2.7116578,0.043137675484620705,0.9996294439512452,0.75,0.4670390661367136,1.3476152,0.36102268
Ap3m1,2.0214133,3.0236022,0.04323700067966606,0.9996294439512452,0.75,0.39037490600494146,1.2394109,0.26368695
Smc6,2.015801,2.533597,0.04382079759172074,0.9996294439512452,0.75,0.48515773266014967,1.3382523,0.39589873
Caly,2.0132272,3.2928274,0.04409072345212053,0.9996294439512452,0.75,0.36545278762487915,1.4775593,0.2964796
Rpl24,2.0006073,3.3750072,0.045434735199088166,0.9996294439512452,0.75,0.35141619221541875,1.6377261,0.33602753
Rab1a,1.979274,2.8243463,0.04778516279022931,0.9996294439512452,0.75,0.3988613170050489,1.2347424,0.2957513
Supt16,1.9739407,2.6408854,0.04838848354427976,0.9996294439512452,0.75,0.38575572027070576,1.0970027,0.27754503
Ndst4,1.9486696,2.7347374,0.05133489819617706,0.9996294439512452,0.75,0.37572958069251977,1.5606256,0.44797635
Gnao1,1.9441735,1.7977128,0.0518745354373816,0.9996294439512452,1.0,0.7754860887313353,2.1073928,1.1244822
Nrn1,1.9241116,3.2746093,0.05434059789104129,0.9996294439512452,0.75,0.416228023060121,1.6377261,0.3563884
Rps27a,1.9144372,3.1415918,0.055564312090861115,0.9996294439512452,0.75,0.39685608908941167,1.6377261,0.38493222
Atp8a2,1.8575073,1.8675598,0.06323900397992127,0.9996294439512452,0.75,0.6402764349912271,1.6652976,0.7769682
