names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_MDRNd Prox1 Pax6 Gly-Gaba (for_DEGs),mean_expr_Rest (for_DEGs)
Ap2m1,2.9375582,5.6076226,0.0033080808523417936,0.9995601884331917,1.0,0.27556574047550847,2.4947374,0.20540866
Clasp2,2.8431435,2.3308427,0.0044670941432623824,0.9995601884331917,1.0,0.8313878544829562,2.8301213,1.4278805
Birc6,2.796742,2.572034,0.005162075829639307,0.9995601884331917,1.0,0.7922515038670868,2.7142353,1.2149073
Mllt10,2.7600787,2.2154832,0.005778742537535134,0.9995601884331917,1.0,0.7904969922658264,2.4947374,1.2220083
Camk1d,2.750949,2.3185349,0.005942292882698044,0.9995601884331917,1.0,0.9539888284159267,3.8498669,2.3242447
Lars2,2.7492301,3.1801553,0.005973541283265421,0.9995601884331917,1.0,0.7972285877971927,3.0536544,1.171791
Tnrc6c,2.6813462,2.589161,0.007332660573190546,0.9995601884331917,1.0,0.7832641077055285,2.8468094,1.3076777
Apoe,2.6639097,4.3323236,0.007723827448515123,0.9995601884331917,1.0,0.3468920080206245,2.4947374,0.43950337
Ttc3,2.5931616,1.6341854,0.00950981072891614,0.9995601884331917,1.0,0.8957318819822401,2.9224403,1.896948
Dscaml1,2.4975653,2.1793993,0.012504941455564111,0.9995601884331917,1.0,0.7383987396161559,2.4947374,1.2397119
Nfia,2.4448621,2.3427749,0.01449075115827998,0.9995601884331917,1.0,0.739687768547694,2.7029426,1.3203572
Cmss1,2.3537414,2.2542522,0.01858553061931173,0.9995601884331917,1.0,0.8417358922944715,2.715244,1.3755319
Nkain2,2.0471895,1.4050487,0.04063949107829512,0.9995601884331917,1.0,0.930213405900888,4.1707473,3.2219777
Grik2,2.034515,1.4440671,0.04189971150646638,0.9995601884331917,1.0,0.9168934402749929,3.62699,2.6707854
Pex5l,1.9462227,1.9822764,0.05162799373899395,0.9995601884331917,1.0,0.7805428244056144,2.9219544,1.6953819
Grid2,1.8970283,1.7008708,0.05782420446341269,0.9995601884331917,1.0,0.8128401604124893,2.8301213,1.7758802
Snhg9,1.8918368,6.075828,0.05851273655110716,0.9995601884331917,0.6666666666666666,0.10129619020338013,1.5992446,0.0568983
Mctp1,1.884676,1.7283303,0.05947359716547357,0.9995601884331917,1.0,0.7431251790317961,2.4947374,1.4714592
Slc35a2,1.8276405,5.3666224,0.06760351812951713,0.9995601884331917,0.6666666666666666,0.16256087081065598,1.5692886,0.08817603
Aarsd1,1.8091658,5.4626484,0.07042525277967243,0.9995601884331917,0.6666666666666666,0.18390146089945575,1.8209418,0.11101548
Rbm22,1.807483,5.185731,0.07068700330955878,0.9995601884331917,0.6666666666666666,0.181753079346892,1.5992446,0.10301445
Cdh23,1.7801647,4.922966,0.07504901024755811,0.9995601884331917,0.6666666666666666,0.18526210254941278,1.8197511,0.15737505
Park7,1.7781597,5.2702565,0.07537763138950483,0.9995601884331917,0.6666666666666666,0.2127255800630192,2.0404396,0.15995006
Erbb4,1.7657716,2.4064982,0.07743417893055177,0.9995601884331917,1.0,0.7200300773417359,3.050628,1.5678947
Hdac3,1.7635876,4.842203,0.07780144620732161,0.9995601884331917,0.6666666666666666,0.22790747636780292,1.5692886,0.12450517
Zeb2,1.7431794,1.452519,0.08130228586975333,0.9995601884331917,1.0,0.8604626181609853,2.9938755,2.0704882
Zfp60,1.7133191,4.477167,0.08665386582040205,0.9995601884331917,0.6666666666666666,0.2761744485820682,1.5992446,0.16324057
Atp5o,1.7019693,4.3749695,0.08876113971025365,0.9995601884331917,0.6666666666666666,0.254977083930106,1.8209418,0.22277461
Cmas,1.7012889,4.6517243,0.08888874359392446,0.9995601884331917,0.6666666666666666,0.287381839014609,1.8209418,0.18729305
Frmd4a,1.699821,1.4978863,0.0891646029604019,0.9995601884331917,1.0,0.8563806932111143,3.1468182,2.1840618
Ndufb8,1.6965629,4.0994105,0.08977934024839145,0.9995601884331917,0.6666666666666666,0.22819392724147808,1.5692886,0.20038581
Uba1,1.6810598,4.4339666,0.09275130037544317,0.9995601884331917,0.6666666666666666,0.29916213119450014,1.8209418,0.21474043
Cldn11,1.6781238,3.8326201,0.09332291673940064,0.9995601884331917,0.6666666666666666,0.22400458321397881,1.5692886,0.23660728
Cyp46a1,1.6716076,4.4304824,0.09460172618851112,0.9995601884331917,0.6666666666666666,0.31459467201374963,1.7774938,0.20533612
Stx1b,1.6573219,4.3767076,0.09745441590718644,0.9995601884331917,0.6666666666666666,0.33009882555141795,1.8209418,0.22253384
Clu,1.6565342,4.0021825,0.09761368573351518,0.9995601884331917,0.6666666666666666,0.2840160412489258,1.8209418,0.2799891
Pcdh7,1.6541353,1.6855344,0.09810001650182458,0.9995601884331917,1.0,0.7855557146949298,2.7142353,1.6829344
Sgcz,1.6474401,1.9711546,0.09946763255096021,0.9995601884331917,1.0,0.747923231165855,2.9219544,1.7016768
Naca,1.64343,3.8932018,0.1002939957301937,0.9995601884331917,0.6666666666666666,0.2939702091091378,1.5692886,0.22790495
Atp5j,1.641962,4.0870175,0.10059786866750889,0.9995601884331917,0.6666666666666666,0.2857705528501862,1.7887863,0.25708896
Ndufs5,1.6366273,4.0332785,0.10170837056174527,0.9995601884331917,0.6666666666666666,0.3156330564308221,1.8209418,0.27476823
Slc6a1,1.6234874,3.4359186,0.10448527738411803,0.9995601884331917,0.6666666666666666,0.3134846748782584,1.5992446,0.31109992
Tpi1,1.6218761,3.784959,0.10482987494705912,0.9995601884331917,0.6666666666666666,0.30449727871670007,1.5692886,0.24365847
Simc1,1.6183673,4.045282,0.10558345378355022,0.9995601884331917,0.6666666666666666,0.37700515611572616,1.8209418,0.27277526
Ipo5,1.610598,3.7793586,0.1072673858390785,0.9995601884331917,0.6666666666666666,0.36579776568318534,1.5692886,0.24449986
Atp5h,1.6047261,3.807537,0.10855409432315473,0.9995601884331917,0.6666666666666666,0.32920366657118305,1.8209418,0.31465587
Tbca,1.6039742,3.6976414,0.1087197340811097,0.9995601884331917,0.6666666666666666,0.3546977943282727,1.5692886,0.25706112
Tmem132a,1.5787684,3.5457337,0.11438919990030694,0.9995601884331917,0.6666666666666666,0.36758808364365514,1.5692886,0.28191966
Icam5,1.572252,3.8241017,0.11589210560617964,0.9995601884331917,0.6666666666666666,0.4047192781437983,1.8209418,0.3115678
Rps12,1.5668457,3.4286454,0.11715076483678197,0.9995601884331917,0.6666666666666666,0.33110140360928103,1.5692886,0.30247632
