names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_MEA Slc17a7 Glut (for_DEGs),mean_expr_Rest (for_DEGs)
Camk1d,12.742038,0.55139,3.4525837048808203e-37,4.638546207507382e-33,0.9234507897934386,0.9549210565146821,2.6643836,2.3140883
Hsp90aa1,12.541111,1.2558069,4.447180771982964e-36,3.9831915781060747e-32,0.8286755771567437,0.7946731592149919,1.7485129,1.0944211
Cmss1,11.005629,0.797968,3.5900414658278475e-28,4.38474609939974e-25,0.8092345078979344,0.8427401505090748,1.8007605,1.3627685
Dpp10,10.560831,0.7347094,4.526347105794631e-26,2.764157880288676e-23,0.9161603888213852,0.8849417146229895,2.9910295,2.5145833
Erbb4,10.292163,0.8956744,7.643942230616599e-25,2.8928553202347606e-22,0.778857837181045,0.7182750479563229,2.0706058,1.5527949
Map1b,9.629404,0.41450396,6.007672715351762e-22,9.068885722556284e-20,0.8153098420413123,0.8585288475726722,1.9019166,1.6630995
Naaladl2,9.490444,0.59010136,2.3005243547645857e-21,2.8618096950242786e-19,0.8323207776427703,0.8639516010033939,1.9870808,1.6450411
Lars2,9.365528,0.7595826,7.56708998213302e-21,8.165771398390131e-19,0.7606318347509113,0.7983621071270474,1.5497725,1.1605239
Rtn1,9.201131,0.5008188,3.5420084988939226e-20,3.183069176096311e-18,0.8626974483596598,0.9065589493876346,2.143068,1.8434472
Plp1,9.010006,0.7499797,2.0604595278924794e-19,1.500394241584578e-17,0.7339003645200486,0.7183119374354434,1.588529,1.199036
Hsp90ab1,8.837874,0.9790822,9.755679799055635e-19,6.271175028723083e-17,0.8068043742405833,0.8094289508632138,1.6602024,1.1509846
Nxph1,8.552272,0.8011245,1.2068888129407228e-17,5.928537916584502e-16,0.5625759416767923,0.4180315773941272,1.0451406,0.7218107
Galntl6,8.485158,0.5795399,2.1542536912715705e-17,9.894837040079847e-16,0.827460510328068,0.8132285672126309,2.322123,1.9677635
