names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_MY Lhx1 Gly-Gaba (for_DEGs),mean_expr_Rest (for_DEGs)
Rplp1,3.5427878,3.1908388,0.0003959213344388206,0.6768181085411905,1.0,0.653822739480752,2.523814,0.81393397
Hsp90ab1,3.4586039,2.8540096,0.0005429830526894918,0.6768181085411905,1.0,0.8093106535362579,2.831069,1.1656315
Cox7b,3.0890808,4.1089864,0.0020077685468728184,0.6768181085411905,0.8333333333333334,0.4370993733213966,2.1964424,0.3806333
Cd81,3.0062387,3.8725345,0.00264501242642023,0.6768181085411905,0.8333333333333334,0.403509400179051,2.1440206,0.4149862
Rpl19,2.9693496,3.6220329,0.00298430733632891,0.6768181085411905,0.8333333333333334,0.4074485228290063,1.973626,0.40765846
Rpl27a,2.9439807,3.5017717,0.003240202810049044,0.6768181085411905,0.8333333333333334,0.4287197851387646,1.930379,0.41881225
Rps21,2.9235232,3.608516,0.003460943147604494,0.6768181085411905,0.8333333333333334,0.45980304386750226,2.1964424,0.50397986
Cox4i1,2.8766842,3.465833,0.00401877637033918,0.6870352221405639,0.8333333333333334,0.5277708146821845,2.2814138,0.58533937
Tmsb4x,2.8315413,3.7175066,0.004632424805020596,0.6992077703119217,0.8333333333333334,0.7215756490599821,3.2826316,1.0816553
Itm2b,2.549443,2.4606473,0.010789515743945738,0.8115728003465421,0.8333333333333334,0.7240465532676813,2.187838,0.89119846
Nrgn,2.545721,2.557268,0.01090522622893148,0.8115728003465421,0.8333333333333334,0.735290957923008,2.4577863,1.0347211
Nenf,2.5129337,4.980793,0.011973182125584689,0.8154521010516135,0.6666666666666666,0.20701880035810205,1.8445772,0.15584916
Bcan,2.4689808,4.3195453,0.013549845789950377,0.8383385301752341,0.6666666666666666,0.19566696508504924,1.6038412,0.18143193
Dynlrb1,2.4218633,4.4326224,0.015441161497062775,0.8607967000541011,0.6666666666666666,0.24082363473589974,1.7322989,0.19515257
Syt11,2.3781636,1.9763632,0.01739910725662638,0.9025367026748086,0.8333333333333334,0.7935899731423456,2.1703193,1.0893451
Cox7a2,2.334388,4.188225,0.019575419085335097,0.9281107131348574,0.6666666666666666,0.30940017905102957,1.9546567,0.28706142
Tmem50a,2.3112216,3.7489784,0.02082062245945536,0.942341175238357,0.6666666666666666,0.29758281110116386,1.4662355,0.22145738
Lars2,2.194883,1.6641585,0.02817197980867371,0.9993843363596849,0.8333333333333334,0.7972426141450313,2.0869772,1.1717966
