names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_NLL Gata3 Gly-Gaba (for_DEGs),mean_expr_Rest (for_DEGs)
Atp1b1,4.499799,1.963292,6.8017745631885775e-06,0.0013951426146021151,0.85,0.8601626598832002,2.6741028,1.4955548
Naaladl2,4.2636595,1.9394541,2.011057705178025e-05,0.0024787669971620884,0.8,0.8630647414997671,2.8461685,1.654268
Hsp90aa1,4.0819497,2.434642,4.4659440189682563e-05,0.0037037011046196617,0.8,0.7956719572928236,2.4884715,1.1127088
Rtn1,3.8535366,1.2784091,0.00011642389027414564,0.006526414770143015,0.85,0.9053061516964638,2.6410522,1.8517098
Hspa8,3.624929,2.6040807,0.00028904083003957934,0.011080995344252472,0.75,0.6712407294615026,2.2040577,0.8441182
Camk1d,3.44573,0.98223627,0.0005695192476739107,0.016669915234202592,0.85,0.9540682884884096,2.9552534,2.3239563
Gpm6a,2.8094685,0.41430146,0.004962338926278768,0.07240012581676608,0.8,0.8923721830102826,2.249582,1.9968764
Calm1,2.4796584,1.307474,0.013150834415962197,0.1390032069225873,0.7,0.8371968041274049,2.0756042,1.3391502
Lrp1b,2.2621615,0.8164258,0.02368743069188411,0.20786455345882626,1.0,0.9389129733796711,3.6261475,3.0803077
Ckb,2.059687,2.1552994,0.039428487029269536,0.29734590134057604,0.55,0.5501773494321235,1.5124308,0.58454543
Dpp10,2.0446784,0.92326653,0.040886568477433216,0.3043274501353547,0.95,0.8858156282469277,3.1297014,2.5281887
Zfpm2,1.9554881,1.032447,0.0505254857532861,0.3518061161416941,0.65,0.6738203575651177,1.8239892,1.2642578
Eef1a1,1.9537681,2.1250026,0.05072864769403564,0.3525811597358349,0.55,0.5508939127942388,1.5085047,0.59164333
Cmss1,1.931644,1.1262596,0.05340347281456605,0.3653853369755266,0.65,0.8418902941492602,2.0085635,1.3752221
St18,1.8329935,1.9221942,0.0668035306137872,0.42768903206873055,0.5,0.40217118698720933,1.4761484,0.6369917
