names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_NP PPP Glut (for_DEGs),mean_expr_Rest (for_DEGs)
Cdh18,8.120199,4.5709615,4.65420473568299e-16,6.82747597557044e-12,1.0,0.5834736804385996,3.4948447,0.8518713
Ptprd,8.109524,2.5145903,5.0818578158321105e-16,6.82747597557044e-12,1.0,0.9654208621492816,5.380472,3.6589708
Tshz2,7.952676,4.6263227,1.825254686672734e-15,1.6348197810298787e-11,1.0,0.39674633604472,3.0115566,0.57785213
Foxp2,7.8282967,4.586635,4.94523508424153e-15,2.0276244334432146e-11,1.0,0.2016698319418067,1.9249291,0.21806005
Ldb2,7.8266,3.316,5.012410835656998e-15,2.0276244334432146e-11,1.0,0.5560253699788583,2.650706,0.8423553
Arhgap6,7.820028,4.8498745,5.281174426478213e-15,2.0276244334432146e-11,0.9583333333333334,0.25466728777726017,2.1546264,0.23459813
Dlc1,7.820002,3.690777,5.2822370800530345e-15,2.0276244334432146e-11,1.0,0.5479628766976028,2.662755,0.70937365
Gpc6,7.787331,4.119604,6.843951816435036e-15,2.124481953155082e-11,1.0,0.5516895402587164,3.3343573,0.9387219
Hs3st4,7.782405,3.920172,7.115868097653792e-15,2.124481953155082e-11,1.0,0.6048661626115311,3.4863331,1.1287267
Hcrtr2,7.7083626,4.7017846,1.2744230987091312e-14,3.375378723343193e-11,0.9583333333333334,0.11412907155910704,1.1412884,0.07869786
Rxfp1,7.698029,4.0010753,1.3818074416365881e-14,3.375378723343193e-11,1.0,0.18389651341957214,1.3795348,0.17031416
Etl4,7.674273,3.2548544,1.66359607059324e-14,3.7250688680700294e-11,1.0,0.7124019063317447,3.5859587,1.5424014
Egfem1,7.5867567,2.7715132,3.280121613358858e-14,6.779759057765578e-11,1.0,0.7732110223241481,3.6501257,1.870085
Pbx1,7.5735617,2.1652267,3.631286047229754e-14,6.969475434933105e-11,1.0,0.8133443222130649,2.973683,1.6368074
Nrxn1,7.4918323,1.6983391,6.791857113700498e-14,1.2166480043008827e-10,1.0,0.966782527681227,4.7803745,3.6218405
Samd5,7.45307,2.9058619,9.119280806610599e-14,1.5314692204601676e-10,1.0,0.4839287633926972,1.9121213,0.57071877
Mmp16,7.411484,2.3726883,1.2489409737887194e-13,1.974061409747229e-10,1.0,0.7885476762102698,3.056652,1.591516
Astn2,7.3982506,3.1203256,1.3799026579958714e-13,2.0006315673091154e-10,1.0,0.634715304403913,2.8310282,1.0422853
Vwc2l,7.3949456,3.7867692,1.414663184922709e-13,2.0006315673091154e-10,1.0,0.3100655749453542,1.9370346,0.35784844
Brinp3,7.38755,3.5557814,1.4955879696707035e-13,2.00932243725259e-10,1.0,0.6308453076289103,3.1921256,1.0935136
Tle4,7.3306537,3.00162,2.290325888121365e-13,2.930526505420052e-10,1.0,0.5830436807969327,2.201178,0.6948104
Tox,7.269794,3.5734558,3.6003631993146675e-13,4.3973526893447784e-10,1.0,0.4135879886766761,2.339459,0.5808498
Sox5,7.1980433,2.8966506,6.10826232929878e-13,7.136043860359053e-10,1.0,0.6201311498907084,2.7053587,1.055895
Rspo2,7.1421986,3.3359764,9.184991803004824e-13,1.0283363739447484e-09,1.0,0.3469380442182965,1.6658063,0.35405785
Frmpd4,7.13436,2.335624,9.72386913963515e-13,1.045121455127986e-09,1.0,0.8334468054609955,3.6529515,2.1337674
Cntnap4,7.123191,3.4491675,1.0545672828160394e-12,1.0898547265102684e-09,1.0,0.35123804063496616,1.9506663,0.43980584
Mdga2,7.104373,1.4640905,1.2086997482301957e-12,1.2028800827757539e-09,1.0,0.9127817393485506,3.722998,2.7497778
Myt1l,7.095686,1.7590569,1.2871141103954994e-12,1.2351698623688238e-09,1.0,0.8034543304547246,2.8294876,1.7419347
Pcdh9,7.084264,1.7348335,1.3978551357395943e-12,1.2951850861145827e-09,1.0,0.9715125237395635,5.025202,3.8378916
Fut9,7.0703845,2.376058,1.545047633983035e-12,1.3838476641708052e-09,1.0,0.7504568746192711,2.5803754,1.2091252
Csmd3,7.05239,1.7458646,1.7587027031472689e-12,1.5243981172118425e-09,1.0,0.9004192496506253,3.7158115,2.5613704
Tshz3,6.9018235,2.9875886,5.133926655717061e-12,4.3108940387224195e-09,0.9583333333333334,0.3876446769627692,1.5013093,0.3644422
Pcsk5,6.89577,3.1690779,5.357372050920587e-12,4.362199606310187e-09,0.9583333333333334,0.4626437811301824,2.0668347,0.5693355
Pcdh15,6.857578,2.972959,7.00379375329678e-12,5.535057004443661e-09,1.0,0.7427168810692658,3.4867375,1.61637
Nrg3,6.833644,1.4165579,8.27843006165384e-12,6.355469021618248e-09,1.0,0.9477550435374638,4.5757575,3.610925
Xkr6,6.8247795,2.4065297,8.806034124561042e-12,6.572726025748756e-09,1.0,0.5851578457017953,1.8070474,0.6731882
Chsy3,6.8043666,2.5035284,1.0149489681608148e-11,7.370723993102998e-09,1.0,0.70387358010535,2.7209253,1.2536517
Fstl5,6.788449,3.0483735,1.1334570439632393e-11,8.014734413497957e-09,0.9583333333333334,0.4707779410183825,2.0242386,0.58456534
Asic2,6.762362,2.4050322,1.3575976068846579e-11,9.353499409484808e-09,1.0,0.7918085068262443,3.3583505,1.8306196
Rmst,6.7438107,4.4356713,1.542857764423083e-11,1.036414703251206e-08,0.875,0.2498297918085068,2.241692,0.3282855
Dpp10,6.662423,2.886718,2.693488198280958e-11,1.7652201923855937e-08,1.0,0.8857634285304762,4.4562864,2.5269623
Hs6st2,6.619381,2.5699613,3.6070672587384195e-11,2.3076642200547938e-08,1.0,0.44540796216003153,1.4683341,0.44649193
Satb2,6.570576,2.6315863,5.012088665454085e-11,3.1319726149011926e-08,1.0,0.4201454832120973,1.5990325,0.49293566
Ntm,6.555089,2.2844324,5.560867028864021e-11,3.395920387854006e-08,1.0,0.8151001540832049,3.4534376,1.9855303
Syt1,6.514731,1.2572619,7.281999023341443e-11,4.348162527937435e-08,1.0,0.9508725409395492,3.9826727,3.1367908
Adgrb3,6.3344812,1.2883728,2.381407852468859e-10,1.3910528042573531e-07,1.0,0.9360375533020389,4.0931826,3.2239375
Hecw2,6.3307204,1.8956683,2.440190764899483e-10,1.395062252188279e-07,1.0,0.7277385602178665,2.2589095,1.1950974
Sdk2,6.3221726,2.7314787,2.5791084759273873e-10,1.4437634322535187e-07,0.9166666666666666,0.390224674812771,1.2928723,0.33504048
9130024F11Rik,6.302823,3.1455126,2.922722577956451e-10,1.6027256259120374e-07,0.875,0.23542480381266348,0.9712343,0.170137
Phactr1,6.293769,1.5355194,3.09848999139515e-10,1.6651285213757535e-07,1.0,0.8898484251263123,3.395935,2.3932881
