names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_OB-mi Frmd7 Gaba (for_DEGs),mean_expr_Rest (for_DEGs)
Rcan2,2.960795,4.778657,0.003068462523898603,0.9995601884331917,1.0,0.3673732454883987,2.4871829,0.33771974
Serp2,2.934837,5.2137594,0.0033372283753958978,0.9995601884331917,1.0,0.33722429103408763,2.38503,0.23560573
Ube2q2,2.9283924,4.165659,0.0034071972150945006,0.9995601884331917,1.0,0.4612933256946434,2.1712334,0.35969755
Synrg,2.917866,4.1913733,0.003524356546491596,0.9995601884331917,1.0,0.4592523632197078,2.1712334,0.35434482
Rpl31,2.905657,5.487633,0.0036648293356625217,0.9995601884331917,1.0,0.29497278716700087,2.6041987,0.24611382
Psma7,2.9024704,5.5948744,0.0037023206379074593,0.9995601884331917,1.0,0.28007734173589227,2.5215008,0.21256953
Aplp2,2.8973505,4.020255,0.003763290204056033,0.9995601884331917,1.0,0.6688627900315096,2.9201481,0.7329536
Ccnd2,2.8898318,4.073962,0.003854480878522398,0.9995601884331917,1.0,0.4404540246347751,2.1712334,0.3793283
G3bp2,2.8778017,3.9904778,0.004004568380490155,0.9995601884331917,1.0,0.5359137782870238,2.3653195,0.47434363
Tuba1a,2.862227,4.788472,0.004206754892614475,0.9995601884331917,1.0,0.4123460326553996,2.7009795,0.40730706
Rgs17,2.8413177,3.428795,0.004492754616958198,0.9995601884331917,1.0,0.5412847321684331,2.1712334,0.54316086
Rpl15,2.8106694,4.25479,0.004943853475196997,0.9995601884331917,1.0,0.4023918647951876,2.1712334,0.34143043
Uqcrq,2.8062656,4.5860696,0.005011935098393906,0.9995601884331917,1.0,0.3059653394442853,2.1712334,0.28025255
Ppm1l,2.800179,3.0360835,0.005107427225366246,0.9995601884331917,1.0,0.6755585792036666,2.5844882,0.91397685
Pura,2.792338,3.0588694,0.005232866392665275,0.9995601884331917,1.0,0.6383557719851045,2.1712334,0.65871567
Dnaja1,2.783566,4.0783596,0.0053764911738024375,0.9995601884331917,1.0,0.5055141793182469,2.390402,0.46190694
Jarid2,2.7616541,2.6464288,0.0057509362805809715,0.9995601884331917,1.0,0.7306645660269264,2.3653195,0.93249226
Rbm25,2.7527747,2.2565727,0.005909252933881113,0.9995601884331917,1.0,0.7832283013463192,2.3653195,1.1048956
Scg5,2.7483351,3.0156698,0.005989875065408295,0.9995601884331917,1.0,0.6295832139788027,2.1712334,0.67327607
Rpl6,2.7415323,3.781036,0.006115332749146657,0.9995601884331917,1.0,0.4798410197651103,2.1712334,0.44798288
Bsg,2.7334766,4.0125604,0.006266958469022573,0.9995601884331917,1.0,0.4198653680893727,2.1712334,0.3929603
Cox7c,2.7219834,4.0047774,0.006489137502826645,0.9995601884331917,1.0,0.4632626754511601,2.38503,0.47882307
Slc25a4,2.714787,4.265499,0.006631841430177941,0.9995601884331917,1.0,0.46329848181036953,2.5215008,0.46699476
Atp1b1,2.67261,3.0715892,0.007526367112633662,0.9995601884331917,1.0,0.8601403609281009,3.4054327,1.4961938
Atp2a2,2.66971,2.42381,0.007591678463509284,0.9995601884331917,1.0,0.7653251217416213,2.3653195,1.0288799
Sparcl1,2.6147153,3.7977505,0.008930184058809545,0.9995601884331917,1.0,0.5909839587510742,2.7352974,0.7112178
Actb,2.5535984,3.4312277,0.010661618274674501,0.9995601884331917,1.0,0.6836508163849899,2.7333984,0.8473932
Itm2b,2.5467956,3.1263967,0.010871710173547001,0.9995601884331917,1.0,0.7240403895731882,2.607106,0.8912928
Calm2,2.4882565,2.5224588,0.012837116058431498,0.9995601884331917,1.0,0.8573116585505586,2.9274848,1.405421
Hspa8,2.3982456,3.1079175,0.01647381448979588,0.9995601884331917,1.0,0.6712618160985391,2.5215008,0.8449119
Grin1,2.3635519,2.1085835,0.018100698828028394,0.9995601884331917,1.0,0.7059581781724434,2.1712334,1.0301404
Mbp,2.3360543,3.0257833,0.019488405033919028,0.9995601884331917,1.0,0.5691778859925523,2.3653195,0.781418
Calm1,2.2257428,2.112768,0.026031405143783493,0.9995601884331917,1.0,0.83708106559725,2.579116,1.3395443
Camk1d,2.2088792,2.5703578,0.027183034098567097,0.9995601884331917,1.0,0.9539888284159267,4.0209827,2.3242264
Gpm6a,2.1553168,1.3247923,0.031137046618815327,0.9995601884331917,1.0,0.8922944714981381,2.8301795,1.9969678
Hsp90ab1,2.111887,2.3737836,0.03469615422825167,0.9995601884331917,1.0,0.8093311372099685,2.5215008,1.1658436
Epha5,2.107268,1.5806657,0.035094340279831014,0.9995601884331917,1.0,0.8532655399598968,3.0105264,2.0084667
Nptn,2.075367,1.2240511,0.03795253473845654,0.9995601884331917,1.0,0.8411271841879118,2.3653195,1.635077
Vip,1.9303974,6.2656007,0.05355761349423097,0.9995601884331917,0.6666666666666666,0.05209825264967058,1.6008912,0.050158493
Pard6a,1.9264232,6.276416,0.054051552166959796,0.9995601884331917,0.6666666666666666,0.05836436551131481,1.4066292,0.038991775
Cntn1,1.9100609,1.325151,0.05612537626460945,0.9995601884331917,1.0,0.8297049556001146,2.579116,1.7687112
Trappc2,1.9060508,6.041659,0.05664360908907,0.9995601884331917,0.6666666666666666,0.08027785734746491,1.4066292,0.045726612
