names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_OEC NN (for_DEGs),mean_expr_Rest (for_DEGs)
Sntb1,10.644873,8.366779,1.842353613345577e-26,4.1257556814846144e-22,0.975,0.0909612419776989,3.3302562,0.07846662
Gm29683,10.577839,7.294595,3.7756618931544224e-26,4.1257556814846144e-22,0.975,0.07959556846294503,2.371245,0.06001535
Bnc2,10.559187,8.399211,4.6063517098823386e-26,4.1257556814846144e-22,0.975,0.019468645799720338,2.423016,0.029994491
Sash1,10.415935,5.4443564,2.097268603286876e-25,1.408840184257959e-21,0.975,0.43071241619160305,3.1586332,0.4171408
Ncam1,10.318063,3.2014303,5.83895726911054e-25,2.9953345578394622e-21,0.975,0.8554730916783192,3.7956707,1.745686
Rora,10.301559,3.5718296,6.932851282920814e-25,2.9953345578394622e-21,0.975,0.8017281560359972,3.9139657,1.6348796
Ptn,10.290177,4.947441,7.803253407099455e-25,2.9953345578394622e-21,0.975,0.600946541895235,3.6287467,0.78312933
Slc4a4,10.262518,4.7813063,1.0396000172204486e-24,3.4917565578391816e-21,0.975,0.5070811372844287,3.485386,0.7656578
Plce1,10.250508,6.5897164,1.177227904033473e-24,3.5146793090421575e-21,0.95,0.15445842744971497,2.5557873,0.11632208
Col11a1,10.183141,5.9723597,2.3582480502823038e-24,6.33661251110855e-21,0.95,0.19916819045570255,2.4777892,0.16028382
Slc35f1,10.168923,3.8052084,2.7290830348107392e-24,6.666405558669506e-21,0.975,0.6547631852568929,3.2796738,1.039905
Zfhx3,10.094422,5.565575,5.847416925696215e-24,1.3093341066121442e-20,0.975,0.25599655802947185,2.891699,0.30708978
Tmtc2,9.942811,4.147084,2.710677495966701e-23,5.602761870509634e-20,0.975,0.5183751030798466,2.7853267,0.61961263
Mir100hg,9.924963,3.3997142,3.2422151263072915e-23,6.222737174562637e-20,0.975,0.7298053135420028,3.3051555,1.2491784
Gpc6,9.646172,3.8409076,5.102512294926975e-22,9.140300357645856e-19,1.0,0.5514323616937363,3.1470065,0.9376164
Sox5,9.5217285,3.146124,1.7032141820815605e-21,2.860335317033221e-18,0.975,0.6199490875192715,2.865907,1.0547181
Sgcd,9.5099945,3.567055,1.9067343734989914e-21,3.0137619185834056e-18,0.975,0.7050302965114195,3.5972455,1.3850642
Atp1a2,9.437191,4.9942155,3.8290776508905255e-21,5.715962026634912e-18,0.95,0.31447420314796887,2.8598964,0.41636124
Edil3,9.252396,2.7859905,2.195163196358572e-20,3.1044228992713067e-17,1.0,0.7584884012763974,3.1672847,1.4580245
