names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_PH-SUM Foxa1 Glut (for_DEGs),mean_expr_Rest (for_DEGs)
Ndufc2,3.359141,5.436281,0.0007818514492784979,0.9995671316594322,1.0,0.27865506499086906,2.5307474,0.23668663
Rab3a,3.3579628,5.403108,0.0007851918496032759,0.9995671316594322,1.0,0.318544777455509,2.6940005,0.28209427
Syp,3.280196,3.6246514,0.001037350508076614,0.9995671316594322,1.0,0.6280660292906506,2.5307474,0.66135764
Cck,3.1805997,4.0361414,0.0014697061484209718,0.9995671316594322,1.0,0.5970566118809754,2.8573735,0.69344866
Aplp1,3.1612508,3.6248121,0.001570931335848916,0.9995671316594322,1.0,0.6128119740752677,2.5307474,0.6613076
Hsp90ab1,3.1355767,3.8082588,0.0017151661709213725,0.9995671316594322,1.0,0.809324309807713,3.463604,1.1656603
Atp1b1,3.1178403,3.187679,0.0018218149006301015,0.9995671316594322,1.0,0.8601353528843055,3.483231,1.4961143
Hspa8,3.051081,3.6243253,0.0022801901860972,0.9995671316594322,1.0,0.6712500447595516,2.8547993,0.8448041
Camk1d,2.9950814,1.9883783,0.002743716050071355,0.9995671316594322,1.0,0.9539871808643965,3.6264534,2.3242218
Tmsb4x,2.9543064,3.3194556,0.0031337262747226035,0.9995671316594322,1.0,0.7215597808572349,3.018858,1.0818508
Syne1,2.766928,1.8172325,0.005658727847748608,0.9995671316594322,1.0,0.8185268736348337,2.6954381,1.5931797
Unc5d,2.6699362,2.82984,0.007586565568809317,0.9995671316594322,1.0,0.6383786299996419,2.8593233,1.1980416
Nfib,2.6175954,1.8617945,0.008855171208221605,0.9995671316594322,1.0,0.818383643069431,2.8578856,1.7081933
Romo1,2.4379377,5.5544844,0.014771318580837993,0.9995671316594322,0.75,0.14007949296379849,1.9606719,0.12211474
Cdh23,2.414992,5.2947097,0.01573554948891015,0.9995671316594322,0.75,0.18523292870698607,2.039372,0.15728407
Vgf,2.3962946,5.276001,0.016561773850252908,0.9995671316594322,0.75,0.18440935295592079,1.895158,0.13620079
Nfe2l1,2.278962,4.5138526,0.02266932391156267,0.9995671316594322,0.75,0.3199770831095356,1.9606719,0.23680055
Rps5,2.2716131,4.3417134,0.023109881908643562,0.9995671316594322,0.75,0.2601783220539263,1.8572071,0.23634341
Oaz1,2.2356443,4.190711,0.02537507001339368,0.9995671316594322,0.75,0.32051419772979556,1.9606719,0.2883817
Fkbp3,2.2246368,4.209309,0.026105631707027836,0.9995671316594322,0.75,0.3698929351523615,1.9606719,0.28516757
Rpl23,2.2226832,4.1413393,0.026237162736136375,0.9995671316594322,0.75,0.32681634260751247,2.0173738,0.31436464
Sf3b2,2.205226,4.0703707,0.02743823613495359,0.9995671316594322,0.75,0.40498442367601245,1.9606719,0.30994084
Grid2,2.189412,1.7387484,0.028566893875502913,0.9995671316594322,1.0,0.8128334586600781,2.8547993,1.7758389
mt-Co2,2.1348698,3.681459,0.032771637393591145,0.9995671316594322,0.75,0.34783542808035234,1.8572071,0.35160002
Atp5b,2.1252575,3.9737563,0.03356512629541476,0.9995671316594322,0.75,0.4691517169764028,2.2780943,0.44303608
Tm9sf3,2.1208234,3.5397391,0.03393665880340797,0.9995671316594322,0.75,0.5044580513481577,1.9606719,0.42191187
Rpsa,2.1091337,3.5757518,0.03493304726345458,0.9995671316594322,0.75,0.4024062734987646,1.8792052,0.38207263
Fkbp1a,2.0798316,3.6132483,0.037540989735212985,0.9995671316594322,0.75,0.5329609338632865,2.181259,0.49596083
Ptprn,2.0579712,3.302959,0.039592899305446745,0.9995671316594322,0.75,0.5813012496866832,2.1521602,0.5712089
Fau,2.0475836,3.3481562,0.040600811991440625,0.9995671316594322,0.75,0.4143302180685358,1.8572071,0.4258175
Abhd12,2.0348396,3.1463964,0.04186701969104017,0.9995671316594322,0.75,0.5837719769398789,2.039372,0.5625144
Ddx24,2.0331032,3.1636236,0.042042104729460794,0.9995671316594322,0.75,0.5440613026819924,1.895158,0.48914927
Ust,1.9873049,2.3277593,0.046888610390176354,0.9995671316594322,0.75,0.5914348121889211,1.8572071,0.7308309
Sorl1,1.975429,2.6239352,0.048219474799297335,0.9995671316594322,0.75,0.6311454864468078,2.043896,0.7372855
Zfp644,1.9634602,2.3068058,0.04959272812874511,0.9995671316594322,0.75,0.6706055072152397,1.8572071,0.73838687
D430041D05Rik,1.8875537,1.6631225,0.05908589279775411,0.9995671316594322,0.75,0.6795932251942565,1.8572071,0.9958123
Itm2b,1.8862203,2.7126987,0.05926526597122565,0.9995671316594322,0.75,0.7240663157517814,2.344512,0.8912689
Atp6v0b,1.8852592,2.3288155,0.059394861661558156,0.9995671316594322,0.75,0.7417910982203603,2.2040627,0.9573045
Cntnap5c,1.8782824,2.2577038,0.0603425392466044,0.9995671316594322,0.75,0.5082894689726788,1.8572071,0.7563024
Ubb,1.8690112,2.888328,0.06162126047752581,0.9995671316594322,0.75,0.48265119776560317,1.9606719,0.6012614
Fut8,1.8509028,1.713771,0.0641835437610798,0.9995671316594322,0.75,0.7380671035198911,1.895158,1.0019457
Ppia,1.8483292,2.808463,0.06455474380487543,0.9995671316594322,0.75,0.5328893185805851,1.9606719,0.62665653
Zfp638,1.8199883,1.5830283,0.06876079727468129,0.9995671316594322,0.75,0.778923622300999,1.9606719,1.1110164
Wasf1,1.8154922,1.5287377,0.06944831348867385,0.9995671316594322,0.75,0.7183729007770259,1.8572071,1.0555507
Hsp90aa1,1.810686,3.0978131,0.0701894766432911,0.9995671316594322,0.75,0.7956815984531099,2.9180927,1.1134355
Myo5a,1.7947481,1.4332066,0.07269384582545824,0.9995671316594322,0.75,0.7578687291868085,1.8572071,1.0992137
Phf20l1,1.7908101,1.5190756,0.07332377001336764,0.9995671316594322,0.75,0.7754860887313353,2.043896,1.2074344
Gls,1.7879264,1.169129,0.0737878793963081,0.9995671316594322,0.75,0.8039531636051134,2.2218552,1.5384382
Nrgn,1.7681437,2.5310771,0.07703689939062003,0.9995671316594322,0.75,0.73530991513589,2.4413474,1.0348253
Ssh2,1.7661592,1.5837735,0.07736915709258207,0.9995671316594322,0.75,0.8141583413900526,2.289248,1.37581
