names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_CA2-FC-IG Glut (for_DEGs),mean_expr_Rest (for_DEGs)
Wipf3,14.785983,2.500198,1.8040315244018972e-49,4.847432706067898e-45,0.7967914438502673,0.5273212226066898,1.6916372,0.57814294
Nell2,14.46737,1.4184943,1.9477773913506986e-47,2.6168389252796635e-43,0.8823529411764706,0.7667603806228374,2.3481424,1.5132127
Zbtb20,14.129793,1.8338684,2.4887436128790324e-45,2.2290846959353201e-41,0.9144385026737968,0.8682237600922722,3.5001047,2.3035567
Cpne4,14.054223,2.40683,7.257365570803244e-45,4.875135322187079e-41,0.786096256684492,0.5438292964244521,1.9622859,0.7669628
Prkca,13.766928,1.7894479,4.0299101837377264e-43,2.165673732740654e-39,0.8021390374331551,0.7603806228373703,2.2868118,1.269276
Nrip3,13.490237,2.5869455,1.7852475360251188e-41,6.852800184713562e-38,0.7433155080213903,0.3269535755478662,1.0079358,0.2543254
Strip2,13.269734,3.8259704,3.4680784565782815e-40,1.1648408516032303e-36,0.6310160427807486,0.11862024221453288,0.6927771,0.068089105
Hs3st4,12.389883,2.290797,2.964738933114029e-35,4.686031478398468e-32,0.7967914438502673,0.6039143598615917,2.410169,1.1221291
Camk2a,12.138596,1.1812451,6.59481882221868e-34,9.844598986278662e-31,0.8877005347593583,0.7869449250288351,2.1767716,1.4923245
Nr3c2,12.063395,1.751273,1.6484583547421838e-33,2.331267157469604e-30,0.7807486631016043,0.7749783737024222,2.6803474,1.6167786
Brinp2,11.758304,1.9083841,6.400726241038776e-32,8.189881623652948e-29,0.7219251336898396,0.5447303921568627,1.409695,0.60125124
Sv2b,11.71755,1.5322335,1.036255158599606e-31,1.210616352677018e-28,0.8288770053475936,0.6204584775086506,1.7453879,0.96877253
Hpca,11.701935,2.1590917,1.2458023944129277e-31,1.3389884135150147e-28,0.7593582887700535,0.3616998269896194,0.9715846,0.3131064
Ppm1e,11.497184,0.98074704,1.3629032785446729e-30,1.2628003825688054e-27,0.8021390374331551,0.8104815455594002,2.2493615,1.6672933
Arhgef26,11.484744,2.4674711,1.5740087708435968e-30,1.4097871890855816e-27,0.6524064171122995,0.24401672433679353,0.83759934,0.21269275
Stxbp5l,11.408524,1.413565,3.791087690263199e-30,3.1833289449178797e-27,0.7807486631016043,0.7954512687427913,2.564548,1.7052268
Zfp804a,11.3604765,1.8793849,6.578482637287599e-30,5.356479650421752e-27,0.7379679144385026,0.6605392156862745,2.1041374,1.0841624
Ccbe1,11.1857,2.3843408,4.7910840960147246e-29,3.218410741497891e-26,0.6631016042780749,0.31657295271049596,1.0518384,0.3051345
