names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_COAp Grxcr2 Glut (for_DEGs),mean_expr_Rest (for_DEGs)
Dach1,6.274468,3.9993403,3.508319352356378e-10,5.237141166545327e-07,0.5892857142857143,0.2187982062780269,1.5500396,0.20870782
Fth1,5.947112,1.981237,2.729147538119957e-09,3.1883562760557933e-06,0.8571428571428571,0.5795515695067265,1.6614279,0.7326905
Ubb,5.463299,2.0049386,4.673672927758909e-08,2.9332258707167508e-05,0.7678571428571429,0.4821165919282511,1.4581072,0.599735
Tmsb4x,5.0179815,1.536459,5.221714063777702e-07,0.0002090773232486918,0.8928571428571429,0.721255605381166,1.8939236,1.0804971
Ppia,4.8129997,1.5560114,1.4868160337624986e-06,0.0004700087862023334,0.7857142857142857,0.5324125560538117,1.2686532,0.6255581
9530026P05Rik,4.7245436,2.384559,2.3063298805754727e-06,0.0006663557407641178,0.5357142857142857,0.2285560538116592,0.8478306,0.22759469
Mef2c,4.6539707,1.0836834,3.2560285134888526e-06,0.0008662325362123314,0.7857142857142857,0.7807713004484305,2.136637,1.5096015
Cox6c,4.575427,1.9130242,4.752496958943792e-06,0.001164267967902391,0.6785714285714286,0.43296860986547087,1.1357887,0.4454818
Calm1,4.508554,1.4450649,6.52709684602604e-06,0.0015250703674149536,0.9642857142857143,0.8368430493273542,2.1581562,1.3380331
Fau,4.481853,1.9348359,7.3997756266508976e-06,0.0016795850820905804,0.6607142857142857,0.4138834080717489,1.1061847,0.42465603
Camk2n1,4.426344,1.4624813,9.58437370179146e-06,0.0019218815027398249,0.7321428571428571,0.5974529147982063,1.2643727,0.65336883
Unc5d,4.388055,1.4375405,1.1436897165348069e-05,0.0022108591858482204,0.6964285714285714,0.6383139013452915,1.9816436,1.1967057
Rps21,4.36322,1.6953405,1.281619301771104e-05,0.0024157828233165673,0.6964285714285714,0.45940807174887893,1.1369768,0.5030725
Gria3,4.356991,0.70441866,1.318629311994645e-05,0.0024435565250549044,0.8035714285714286,0.8048430493273543,2.2304578,1.8076575
Cdh7,4.272159,2.277101,1.9358924941654582e-05,0.003332744804159815,0.5,0.23056502242152466,0.679547,0.18293628
Ttc3,4.259045,0.50815916,2.0530205627839004e-05,0.0033843351240492882,0.8571428571428571,0.8958206278026906,2.2030933,1.8964438
Cst3,4.20371,1.3731127,2.625750853482955e-05,0.004050764468003198,0.8035714285714286,0.5864394618834081,1.4356825,0.8048483
Trpm3,4.125788,1.4161463,3.694667892351743e-05,0.005327071756876523,0.7678571428571429,0.6869955156950672,2.230273,1.4136662
Gucy1a1,4.0504217,2.0438013,5.11254584588454e-05,0.0070448259937906455,0.4642857142857143,0.19960538116591928,0.4674978,0.13500562
Pld5,3.9222412,2.8770392,8.772906827376572e-05,0.010603937344720189,0.39285714285714285,0.11336322869955157,0.56691223,0.09879062
Calm2,3.9043577,1.0937167,9.447599414568669e-05,0.011085458352378171,0.875,0.8572914798206278,2.02263,1.4043449
Adgrl3,3.8973734,0.2840925,9.724164433685184e-05,0.011262426652289693,0.8035714285714286,0.8835874439461884,2.5737827,2.3933165
Rps20,3.844162,2.0891829,0.00012096511001855162,0.01326666329060605,0.5357142857142857,0.30234977578475336,0.81226027,0.25810182
Eef1a1,3.813529,1.6083574,0.00013699639395359995,0.014492492541469414,0.6964285714285714,0.5506008968609866,1.2403682,0.59099823
Rplp1,3.7786326,1.3382752,0.00015769182513425243,0.016110948065997575,0.7857142857142857,0.6536322869955157,1.4285833,0.8130669
Arhgap6,3.775182,1.7408924,0.0001598908628747419,0.016210604842821982,0.5,0.254780269058296,0.6351609,0.23544656
Prkg1,3.7470956,0.50710875,0.00017889385525461318,0.017737556792219396,0.6964285714285714,0.8107264573991031,2.232866,1.9255359
Map1b,3.706086,0.71196043,0.00021048686300598166,0.02011608532830971,0.8928571428571429,0.8571838565022422,2.0865839,1.6693019
Atp5b,3.702901,1.610813,0.00021314827007437522,0.02011608532830971,0.6428571428571429,0.46884304932735427,0.99270296,0.44219518
Nrgn,3.6126196,1.1544597,0.00030311910554459604,0.026196644189476478,0.7857142857142857,0.7352107623318386,1.6160747,1.0338593
Camk2d,3.5968595,1.0893289,0.000322082340901902,0.027387191455804132,0.6607142857142857,0.5603946188340807,1.2806712,0.79818153
A830036E02Rik,3.5761805,1.8939036,0.0003486510265316357,0.02869000487157109,0.44642857142857145,0.22191928251121076,0.46687627,0.14850841
Pdzrn4,3.5690136,1.3903034,0.00035832767495333186,0.029088412767359597,0.5892857142857143,0.5410582959641256,1.3673499,0.7494413
Hspa8,3.5656211,1.455287,0.0003629954691568296,0.02929035512385589,0.75,0.6711390134529148,1.5332572,0.8437093
Otof,3.550342,3.1184323,0.00038473096802583447,0.030710547454216953,0.3392857142857143,0.08175784753363229,0.34702274,0.04666341
Celf4,3.5213265,0.5360595,0.00042939330021229526,0.03320441291775046,0.7857142857142857,0.7924304932735426,1.8971566,1.5909084
