names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_IT AON-TT-DP Glut (for_DEGs),mean_expr_Rest (for_DEGs)
Bbs1,-2.5393915,-1.5068252,0.011104547369387801,0.04989618525341977,0.07425742574257425,0.17497926358685853,0.03123854,0.08633929
Arl4a,-2.5430086,-0.7833931,0.010990255057914542,0.04939089369562866,0.10396039603960396,0.20332503876807675,0.07054059,0.118491456
Atosb,-2.5431705,-0.91521496,0.01098515997427864,0.049376254350763975,0.0594059405940594,0.1620685924483393,0.045721903,0.084548965
Efcab2,-2.5438054,-0.7416935,0.010965212978511945,0.049303091153382855,0.1188118811881188,0.22142882902376573,0.07614775,0.12425377
Abcb1b,-2.54388,-1.0000912,0.01096287647441594,0.049300835291641226,0.0594059405940594,0.16188827581232645,0.0486129,0.09497759
Tbc1d2b,-2.54402,-1.6075789,0.010958479549208824,0.049289311263348026,0.034653465346534656,0.13606693353528795,0.02453248,0.07295754
Lrp3,-2.5474093,-0.9060081,0.010852605180130103,0.04882945431850232,0.0891089108910891,0.18994554437592412,0.056586064,0.10354119
Ifnar2,-2.54744,-0.8131085,0.010851651823002498,0.04882945431850232,0.10891089108910891,0.21050164088138773,0.08153427,0.13911594
Kdm6b,-2.5478735,-0.81408,0.0108381765982118,0.048780871891784094,0.11386138613861387,0.21060983086299542,0.068632856,0.11769944
Bcor,-2.5486617,-0.32173613,0.010813714290971865,0.04868708160161092,0.12871287128712872,0.22986764758916658,0.11828769,0.1457778
Tle2,-2.5488894,-2.1573565,0.010806656545535398,0.048663459255662164,0.039603960396039604,0.14107973601644488,0.01744899,0.07559197
Rab5c,-2.549012,-0.5554248,0.010802857917379767,0.048654507582969214,0.0891089108910891,0.19481409354827076,0.08254125,0.11907083
Nr2f2,-2.5490646,-1.8144374,0.010801230297274263,0.048654507582969214,0.0594059405940594,0.16095062930505968,0.032101884,0.108622454
Zfp521,-2.5494323,-2.8029652,0.010789843059101453,0.04861218695473777,0.034653465346534656,0.13696851671535215,0.02025303,0.13346525
Pet100,-2.54952,-0.4032229,0.010787133385417143,0.04861218695473777,0.13366336633663367,0.23603447654080564,0.11039131,0.14353807
Csrnp2,-2.5496907,-0.9226555,0.010781851261633182,0.04860062798189626,0.09900990099009901,0.19953838941180713,0.054989196,0.10179553
Tsc2,-2.5513766,-0.54899776,0.01072983048057794,0.04837425251898142,0.07920792079207921,0.18244437231779004,0.06866383,0.09893007
Pde1b,-2.5528128,-0.6055428,0.010685687648772237,0.04819141106453676,0.12376237623762376,0.22507122507122507,0.090973124,0.13532764
Cald1,-2.5536056,-0.4471683,0.01066139754820023,0.04808993656540879,0.14356435643564355,0.24587976486710664,0.14806432,0.19686168
Dnajc25,-2.5536842,-2.079433,0.010658984644365384,0.04808712515011717,0.06435643564356436,0.16434058206210106,0.0202468,0.08290959
Inf2,-2.5539207,-0.34538326,0.010651748846291925,0.04807062336242257,0.10396039603960396,0.20981643766453892,0.111948565,0.14019337
Lactb,-2.5556679,-0.5639771,0.010598419577962327,0.047846023867581945,0.10396039603960396,0.20776082801399257,0.07946656,0.11535568
