names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_L6 CT CTX Glut (for_DEGs),mean_expr_Rest (for_DEGs)
Lrmda,8.107833,-0.2749087,5.153056672606774e-16,2.8870440532306928e-15,0.39354187689202824,0.20189309576837416,0.20397784,0.2419803
Bmp2k,7.973623,-0.31286582,1.5408917280218995e-15,8.355955748122793e-15,0.4611503531786075,0.25631031922791386,0.1996307,0.2425226
Phldb1,7.8821974,-0.25619254,3.2167319773296807e-15,1.7129129653358802e-14,0.4530776992936428,0.25460282108389015,0.21829382,0.25569394
Lyn,7.411036,-0.29572275,1.2531676602123692e-13,5.979864150223115e-13,0.37235116044399597,0.2016332590942836,0.17489144,0.21074343
Tspan2,7.4101453,-0.3322635,1.2616117915058202e-13,6.015884443258454e-13,0.4409687184661958,0.25230141054194505,0.22254616,0.27292925
Rab31,7.3825364,-0.27011493,1.5530221483551318e-13,7.366232149391419e-13,0.5146316851664985,0.3050482553823311,0.24209747,0.2854187
Gab1,6.9195437,-0.37835175,4.530998535517849e-12,1.969712516572797e-11,0.41977800201816345,0.2394580549368968,0.23013608,0.2899536
Epb41l2,6.8781676,-0.29341167,6.0627311647817695e-12,2.6135983699291857e-11,0.5247225025227044,0.33088344469190795,0.3331858,0.395135
Tjp2,6.802064,-0.3149221,1.0313080507937072e-11,4.386773361536633e-11,0.3693239152371342,0.20360059391239793,0.1383572,0.16939136
Cx3cr1,6.715697,-0.32432988,1.8716949180985552e-11,7.850833975852042e-11,0.32088799192734613,0.17141796585003713,0.14751737,0.18150696
Asrgl1,6.636396,-0.33696988,3.214453772787105e-11,1.3329069888084803e-10,0.4520686175580222,0.26911655530809203,0.1797118,0.22207882
Fign,6.569902,-0.28244525,5.0348426819430637e-11,2.0646319963956258e-10,0.32896064581231077,0.17553823311061617,0.15932491,0.19067876
Plekhg1,6.537782,-0.3455689,6.243783774273879e-11,2.549703191713361e-10,0.450050454086781,0.2706755753526355,0.25384283,0.3127493
Rin2,6.4431834,-0.34366128,1.1699315245998044e-10,4.703180739975575e-10,0.35418768920282545,0.1987750556792873,0.13798124,0.17206043
Abca1,6.3875804,-0.38994727,1.6853101706976526e-10,6.710771233942788e-10,0.425832492431887,0.25382331106161843,0.18605728,0.23740484
Itga6,6.385976,-0.4153814,1.7030793356660305e-10,6.780521817950251e-10,0.32795156407669024,0.17821083890126208,0.12859964,0.16807295
Daam2,6.3292594,-0.37194216,2.4634039981087996e-10,9.705522790202852e-10,0.29263370332996974,0.14933184855233853,0.116526455,0.14836283
Pde8a,6.2463403,-0.32325295,4.201809306458807e-10,1.6374563606170868e-09,0.29969727547931385,0.1592798812175204,0.1506704,0.18519568
Glul,6.2023487,-0.53979856,5.562669998113802e-10,2.150941759236118e-09,0.4409687184661958,0.2653303637713437,0.1848459,0.25863686
Ddr1,6.1862125,-0.26869187,6.162695338370428e-10,2.3781649252048454e-09,0.3895055499495459,0.23314773570898292,0.15230982,0.18082137
Plekhh1,6.1809936,-0.29270968,6.369944354602943e-10,2.456025323693228e-09,0.2623612512613522,0.1285820341499629,0.1079396,0.13069414
Rrbp1,6.153812,-0.3921322,7.564246918719224e-10,2.901931963249366e-09,0.4601412714429869,0.2856718634001485,0.20149446,0.2569277
Ldhb,6.142654,-0.30208722,8.11540209261833e-10,3.1067225278338014e-09,0.4682139253279516,0.2896807720861173,0.19729252,0.23815186
Arhgap31,6.1421704,-0.42060968,8.140144031706593e-10,3.115750286780002e-09,0.34712411705348134,0.19825538233110615,0.15859406,0.207044
Enpp2,6.0919366,-0.26382545,1.1155275382399304e-09,4.239635778289523e-09,0.6125126135216953,0.4125835189309577,0.44819108,0.5181672
Abca2,6.0596323,-0.27016616,1.3643301903159946e-09,5.162590087845482e-09,0.42885973763874874,0.2642910170749814,0.16012768,0.19014548
Itpr2,6.0471387,-0.3533584,1.4744089065840962e-09,5.565800410215604e-09,0.37336024217961655,0.22115812917594654,0.20836307,0.25924644
Prkcq,6.033221,-0.29660305,1.6072355143671635e-09,6.057001160034457e-09,0.2542885973763875,0.12386785449146251,0.10456078,0.1269684
Gjc3,6.028357,-0.42554486,1.6563495727124722e-09,6.240341141164348e-09,0.3249243188698285,0.18144023756495917,0.17422381,0.22762743
Apbb1ip,6.0229173,-0.40213537,1.7130093511210966e-09,6.448383477812253e-09,0.2805247225025227,0.14680772086117297,0.14778739,0.19100404
Sox2,5.9967384,-0.43980253,2.0131989566813857e-09,7.550901167787386e-09,0.25529767911200807,0.12416481069042316,0.07784261,0.1041847
Wipf1,5.9628296,-0.51399076,2.4790710169709773e-09,9.253040453675533e-09,0.3763874873864783,0.22019302152932443,0.1764423,0.24338095
Prdx6,5.9557753,-0.26249912,2.5884177096836208e-09,9.639748282633249e-09,0.35923309788092833,0.21232368225686712,0.12358218,0.14651562
Elf1,5.936111,-0.3039396,2.918621442746592e-09,1.0848437981270013e-08,0.31886982845610495,0.17902746844840386,0.13316402,0.16198343
