names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_LSX Sall3 Lmo1 Gaba (for_DEGs),mean_expr_Rest (for_DEGs)
Zic1,5.6740613,7.3223314,1.3945101952195505e-08,0.0003060181739363887,1.0,0.02080945558739255,1.5004191,0.021532722
Gabrg1,5.58946,5.395612,2.2777683210747206e-08,0.0003060181739363887,1.0,0.13918338108882522,1.6830021,0.09901969
Dgkg,5.486158,3.1488984,4.10769812983256e-08,0.00036791282916200297,1.0,0.6583094555873925,2.7601175,0.9816238
Grm8,5.3960958,4.011838,6.810659842744631e-08,0.00045283468565256884,1.0,0.5152578796561604,3.118705,0.85015893
Rasal2,5.3305316,3.073992,9.792575844082294e-08,0.00045283468565256884,1.0,0.8016117478510029,3.4082792,1.497183
Cdh18,5.305323,4.0304356,1.1247361746200587e-07,0.00045283468565256884,1.0,0.5836676217765043,3.1361694,0.8532432
Hs6st3,5.2921576,3.2143023,1.2088148827992947e-07,0.00045283468565256884,1.0,0.7943767908309456,4.078098,1.9813795
Hectd2,5.2721667,3.4126985,1.3482238501006887e-07,0.00045283468565256884,1.0,0.514362464183381,2.019972,0.4786806
Plcb4,5.2475758,3.9410715,1.5411380654063165e-07,0.00046011533130519696,1.0,0.3311246418338109,1.8975586,0.31416965
Adamtsl1,5.2137275,3.7885919,1.8508327249490197e-07,0.0004711762833123884,1.0,0.41085243553008594,2.28148,0.49235183
Gria1,5.201161,2.835291,1.9804774376414389e-07,0.0004711762833123884,1.0,0.849606017191977,4.1270037,2.2561247
Mdga2,5.189884,1.6620098,2.104248381000618e-07,0.0004711762833123884,1.0,0.9128223495702006,3.857502,2.7501776
Dpp6,5.118392,2.4803283,3.081518410362895e-07,0.000570349063713369,1.0,0.8215974212034384,3.412362,1.83374
Prlr,5.1142964,6.0992184,3.149124989369304e-07,0.000570349063713369,0.9090909090909091,0.08148280802292264,1.536784,0.051866632
Pag1,5.112221,3.237155,3.1839359716042185e-07,0.000570349063713369,1.0,0.40845272206303723,1.6311951,0.36177236
Grm5,5.0810843,1.5777488,3.7528679187316405e-07,0.0005989830421408497,1.0,0.9191260744985673,3.9254286,2.8702407
Sorcs1,5.0792327,3.7752113,3.7896210332692386e-07,0.0005989830421408497,1.0,0.46479226361031517,2.623943,0.6596711
Dgkb,5.050658,2.6445909,4.4029009939539775e-07,0.0006206486493166536,1.0,0.7794770773638968,3.2856817,1.6320269
Klhl29,5.04718,2.329662,4.48378948219481e-07,0.0006206486493166536,1.0,0.665365329512894,2.2100718,0.9611126
Man1a,5.037007,3.2595472,4.728678780950603e-07,0.0006206486493166536,1.0,0.5581303724928367,2.5812013,0.8220975
Xkr6,5.0298257,2.7192602,4.909256189619399e-07,0.0006206486493166536,1.0,0.5853510028653295,1.9921069,0.6736432
Met,5.0232058,5.0281386,5.08160412540617e-07,0.0006206486493166536,0.9090909090909091,0.0991404011461318,1.1069645,0.06021405
Phactr1,4.999456,1.909787,5.749227829928554e-07,0.0006436739657924177,1.0,0.8898997134670487,3.648065,2.3936565
Slc35f1,4.96716,2.8381634,6.794049618569277e-07,0.0007077783739793509,1.0,0.6550859598853869,2.6483772,1.0424803
Ripor2,4.965608,2.859393,6.848618430764095e-07,0.0007077783739793509,1.0,0.587714899713467,2.017293,0.64087915
Lrrfip1,4.9337606,2.739967,8.066120330572861e-07,0.0007840020468168831,1.0,0.6263252148997135,2.0141666,0.679124
Prdm16,4.929142,4.89108,8.259162327325611e-07,0.0007840020468168831,0.9090909090909091,0.0680515759312321,1.1267428,0.0679256
Ptpn3,4.9244103,2.7765396,8.461503296497809e-07,0.0007840020468168831,1.0,0.4561604584527221,1.4374448,0.38421363
Cdc42bpa,4.880932,1.837869,1.0558584610429125e-06,0.000945697228274102,1.0,0.8275787965616046,2.6899323,1.5771103
Cdh13,4.845812,3.1732287,1.260949417762602e-06,0.001090880522344073,1.0,0.543839541547278,2.5112715,0.81313425
Tcerg1l,4.79863,4.3484464,1.597543751191612e-06,0.0013007878968035944,0.9090909090909091,0.1673352435530086,1.2307626,0.11242186
Focad,4.7907386,2.5002234,1.6616846640579256e-06,0.001302438647547953,1.0,0.6955229226361032,2.370058,0.99846953
Dlx6os1,4.7814817,3.691743,1.7400772986703746e-06,0.001302438647547953,1.0,0.27847421203438394,2.0028822,0.40285364
Gabrg3,4.772786,2.8747392,1.8169477362063532e-06,0.001302438647547953,1.0,0.6537607449856734,2.8814304,1.1926816
Gabra2,4.7675314,2.1327794,1.8649713406275078e-06,0.001302438647547953,1.0,0.7696275071633237,2.704152,1.4300596
Grm7,4.7670074,1.7822897,1.8698228782041687e-06,0.001302438647547953,1.0,0.8930515759312321,3.874431,2.6884563
Hunk,4.764801,3.7787805,1.8904022052240478e-06,0.001302438647547953,0.9090909090909091,0.3586676217765043,1.7132603,0.2861435
Dapk1,4.740808,2.4760737,2.1286755634125406e-06,0.001429937809722374,1.0,0.6476361031518625,2.066306,0.80619574
Ryr3,4.686277,3.1006482,2.782195520421727e-06,0.001779942705565043,1.0,0.7198424068767908,3.3583817,1.4431778
Mat2a,4.6789837,2.3495336,2.8830016030725236e-06,0.001801540769175784,1.0,0.5771848137535817,1.5114322,0.5266511
Col6a3,4.671111,8.247245,2.995751532075799e-06,0.0018294509924290164,0.8181818181818182,0.011138968481375359,1.1919402,0.007519516
Zic4,4.6408534,7.3053517,3.469733678677599e-06,0.002026777042305806,0.8181818181818182,0.014434097421203438,1.2228967,0.01504079
Grk5,4.627632,3.2713878,3.698705030600681e-06,0.002114557535579581,0.9090909090909091,0.292012893982808,1.1776886,0.20920435
Gad2,4.606332,3.724952,4.09833865025819e-06,0.0022542735033461306,0.9090909090909091,0.2232808022922636,1.4969016,0.23290531
Trpc4,4.605696,2.7630486,4.1108820864890365e-06,0.0022542735033461306,1.0,0.5425501432664757,2.0673902,0.7016459
Csnk1g1,4.5976176,1.9076366,4.27349573317296e-06,0.002296576607007149,1.0,0.6868911174785101,1.7666644,0.8298669
Cpa6,4.5494075,6.4157524,5.379720659279652e-06,0.0027416882964149993,0.8181818181818182,0.06737106017191977,1.7480922,0.05407322
Myo5b,4.5458355,3.5122862,5.471774437684246e-06,0.0027416882964149993,0.9090909090909091,0.28871776504297997,1.3139064,0.21385019
Lzts1,4.540861,3.1255875,5.602490679122259e-06,0.0027416882964149993,0.9090909090909091,0.39623925501432666,1.3916343,0.2972786
Lin28b,4.540506,3.5203228,5.611941060767584e-06,0.0027416882964149993,0.9090909090909091,0.2992836676217765,1.3615619,0.22549248
Slc12a8,4.529585,4.888721,5.909972741593525e-06,0.002835731563689607,0.8181818181818182,0.06199856733524355,0.630083,0.02919921
Chn2,4.5063024,3.6552706,6.596702955687965e-06,0.0031097089196374665,0.9090909090909091,0.2922636103151863,1.6759299,0.29621753
Sema5a,4.4916224,3.1368115,7.0682619619669255e-06,0.0031989314156829277,1.0,0.4356375358166189,2.1365306,0.61478984
Phactr2,4.4906125,3.5389357,7.1018589282584465e-06,0.0031989314156829277,0.9090909090909091,0.3382521489971347,1.5905865,0.28975928
Sox1ot,4.4893785,5.2683673,7.143129324189641e-06,0.0031989314156829277,0.8181818181818182,0.08363180515759312,1.2709606,0.06441192
Pld5,4.481113,5.4347663,7.4254856295659575e-06,0.0032708655551874966,0.8181818181818182,0.11364613180515759,1.7058204,0.09909638
Adgrl3,4.4577556,1.5516914,8.282220152825696e-06,0.003589407346877846,1.0,0.8833810888252149,3.406774,2.3932786
Gria2,4.448125,1.5491408,8.6623148657517e-06,0.0036945460387737806,1.0,0.9214541547277937,3.686577,2.6599357
Cep112,4.441355,2.4552531,8.939404838514332e-06,0.003702163621614105,1.0,0.48964899713467047,1.5793076,0.53199273
Trio,4.440963,1.7213402,8.95573633810632e-06,0.003702163621614105,1.0,0.7642191977077364,2.1621435,1.2035851
Gm26691,4.4107423,2.666127,1.0301680202651928e-05,0.004194032530988747,0.9090909090909091,0.3997134670487106,1.2915119,0.34759575
Col25a1,4.3714337,3.6065023,1.2343329961782012e-05,0.004950228001090786,0.9090909090909091,0.4511819484240688,2.253473,0.5303581
Specc1,4.363149,2.3735476,1.2820333152118058e-05,0.005065916938197239,1.0,0.6830587392550144,2.088057,0.8604183
Nkain3,4.346693,2.4093733,1.3820553080097503e-05,0.005382003786408985,1.0,0.6703080229226361,2.5962176,1.2049446
Shank1,4.3377914,1.9646116,1.4392166580940154e-05,0.005524535943283742,1.0,0.5862464183381089,1.4250892,0.5928653
Fat3,4.322158,2.5054271,1.5451070098767175e-05,0.005847468359913718,1.0,0.7385028653295129,2.827344,1.3350716
Fgf12,4.3088427,1.775639,1.6411092305875145e-05,0.006124528475817572,1.0,0.8551934097421203,3.3246863,2.1775315
Plekha1,4.3053083,2.2083871,1.6675323761036974e-05,0.006137889718617308,1.0,0.6148638968481376,1.6310887,0.6361435
Gnal,4.2341714,2.5973125,2.2939599176364803e-05,0.008329554457688139,0.9090909090909091,0.40644699140401147,1.2074835,0.3275119
Sema6d,4.215508,2.1238217,2.492163923528695e-05,0.008928592616695472,1.0,0.7058381088825215,2.371877,1.1723456
Nav2,4.2015386,1.7111319,2.6510679849625054e-05,0.009284883641655747,1.0,0.8203796561604585,2.7030447,1.6587964
Gm41414,4.200716,3.5167902,2.660722145171167e-05,0.009284883641655747,0.8181818181818182,0.20053724928366762,0.9422819,0.12821718
Atp2a2,4.189365,1.7528142,2.7973650048764804e-05,0.009527919398584406,1.0,0.7652578796561604,1.9540502,1.0286589
Clmn,4.189047,2.1063063,2.8012863136887537e-05,0.009527919398584406,1.0,0.377041547277937,0.9849524,0.3290351
Meis2,4.174292,2.7357352,2.989141394101177e-05,0.010039778657437328,0.9090909090909091,0.489756446991404,1.9975239,0.6711232
Slc35f3,4.131973,2.7431252,3.596633573706014e-05,0.011867294669096862,0.9090909090909091,0.5907593123209169,2.1200173,0.7395559
