names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_SUB-ProS Glut (for_DEGs),mean_expr_Rest (for_DEGs)
Serpine2,4.3892927,-0.33659354,1.1372001966882451e-05,5.566873617236864e-05,0.3951367781155015,0.2569207641256921,0.19272542,0.23775767
Nme1,4.0536346,-0.30282688,5.042797766718581e-05,0.0002265128318149921,0.39361702127659576,0.2661240054266124,0.18028921,0.21809608
Uqcrh,3.8643627,-0.29010975,0.00011137961406261581,0.0004796106137600139,0.49544072948328266,0.350309830235031,0.2626295,0.3127954
Atp5g1,3.7432725,-0.39350867,0.000181639069633322,0.0007608171162973284,0.378419452887538,0.25816741832581674,0.18636857,0.23831537
Cox5a,3.6985862,-0.31439927,0.00021680367064239148,0.0008978906643281534,0.4726443768996961,0.33369999633337,0.24714927,0.29909566
Sod1,3.5619907,-0.32450414,0.00036805348818623695,0.001481365672193557,0.38753799392097266,0.2719539471271954,0.16941139,0.20796643
Rpl15,3.5035434,-0.2546027,0.00045911193210561833,0.001824902014153545,0.5501519756838906,0.3988926777398893,0.29467446,0.34275955
Degs1,3.498374,-0.30261272,0.000468104092517906,0.0018592693223881945,0.3069908814589666,0.20624793752062479,0.12717605,0.15466496
Sytl2,3.4905775,-0.38598287,0.0004819780843552141,0.001910315178816223,0.44224924012158057,0.31360686393136067,0.23421966,0.29630533
Cobll1,3.485276,-0.29503122,0.000491629729939475,0.0019472421644271363,0.3434650455927052,0.2337109962233711,0.19217962,0.23108631
Selenof,3.480831,-0.28006363,0.0004998611066606411,0.001978386792748774,0.39209726443769,0.2741905914274191,0.16745761,0.19995832
Ptges3,3.420123,-0.27360034,0.0006259282198087039,0.002443511734165317,0.5227963525835866,0.37494958383749494,0.24077478,0.28448877
Ndufb5,3.4115949,-0.3154961,0.0006458403475323325,0.0025179527188325264,0.3844984802431611,0.2704139625270414,0.17558001,0.21418743
Foxp2,3.3785853,-0.25872558,0.0007285981543492429,0.0028152764462703707,0.2993920972644377,0.20001466652000147,0.18730408,0.22030415
Caly,3.3755224,-0.2961405,0.0007367568774615383,0.002845164888961129,0.4969604863221885,0.36233637663623364,0.24882837,0.2978027
Atp5g2,3.3434205,-0.3070832,0.0008275238294175887,0.0031737889375464752,0.3677811550151976,0.2603673963260367,0.16603349,0.20167883
Msmo1,3.294502,-0.25461036,0.000985962297576657,0.003744566351361806,0.3556231003039514,0.25200747992520073,0.1587822,0.18672584
Cox7a2l,3.2833,-0.36771736,0.0010259945307171275,0.0038834304888532493,0.4088145896656535,0.28937043962893705,0.16785872,0.21174201
Ndufb1,3.2676282,-0.33270285,0.0010845274946097373,0.0040957489501284115,0.38753799392097266,0.28145051882814504,0.1888185,0.23247981
Psma7,3.2505252,-0.38636655,0.00115192029070285,0.004334420698947707,0.3905775075987842,0.27749055842774906,0.16760723,0.21390839
Ghitm,3.198561,-0.39777258,0.0013811532743598742,0.005133709846735347,0.3662613981762918,0.2590474095259047,0.15168439,0.19539613
Serf2,3.1788037,-0.45486462,0.001478841991185948,0.005468825255046302,0.378419452887538,0.2675539911267554,0.16658895,0.22190803
Ndufc2,3.1786568,-0.36551562,0.0014795910137706172,0.0054708422375143095,0.38753799392097266,0.2761339053276134,0.1895678,0.23815994
Lamp1,3.17373,-0.37582532,0.0015049369284394658,0.005562263448028673,0.48936170212765956,0.35507644923550763,0.2370972,0.29801843
Adipor2,3.1663516,-0.26367941,0.0015436416229269296,0.005691751944639849,0.36930091185410335,0.2654640120265464,0.15184237,0.1797013
Tuba4a,3.1555727,-0.43675223,0.0016018342211615163,0.005893644464276318,0.3844984802431611,0.27356726432735673,0.17931668,0.23573403
Npm1,3.1542735,-0.25702256,0.0016089821704604007,0.005918323192371111,0.4513677811550152,0.3335166648333517,0.2265257,0.2652932
Grcc10,3.1388464,-0.38814148,0.0016961432443648396,0.006225292852900319,0.36930091185410335,0.2637040296263704,0.16893227,0.21580003
Tma7,3.1003423,-0.30538672,0.0019329712977919646,0.007051172790071964,0.3829787234042553,0.27958053752795803,0.18321344,0.22192079
Atp6v1d,3.0876136,-0.26767603,0.0020177065179007333,0.007329427353791091,0.5759878419452887,0.4269423972426942,0.31093454,0.36398342
Rpl31,3.0859866,-0.42446995,0.0020287788891281302,0.007366660642009845,0.4088145896656535,0.2923037436292304,0.19017011,0.24772282
Pmm1,3.0550737,-0.28299597,0.0022500514355000517,0.008119645725474939,0.26595744680851063,0.17915154181791515,0.10169206,0.122430556
Atp5md,3.054883,-0.39985916,0.002251483468125939,0.008123722410171072,0.506079027355623,0.3735929307373593,0.2902554,0.36764163
Gna12,3.023493,-0.32108,0.002498747854773097,0.008948601207217528,0.48328267477203646,0.358009753235801,0.23676533,0.28798223
Eid1,3.0023682,-0.27160144,0.002678879185512961,0.009561833649672323,0.5683890577507599,0.4198658013419866,0.30369213,0.35652497
Eif3c,3.0014925,-0.28874072,0.002686597321793539,0.009586835330224754,0.4787234042553192,0.356469768635647,0.25213084,0.3003298
Myt1,2.9955256,-0.29095042,0.002739722958805863,0.009756972286694967,0.3601823708206687,0.25622410442562243,0.13784154,0.16620712
1110004F10Rik,2.9802063,-0.3069196,0.002880544534351966,0.010228654901286814,0.4787234042553192,0.3532064679353206,0.22161344,0.26765928
Cox6b1,2.9671936,-0.48237965,0.003005315883218701,0.010647789791941784,0.4756838905775076,0.34711986213471197,0.24610938,0.32918274
Gabarapl2,2.9579365,-0.25892904,0.0030970598166355843,0.010948295918036857,0.3130699088145897,0.22406775932240677,0.14967342,0.17663456
Rpl6,2.9561725,-0.30946654,0.0031148276016834823,0.011008071618010476,0.6413373860182371,0.47600190664760017,0.3773654,0.44987628
Atp5l,2.9534643,-0.297009,0.0031422886255919077,0.011099420976686546,0.6170212765957447,0.4603820628460382,0.34834012,0.41341513
Tle5,2.946842,-0.38237655,0.00321037254357313,0.011325024320048576,0.43617021276595747,0.3221867781322187,0.20271038,0.2569008
Bzw1,2.9438524,-0.3372138,0.0032415452993528816,0.011424491368522027,0.3890577507598784,0.2833571664283357,0.16049139,0.19879164
Ly6e,2.9427662,-0.30301422,0.0032529397059225334,0.011461643049847689,0.4088145896656535,0.30114032193011403,0.18541008,0.22420162
Gnb2,2.942052,-0.35956883,0.0032604532029660454,0.011485104557380393,0.32674772036474165,0.23330766692333077,0.1354359,0.17065975
Itgav,2.937893,-0.32388034,0.0033045110147347525,0.011631151554351953,0.40577507598784196,0.2961170388296117,0.20407374,0.24948895
