names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_Sst Chodl Gaba (for_DEGs),mean_expr_Rest (for_DEGs)
Col25a1,7.553896,5.101613,4.2242791576614636e-14,7.150824707730893e-10,1.0,0.45096915194726095,3.2167175,0.5291122
Npy,7.523754,6.4908447,5.3225342074662394e-14,7.150824707730893e-10,1.0,0.1208484110207445,2.5197933,0.11959892
Sox6,7.37417,5.365254,1.6537244492459226e-13,1.4811858650412645e-09,1.0,0.3092329189208556,3.2507215,0.471175
Nos1,7.227748,6.2313256,4.910699215896131e-13,3.2987621982782262e-09,0.95,0.2218838450790011,2.5214758,0.14181286
Sox2ot,7.0725317,5.451946,1.5213241377473763e-12,8.1755959162544e-09,0.95,0.46641109240084555,3.998835,0.79886746
Alk,7.030267,5.178655,2.061391823363147e-12,9.23159971562796e-09,0.95,0.24026369531725844,2.4830668,0.26474822
Tacr1,6.8211894,6.7905326,9.028974726081146e-12,3.465836441282863e-08,0.9,0.046899072050446064,1.4603653,0.029440274
Pam,6.641921,2.8930027,3.09620819701805e-11,1.0399389281734377e-07,0.95,0.7303930350041202,2.9301288,1.2199092
Chrm2,6.5966463,5.4347343,4.205627912369814e-11,1.1680808344157979e-07,0.9,0.17408906882591094,2.0974255,0.15288761
Sst,6.5842457,4.5344677,4.57201010759507e-11,1.1680808344157979e-07,0.95,0.25377091469313173,2.1157775,0.2737077
Nkain3,6.577574,2.8955343,4.781871670477773e-11,1.1680808344157979e-07,0.95,0.6702375407545412,2.9107294,1.2042711
Pde1a,6.47024,2.7404046,9.784736863578983e-11,1.9323415695579534e-07,1.0,0.7630324961484719,3.346314,1.6292182
Adamts6,6.4691997,3.5911157,9.852332281379554e-11,1.9323415695579534e-07,0.95,0.2828633871950127,1.4857676,0.24970797
9330158H04Rik,6.465926,6.4971366,1.0068024552962914e-10,1.9323415695579534e-07,0.85,0.025115545842141093,0.88075054,0.015518361
L3mbtl4,6.3354836,5.5776033,2.3659810738883513e-10,4.0197478778202216e-07,0.85,0.08695496399269105,1.362921,0.059103087
Kcnip1,6.333694,3.523053,2.3935975454083937e-10,4.0197478778202216e-07,0.95,0.231342481458923,1.3917135,0.23337278
Ntn1,6.3229995,5.37534,2.565338942904238e-10,4.054744552696287e-07,0.85,0.06062126043495396,1.1226615,0.04873485
Man1a,6.2888494,3.51229,3.1982773461787333e-10,4.6321932411877707e-07,0.9,0.5580595464153918,2.7430117,0.8214143
Ptprt,6.2851458,3.508521,3.275462284427527e-10,4.6321932411877707e-07,0.95,0.6202214180788936,3.2285342,1.1410793
Elavl2,6.2431307,3.0055497,4.288985379116347e-10,5.728417684614566e-07,1.0,0.5422951524488553,2.229178,0.7092905
Kcnc2,6.2347803,3.2963302,4.524126985904807e-10,5.728417684614566e-07,0.95,0.6035613199097131,2.947472,1.0431315
Rbms3,6.2291346,3.352715,4.690181952419816e-10,5.728417684614566e-07,0.95,0.5111963025330515,2.3716595,0.6683451
Unc5d,6.165065,3.1474578,7.045430534031174e-10,8.230900802148593e-07,0.95,0.6382071584679875,3.0665867,1.1969409
Nxph1,6.1279736,4.1924663,8.900525532924242e-10,9.964880044569766e-07,0.95,0.4219125076134857,3.0274522,0.7296928
Mapk10,6.06321,1.7507044,1.3343109774658103e-09,1.4341174385802528e-06,0.95,0.8120812582852639,2.8685136,1.7810376
Grik1,6.0511284,3.563152,1.4383458428597852e-09,1.486475107601632e-06,0.95,0.49912220988140876,2.6628747,0.7553646
Meg3,5.9847836,1.8771132,2.1667758771116157e-09,2.088031316688325e-06,1.0,0.9138332557056358,4.521655,3.2491784
Dpp6,5.984104,1.8446563,2.1758420866123225e-09,2.088031316688325e-06,1.0,0.8215398946651857,2.9896007,1.8335342
Grin3a,5.9427133,3.4581437,2.8034292203474266e-09,2.5975221776115637e-06,0.9,0.401920389810469,1.9538481,0.43891206
Tox3,5.829096,2.9625075,5.5728465396152234e-09,4.830399565143905e-06,0.95,0.31973057217584466,1.285402,0.28939968
Ndst4,5.7805476,3.3443098,7.445790376074205e-09,6.252137106409809e-06,0.9,0.37540754541220306,1.9059379,0.44709113
Utrn,5.758007,3.0658665,8.511273286111057e-09,6.930239793872852e-06,0.9,0.3755508580846261,1.6875021,0.42275906
Robo1,5.7356887,2.2249472,9.711684425291398e-09,7.67508707375235e-06,0.95,0.7932356418616316,3.1606576,1.7632428
Usp29,5.6620064,2.474116,1.4961343069161455e-08,1.1486036807667665e-05,0.9,0.559241875962882,1.7754666,0.63256556
Crhbp,5.61773,5.7618127,1.9348248399683136e-08,1.4441317624985718e-05,0.75,0.040020063774139226,0.992624,0.030819628
Rian,5.517554,1.5722706,3.437507191741462e-08,2.4922208210401577e-05,0.95,0.7616710257604529,2.514895,1.5731722
Adra1a,5.513157,3.7968082,3.524540052085076e-08,2.4922208210401577e-05,0.8,0.19970620902153272,1.240587,0.16282797
Frmd3,5.4142013,2.69365,6.156289195246608e-08,4.241525401955804e-05,0.85,0.36652215972197344,1.1263578,0.27928886
Chodl,5.4004135,8.904263,6.648746005030654e-08,4.466295128879341e-05,0.7,0.005696678728816596,0.8622714,0.0028522376
Grb10,5.363891,2.5698218,8.144795620161841e-08,5.337820934481675e-05,0.9,0.35580953745834976,1.0362296,0.26719326
Lypd6b,5.3594666,4.182292,8.346811502059461e-08,5.3399720252461366e-05,0.75,0.09254415821719035,0.80734795,0.0661702
Tenm1,5.3441668,1.8787571,9.083393694218488e-08,5.67606485031746e-05,0.95,0.7526781555659059,2.6007767,1.4797714
Snhg14,5.3116946,1.4483358,1.0861040587460264e-07,6.632640013296757e-05,1.0,0.8168822328114363,2.911545,1.9975133
Pclo,5.285756,1.5022805,1.2518663054314482e-07,7.475032805987336e-05,1.0,0.832933252122819,2.6418986,1.7232955
Epb41l3,5.2544217,2.073834,1.4849044166998862e-07,8.673778625375205e-05,0.9,0.6257031277990757,1.7169049,0.734697
St8sia4,5.22213,2.9708335,1.7687681689896665e-07,0.0001011208525547922,0.85,0.2809644942854072,1.0792725,0.22136295
Xkr4,5.202988,1.3671937,1.9610958080292864e-07,0.00010978050908697276,0.95,0.8618465837841711,3.1384263,2.256995
Kcnmb2,5.1979804,2.5867043,2.0146521561945605e-07,0.00011037073677934951,0.9,0.2571745906631794,1.2078193,0.3297054
Ptprm,5.1944017,2.817913,2.0537911570403705e-07,0.00011037073677934951,0.9,0.38035183261079863,1.7857987,0.53299165
A230057D06Rik,5.189991,1.5546689,2.103044063259924e-07,0.0001108015568231258,0.95,0.7888287771846225,2.4978476,1.5681285
Rcan2,5.1829305,2.3475792,2.1842640951206903e-07,0.0001114405081118462,0.9,0.3670595822435599,1.112664,0.33739558
Gprasp2,5.1817517,2.4921417,2.1981194380081313e-07,0.0001114405081118462,0.9,0.310845186485615,0.8287164,0.20648988
