names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Control (for_DEGs),mean_expr_Mutant (for_DEGs)
Nr2f1,4.061549,1.5472487,4.87481523148736e-05,0.5040071467834781,0.7222222222222222,0.4528301886792453,0.25402153,0.61259454
Gak,3.5519822,1.0947733,0.0003823408734480176,0.8574589813596653,0.7777777777777778,0.5471698113207547,0.3328504,0.6116703
Kif13b,3.5220075,0.9465946,0.00042829192162794255,0.8574589813596653,0.8055555555555556,0.660377358490566,0.41447532,0.68804675
Ep400,3.4820416,1.0190978,0.0004976065275324491,0.8574589813596653,0.7638888888888888,0.660377358490566,0.4471569,0.76208866
Slc6a7,3.3171816,1.1176286,0.0009093049464093518,0.9853541080513727,0.7222222222222222,0.4528301886792453,0.26233706,0.50131667
Bin1,3.267224,0.8104121,0.0010860769407113776,0.9853541080513727,0.8472222222222222,0.7358490566037735,0.62018347,0.9190512
Mbp,3.2522368,1.8544794,0.0011450059670588166,0.9853541080513727,0.6527777777777778,0.4339622641509434,0.26474613,0.7400663
Dnmt3a,3.2297559,0.64156836,0.0012389596096980214,0.9853541080513727,0.9305555555555556,0.8301886792452831,0.85982084,1.1397233
Ubac2,3.2022793,0.7925557,0.0013634477049577402,0.9984282086543093,0.7777777777777778,0.6037735849056604,0.4130177,0.6343349
Mast1,3.0973682,1.0848894,0.0019524709505558745,0.9984282086543093,0.625,0.4716981132075472,0.21596447,0.412994
Klhl29,3.0673938,0.53426003,0.002159341587521558,0.9984282086543093,0.9305555555555556,0.8490566037735849,1.1425755,1.4089513
Ankrd33b,3.0524065,1.1447531,0.002270143998379566,0.9984282086543093,0.6805555555555556,0.5094339622641509,0.30341044,0.57872534
Srcap,3.0474107,0.7277614,0.002308220209996058,0.9984282086543093,0.8055555555555556,0.6415094339622641,0.49298042,0.7203865
Scn8a,3.0274277,0.5996043,0.0024664464344638635,0.9984282086543093,0.9722222222222222,0.8679245283018868,1.3009111,1.61936
Wwox,3.0074449,0.8651358,0.0026345400317962574,0.9984282086543093,0.8194444444444444,0.6981132075471698,0.6786481,1.0185121
Ube4b,3.002449,0.8231016,0.002678168419621739,0.9984282086543093,0.7777777777777778,0.660377358490566,0.4992788,0.76342773
Arih2,2.9774702,1.3242259,0.0029063787324529297,0.9984282086543093,0.5833333333333334,0.37735849056603776,0.18795455,0.41724244
Rnf150,2.962483,0.76942927,0.003051687013861117,0.9984282086543093,0.9722222222222222,0.7924528301886793,0.9259782,1.2804826
Reps2,2.902534,0.70040035,0.0037015710263385254,0.9984282086543093,0.8472222222222222,0.7547169811320755,0.71194226,0.9882822
Gprin3,2.8900445,1.056906,0.003851872897801192,0.9984282086543093,0.6527777777777778,0.41509433962264153,0.22578467,0.4233009
Cramp1,2.882551,0.9409851,0.003944694337709289,0.9984282086543093,0.6388888888888888,0.4339622641509434,0.22962105,0.4024972
Prdm15,2.837589,1.343303,0.004545566172716411,0.9984282086543093,0.5555555555555556,0.3018867924528302,0.1566387,0.35785633
A830082K12Rik,2.8325932,0.84865534,0.004617208698612229,0.9984282086543093,0.8333333333333334,0.660377358490566,0.56564987,0.8627593
Leng8,2.8300955,0.7598163,0.00465341205046281,0.9984282086543093,0.7083333333333334,0.6415094339622641,0.32282135,0.49784338
Fam227a,2.8275976,1.3955039,0.004689872238833216,0.9984282086543093,0.5555555555555556,0.2830188679245283,0.13919668,0.3313958
Kmt2d,2.8126104,2.0207329,0.004914116707420956,0.9984282086543093,0.4722222222222222,0.22641509433962265,0.08208561,0.29798985
Atosa,2.8076146,0.83121365,0.004990992714739555,0.9984282086543093,0.8055555555555556,0.6415094339622641,0.46760836,0.7230449
Trhde,2.8051167,0.7678955,0.0050298370874932025,0.9984282086543093,0.875,0.7358490566037735,0.8390824,1.1749161
Arhgap23,2.7476654,0.9035119,0.006002121291350221,0.9984282086543093,0.6527777777777778,0.4339622641509434,0.2679221,0.45408848
Pcdh9,2.7476654,0.35314903,0.006002121291350221,0.9984282086543093,0.9861111111111112,0.9622641509433962,4.088613,4.329751
Rbbp6,2.7027037,0.75148773,0.006877803157349917,0.9984282086543093,0.7777777777777778,0.6037735849056604,0.48466095,0.71778584
Magi2,2.6827207,0.22096233,0.007302595953967554,0.9984282086543093,0.9444444444444444,0.9622641509433962,2.8532238,2.9981604
C9orf72,2.6777248,2.2491336,0.007412407087339818,0.9984282086543093,0.4166666666666667,0.16981132075471697,0.051418755,0.22381288
Taok3,2.6727293,0.8033896,0.00752369705891871,0.9984282086543093,0.7916666666666666,0.660377358490566,0.43940976,0.6744657
Ip6k1,2.6677334,0.69438016,0.007636482969483802,0.9984282086543093,0.7916666666666666,0.660377358490566,0.49343306,0.70916367
Ncor2,2.6502483,0.82936394,0.008043264706863026,0.9984282086543093,0.6527777777777778,0.49056603773584906,0.27090016,0.4401065
Kcnq1ot1,2.6477504,0.3218757,0.008102933447788943,0.9984282086543093,0.9305555555555556,0.9245283018867925,1.7819239,1.9707941
Klc1,2.6477504,0.6592144,0.008102933447788943,0.9984282086543093,0.8611111111111112,0.7547169811320755,0.62740535,0.86636853
Dlgap4,2.637759,0.6554408,0.008345590384209388,0.9984282086543093,0.75,0.7169811320754716,0.55821335,0.77815914
Tenm3,2.6277673,0.6088804,0.008594727556739087,0.9984282086543093,0.9722222222222222,0.9433962264150944,3.0245557,3.4297326
Erbb4,2.6077843,1.0003815,0.00911303528487735,0.9984282086543093,0.7777777777777778,0.660377358490566,0.7465071,1.1693263
Aatk,2.6027887,1.217152,0.009246896003178497,0.9984282086543093,0.5972222222222222,0.4339622641509434,0.23409764,0.47823632
Nrf1,2.5977929,0.6620244,0.00938250866016461,0.9984282086543093,0.8055555555555556,0.7169811320754716,0.53533024,0.75155234
Bicdl1,2.5828056,0.7453816,0.009800054094193239,0.9984282086543093,0.7222222222222222,0.660377358490566,0.38603517,0.5821159
Yipf6,2.5628226,2.1873837,0.010382510522414826,0.9984282086543093,0.3888888888888889,0.1509433962264151,0.043273035,0.18350935
Galnt9,2.5628226,1.0679663,0.010382510522414826,0.9984282086543093,0.6666666666666666,0.4716981132075472,0.28563496,0.5265664
Dnah14,2.5428395,1.2632394,0.010995572241915027,0.9984282086543093,0.5277777777777778,0.2830188679245283,0.21385494,0.4525678
Ppp1r12c,2.5403416,1.0557971,0.011074423675801517,0.9984282086543093,0.5416666666666666,0.33962264150943394,0.15960228,0.30729043
Ttc3,2.5253544,0.424248,0.011558167777576032,0.9984282086543093,0.9861111111111112,0.9433962264150944,1.9205115,2.1765308
Mtmr12,2.5253544,1.0706314,0.011558167777576032,0.9984282086543093,0.5972222222222222,0.37735849056603776,0.22378863,0.42316234
Cacna1e,2.5178607,0.4840148,0.011806999761123062,0.9984282086543093,1.0,0.9056603773584906,2.0880382,2.3875709
Hecw1,2.5103672,0.38086143,0.012060571237167767,0.9984282086543093,0.9305555555555556,0.9433962264150944,1.4588636,1.6674021
Unc13a,2.5078692,0.6292248,0.012146161352228195,0.9984282086543093,0.7361111111111112,0.6226415094339622,0.4356967,0.61225057
Nfasc,2.5078692,0.4956282,0.012146161352228195,0.9984282086543093,0.9027777777777778,0.8490566037735849,0.92259395,1.1433272
Gm32618,2.5028734,2.045601,0.012318957968700847,0.9984282086543093,0.3888888888888889,0.1509433962264151,0.046868347,0.18073674
Me1,2.49538,0.7017507,0.01258223661151846,0.9984282086543093,0.7638888888888888,0.6037735849056604,0.38120848,0.56233853
Phldb1,2.4803925,3.1806228,0.01312378074144778,0.9984282086543093,0.3194444444444444,0.07547169811320754,0.031120362,0.25200644
Wdr26,2.4679031,0.5738913,0.013590707654818127,0.9984282086543093,0.8333333333333334,0.7547169811320755,0.56377435,0.7548325
Clptm1,2.4654052,1.2582481,0.01368583487410234,0.9984282086543093,0.5416666666666666,0.37735849056603776,0.16940984,0.36574376
Mir100hg,2.4579117,0.41904855,0.0139747544236341,0.9984282086543093,0.9583333333333334,0.9245283018867925,1.777104,2.0239975
Clip4,2.452916,0.81679255,0.014170346131519235,0.9984282086543093,0.6944444444444444,0.5471698113207547,0.29268774,0.46934578
Crim1,2.44792,0.71838224,0.014368349393637826,0.9984282086543093,0.7916666666666666,0.660377358490566,0.6003937,0.85604906
Cadps,2.4354308,0.35906446,0.014874070842405511,0.9984282086543093,0.9861111111111112,0.9433962264150944,2.5095172,2.7403247
Mtus2,2.4329329,0.5856825,0.014977076723444017,0.9984282086543093,0.9166666666666666,0.8113207547169812,0.89518845,1.1546082
Sh3glb1,2.427937,0.79385185,0.015184975331673106,0.9984282086543093,0.7638888888888888,0.5849056603773585,0.41275984,0.63439894
Myl12b,2.427937,1.2044332,0.015184975331673106,0.9984282086543093,0.5555555555555556,0.4339622641509434,0.19532785,0.4035269
Hectd4,2.4054563,0.44590297,0.016152286721386775,0.9984282086543093,0.9027777777777778,0.8679245283018868,0.9118196,1.1079214
Dicer1,2.3979626,0.78899145,0.01648654860575131,0.9984282086543093,0.7083333333333334,0.6226415094339622,0.33727953,0.5265613
Cmip,2.3954647,0.3263992,0.01659931162400313,0.9984282086543093,0.875,0.8679245283018868,0.9105555,1.0518327
Sh3kbp1,2.390469,0.6307008,0.016826871255853217,0.9984282086543093,0.8472222222222222,0.7735849056603774,0.6652261,0.9014011
Memo1,2.3754816,0.52847,0.01752606153475857,0.9984282086543093,0.9027777777777778,0.8301886792452831,0.73148793,0.93811154
ENSMUSG00000095041,2.3754816,0.6401734,0.01752606153475857,0.9984282086543093,0.7916666666666666,0.5660377358490566,0.59857905,0.82297015
Usp8,2.372984,0.7245404,0.01764503684423069,0.9984282086543093,0.6527777777777778,0.5094339622641509,0.3207474,0.48542017
Slc8a1,2.367988,0.34734765,0.017885112849543538,0.9984282086543093,0.9861111111111112,0.9622641509433962,2.678245,2.904203
Ift140,2.3654902,1.1405566,0.01800622046459004,0.9984282086543093,0.4861111111111111,0.2641509433962264,0.12833087,0.26381102
Adgra1,2.3629923,0.73638713,0.018128045786729993,0.9984282086543093,0.7777777777777778,0.5849056603773585,0.38375387,0.57623553
Arfgef3,2.3579965,0.5454156,0.018373863518527978,0.9984282086543093,0.875,0.7735849056603774,0.78512895,1.0081987
Phyhipl,2.3530009,0.8547191,0.018622594093693736,0.9984282086543093,0.7083333333333334,0.5094339622641509,0.34407473,0.55542636
Sptlc2,2.3380136,0.7786226,0.019386546159087466,0.9984282086543093,0.5694444444444444,0.3584905660377358,0.19569477,0.31540427
Ryr3,2.3330178,0.4729998,0.01964721231857579,0.9984282086543093,0.9583333333333334,0.8867924528301887,1.5509235,1.8176765
Efr3a,2.33052,0.61394954,0.019778689534834453,0.9984282086543093,0.9027777777777778,0.7924528301886793,0.957405,1.2401847
Mapt,2.3230262,0.30998775,0.02017774144406424,0.9984282086543093,0.9305555555555556,0.9245283018867925,1.3180481,1.4797761
Ryr2,2.3130348,0.42832288,0.020720728351166326,0.9984282086543093,0.9722222222222222,0.9433962264150944,1.8513535,2.1070724
Sytl2,2.3130348,1.1653085,0.020720728351166326,0.9984282086543093,0.5,0.3018867924528302,0.16006495,0.32881665
Kcnh1,2.308039,0.59800714,0.020996967436153247,0.9984282086543093,0.8888888888888888,0.7924528301886793,0.90698564,1.174149
Hipk2,2.305541,0.7455202,0.0211362864420942,0.9984282086543093,0.6805555555555556,0.5283018867924528,0.36648357,0.55511546
Sf1,2.3030431,1.0550245,0.021276410094907605,0.9984282086543093,0.5833333333333334,0.4528301886792453,0.21839759,0.4102147
Stx2,2.2930517,1.1173236,0.021845026708435314,0.9984282086543093,0.5277777777777778,0.3584905660377358,0.14766452,0.29655015
Kansl2,2.2730687,1.0200233,0.023022039547301604,0.9984282086543093,0.5277777777777778,0.33962264150943394,0.16799326,0.31551874
Kif5a,2.2730687,0.7008686,0.023022039547301604,0.9984282086543093,0.7083333333333334,0.660377358490566,0.4263427,0.6228219
Prkcsh,2.2730687,1.1813548,0.023022039547301604,0.9984282086543093,0.3611111111111111,0.11320754716981132,0.080483295,0.17401557
Map3k10,2.2680728,0.8194263,0.023324760346180237,0.9984282086543093,0.5416666666666666,0.3584905660377358,0.19978945,0.3294882
Tmeff2,2.2580814,0.48172894,0.023940582170440927,0.9984282086543093,0.9583333333333334,0.9245283018867925,2.15519,2.4556494
Kcnk10,2.2530856,0.7682202,0.02425374653993097,0.9984282086543093,0.6944444444444444,0.5283018867924528,0.32586497,0.50447047
Ccar1,2.2530856,0.61317533,0.02425374653993097,0.9984282086543093,0.7916666666666666,0.660377358490566,0.5485518,0.7503606
Rgl2,2.2430942,2.5807512,0.024890741934444516,0.9984282086543093,0.3333333333333333,0.1320754716981132,0.033316758,0.18454856
C78859,2.2430942,0.8690659,0.024890741934444516,0.9984282086543093,0.5694444444444444,0.39622641509433965,0.21012752,0.35564134
Ppard,2.2380984,1.2987139,0.02521463740666603,0.9984282086543093,0.4583333333333333,0.24528301886792453,0.10349334,0.23763388
Smad2,2.2356005,0.7721115,0.025377948774497377,0.9984282086543093,0.5416666666666666,0.33962264150943394,0.20060514,0.32162473
Ctdspl2,2.225609,0.6490781,0.02604038044310575,0.9984282086543093,0.6805555555555556,0.5849056603773585,0.35524157,0.5121421
Ttc17,2.225609,0.5014403,0.02604038044310575,0.9984282086543093,0.7361111111111112,0.6792452830188679,0.47987086,0.62691975
Plekhg5,2.2131197,0.536888,0.02688939791532801,0.9984282086543093,0.7916666666666666,0.6981132075471698,0.5169779,0.6841816
Capza1,2.2106218,0.71542084,0.02706203996548805,0.9984282086543093,0.6527777777777778,0.49056603773584906,0.2792658,0.42459583
Zdhhc14,2.208124,0.3883037,0.027235637957732834,0.9984282086543093,0.875,0.8490566037735849,0.9241956,1.095022
Mmp17,2.203128,0.7998234,0.02758571859587129,0.9984282086543093,0.5277777777777778,0.3584905660377358,0.20475186,0.3332997
Atp8b1,2.1931367,0.84083843,0.028297536906838065,0.9984282086543093,0.6388888888888888,0.5283018867924528,0.31257823,0.50514853
Prkacb,2.1931367,0.4993511,0.028297536906838065,0.9984282086543093,0.8472222222222222,0.8113207547169812,0.72308636,0.9160907
Entrep2,2.1931367,0.52961826,0.028297536906838065,0.9984282086543093,0.9305555555555556,0.8490566037735849,1.2670351,1.5436171
Daam1,2.1931367,0.49975812,0.028297536906838065,0.9984282086543093,0.7916666666666666,0.7358490566037735,0.53527254,0.6936336
Lars,2.1931367,0.69683146,0.028297536906838065,0.9984282086543093,0.6388888888888888,0.5094339622641509,0.29289436,0.43929192
Akirin2,2.183145,0.8158535,0.0290251251321905,0.9984282086543093,0.5555555555555556,0.33962264150943394,0.19646719,0.32364857
Mmp16,2.183145,0.32154644,0.0290251251321905,0.9984282086543093,0.9444444444444444,0.9245283018867925,2.084727,2.2824502
Mcmbp,2.1781495,0.9814414,0.029394918831059116,0.9984282086543093,0.5555555555555556,0.39622641509433965,0.19455402,0.35350358
Epha4,2.1781495,0.8048794,0.029394918831059116,0.9984282086543093,0.7222222222222222,0.5660377358490566,0.52759314,0.79475564
1500004A13Rik,2.1731536,0.5326704,0.029768758404858153,0.9984282086543093,0.7777777777777778,0.7358490566037735,0.5491635,0.72204113
Septin4,2.1681578,1.8746911,0.030146678687019403,0.9984282086543093,0.375,0.16981132075471697,0.06646412,0.22475961
Alg13,2.1681578,0.95534813,0.030146678687019403,0.9984282086543093,0.5555555555555556,0.41509433962264153,0.17836659,0.32108665
Ctcf,2.1581664,0.7632294,0.03091490158659468,0.9984282086543093,0.6388888888888888,0.5094339622641509,0.32037625,0.49528947
Atad2b,2.1581664,0.4830063,0.03091490158659468,0.9984282086543093,0.8472222222222222,0.7358490566037735,0.6275994,0.7976436
Cdk19,2.1581664,0.68425703,0.03091490158659468,0.9984282086543093,0.6111111111111112,0.5471698113207547,0.3172959,0.47001684
Anks3,2.1531706,0.7412461,0.031305274745117635,0.9984282086543093,0.5972222222222222,0.4716981132075472,0.25201216,0.39143753
Cwf19l2,2.1506727,0.8291781,0.03150204226786234,0.9984282086543093,0.6527777777777778,0.49056603773584906,0.2957988,0.47718424
Dclre1c,2.1481748,0.99101734,0.03169986969269894,0.9984282086543093,0.5277777777777778,0.3584905660377358,0.17980483,0.3303982
Rbm25,2.1431792,0.38935193,0.03209872213244985,0.9984282086543093,0.9305555555555556,0.8490566037735849,1.129693,1.320063
Gdap2,2.1381834,1.0140887,0.03250186793904469,0.9984282086543093,0.5,0.32075471698113206,0.13879171,0.26289618
Ccp110,2.1381834,1.507788,0.03250186793904469,0.9984282086543093,0.4027777777777778,0.20754716981132076,0.083561555,0.22141221
Dock3,2.1182003,0.30774555,0.03415810828362926,0.9984282086543093,0.9583333333333334,0.9245283018867925,1.9965776,2.1834576
Zbtb16,2.1182003,0.7953082,0.03415810828362926,0.9984282086543093,0.6527777777777778,0.4716981132075472,0.37474057,0.5816338
Sfmbt1,2.108209,0.69615376,0.035012933860899154,0.9984282086543093,0.6944444444444444,0.6037735849056604,0.40399298,0.5913995
Mapk8ip2,2.0982172,1.546513,0.035885956476023925,0.9984282086543093,0.4444444444444444,0.2830188679245283,0.10409445,0.27798042
Ubr1,2.0982172,0.67939585,0.035885956476023925,0.9984282086543093,0.7222222222222222,0.6415094339622641,0.42614907,0.61569333
Nin,2.0957193,0.40273878,0.03610709032432617,0.9984282086543093,0.9444444444444444,0.8867924528301887,1.2225024,1.4272248
Ralyl,2.0932214,0.41017857,0.03632938480994851,0.9984282086543093,0.9722222222222222,0.9622641509433962,2.2860053,2.5448365
Kif21a,2.0932214,0.37483913,0.03632938480994851,0.9984282086543093,0.875,0.8490566037735849,1.0639844,1.2415547
Picalm,2.0882258,0.37807,0.03677747449293214,0.9984282086543093,0.8333333333333334,0.8301886792452831,0.69307494,0.8326545
Clip2,2.085728,0.62641615,0.03700327911526044,0.9984282086543093,0.6527777777777778,0.5283018867924528,0.27732444,0.4010327
Rps14,2.08323,0.9019768,0.03723026322477089,0.9984282086543093,0.5416666666666666,0.39622641509433965,0.23681425,0.40500304
Septin7,2.0757363,0.5698786,0.03791833989984355,0.9984282086543093,0.9027777777777778,0.8113207547169812,0.89055777,1.1417747
Rab40c,2.0757363,0.6922837,0.03791833989984355,0.9984282086543093,0.6805555555555556,0.5660377358490566,0.35351703,0.52189887
Fam168b,2.063247,0.8337179,0.039089168196680193,0.9984282086543093,0.5416666666666666,0.39622641509433965,0.22121136,0.3655231
Cstf3,2.060749,0.5213585,0.03932698205376886,0.9984282086543093,0.875,0.7547169811320755,0.6898715,0.88621014
Vti1a,2.0582511,0.41723457,0.039566023212928986,0.9984282086543093,0.9166666666666666,0.8490566037735849,1.1375009,1.342758
Wdr59,2.0582511,1.0031388,0.039566023212928986,0.9984282086543093,0.5,0.3584905660377358,0.15003312,0.28099772
Mat2a,2.0557535,0.46920556,0.03980629650881799,0.9984282086543093,0.8472222222222222,0.7169811320754716,0.5109742,0.6540117
