names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Control (for_DEGs),mean_expr_Mutant (for_DEGs)
Tenm2,8.647778,0.71900886,5.251209034895004e-18,1.5506820280044946e-14,0.9621993127147767,0.9285714285714286,3.1785493,3.6604483
Mir99ahg,7.575527,1.0217766,3.576718504856459e-14,5.281024872420561e-11,0.8247422680412371,0.650375939849624,1.5406684,2.1338081
Asic2,7.0772805,0.90465623,1.470106514546302e-12,1.6279592015457112e-09,0.7800687285223368,0.6522556390977443,1.5482292,2.070984
Csmd1,7.0551977,0.56056917,1.7235553683240742e-12,1.6965530008869972e-09,0.9725085910652921,0.9323308270676691,3.4063768,3.7841985
Snhg11,6.5038905,0.7675954,7.826885747589313e-11,6.303489167081248e-08,0.8384879725085911,0.7255639097744361,1.9190216,2.3886175
Frmd4a,6.2451825,0.70564634,4.233053515250436e-10,2.678615792257401e-07,0.8144329896907216,0.7011278195488722,1.8097651,2.2334661
Kcnma1,6.1611447,0.5808416,7.222097506814046e-10,4.265370787524375e-07,0.8213058419243986,0.7518796992481203,1.9395598,2.2933483
Tenm4,6.141362,0.8539578,8.181687917651268e-10,4.5300983289045363e-07,0.7319587628865979,0.5864661654135338,1.2669235,1.7243458
Ptprd,6.129247,0.41674787,8.829592467091732e-10,4.595288987866785e-07,0.9759450171821306,0.956766917293233,3.6742396,3.956723
Nav2,6.1203527,0.98048896,9.336855376634171e-10,4.595288987866785e-07,0.718213058419244,0.5507518796992481,1.1607939,1.6726062
Car10,5.9919953,0.9094906,2.0728184458592375e-09,9.181549305933493e-07,0.6907216494845361,0.5507518796992481,1.0756679,1.5323282
Ralyl,5.9177723,0.6387966,3.2633172950863104e-09,1.3140785416895283e-06,0.8487972508591065,0.7669172932330827,2.0511165,2.446801
Kcnb2,5.907804,0.86475354,3.4669796776638424e-09,1.3353901288879992e-06,0.7422680412371134,0.5827067669172933,1.3178626,1.7886372
Safb2,5.8659387,1.1999153,4.465993599947636e-09,1.648509887580671e-06,0.43986254295532645,0.20112781954887218,0.1621924,0.33969337
A230006K03Rik,5.845236,0.9112588,5.058514585753085e-09,1.7299545786291563e-06,0.6666666666666666,0.5037593984962406,0.9162769,1.3405029
Ppfia1,5.844622,1.1613382,5.077189191145509e-09,1.7299545786291563e-06,0.4570446735395189,0.20676691729323307,0.15406428,0.31666994
Hivep3,5.797849,0.9350728,6.717074141965633e-09,2.2039466601360573e-06,0.7079037800687286,0.5056390977443609,0.9353573,1.3762434
Atp8a2,5.773006,0.99156785,7.786964640895711e-09,2.4637399912033965e-06,0.6048109965635738,0.39097744360902253,0.52923167,0.8700891
Cbl,5.7411084,1.0089824,9.405883030090052e-09,2.87333509529544e-06,0.5567010309278351,0.3101503759398496,0.32271945,0.5690077
A830082K12Rik,5.735281,1.1954415,9.735080991489779e-09,2.8747694167869317e-06,0.5017182130584192,0.287593984962406,0.28869027,0.5689793
Meg3,5.694949,0.47266507,1.2340885399131043e-08,3.526706572609739e-06,0.8900343642611683,0.8796992481203008,2.9893043,3.302771
Shank1,5.6129045,1.0371412,1.9895828208973973e-08,5.5080356907281384e-06,0.5360824742268041,0.31954887218045114,0.3569671,0.6314591
Dlgap2,5.5616846,0.6604935,2.6718311469463542e-08,7.172652160847804e-06,0.7938144329896907,0.6992481203007519,1.8206769,2.2171762
Lrch1,5.5422087,1.084751,2.986803803666124e-08,7.666715296951823e-06,0.5567010309278351,0.3233082706766917,0.35747978,0.6478589
