names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Control (for_DEGs),mean_expr_Mutant (for_DEGs)
Meg3,8.37198,0.4859336,5.665808786232167e-17,5.470904963985781e-13,0.9824561403508771,0.968,4.1092854,4.4414005
C130071C03Rik,5.806983,0.55865556,6.360855595278289e-09,1.2284084325601431e-05,0.9364035087719298,0.852,1.4702716,1.7808359
A830082K12Rik,5.449678,0.84934014,5.046115955419809e-08,4.872529566553368e-05,0.7456140350877193,0.64,0.63326037,0.952514
Pam,5.1832423,0.44846374,2.1806153401535783e-07,0.0001487403521915778,0.956140350877193,0.908,1.9082956,2.178709
Mir99ahg,5.1465855,0.44325265,2.652703941422877e-07,0.00016009068286487065,0.956140350877193,0.908,2.0689816,2.342237
Kcnma1,5.1284504,0.38334668,2.921370464230844e-07,0.00016593384236831193,0.9627192982456141,0.936,2.1044629,2.3413198
Ptprn2,5.115524,0.40878403,3.1287116606514056e-07,0.00016783799886249985,0.9495614035087719,0.908,1.9785593,2.2271955
Naaladl2,5.102019,0.54630125,3.3604911756439607e-07,0.00017078369890535835,0.9100877192982456,0.848,1.3587079,1.6528941
Frmd4a,4.705742,0.34039274,2.5294440458231584e-06,0.0009769724682587367,0.9671052631578947,0.94,2.3848403,2.6012335
Ank3,4.5710773,0.32187906,4.852236366401945e-06,0.0015617731451325727,0.9846491228070176,0.944,2.4693778,2.675416
Adcy8,4.450882,0.6701322,8.551828972122778e-06,0.002428719428082869,0.7105263157894737,0.544,0.5765036,0.8068506
Syne1,4.4070873,0.38343886,1.04770061746346e-05,0.0027342154492505867,0.9407894736842105,0.892,1.5837742,1.8004766
B830012L14Rik,4.387215,0.4137078,1.14811088397619e-05,0.0028451264101749954,0.9166666666666666,0.844,1.2357767,1.4473274
Ksr2,4.3870225,0.4643974,1.1491293495942919e-05,0.0028451264101749954,0.8377192982456141,0.76,0.87496614,1.0749935
Dnmt3a,4.360977,0.50044084,1.2948299482312664e-05,0.00290764604188863,0.8114035087719298,0.72,0.72009563,0.9130563
Arfgef2,4.3075356,0.6109434,1.650835932015926e-05,0.0034653199477273438,0.6885964912280702,0.556,0.42814547,0.59673566
Hecw1,4.241168,0.4332551,2.223598223504181e-05,0.0041290508550300715,0.9078947368421053,0.828,1.2065389,1.426046
Cadm1,4.1354423,0.44322425,3.542713756180796e-05,0.006001481408716099,0.9802631578947368,0.928,2.3322406,2.6134448
Nktr,4.1055384,0.33352858,4.033742678235469e-05,0.006319036144664559,0.8837719298245614,0.84,1.115143,1.276254
Ssh2,4.0324183,0.36176425,5.520584708500839e-05,0.008329182178950642,0.9254385964912281,0.86,1.380064,1.5734099
Sptbn4,3.9542818,0.48454878,7.676491661002448e-05,0.010900618158623476,0.8223684210526315,0.7,0.74883854,0.93977684
Adar,3.9307444,0.43461686,8.468328682328259e-05,0.011850750979211835,0.6973684210526315,0.6,0.49192482,0.6199626
Safb2,3.8568523,0.8120027,0.00011485648901191276,0.014592819182881968,0.49780701754385964,0.384,0.20591865,0.3374963
Rbms3,3.8335078,0.46140364,0.00012632874498590276,0.015247879519798464,0.9583333333333334,0.88,2.001487,2.2836173
Tenm2,3.7958868,0.44986784,0.00014711670719652926,0.017537764502341808,0.9824561403508771,0.964,3.5265117,3.8304281
Etfa,3.778909,0.7805801,0.000157517055924672,0.01810696061915039,0.5328947368421053,0.408,0.25770104,0.40876442
Ppm1h,3.7717705,0.4295025,0.00016209332656609397,0.018312615607751687,0.8004385964912281,0.736,0.7558426,0.92467487
Ide,3.770227,0.6172264,0.0001630991033830411,0.018312615607751687,0.6052631578947368,0.544,0.37320867,0.5270501
Asic2,3.7424452,0.47721678,0.0001822382824228157,0.019552142834163424,0.9342105263157895,0.884,2.2639546,2.565026
Snhg11,3.737622,0.29492506,0.00018576898177765768,0.019711926242253434,0.9714912280701754,0.948,3.027274,3.2227015
Snhg14,3.7206442,0.33230212,0.0001987152586393409,0.020856462363276908,0.9671052631578947,0.92,2.5258622,2.7396047
Wdfy3,3.701544,0.33556274,0.00021429135068541812,0.021669170949448993,0.9057017543859649,0.848,1.0962614,1.2569969
Armc8,3.6403856,0.44457662,0.0002722301182104945,0.02500382287950159,0.7127192982456141,0.668,0.53839654,0.67837983
Dpp6,3.6401925,0.29043776,0.000272434182730171,0.02500382287950159,0.9780701754385965,0.948,2.3721075,2.5562663
Atp8a2,3.6021855,0.35154077,0.00031555305295880275,0.027450272787118913,0.8486842105263158,0.792,0.9599961,1.117234
Trio,3.5726674,0.24441083,0.0003533635916375651,0.0301327874259798,0.9144736842105263,0.896,1.370902,1.4999474
