names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Control (for_DEGs),mean_expr_Mutant (for_DEGs)
Dusp3,2.706082,-0.26830828,0.006808218994601452,0.01650629777590976,0.3470790378006873,0.20488721804511278,0.2125394,0.1795056
Ptges3,2.51531,-0.40964884,0.011892775878435692,0.024819340755491588,0.4020618556701031,0.2556390977443609,0.29691297,0.23130526
B4galnt4,2.4950674,-0.25201175,0.012593324390281341,0.02580713874011159,0.23711340206185566,0.12030075187969924,0.10157564,0.085974015
Aars,2.4904666,-0.287939,0.012757545714642148,0.026047268376587874,0.27835051546391754,0.15977443609022557,0.15833594,0.13148396
Sf3b6,2.4651632,-0.37103984,0.013695082249451339,0.02748012087154913,0.3024054982817869,0.17857142857142858,0.16641282,0.13102879
Cfap97,2.4596426,-0.28790873,0.013907545278948684,0.027743063189868588,0.27491408934707906,0.15225563909774437,0.15362118,0.12752119
Nat8l,2.4144032,-0.38445798,0.015761011780047927,0.030466245550827973,0.24398625429553264,0.12969924812030076,0.1315923,0.10232375
Csnk1e,2.402135,-0.36388746,0.01629969820235231,0.03117422849193418,0.27147766323024053,0.15413533834586465,0.13972723,0.1102249
Vps26a,2.3391063,-0.2907841,0.01932992644830648,0.035468762866177304,0.29553264604810997,0.17481203007518797,0.15372886,0.12737311
Sdhc,2.308589,-0.26025954,0.020966398757557604,0.037821487801507396,0.3127147766323024,0.19360902255639098,0.20186166,0.17122507
Sf3b2,2.2825189,-0.27551332,0.022458726068618852,0.03972880476076166,0.41237113402061853,0.2800751879699248,0.30110192,0.25484958
Cntnap1,2.2763846,-0.26379278,0.022822995049693793,0.040196603010981574,0.23711340206185566,0.12969924812030076,0.11379733,0.09565983
Sgta,2.2757714,-0.44178465,0.022859702716448445,0.04023725538744621,0.22336769759450173,0.11842105263157894,0.09663233,0.07203577
Marchf5,2.2690237,-0.45714933,0.023266884227084738,0.04079994603478695,0.3402061855670103,0.21804511278195488,0.21012883,0.15728791
Actl6b,2.2550685,-0.31274876,0.024129029101407126,0.04192176285729863,0.32989690721649484,0.20864661654135339,0.18686047,0.15307848
Rgmb,2.2549152,-0.26458713,0.024138655051976703,0.04193026374616894,0.2852233676975945,0.17669172932330826,0.1598171,0.13475658
Bag4,2.253995,-0.28216153,0.02419648070157515,0.04201423413078288,0.2611683848797251,0.15037593984962405,0.13104571,0.10898577
Gpc1,2.2411132,-0.26626,0.025018736593621135,0.0431543978743944,0.23367697594501718,0.12781954887218044,0.109836854,0.09215119
Ppp1r7,2.231452,-0.26278803,0.025651202887864738,0.043979873501759956,0.3436426116838488,0.2199248120300752,0.211527,0.1792638
Psen2,2.2296119,-0.31613046,0.0257732280980638,0.04411225419643493,0.19243986254295534,0.09210526315789473,0.06828394,0.055210527
Rsl1d1,2.2263913,-0.38142407,0.02598798042667261,0.04434274241138149,0.2508591065292096,0.14473684210526316,0.14357717,0.11201223
Stk32c,2.189893,-0.25024483,0.02853198937831554,0.047610641156997056,0.3024054982817869,0.18796992481203006,0.15484107,0.13173243
Atp5l,-2.1874394,-1.3510846,0.028710458629898024,0.04787237963528451,0.40893470790378006,0.41541353383458646,0.61640555,0.2882443
Stmn3,-2.2156565,-0.82026917,0.026715031800663865,0.04531274492094221,0.5463917525773195,0.5319548872180451,0.8758318,0.5840932
Gpm6b,-2.2329855,-0.28473404,0.025549897272099248,0.043857109074506344,0.6563573883161512,0.6616541353383458,1.373597,1.2300053
Rpl6,-2.2343657,-1.0720092,0.02545901834381987,0.04374349175870834,0.41924398625429554,0.43796992481203006,0.66229844,0.3693247
Pcp4,-2.2490878,-1.3398443,0.024506916598300954,0.04242023723023606,0.36769759450171824,0.39097744360902253,0.6057683,0.28439176
Calr,-2.2493944,-1.122234,0.024487413736158578,0.0424030489227187,0.43986254295532645,0.4492481203007519,0.75502634,0.41741323
Cplx2,-2.2555285,-0.78314817,0.02410017121582408,0.041879838525105045,0.5223367697594502,0.5093984962406015,0.84221077,0.569802
Dynll1,-2.2796052,-1.0653148,0.022631118814863502,0.03995398198104339,0.38144329896907214,0.4191729323308271,0.6792853,0.38165826
Chchd10,-2.2907999,-1.3535937,0.021974986235258863,0.039107352964676226,0.09965635738831616,0.19360902255639098,0.29450727,0.12576173
