names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,mean_expr_Emx1_Control (for_DEGs),mean_expr_Nestin_Control (for_DEGs)
Kcnip4,14.637152,2.9713044,1.6274381094320482e-48,5.090626406303446e-45,0.9978902953586498,1.062426,2.7630908
Dlg2,13.649642,2.6005158,2.0287215639276744e-42,3.287118127799012e-39,0.9767932489451476,1.000197,2.435776
Nrg3,13.647065,3.0125284,2.1017379333753275e-42,3.287118127799012e-39,0.9725738396624473,0.7662147,2.3314838
Rbfox1,13.409207,2.8612838,5.340661156624016e-41,6.682235239167969e-38,0.9578059071729957,0.7294983,2.1752777
Lrrtm4,13.013894,2.8412228,1.0200832498221658e-38,9.525258650768013e-36,0.9514767932489452,0.68963027,2.0938325
Ptprd,13.010544,2.30171,1.0658057953225079e-38,9.525258650768013e-36,0.9915611814345991,1.3562695,2.721815
Dpp10,12.902309,3.0738268,4.3680595487022833e-38,3.415822567085185e-35,0.9050632911392406,0.4627178,1.7841011
Nkain2,12.747947,2.8551352,3.200640053181193e-37,2.224800463633505e-34,0.9409282700421941,0.72562003,2.1648564
Cntnap2,12.353664,2.671377,4.654209919735132e-35,2.9116737257862984e-32,0.9240506329113924,0.60258126,1.8353301
Epha6,12.327894,2.85198,6.409984017930155e-35,3.6455327287428226e-32,0.8818565400843882,0.44864684,1.6268556
Naaladl2,12.1098795,2.6969762,9.363162432698729e-34,4.8813286815802705e-31,0.9282700421940928,0.65605587,1.9476502
Lingo2,11.862229,2.7212262,1.8595784928825032e-32,8.309659322480671e-30,0.879746835443038,0.48193088,1.6259402
Nalf1,11.776672,2.8777525,5.14858272520511e-32,2.1473022352588778e-29,0.8607594936708861,0.4342159,1.6087579
Tenm2,11.629525,2.419045,2.9171608814857556e-31,1.0138754708097158e-28,0.9282700421940928,0.78446895,1.9975494
Grm7,11.305853,2.7659159,1.2275576364439748e-29,3.839800286796753e-27,0.8248945147679325,0.4119536,1.4967875
Opcml,11.243232,2.2741299,2.5005813772268413e-29,7.449350998062437e-27,0.9156118143459916,0.73585016,1.8340387
Nrxn3,11.107939,2.258193,1.1477871218852934e-28,3.2638891975065434e-26,0.930379746835443,0.88609636,2.0567048
Frmpd4,10.601298,3.387133,2.938710377786971e-26,7.070989278244342e-24,0.6772151898734177,0.16623092,1.0619717
Rora,10.592021,1.1861249,3.2450769086167725e-26,7.518963385298715e-24,0.9915611814345991,2.6044357,3.384263
Galntl6,10.4345665,2.8831918,1.72399558739329e-25,3.5951054649108073e-23,0.7278481012658228,0.2673506,1.182122
Lrfn5,10.404158,2.8382819,2.373465038897113e-25,4.7898055752710765e-23,0.7320675105485233,0.27842444,1.1927167
Csmd1,10.210366,1.9268456,1.7819077696464536e-24,3.4836296896588163e-22,0.9936708860759493,1.5775968,2.7481117
Celf2,10.075847,1.2682793,7.064979047756107e-24,1.3393487552352184e-21,0.9957805907172996,2.274451,3.091517
Auts2,9.993125,1.3388227,1.6335002808096907e-23,2.7619399342555203e-21,0.9915611814345991,1.8942301,2.7268634
Negr1,9.75372,1.3027173,1.7782907355470768e-22,2.9276281162059243e-20,0.9767932489451476,1.999897,2.8189635
Sgcz,9.733877,3.2399983,2.161914554596934e-22,3.467932680399595e-20,0.6371308016877637,0.16175203,0.9778603
Csmd3,9.520501,2.2619321,1.7234597387580218e-21,2.629747347724435e-19,0.7911392405063291,0.48189625,1.3786684
Pcdh9,9.152246,1.0208238,5.576164789853964e-20,7.583584114201392e-18,1.0,3.3941867,4.0845976
Grin2a,9.12158,2.3444154,7.403685009312211e-20,9.649469462136915e-18,0.729957805907173,0.3678982,1.1812377
Maml2,9.108695,1.4477953,8.337873780794069e-20,1.0645252729111775e-17,0.9451476793248945,1.5119897,2.3651087
Meg3,9.0875635,1.8234335,1.0128312522714473e-19,1.2672544628420348e-17,0.8987341772151899,0.8401361,1.7334299
Sntg1,8.936551,3.1110861,4.0150612933836504e-19,4.830427586809253e-17,0.580168776371308,0.1465179,0.8601041
Nav3,8.899184,1.9952022,5.62586117753911e-19,6.64063915597824e-17,0.8565400843881856,0.7285743,1.6628381
Grm5,8.834501,1.8673791,1.0054572454446031e-18,1.1436619140911703e-16,0.9029535864978903,0.85623246,1.7819328
Magi2,8.815432,1.2872145,1.1922496590840336e-18,1.3319131905767349e-16,0.9957805907172996,2.2154517,3.041115
Ralyl,8.81337,2.3298328,1.2143901867191114e-18,1.3328464926517123e-16,0.6877637130801688,0.333281,1.0947927
Hs6st3,8.805123,2.495873,1.3070860525293945e-18,1.4098500594179124e-16,0.6540084388185654,0.26542187,0.998668
Asic2,8.79765,2.5493388,1.397107990555088e-18,1.481408065917395e-16,0.6392405063291139,0.25418067,0.99105567
Rims1,8.738379,2.4180338,2.3647910897326827e-18,2.4656888428946104e-16,0.6645569620253164,0.28602123,1.0187206
Lrrc7,8.735287,2.0700974,2.430392553995915e-18,2.492546855376794e-16,0.7468354430379747,0.46456438,1.247907
Hivep3,8.648956,1.6150112,5.1972354934639954e-18,5.00213926878627e-16,0.9029535864978903,1.0763328,1.9349655
Dlgap2,8.627567,2.7155795,6.2670510388423234e-18,5.94040474227236e-16,0.609704641350211,0.21150942,0.93498343
