names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,mean_expr_Emx1_Control (for_DEGs),mean_expr_Nestin_Control (for_DEGs)
Naaladl2,6.4740906,3.3885667,9.538477193449933e-11,6.037856063453808e-07,0.7731958762886598,0.5312603,2.1213238
Cmss1,3.9665067,1.8160466,7.293373044495676e-05,0.008394009340301387,0.8144329896907216,1.2819929,2.3192868
Lsamp,3.6942766,1.8257223,0.000220513622602746,0.020833600463811674,0.9896907216494846,2.6911693,3.9067645
Map1b,3.615675,1.110932,0.00029956600076208085,0.026336844233666275,0.8247422680412371,1.7496485,2.4216886
Hsp90aa1,3.5102339,1.3250695,0.0004477128353032611,0.034144846355055936,0.8556701030927835,1.7800219,2.5916536
Zbtb20,3.3722017,1.6430159,0.0007456982321703914,0.04866257535709874,0.8144329896907216,1.3003404,2.2343702
Cntnap2,3.2015786,1.4645268,0.0013667677162752287,0.06921311715217758,0.9072164948453608,1.9390968,2.8580322
Lars2,3.191993,1.6661837,0.0014129472943240685,0.06987465916461996,0.6907216494845361,0.97064644,1.8251661
Kcnip4,2.9619396,1.408728,0.0030570784417060593,0.11587608704191231,0.9690721649484536,2.7963805,3.734051
Camk1d,2.613025,0.80134666,0.008974475134887501,0.1927817310584935,0.9484536082474226,2.705545,3.2320988
Rbfox1,2.6091907,1.2467043,0.00907566443213761,0.1927817310584935,0.979381443298969,2.533444,3.350574
Dcc,2.5881026,1.1164737,0.009650626518810294,0.20009547596154176,0.6804123711340206,1.1841891,1.7779096
Scn2a,2.578517,1.061429,0.009922544219206167,0.20131315675504818,0.5773195876288659,0.9412653,1.4498425
Slc24a2,2.5593457,1.0041958,0.010486937327244657,0.2046285199399048,0.6288659793814433,1.1668634,1.6931702
Atp1a3,2.4711585,1.3396205,0.01346760795534169,0.21883300049413396,0.5979381443298969,0.80867887,1.4232901
Gria1,2.4577389,0.97422117,0.013981482339123684,0.22078487922080978,0.6804123711340206,1.4273285,1.9772576
Rtn1,2.4558218,0.76507604,0.014056288519113166,0.22078487922080978,0.8762886597938144,2.22053,2.705134
Tenm2,2.4385676,1.128656,0.014745597674740948,0.2244878022339099,0.9175257731958762,2.3001442,3.0265346
Gphn,2.4213138,1.0417898,0.015464527617095408,0.22659828661160633,0.6185567010309279,1.0463914,1.5693034
Slc8a1,2.4021425,0.9556603,0.016299356666918702,0.23272634493542194,0.6494845360824743,1.2886319,1.8077264
Prkce,2.3983083,0.9064226,0.016470995660516435,0.23272634493542194,0.5876288659793815,1.0407075,1.4889466
Nrxn1,2.3906398,1.2708347,0.01681904255658606,0.2339879986443731,0.9896907216494846,2.6909695,3.531324
Gria4,2.3484633,1.0034785,0.018851053813474572,0.23615318107632913,0.5463917525773195,0.8629135,1.3208824
Ctnna2,2.3273752,1.1736028,0.0199453089226903,0.23615318107632913,0.6391752577319587,1.1276695,1.7423954
Mycbp2,2.2794473,0.7854362,0.022640489700479185,0.23615318107632913,0.5773195876288659,1.1031473,1.4975516
Epha6,2.1989286,0.9694776,0.027883003199111037,0.2503537734047842,0.7628865979381443,1.6632789,2.2379518
Cadm2,2.1797574,1.0886947,0.029275447725998747,0.25301016767003703,0.9690721649484536,2.5352407,3.2469752
