names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,mean_expr_Emx1_Control (for_DEGs),mean_expr_Nestin_Control (for_DEGs)
Naaladl2,7.1760144,1.7798133,7.177303676081644e-13,7.165102259832306e-09,0.8894230769230769,1.0168937,1.9543455
Lars2,6.3862176,1.6447195,1.7003893103792522e-10,4.243746621379019e-07,0.8653846153846154,0.78608274,1.5551779
Camk1d,6.1421256,0.83544457,8.142447823979376e-10,1.1612293803826586e-06,0.9423076923076923,2.2007496,2.729941
Erbb4,5.959978,1.8751075,2.5227159756104036e-09,2.518427358451866e-06,0.75,0.50773156,1.2315801
Cmss1,5.4260726,1.312359,5.7607503708998565e-08,2.6140714069406032e-05,0.8557692307692307,1.0024196,1.6646186
Gria1,5.0123696,0.7321963,5.376378604799055e-07,0.00014124312529397096,0.875,1.9588227,2.4085755
Ank3,4.9246144,0.41054177,8.452682499382161e-07,0.00020091221283650504,0.8365384615384616,2.093002,2.3465514
Celf4,4.9150276,0.6323337,8.876986385248671e-07,0.0002014067160998579,0.7932692307692307,1.4902539,1.8452194
Dscaml1,4.8840556,1.2254403,1.039258659286088e-06,0.00023055375990340034,0.6875,0.73893654,1.269025
Tnr,4.4725647,0.7154571,7.728701259887947e-06,0.0013536074504817786,0.7451923076923077,1.2305692,1.6052022
Frmd4a,4.4386425,0.43335098,9.05280363756151e-06,0.0015317650629453655,0.7548076923076923,1.7016977,1.9535991
Hexb,4.417257,1.2182721,9.996144788564243e-06,0.0016631918904039472,0.7259615384615384,0.50805736,0.9323216
Adarb2,4.3781724,1.4103593,1.1967858556728113e-05,0.001958608720849455,0.6201923076923077,0.40900335,0.85149586
Dpp6,4.3221273,0.46334052,1.5453203708886835e-05,0.002337414130694201,0.8028846153846154,1.5836116,1.8467464
App,4.2874675,0.7307827,1.8072160049546484e-05,0.002653152555509155,0.9086538461538461,1.5979582,2.0206792
Hs3st4,4.2535453,1.4111388,2.1041222052943233e-05,0.0030007788536361756,0.5384615384615384,0.29730934,0.652738
Ncam1,3.9438212,0.5589089,8.019344043816342e-05,0.00856927261466454,0.8028846153846154,1.5024726,1.8157052
Map1b,3.9172735,0.81110185,8.95561366903611e-05,0.00924512213907316,0.9230769230769231,1.5808634,2.0504084
Cacna1e,3.874502,0.36300015,0.00010684295201064099,0.010355467863322613,0.7884615384615384,1.8292174,2.0444636
Pde1c,3.778635,1.9260123,0.00015769034337631096,0.013973430091447183,0.4326923076923077,0.13253768,0.43083942
Kcnq1ot1,3.7756853,0.4117344,0.00015956836927025732,0.013973430091447183,0.7307692307692307,1.3992137,1.6213752
Hsp90aa1,3.746925,1.0382208,0.0001790154625726408,0.015406132438471318,0.9134615384615384,1.1110973,1.6457295
Grin2b,3.7402883,0.4003795,0.0001838093627348815,0.015550583628663746,0.8846153846153846,2.497267,2.7546399
Rbfox3,3.7093158,0.6099177,0.00020782008517166432,0.01691640935630373,0.7163461538461539,1.0137273,1.3028407
Grid1,3.7048912,0.5758118,0.00021148151274489352,0.017025967272034453,0.7259615384615384,1.1630635,1.4536535
Gm28307,3.7004666,2.69022,0.00021520345583855334,0.017187008797090224,0.35096153846153844,0.06032387,0.3374148
Slc24a2,3.6916173,0.98870635,0.0002228326059382389,0.01761791619774557,0.7788461538461539,0.9632877,1.4387267
Kalrn,3.684243,0.24970952,0.00022938343014489274,0.017751432427414452,0.8125,2.184052,2.3390813
Grik1,3.6672819,1.5052483,0.0002451425799708817,0.018825064429610093,0.5048076923076923,0.20658787,0.5016362
Nalf1,3.6532705,0.5437681,0.0002589212405696311,0.019400777907808357,0.9134615384615384,2.714135,3.0700192
Cacnb2,3.644421,0.7011214,0.00026799421563284434,0.019671957754872682,0.7740384615384616,1.4942313,1.8898696
Galntl6,3.6193483,0.9705007,0.00029534589018596793,0.021211784328967757,0.7980769230769231,1.0471885,1.5313423
Pcdh15,3.5714147,0.7784071,0.00035505805792972737,0.022914159451223735,0.8317307692307693,1.5742704,2.0234768
Tenm3,3.5441296,1.1498504,0.0003939116069369266,0.024888731468679356,0.6923076923076923,0.62470084,1.0734032
Gm11867,3.5301182,2.0356147,0.0004153739896247192,0.02549688596273906,0.40865384615384615,0.09405295,0.33956096
Phactr1,3.4866095,0.39596048,0.0004891853217855791,0.02839265736851998,0.8413461538461539,2.286608,2.536376
Gabbr2,3.4748104,0.4116381,0.0005112146358590461,0.029330205228625617,0.7307692307692307,1.1985816,1.4060845
Slc8a1,3.4379385,0.5115216,0.0005861609774208512,0.03241557419163445,0.8269230769230769,1.7713075,2.0737514
Zbtb20,3.406966,1.0188836,0.0006568930827112611,0.03525679378874473,0.7932692307692307,1.110218,1.6338696
Meg3,3.3804183,0.53692675,0.0007237561037959796,0.03724359373296528,0.9471153846153846,3.0236874,3.380632
Slit3,3.351658,0.19260041,0.0008032915306664588,0.04081545520793786,0.7548076923076923,1.8979084,2.0125
